COL primaryName VAL Bates COL primaryProfession VAL wri COL id VAL nm21966749	COL primaryName VAL Tnia Bates COL primaryProfession VAL  COL id VAL nm8311413	1
COL primaryName VAL Aatu Kokkonen COL primaryProfession VAL actor COL id VAL nm6234907	COL primaryName VAL Brian Hanel COL primaryProfession VAL producer COL id VAL nm1496940	0
COL primaryName VAL Camila Toker COL primaryProfession VAL actress-director-writer COL id VAL nm0865740	COL primaryName VAL  COL primaryProfession VAL dierctor-writer COL id VAL nm21967489	0
COL primaryName VAL Katherine Walker COL primaryProfession VAL actor COL id VAL nm8338340	COL primaryName VAL Lothar Mendes COL primaryProfession VAL director-writer-actor COL id VAL nm0578985	0
COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm21955435	COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm0528764	1
COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm21957289	COL primaryName VAL Bhoomiak Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm0154653	1
COL primaryName VAL Andreas Zisimatos COL primaryProfession VAL actor COL id VAL nm0957196	COL primaryName VAL Frank M Robinson COL primaryProfession VAL writer-actor COL id VAL nm0732631	0
COL primaryName VAL Joaqui nPhoenix COL primaryProfession VAL actor-producer-soundtrack COL id VAL nm0001618	COL primaryName VAL VinuK iriyath COL primaryProfession VAL writer-ocmposer COL id VAL nm1550022	0
COL primaryName VAL Eppenstein Adam COL primaryProfession VAL actor-writer-director COL id VAL nm4565305	COL primaryName VAL Adam Eppenstein COL primaryProfession VAL actor-writer-director COL id VAL nm21958905	1
COL primaryName VAL Sujay Datta Ray COL primaryProfession VAL editor-editorial_department COL id VAL nm21966018	COL primaryName VAL  COL primaryProfession VAL set_decorator-soundtrack-producer COL id VAL nm21969022	0
COL primaryName VAL Robert Fosetr COL primaryProfession VAL  COL id VAL nm0288025	COL primaryName VAL Lloyd Anoai COL primaryProfession VAL actro COL id VAL nm3150204	0
COL primaryName VAL Stefan Will COL primaryProfession VAL composer-soundtrack-writer COL id VAL nm0929571	COL primaryName VAL Liv Leman Brandorf COL primaryProfession VAL actress COL id VAL nm6937225	0
COL primaryName VAL Dragana Micalovic COL primaryProfession VAL actress COL id VAL nm3825386	COL primaryName VAL  COL primaryProfession VAL actress-producer-productimanager COL id VAL nm0000832	0
COL primaryName VAL Debra Rogers COL primaryProfession VAL director-miscellaneous-writer COL id VAL nm21969609	COL primaryName VAL Yilmaz GrudaX COL primaryProfession VAL camera_department-writer COL id VAL nm21961180	0
COL primaryName VAL  COL primaryProfession VAL actress-dtcor-writer COL id VAL nm0501256	COL primaryName VAL Chris Edgerly COL primaryProfession VAL actor-miscellaneous-producer COL id VAL nm21956920	0
COL primaryName VAL Sáar Lázsló COL primaryProfession VAL producer-actress-writer COL id VAL nm1300771	COL primaryName VAL Maria Bäck COL primaryProfession VAL director-writer-produecr COL id VAL nm2156061	0
COL primaryName VAL Nikos MilasH COL primaryProfession VAL miscellaneous-camera_department-producer COL id VAL nm21961808	COL primaryName VAL Kayla Lauzier COL primaryProfession VAL actor COL id VAL nm21965209	0
COL primaryName VAL Werner Sommerv COL primaryProfession VAL transportation_department-writer-actor COL id VAL nm21968005	COL primaryName VAL Werner Sommerm COL primaryProfession VAL producer-writer-actor COL id VAL nm21968003	1
COL primaryName VAL Unshô Ishizuka COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm0411167	COL primaryName VAL Ishizuka Unshô COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm21963149	1
COL primaryName VAL Baldev Gill COL primaryProfession VAL writer-producer-actor COL id VAL nm21964300	COL primaryName VAL  COL primaryProfession VAL composer COL id VAL nm1162959	0
COL primaryName VAL Mahendra Sonin COL primaryProfession VAL assisatnt_director-miscelalneous-camera_department COL id VAL nm21966023	COL primaryName VAL Mahendra Soni COL primaryProfession VAL producer-miscellaneous-camera_department COL id VAL nm1192808	1
COL primaryName VAL Ismet Erten COL primaryProfession VAL catro COL id VAL nm21957321	COL primaryName VAL Soizic Bourvil COL primaryProfession VAL actress COL id VAL nm2581303	0
COL primaryName VAL Vito Giuseppe Zito COL primaryProfession VAL art_director-production_designer COL id VAL nm9573221	COL primaryName VAL Filemon Wesselink COL primaryProfession VAL actor COL id VAL nm2213653	0
COL primaryName VAL aRjan P Dev COL primaryProfession VAL actor-director COL id VAL nm0222145	COL primaryName VAL  COL primaryProfession VAL set_decorator-soundtrack-producer COL id VAL nm21969022	0
COL primaryName VAL Tanya Badendyck COL primaryProfession VAL producer-miscellaneous COL id VAL nm21966017	COL primaryName VAL Alejandro Awada COL primaryProfession VAL actor-soundtrack COL id VAL nm0043389	0
COL primaryName VAL Nicolas Comeau COL primaryProfession VAL producer-production_manager COL id VAL nm2827276	COL primaryName VAL AlHajjv COL primaryProfession VAL comer COL id VAL nm21965501	0
COL primaryName VAL Gerard Damiano COL primaryProfession VAL director-writer-producer COL id VAL nm0198790	COL primaryName VAL Camila TokerO COL primaryProfession VAL actress-director-writer COL id VAL nm21963367	0
COL primaryName VAL Peter Lloyd_ COL primaryProfession VAL actor-coser COL id VAL nm21966767	COL primaryName VAL Peter Lolyd COL primaryProfession VAL  COL id VAL nm0516102	1
COL primaryName VAL Jelena BÃ¼sser COL primaryProfession VAL actress COL id VAL nm21958091	COL primaryName VAL WladyslawT erlecki COL primaryProfession VAL  COL id VAL nm0855612	0
COL primaryName VAL Jen Thompson COL primaryProfession VAL producer COL id VAL nm21963904	COL primaryName VAL Saray Pavon COL primaryProfession VAL actress COL id VAL nm21955408	0
COL primaryName VAL Robby Rotfeld COL primaryProfession VAL music_department-editor COL id VAL nm8185241	COL primaryName VAL Yan Hsiao COL primaryProfession VAL actor COL id VAL nm21964658	0
COL primaryName VAL Maho Nagashe COL primaryProfession VAL sountdrack COL id VAL nm21956908	COL primaryName VAL Maho Nagase COL primaryProfession VAL actress COL id VAL nm4335674	1
COL primaryName VAL Lucia COL primaryProfession VAL  COL id VAL nm0524551	COL primaryName VAL Matthew James Kelly COL primaryProfession VAL  COL id VAL nm5876384	0
COL primaryName VAL Dobosk Tamás COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm21963859	COL primaryName VAL Dobos COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm2732854	1
COL primaryName VAL  COL primaryProfession VAL actress-music_department COL id VAL nm0014423	COL primaryName VAL Filemon Wesselink COL primaryProfession VAL acotr COL id VAL nm21964156	0
COL primaryName VAL Helena TrestÃ­kovÃ¡N COL primaryProfession VAL director-writer-actress COL id VAL nm21959006	COL primaryName VAL Helena TrestÃ­kovÃ¡ COL primaryProfession VAL directwriter-actress COL id VAL nm0872281	1
COL primaryName VAL Bill McLaughlin COL primaryProfession VAL  COL id VAL nm21968321	COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm0572279	1
COL primaryName VAL Fausto Tozzi COL primaryProfession VAL actor-writer-assistant_director COL id VAL nm0870362	COL primaryName VAL Kent HovindD COL primaryProfession VAL art_director-producer-camera_department COL id VAL nm21959110	0
COL primaryName VAL NikosM ilas COL primaryProfession VAL cinematographer-camera_department-prodr COL id VAL nm21961809	COL primaryName VAL  COL primaryProfession VAL producer-prction_manager-miscellaneous COL id VAL nm0604558	0
COL primaryName VAL Tamara BrukettaX COL primaryProfession VAL actress-writer-producer COL id VAL nm21955651	COL primaryName VAL Tamara Bruketta COL primaryProfession VAL  COL id VAL nm4705487	1
COL primaryName VAL Guy Maddink COL primaryProfession VAL actress-writer-cinematographer COL id VAL nm21955270	COL primaryName VAL Guy Maddin COL primaryProfession VAL director-writer-cinematographer COL id VAL nm0534665	1
