COL primaryName VAL William KyleZ COL primaryProfession VAL actor COL id VAL nm21965999	COL primaryName VAL Annabel ChongQ COL primaryProfession VAL actress COL id VAL nm21964178	0
COL primaryName VAL McConville COL primaryProfession VAL writer-script_department COL id VAL nm21959051	COL primaryName VAL Byamba Sakhya COL primaryProfession VAL director-cinematographer-editor COL id VAL nm0125684	0
COL primaryName VAL Pinto ColvigU COL primaryProfession VAL actor-writer-animation_department COL id VAL nm21956250	COL primaryName VAL Mary ShelleyN COL primaryProfession VAL actor COL id VAL nm21962418	0
COL primaryName VAL Saeed Motarassed COL primaryProfession VAL art_director-director-writer COL id VAL nm3769490	COL primaryName VAL Datta Ray COL primaryProfession VAL editor-editorial_department COL id VAL nm2954398	0
COL primaryName VAL Patrick Van HornA COL primaryProfession VAL script_department COL id VAL nm21967781	COL primaryName VAL Margarita de Ochoa COL primaryProfession VAL editor-editorial_department COL id VAL nm0643755	0
COL primaryName VAL Saeed MotarassedE COL primaryProfession VAL sound_department-director-writer COL id VAL nm21959854	COL primaryName VAL Chris Squirey COL primaryProfession VAL sound_department-producer-composer COL id VAL nm21959173	0
COL primaryName VAL Harry Kurnitz COL primaryProfession VAL writer-producer-costume_designer COL id VAL nm21956135	COL primaryName VAL Harry Kurnitz COL primaryProfession VAL writer-producer-costume_designer COL id VAL nm0475823	1
COL primaryName VAL Lothar Mendesd COL primaryProfession VAL location_management-writer-actor COL id VAL nm21955926	COL primaryName VAL Yoshie AsaiK COL primaryProfession VAL actress COL id VAL nm21962450	0
COL primaryName VAL Jen Thompson COL primaryProfession VAL producer COL id VAL nm5837474	COL primaryName VAL Dave Scott COL id VAL nm10823725	0
COL primaryName VAL Gisèle Rebillon COL primaryProfession VAL producer-production_manager COL id VAL nm0714324	COL primaryName VAL Bourvil COL primaryProfession VAL actress COL id VAL nm21961888	0
COL primaryName VAL David Ritsher COL primaryProfession VAL producer-editor-editorial_department COL id VAL nm1009821	COL primaryName VAL Houston Curtis COL primaryProfession VAL producer-writer-director COL id VAL nm2148145	0
COL primaryName VAL Hakan Sükür COL id VAL nm21959398	COL primaryName VAL Harry Keller COL primaryProfession VAL director-editor-producer COL id VAL nm0445650	0
COL primaryName VAL Robert Morley COL primaryProfession VAL actor-writer-director COL id VAL nm0605923	COL primaryName VAL Sean S Cunningham COL primaryProfession VAL producer-wrietr-dierctor COL id VAL nm0192446	0
COL primaryName VAL Baron COL primaryProfession VAL actress-prcer COL id VAL nm0056249	COL primaryName VAL Max McClellan COL primaryProfession VAL actor COL id VAL nm0565757	0
COL primaryName VAL Ronnie Jimenez COL primaryProfession VAL writer COL id VAL nm21967302	COL primaryName VAL Nick Londonx COL primaryProfession VAL composer-producer-cinematographer COL id VAL nm21959449	0
COL primaryName VAL Howard Rosenman COL primaryProfession VAL producer-actor-writer COL id VAL nm0742651	COL primaryName VAL Barry Morrow COL primaryProfession VAL production_designer-producer-actor COL id VAL nm21962141	0
COL primaryName VAL Valérie Lemerciert COL primaryProfession VAL actress-director-writer COL id VAL nm21955226	COL primaryName VAL Enrique Villegask COL primaryProfession VAL publicist COL id VAL nm21965825	0
COL primaryName VAL Seren Sirince COL primaryProfession VAL actress-soundtrack COL id VAL nm7468748	COL primaryName VAL Juanita Reina COL primaryProfession VAL actress-soundtrack-producer COL id VAL nm0717901	0
COL primaryName VAL Oleg Kuznetsov COL primaryProfession VAL actor COL id VAL nm10693875	COL primaryName VAL Stefan Willo COL primaryProfession VAL production_manager-soundtrack-writer COL id VAL nm21955958	0
