COL primaryName VAL Dan Robinson COL primaryProfession VAL editor-producer COL id VAL nm21969140	COL primaryName VAL Váradi Edit COL primaryProfession VAL actress COL id VAL nm21955846	0
COL primaryName VAL Paolo Villaggio COL primaryProfession VAL actor-writer-soundtrack COL id VAL nm21959678	COL primaryName VAL Mark Searsb COL primaryProfession VAL composer-stunts-writer COL id VAL nm21965795	0
COL primaryName VAL Buzz Farber COL primaryProfession VAL actor-producer COL id VAL nm0267130	COL primaryName VAL Mena Suvari COL primaryProfession VAL actress-soundtrack-producer COL id VAL nm0002546	0
COL primaryName VAL Saray Pavon COL primaryProfession VAL actress COL id VAL nm5038339	COL primaryName VAL Juana Barros COL primaryProfession VAL actress COL id VAL nm3767011	0
COL primaryName VAL Ceyda Ates COL primaryProfession VAL actress COL id VAL nm2437691	COL primaryName VAL Dagmar WeaverMadsen COL primaryProfession VAL cinematographer-camera_department-producer COL id VAL nm21957237	0
COL primaryName VAL Mel Lewis COL primaryProfession VAL composer-music_department-sound_department COL id VAL nm0507542	COL primaryName VAL Rirkoo COL primaryProfession VAL actor COL id VAL nm21962547	0
COL primaryName VAL Harry Kurnitz COL primaryProfession VAL writer-producer-costume_designer COL id VAL nm21956135	COL primaryName VAL Harry Kurnitz COL primaryProfession VAL writer-producer-costume_designer COL id VAL nm0475823	1
COL primaryName VAL Gabriella Boris COL primaryProfession VAL actress COL id VAL nm21962643	COL primaryName VAL Matthew Rudge COL primaryProfession VAL producer-writer-actor COL id VAL nm1186148	0
COL primaryName VAL JB Rogers COL primaryProfession VAL assistant_director-producer-director COL id VAL nm0736930	COL primaryName VAL Liliana Bonfatti COL primaryProfession VAL actress COL id VAL nm0094388	0
COL primaryName VAL Buck Adams COL primaryProfession VAL actor-director-writer COL id VAL nm0010799	COL primaryName VAL Resit Gürzapp COL primaryProfession VAL assistant COL id VAL nm21955033	0
COL primaryName VAL Brooke Satchwell COL primaryProfession VAL actress-camera_department-producer COL id VAL nm0766120	COL primaryName VAL Shawn Michaels COL primaryProfession VAL actor-producer-soundtrack COL id VAL nm21960295	0
COL primaryName VAL Sylvie Brenet COL primaryProfession VAL producer-production_manager-miscellaneous COL id VAL nm1944448	COL primaryName VAL Oleg Borisovq COL primaryProfession VAL writer-director COL id VAL nm21960540	0
COL primaryName VAL Lynne Ramsay COL primaryProfession VAL director-writer-producer COL id VAL nm21965245	COL primaryName VAL Don Red Barry COL primaryProfession VAL actor-writer-producer COL id VAL nm0057983	0
COL primaryName VAL Stephen Eyssen COL primaryProfession VAL composer COL id VAL nm5346412	COL primaryName VAL Michaela MüllerL COL primaryProfession VAL director-writer-cinematographer COL id VAL nm21962363	0
COL primaryName VAL Blackie Shou Liang Ko COL primaryProfession VAL actor-stunts-director COL id VAL nm0461918	COL primaryName VAL Elliot Bakkejord COL primaryProfession VAL actor COL id VAL nm9042114	0
COL primaryName VAL Tim Vine COL primaryProfession VAL actor-writer-director COL id VAL nm21967259	COL primaryName VAL Jacques Tourneur COL primaryProfession VAL director-assistant_director-editor COL id VAL nm21969126	0
COL primaryName VAL Bjorn Ventris COL primaryProfession VAL cinematographer-camera_department COL id VAL nm2347199	COL primaryName VAL Metin Erksan COL primaryProfession VAL director-writer-producer COL id VAL nm0259499	0
COL primaryName VAL Joanne Barona COL primaryProfession VAL casting_director-producer COL id VAL nm21966801	COL primaryName VAL Zeinab Abdo COL primaryProfession VAL actress COL id VAL nm21968334	0
COL primaryName VAL Jaysen Lewis COL primaryProfession VAL casting_department-actor-music_department COL id VAL nm21959607	COL primaryName VAL Álex Phillips Jrt COL primaryProfession VAL cinematographer-camera_department-actor COL id VAL nm21961764	0
COL primaryName VAL Andrew Dice Clay COL primaryProfession VAL actor-producer-writer COL id VAL nm21961193	COL primaryName VAL Frank Welker COL primaryProfession VAL actor-soundtrack-music_department COL id VAL nm0919798	0
COL primaryName VAL Michael Wetherburn COL primaryProfession VAL composer COL id VAL nm21968498	COL primaryName VAL Michael Wetherburn COL primaryProfession VAL composer COL id VAL nm4325325	1
COL primaryName VAL Yan Hsiao COL primaryProfession VAL actor COL id VAL nm7039361	COL primaryName VAL Yan Hsiao COL primaryProfession VAL actor COL id VAL nm21964658	1
COL primaryName VAL Carlo Rota COL primaryProfession VAL actor-miscellaneous-producer COL id VAL nm0744690	COL primaryName VAL Elsa Kikoïne COL primaryProfession VAL actress COL id VAL nm0452831	0
COL primaryName VAL Ana Lúcia Torre COL primaryProfession VAL actress COL id VAL nm21959635	COL primaryName VAL Melanie Lee COL primaryProfession VAL producer-assistant_director-editor COL id VAL nm21963088	0
COL primaryName VAL Paull Walia COL primaryProfession VAL actor COL id VAL nm1161145	COL primaryName VAL Ismet Erten COL primaryProfession VAL actor COL id VAL nm21957321	0
COL primaryName VAL James P Hogan COL primaryProfession VAL director-writer-assistant_director COL id VAL nm0003373	COL primaryName VAL Kevin Feige COL primaryProfession VAL producer-miscellaneous-production_manager COL id VAL nm21965473	0
COL primaryName VAL Yuriko Yamamoto COL primaryProfession VAL actress-soundtrack COL id VAL nm21962449	COL primaryName VAL JenChieh ChangR COL primaryProfession VAL assistant_director-actor-writer COL id VAL nm21966419	0
COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm21968321	COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm0572279	1
COL primaryName VAL Sean Cruser COL primaryProfession VAL cinematographer-editor-producer COL id VAL nm3680655	COL primaryName VAL Mac Kenny COL primaryProfession VAL cinematographer-camera_department-director COL id VAL nm1510616	0
COL primaryName VAL Sherif Mounir COL primaryProfession VAL writer COL id VAL nm21968270	COL primaryName VAL Tito Moral COL primaryProfession VAL actor-soundtrack COL id VAL nm21968960	0
COL primaryName VAL Felix Adler COL primaryProfession VAL writer-miscellaneous-actor COL id VAL nm0012148	COL primaryName VAL Felix Adler COL primaryProfession VAL writer-miscellaneous-actor COL id VAL nm21967403	1
COL primaryName VAL Delphine Chanéac COL primaryProfession VAL actress COL id VAL nm0152035	COL primaryName VAL Delphine Chanéac COL primaryProfession VAL actress COL id VAL nm21968932	1
COL primaryName VAL Bob Caseyq COL primaryProfession VAL stunts COL id VAL nm21968358	COL primaryName VAL Steven Van Singel COL primaryProfession VAL editor COL id VAL nm0973936	0
COL primaryName VAL Max Klevent COL primaryProfession VAL stunts-actor-assistant_director COL id VAL nm21957751	COL primaryName VAL Max Kleven COL primaryProfession VAL stunts-actor-assistant_director COL id VAL nm0459369	1
COL primaryName VAL Chris Walden COL primaryProfession VAL music_department-composer-soundtrack COL id VAL nm21961290	COL primaryName VAL Paul Cross COL primaryProfession VAL actor-producer-director COL id VAL nm21958909	0
COL primaryName VAL Jerry Watson COL primaryProfession VAL camera_department-cinematographer-miscellaneous COL id VAL nm21961191	COL primaryName VAL Jerry Watson COL primaryProfession VAL camera_department-cinematographer-miscellaneous COL id VAL nm0914697	1
COL primaryName VAL Marilu Henner COL primaryProfession VAL actress-miscellaneous-producer COL id VAL nm0000447	COL primaryName VAL Marilu Henner COL primaryProfession VAL actress-miscellaneous-producer COL id VAL nm21964717	1
COL primaryName VAL Sujay Datta Ray COL primaryProfession VAL editor-editorial_department COL id VAL nm21966018	COL primaryName VAL Jonathan Prycee COL primaryProfession VAL set_decorator-soundtrack-producer COL id VAL nm21969022	0
COL primaryName VAL Mac Kenny COL primaryProfession VAL cinematographer-camera_department-director COL id VAL nm1510616	COL primaryName VAL Cingiz Abdullayev COL primaryProfession VAL writer COL id VAL nm21958319	0
COL primaryName VAL Rebecka Lafrenz COL primaryProfession VAL producer-production_manager-assistant_director COL id VAL nm0481075	COL primaryName VAL Alyssa Chaffee COL primaryProfession VAL costume_department-actress COL id VAL nm21965787	0
COL primaryName VAL Christopher Ainley COL primaryProfession VAL actor COL id VAL nm21967536	COL primaryName VAL Frank Sullivan COL primaryProfession VAL editor-cinematographer-writer COL id VAL nm21967498	0
COL primaryName VAL Corey Landis COL primaryProfession VAL actor-soundtrack-writer COL id VAL nm1813063	COL primaryName VAL Corey LandisE COL primaryProfession VAL sound_department-soundtrack-writer COL id VAL nm21969644	1
COL primaryName VAL Gilles Perez COL primaryProfession VAL producer-director-writer COL id VAL nm21956884	COL primaryName VAL James Wilberger COL primaryProfession VAL producer-production_manager-miscellaneous COL id VAL nm0928074	0
COL primaryName VAL Nigel Davenportd COL primaryProfession VAL actor-assistant_director-soundtrack COL id VAL nm21961488	COL primaryName VAL Giulia Boverioq COL primaryProfession VAL make_up_department COL id VAL nm21964850	0
COL primaryName VAL Chuck Dukowski COL primaryProfession VAL soundtrack-actor-producer COL id VAL nm21965851	COL primaryName VAL Chuck Dukowski COL primaryProfession VAL soundtrack-actor-producer COL id VAL nm1584863	1
COL primaryName VAL Sean S Cunninghamc COL primaryProfession VAL costume_department-writer-director COL id VAL nm21960221	COL primaryName VAL Rüstü Reçber COL id VAL nm3082840	0
COL primaryName VAL William Rabanc COL primaryProfession VAL director-cinematographer-editor COL id VAL nm21964634	COL primaryName VAL Gábor Tarcsay COL primaryProfession VAL editor-miscellaneous-visual_effects COL id VAL nm8228773	0
COL primaryName VAL Miklós Sass COL primaryProfession VAL actor COL id VAL nm21963860	COL primaryName VAL Ceyda Ates COL primaryProfession VAL actress COL id VAL nm2437691	0
COL primaryName VAL James Griffiths COL primaryProfession VAL music_department-composer-sound_department COL id VAL nm21960144	COL primaryName VAL MouShan Huang COL primaryProfession VAL composer-music_department-sound_department COL id VAL nm1350644	0
COL primaryName VAL Olivia Deeble COL primaryProfession VAL actress COL id VAL nm3698746	COL primaryName VAL Max McClellanb COL primaryProfession VAL actor COL id VAL nm21956441	0
COL primaryName VAL Julien Guiomar COL primaryProfession VAL actor-miscellaneous COL id VAL nm21967485	COL primaryName VAL Jonathan Dodson COL primaryProfession VAL actor-producer-transportation_department COL id VAL nm8544014	0
COL primaryName VAL Ali Mansuri COL primaryProfession VAL producer-miscellaneous-camera_department COL id VAL nm21966152	COL primaryName VAL Ali Mansuri COL primaryProfession VAL producer-miscellaneous-camera_department COL id VAL nm3292686	1
COL primaryName VAL Josie Petersen COL id VAL nm3795818	COL primaryName VAL Justin Strydom COL primaryProfession VAL actor-producer-writer COL id VAL nm1340051	0
COL primaryName VAL Greg Pruss COL primaryProfession VAL writer-actor-art_department COL id VAL nm21958076	COL primaryName VAL Greg Pruss COL primaryProfession VAL writer-actor-art_department COL id VAL nm0699294	1
COL primaryName VAL Frank Sullivan COL primaryProfession VAL editor-cinematographer-writer COL id VAL nm0838068	COL primaryName VAL Julia von Frihlingx COL primaryProfession VAL editor COL id VAL nm21963303	0
COL primaryName VAL Kazimierz Opalinski COL primaryProfession VAL actor COL id VAL nm21961321	COL primaryName VAL Julia von FrihlingE COL primaryProfession VAL editor COL id VAL nm21963300	0
COL primaryName VAL Catherine Stepien COL primaryProfession VAL production_designer-costume_department-actress COL id VAL nm21955058	COL primaryName VAL Catherine Stepien COL primaryProfession VAL production_designer-costume_department-actress COL id VAL nm6772561	1
COL primaryName VAL Megumi Ishii COL primaryProfession VAL actress COL id VAL nm1287536	COL primaryName VAL Katherine Walker COL primaryProfession VAL actor COL id VAL nm21958592	0
COL primaryName VAL Mino Carta IID COL primaryProfession VAL animation_department COL id VAL nm21968108	COL primaryName VAL Franz Johan COL primaryProfession VAL actor COL id VAL nm0423671	0
COL primaryName VAL Liyakat Ali Khan COL primaryProfession VAL director-writer COL id VAL nm8566769	COL primaryName VAL Zdenek Hadjova COL primaryProfession VAL cinematographer COL id VAL nm21963684	0
COL primaryName VAL Anna Rizzo COL primaryProfession VAL actress-composer COL id VAL nm5042825	COL primaryName VAL Anna Rizzo COL primaryProfession VAL actress-composer COL id VAL nm21962305	1
COL primaryName VAL Max McClellan COL primaryProfession VAL actor COL id VAL nm0565757	COL primaryName VAL Skai Jackson COL primaryProfession VAL actress COL id VAL nm2857655	0
COL primaryName VAL Jacques Jouanneau COL primaryProfession VAL actor COL id VAL nm21955748	COL primaryName VAL Ali Miri COL primaryProfession VAL actor-director-writer COL id VAL nm2272335	0
COL primaryName VAL Paul Cattermole COL primaryProfession VAL actor-soundtrack COL id VAL nm0146366	COL primaryName VAL Paul Cattermoler COL primaryProfession VAL casting_department-soundtrack COL id VAL nm21963487	1
COL primaryName VAL Edward Faulkner COL primaryProfession VAL actor-director-art_director COL id VAL nm0269067	COL primaryName VAL Edward Faulkner COL primaryProfession VAL actor-director-art_director COL id VAL nm21960806	1
COL primaryName VAL Bappi Lahiri COL primaryProfession VAL composer-music_department-soundtrack COL id VAL nm0481568	COL primaryName VAL Yoshie Asai COL primaryProfession VAL actress COL id VAL nm0038310	0
COL primaryName VAL Gino Santini COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm0763727	COL primaryName VAL André Sogliuzzo COL primaryProfession VAL actor-miscellaneous-soundtrack COL id VAL nm0812220	0
COL primaryName VAL Mat Powell COL primaryProfession VAL producer-actor COL id VAL nm6449795	COL primaryName VAL Mat Powell COL primaryProfession VAL producer-actor COL id VAL nm21964947	1
