COL primaryName VAL Tina Bates COL primaryProfession VAL writer COL id VAL nm21966749	COL primaryName VAL Tina Bates COL primaryProfession VAL writer COL id VAL nm8311413	1
COL primaryName VAL Shad Moss COL primaryProfession VAL actor-producer-soundtrack COL id VAL nm0510168	COL primaryName VAL Piotr Fronczewskiq COL primaryProfession VAL visual_effects-soundtrack-director COL id VAL nm21955604	0
COL primaryName VAL Frank Gerrish COL primaryProfession VAL actor-producer-sound_department COL id VAL nm0314754	COL primaryName VAL Sean S Cunningham COL primaryProfession VAL producer-writer-director COL id VAL nm0192446	0
COL primaryName VAL Mike WattB COL primaryProfession VAL actor-soundtrack-composer COL id VAL nm21965848	COL primaryName VAL Roy Pomeroyk COL primaryProfession VAL camera_department-director-miscellaneous COL id VAL nm21955924	0
COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm21955435	COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm0528764	1
COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm21957289	COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm0154653	1
COL primaryName VAL Christopher Nickel COL primaryProfession VAL composer-music_department-miscellaneous COL id VAL nm1459644	COL primaryName VAL Edward Klosinski COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm0460058	0
COL primaryName VAL Rakuto Tochihara COL primaryProfession VAL actor COL id VAL nm1204432	COL primaryName VAL Ankush Chaudhari COL primaryProfession VAL actor-director-writer COL id VAL nm1237397	0
COL primaryName VAL Adam Eppenstein COL primaryProfession VAL actor-writer-director COL id VAL nm4565305	COL primaryName VAL Adam Eppenstein COL primaryProfession VAL actor-writer-director COL id VAL nm21958905	1
COL primaryName VAL José Luis ColinaI COL primaryProfession VAL writer-director-soundtrack COL id VAL nm21962887	COL primaryName VAL Molly Rome COL primaryProfession VAL actress COL id VAL nm1007991	0
COL primaryName VAL Todd Cahoon COL primaryProfession VAL actor-art_department-camera_department COL id VAL nm0128737	COL primaryName VAL Ali Azad COL primaryProfession VAL actor COL id VAL nm0044082	0
COL primaryName VAL Ana Poliak COL primaryProfession VAL editor-assistant_director-director COL id VAL nm0689076	COL primaryName VAL Jack Ingram COL primaryProfession VAL actor COL id VAL nm0408984	0
COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm0154653	COL primaryName VAL Makoto Onodera COL primaryProfession VAL cinematographer-camera_department COL id VAL nm21959570	0
COL primaryName VAL Mika Simmons COL primaryProfession VAL actress-director-writer COL id VAL nm21966151	COL primaryName VAL Mike Mirestone COL primaryProfession VAL editor COL id VAL nm1780522	0
COL primaryName VAL Delphine Chanéac COL primaryProfession VAL actress COL id VAL nm21968932	COL primaryName VAL Ryan Haidarian COL primaryProfession VAL producer-director-actor COL id VAL nm21966447	0
COL primaryName VAL Shuogang ChenL COL primaryProfession VAL animation_department-miscellaneous COL id VAL nm21956154	COL primaryName VAL Antoni Krauze COL primaryProfession VAL director-writer-actor COL id VAL nm0470374	0
COL primaryName VAL Kyle Stone COL primaryProfession VAL actor-miscellaneous COL id VAL nm0831996	COL primaryName VAL Phil Morris COL primaryProfession VAL actor COL id VAL nm21957844	0
COL primaryName VAL Werner Sommerv COL primaryProfession VAL transportation_department-writer-actor COL id VAL nm21968005	COL primaryName VAL Werner Sommerm COL primaryProfession VAL producer-writer-actor COL id VAL nm21968003	1
COL primaryName VAL Unshô Ishizuka COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm0411167	COL primaryName VAL Unshô Ishizuka COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm21963149	1
COL primaryName VAL Olivier Meidinger COL primaryProfession VAL production_designer-art_department-actor COL id VAL nm21963980	COL primaryName VAL Miomir Denic COL primaryProfession VAL production_designer-art_director COL id VAL nm0219089	0
COL primaryName VAL Mahendra Sonin COL primaryProfession VAL assistant_director-miscellaneous-camera_department COL id VAL nm21966023	COL primaryName VAL Mahendra Soni COL primaryProfession VAL producer-miscellaneous-camera_department COL id VAL nm1192808	1
COL primaryName VAL Kevin Feige COL primaryProfession VAL producer-miscellaneous-production_manager COL id VAL nm0270559	COL primaryName VAL Cheyenne Pesko COL primaryProfession VAL miscellaneous-editor-camera_department COL id VAL nm1743585	0
COL primaryName VAL Tamara Bos COL primaryProfession VAL writer-producer-script_department COL id VAL nm21966127	COL primaryName VAL Krishan Kumarn COL primaryProfession VAL art_director-director-actor COL id VAL nm21964303	0
COL primaryName VAL Alberto Castellanos COL id VAL nm2255752	COL primaryName VAL Agnès Godard COL primaryProfession VAL cinematographer-camera_department-editorial_department COL id VAL nm0323707	0
COL primaryName VAL Gustavo Galvão COL primaryProfession VAL producer-director-writer COL id VAL nm2503560	COL primaryName VAL Sundar C COL primaryProfession VAL director-writer-actor COL id VAL nm21963657	0
COL primaryName VAL Mike Deisinger COL primaryProfession VAL editorial_department-editor-director COL id VAL nm1093078	COL primaryName VAL Sara Derzawyx COL primaryProfession VAL publicist COL id VAL nm21969781	0
COL primaryName VAL Gilberto Gazcón COL primaryProfession VAL writer-director-producer COL id VAL nm0311065	COL primaryName VAL Sundar C COL primaryProfession VAL director-writer-actor COL id VAL nm21963657	0
COL primaryName VAL Peter Lloyd_ COL primaryProfession VAL actor-composer COL id VAL nm21966767	COL primaryName VAL Peter Lloyd COL primaryProfession VAL actor-composer COL id VAL nm0516102	1
COL primaryName VAL Nutan Prasad COL primaryProfession VAL actor COL id VAL nm0004472	COL primaryName VAL Chris KroppT COL primaryProfession VAL composer-producer-director COL id VAL nm21968373	0
COL primaryName VAL Aicha McKenzie COL primaryProfession VAL actress-miscellaneous COL id VAL nm1161302	COL primaryName VAL Janez Bricelj COL primaryProfession VAL editor-sound_department-actor COL id VAL nm0108530	0
COL primaryName VAL Michael Dougherty COL primaryProfession VAL writer-director-actor COL id VAL nm21955560	COL primaryName VAL Jack Kirby COL primaryProfession VAL writer-animation_department-miscellaneous COL id VAL nm0456158	0
COL primaryName VAL Maho Nagaseh COL primaryProfession VAL soundtrack COL id VAL nm21956908	COL primaryName VAL Maho Nagase COL primaryProfession VAL actress COL id VAL nm4335674	1
COL primaryName VAL Catherine Stepien COL primaryProfession VAL production_designer-costume_department-actress COL id VAL nm6772561	COL primaryName VAL Indira Bansal COL primaryProfession VAL actress COL id VAL nm0052492	0
COL primaryName VAL Tamás Dobosk COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm21963859	COL primaryName VAL Tamás Dobos COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm2732854	1
COL primaryName VAL Ramon Nomar COL primaryProfession VAL actor COL id VAL nm21959912	COL primaryName VAL Renato Baldini COL primaryProfession VAL actor COL id VAL nm0049766	0
COL primaryName VAL Helena TrestíkováN COL primaryProfession VAL director-writer-actress COL id VAL nm21959006	COL primaryName VAL Helena Trestíková COL primaryProfession VAL director-writer-actress COL id VAL nm0872281	1
COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm21968321	COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm0572279	1
