COL primaryName VAL Tina Bates COL primaryProfession VAL wri COL id VAL nm21966749	COL primaryName VAL Tnia Bates COL primaryProfession VAL  COL id VAL nm8311413	1
COL primaryName VAL Ray Ellis COL primaryProfession VAL composer-music_department-soundtrack COL id VAL nm0086417	COL primaryName VAL Yoshiko Asaia COL primaryProfession VAL actress COL id VAL nm21962452	0
COL primaryName VAL Bibhutibhushan Bandyopadhyay COL primaryProfession VAL writer COL id VAL nm0051808	COL primaryName VAL Sarah Strange COL primaryProfession VAL actress COL id VAL nm21962898	0
COL primaryName VAL August Thøgersen EideY COL primaryProfession VAL actor-director-writer COL id VAL nm21956235	COL primaryName VAL Sybil AzurW COL primaryProfession VAL  COL id VAL nm21957780	0
COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm21955435	COL primaryName VAL Micky Lynn COL primaryProfession VAL actress COL id VAL nm0528764	1
COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm21957289	COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm0154653	1
COL primaryName VAL Andrew Strahorn COL primaryProfession VAL cinematographer-camera_department-producer COL id VAL nm21960923	COL primaryName VAL Jack Chertok COL primaryProfession VAL producer-miscellaneous COL id VAL nm0156134	0
COL primaryName VAL Deborah Copaken COL primaryProfession VAL actress-writer-camera_department COL id VAL nm0178528	COL primaryName VAL  COL primaryProfession VAL cinematographer-camera_department-actor COL id VAL nm4052377	0
COL primaryName VAL Adam Eppenstein COL primaryProfession VAL actor-writer-director COL id VAL nm4565305	COL primaryName VAL Adam Eppenstein COL primaryProfession VAL actor-writer-director COL id VAL nm21958905	1
COL primaryName VAL Bibhutibhushan Bandyopadhyay COL primaryProfession VAL writer COL id VAL nm0051808	COL primaryName VAL Williams COL primaryProfession VAL actor-soundtrack COL id VAL nm0930279	0
COL primaryName VAL Sei Hiraizumib COL primaryProfession VAL actor COL id VAL nm21959568	COL primaryName VAL Vicki Lawrence COL primaryProfession VAL actress-soundtrack-writer COL id VAL nm0493069	0
COL primaryName VAL Gabriele Cirilliy COL primaryProfession VAL assistant_director-writer COL id VAL nm21964848	COL primaryName VAL Heinrich Hans COL primaryProfession VAL director-editor-writer COL id VAL nm0374475	0
COL primaryName VAL Yuka Hôshakud COL primaryProfession VAL actress COL id VAL nm21958845	COL primaryName VAL Fatma GirikQ COL primaryProfession VAL actress-producer-writer COL id VAL nm21969475	0
COL primaryName VAL Max Dinero\\ COL primaryProfession VAL talent_agent COL id VAL nm21965344	COL primaryName VAL Krishan Kumar COL primaryProfession VAL producer-director-actor COL id VAL nm0474824	0
COL primaryName VAL  COL primaryProfession VAL actress COL id VAL nm21959635	COL primaryName VAL Aishwarya COL primaryProfession VAL actress COL id VAL nm1027293	0
COL primaryName VAL Reilly Askew COL primaryProfession VAL writer COL id VAL nm0039445	COL primaryName VAL aMx Kleven COL primaryProfession VAL stunts-actor-assistant_director COL id VAL nm0459369	0
COL primaryName VAL rFank Qutuq Irelan COL primaryProfession VAL actor COL id VAL nm4381033	COL primaryName VAL JB Moore COL primaryProfession VAL soundtrack-composer-music_department COL id VAL nm2267629	0
COL primaryName VAL Werner Sommerv COL primaryProfession VAL transportation_department-writer-actor COL id VAL nm21968005	COL primaryName VAL Werner Sommerm COL primaryProfession VAL producer-writer-actor COL id VAL nm21968003	1
COL primaryName VAL Unshô Ishizuka COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm0411167	COL primaryName VAL Unshô Ishizuka COL primaryProfession VAL actor-soundtrack-miscellaneous COL id VAL nm21963149	1
COL primaryName VAL Rambha COL primaryProfession VAL actress COL id VAL nm0708095	COL primaryName VAL Joe Siracusa COL primaryProfession VAL music_department-sound_department-editorial_department COL id VAL nm0802733	0
COL primaryName VAL Mahendra Sonin COL primaryProfession VAL assisatnt_director-miscellaneous-camera_department COL id VAL nm21966023	COL primaryName VAL Mahendra Soni COL primaryProfession VAL producer-miscellaneous-camera_department COL id VAL nm1192808	1
COL primaryName VAL Nagesh COL primaryProfession VAL actor-sound_department COL id VAL nm0619309	COL primaryName VAL Knut LystadH COL primaryProfession VAL actor-writer-director COL id VAL nm21968422	0
COL primaryName VAL Stan Freberg COL primaryProfession VAL actor-soundtrack-writer COL id VAL nm0292677	COL primaryName VAL Carissa Bazler COL primaryProfession VAL actress-writer COL id VAL nm5770362	0
COL primaryName VAL Lisandro Rábida COL primaryProfession VAL producer COL id VAL nm5612319	COL primaryName VAL Deva COL primaryProfession VAL composer-music_department-soundtrack COL id VAL nm0222148	0
COL primaryName VAL Tom Mxi COL primaryProfession VAL  COL id VAL nm0594291	COL primaryName VAL Lesley Dunlop COL primaryProfession VAL  COL id VAL nm0242459	0
COL primaryName VAL Shad Moss COL primaryProfession VAL actor-producer-soundtrack COL id VAL nm0510168	COL primaryName VAL Cheryl COL primaryProfession VAL soundtrack-actress-miscellaneous COL id VAL nm0156166	0
COL primaryName VAL Derek Evans COL primaryProfession VAL or COL id VAL nm1828938	COL primaryName VAL Leo Valeriano COL primaryProfession VAL actor COL id VAL nm21965908	0
COL primaryName VAL Peter Lloyd_ COL primaryProfession VAL actor-composer COL id VAL nm21966767	COL primaryName VAL Peter Lolyd COL primaryProfession VAL actor-composer COL id VAL nm0516102	1
COL primaryName VAL Megumi COL primaryProfession VAL actrses COL id VAL nm1287536	COL primaryName VAL Matthew McConaughey COL primaryProfession VAL actor-producer-soundtrack COL id VAL nm0000190	0
COL primaryName VAL Nikos Foskolos COL primaryProfession VAL writer-director-soundtrack COL id VAL nm21961813	COL primaryName VAL Cingiz Abdullayev COL primaryProfession VAL writer COL id VAL nm21958319	0
COL primaryName VAL Megan Gallaghera COL primaryProfession VAL actress COL id VAL nm21964939	COL primaryName VAL Robby Rotfeld COL primaryProfession VAL music_department-editor COL id VAL nm8185241	0
COL primaryName VAL Maho Nagashe COL primaryProfession VAL soundtrack COL id VAL nm21956908	COL primaryName VAL Maho Nagase COL primaryProfession VAL actress COL id VAL nm4335674	1
