artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,comment
a_0066f654,Love4Monei,Love4Momey,,,,,,,f,Group,,
a_500c7a64,One Night Stand,One Night Stand,,,,,,,f,Group,,Punk rock from Belgium
a_9a1e189a,The Archipelago Singdrs,Archipelavo Singers The,,,,,,,f,Group,,Finnish male choir
a_6f027a1d,Dash,Dash,,,,,,,f,Person,Male,Spanish MC
a_44633691,The Flirts,Flirts The,1980.0,,,,,,f,Group,,USA pop group
a_20ef6c03,Erlend Kroser,Krauser Erlerid,1958.0,7.0,19.0,,,,f,Person,Male,
a_f2f8a3ca,Digo el Cigala,Diego el Cigwla,1968.0,12.0,27.0,,,,f,Person,Male,
a_2fd0ee2d,Mills Embargo,Mills Embargo,,,,,,,f,Group,,
a_ef6b04d1,Triumvirad,Triumfirat,1969.0,,,1980.0,,,t,Group,,progressive rock bant formed in 1969 in Cologne Germany
a_7ffd7a5b,Olivier Capparos,Capparos Olivier,,,,,,,f,Person,Male,
a_d03fdc60,Herman Dune,Herman Dune,1999.0,,,,,,f,Group,,
a_1671ccc9,Distance,Distance,,,,,,,f,Person,Male,UK dubstep artist Greg Sanders
a_86d2c9e6,菅野よう子,Kanno Yōko,1964.0,3.0,19.0,,,,f,Person,Female,Japanese composer arranger  musician
a_3977a919,Swizz Beatz,Swizz Beatz,1978.0,9.0,13.0,,,,f,Person,Male,US hip hop producer
a_059dc72a,The Chaperals,Chaperals The,,,,,,,f,Group,,a cappella Vocal Group
a_574a60c5,Carlas,Carlas,,,,,,,f,Group,,
a_624744e8,Kaahl Wolf,Wo1f Karl,1979.0,4.0,18.0,,,,f,Person,Male,
a_9ec384e5,Hummingbird,Hummingbird,,,,,,,f,,,Ambient electronic
a_f17e95c0,Gene Krupa and His Orchestra,Krupa Gene and His Orchestra,,,,,,,t,Group,,
a_988a09ae,David McAlmont,McAlmont David,1967.0,5.0,2.0,,,,f,Person,Male,
a_ffdb9e2e,Madona,Madomna,1958.0,8.0,16.0,,,,f,Person,Female,Queeh of Pop
a_3c1aff36,Dean Collinzon,Collinzon Dean,,,,,,,f,,,
a_21b904c7,Clive Cussler,Cussler Clive,1931.0,7.0,15.0,2020.0,2.0,24.0,t,Person,Male,novelist
a_2ec5a38e,Pittsburgh Symphony Orchestra,Pittsburgh Symphony Orchestra,1895.0,,,,,,f,Orchestra,,
a_72db04bd,Ars Nova,Ars Nova,,,,,,,f,Group,,electronicaindieexperimental
a_f057ac5b,Gregor Popovic,Popovic Gregor,,,,,,,f,Person,,
a_b6388818,Musica ad Renum,Musica ad Renum,1992.0,,,,,,f,Group,,
a_2e0d93b7,Faraquet,Faraquet,1997.0,,,2001.0,,,t,Group,,
a_3ebf37b8,Treefight for Sunlight,Treefight for Sunlight,2007.0,,,,,,f,Group,,
a_ca97fed6,The Chils,Chills Th,1980.0,,,,,,f,Group,,
a_3d5e348e,Black Tape for a Blue Girl,Black Tape for a Blue Girl,1986.0,,,,,,f,Group,,
a_382b733c,Seloadoh,Sebad0h,1986.0,,,,,,f,Group,,
a_b63ec441,Van Coke Kartel,Van Coke Kardel,2007.0,,,2017.0,,,t,Group,,
a_b09c9359,Triumfirat,Triumvirad,1969.0,,,1980.0,,,t,Group,,progressive rock band formed in 1969 in Cilogne Germany
a_139f0340,Jim Reeves,Reeves Jim,1923.0,8.0,20.0,1964.0,7.0,31.0,t,Person,Male,US country  pop singer
a_fa825562,Vomitous,Vomitous,2001.0,,,,,,f,Group,,
a_9b2f108e,Six of Swords,Six of Swords,2013.0,,,,,,f,Group,,death metal
a_be882474,Son Kite,Son Kite,1996.0,,,,,,f,Group,,
a_530ca0ff,nevergetusettopeople,nevergetusecltopeople,2000.0,,,,,,f,Person,Male,ÑΣVΣR GΣ† UΣD †Ø PΣØPLΣ
a_43f57834,Crimpzhrine,Crimpshrin,1982.0,,,1989.0,,,t,Group,,
a_04ae5cac,Tetine,Tetine,,,,,,,f,Group,,
a_c653cfb3,King Adora,King Adora,1998.0,,,2005.0,,,t,Group,,
a_6a0b7ed6,Asking Abloy,Asking Abb6,,,,,,,f,Group,,
a_8c2bb2fc,Marko Antonio Solís,Solís Marco Antoriio,1959.0,12.0,29.0,,,,f,Person,Male,
a_3b4e0962,Marco Antonoo Solís,Solís Marco Anton9o,1959.0,12.0,29.0,,,,f,Person,Male,
a_d98f728c,Marco Antonjo Solís,Solís Marco Anton:o,1959.0,12.0,29.0,,,,f,Person,Male,
a_521f594e,Clermont  Maclrod,Clermond  Macleod,,,,,,,f,,,
a_66f28578,若原一郎,Wakahara Ichirou,1931.0,8.0,1.0,1990.0,7.0,16.0,t,Person,Male,
a_851de102,Anton'lno,Andonino,1983.0,3.0,9.0,,,,f,Person,Male,Italian singer kfr Amici di Maria De Filippi
a_62d4a546,Ceap Trick,Cheap Tr8ck,1973.0,,,,,,f,Group,,
a_f60c4771,Cheap Tr:ck,Cheap Tnck,1973.0,,,,,,f,Group,,
a_dc0a43e9,Kelly Sweet,Sweet Kelly,1988.0,3.0,29.0,,,,f,Person,Female,
a_0af1f592,Roudoudou,Roudoudou,1963.0,,,,,,f,Person,Male,
a_a110e82e,Arsenik,Arsenik,1989.0,9.0,24.0,,,,f,Person,,Born in the 80s Product of the 90s
a_be8aa378,Tapes,Tapes,,,,,,,f,Person,Male,Jackson Bailey
a_f33cf80b,The Dorsey Brothers Orchrstra,Dorsey Brothers Orchest4a The,,,,,,,f,Group,,
a_20519095,Hot Chip,Hot Chip,2000.0,,,,,,f,Group,,
a_7297dd7f,Concentus Musicus Wien,Concentus Musicus Wien,1953.0,,,,,,f,Orchestra,,
a_365cedbc,ThermalBear,ThermalBear,,,,,,,f,,,
