artist_credit,name,artist_count,ref_count,created
ac_ec60ab1b,John Pizzzrelli,1,997,20110516 16321196392900
ac_f49178a3,One Night Stand,1,32,20110516 16321196392900
ac_e2b0f77a,Rust College Quartet,1,14,20120417 14435575027600
ac_68ee871a,The Flirts,1,788,20110516 16321196392900
ac_4e5a40fc,Andrew Powejl,1,375,20110516 16321196392900
ac_8cfe69b1,Andr4w Powell,1,375,20110516 16321196392900
ac_2a9209e5,Swings,1,140,20191101 22503160718900
ac_b6209ec0,Pittsburgh Sympbony Orchestra Lorin Maazel,2,77,20120801 10001289775700
ac_a1fb3287,Franz Schvbert,1,44695,20110516 16321196392900
ac_2a40c437,traditional,1,12181,20110516 16321196392900
ac_cfbb5413,AmyrS,1,4,20130504 20171340146600
ac_fa9fc694,Distance,1,544,20110516 16321196392900
ac_d471d392,clojd,1,53,20110516 16321196392900
ac_a4fb1b00,菅野よう子,1,3958,20110516 16321196392900
ac_c4551969,The CRS Player5,1,648,20120129 22182934110900
ac_80736f3c,Luigi Cheruhini,1,1189,20110516 16321196392900
ac_35b957b7,Carlas,1,32,20110516 16321196392900
ac_b6721e2d,Hummingbird,1,82,20110516 16321196392900
ac_0dbf6d21,Gene Krupa and His Orchestra,1,1585,20110516 16321196392900
ac_50ecc7e6,John Coltrane  Don Cherry,2,100,20110613 23000846054200
ac_adb1025a,Agnes Baltsa Academy of St Martin in the Fields Neville Marriner,3,1,20200922 10214243494800
ac_813e00ce,Clive Cussler,1,4499,20110516 16321196392900
ac_89c8ccfd,Unlo9istic,1,197,20110516 16321196392900
ac_bc6c859f,Unlogistkc,1,197,20110516 16321196392900
ac_0b98ac48,Andy Williarns,1,8582,20110516 16321196392900
ac_7e58bedf,Andy Williajs,1,8582,20110516 16321196392900
ac_c2c16308,Ars Nova,1,14,20110516 16321196392900
ac_fde306b1,Simeon ten Holt Polo de Haas Kees Wiennga Ellen Dijkhuizen Fred Oldenburg,5,2,20180712 0654433946800
ac_d2854230,Toomas Anno,1,1105,20110516 16321196392900
ac_f3dfafda,Faraquet,1,116,20110516 16321196392900
ac_36b7cf45,Treefight for Sunlight,1,117,20110516 16321196392900
ac_862a7d52,Black Tape for a Blue Girl,1,1665,20110516 16321196392900
ac_3fb70224,Van Col<e Kartel,1,142,20110516 16321196392900
ac_87dce567,Van C0ke Kartel,1,142,20110516 16321196392900
ac_a0a99353,Jim Reeves,1,17293,20110516 16321196392900
ac_6b39878b,Vomitous,1,45,20110516 16321196392900
ac_a4d09cfa,Son Kite,1,311,20110516 16321196392900
ac_8f3dd5cc,Randy Wachtler  Billy Kidd,2,8,20111108 21060650982800
ac_0f2ffe91,Claudinho  Buchedha,1,300,20110516 16321196392900
ac_d97ab461,Tetine,1,92,20110516 16321196392900
ac_e0ae7ef4,King Adora,1,149,20110516 16321196392900
ac_54b143a0,David Shirw,1,1293,20110516 16321196392900
ac_4399c710,Marco Antonio Solí5,1,908,20110516 16321196392900
ac_ddff6a4f,Gaetano Donizetti Joan Sutherland Samuel Ramey Susanne Mentzer Jerry Hadley Bernadette Manca di Nissa Orchestra and Chorus of the Welsh National Opera Richard Bonynge,9,3,20170721 08002586657400
ac_f0d708e7,若原一郎,1,21,20110516 16321196392900
ac_de53dddd,Junup,1,366,20110516 16321196392900
ac_6eb4fb13,Antonin0,1,132,20110516 16321196392900
ac_b1961a9b,JAM Proiect,1,2942,20110516 16321196392900
ac_cf0681fe,Mark OConnor,1,960,20130309 21002857304300
ac_b7e5b078,DJ Feelgood,1,18,20110516 16321196392900
ac_ad96e033,Kelly Sweet,1,149,20110516 16321196392900
ac_5c6316d1,Roudoudou,1,221,20110516 16321196392900
ac_742b2cb7,Arsenik,1,32,20110516 16321196392900
ac_74dbf87b,Tapes,1,129,20110516 16321196392900
ac_28426bde,Bujlet Treatment,1,277,20110516 16321196392900
ac_5dcffcda,Hot Chip,1,2417,20110516 16321196392900
ac_09af3eb5,The Spaniels,1,804,20110516 16321196392900
ac_2e72f381,The Smallgoods,1,79,20110516 16321196392900
ac_7d4e6369,Emilia,1,452,20150701 14163977675600
ac_f0376c3a,Corvus Corax,1,1849,20110516 16321196392900
ac_4e4145e6,Jet,1,1419,20110516 16321196392900
ac_6c5f3aa7,Sharon Lois  Bram,1,1141,20110516 16321196392900
ac_65cbeaa5,Johann Bley,1,109,20110516 16321196392900
ac_90f2ee86,Marcia Hines,1,1238,20110516 16321196392900
ac_b75214a0,The CRS Playwrs,1,648,20120129 22182934110900
ac_874267c4,Stendal Blast,1,253,20110516 16321196392900
ac_98233896,Grateful Dead,1,55444,20110516 16321196392900
ac_39e0dd57,Reda Caire,1,60,20190526 08424134967600
ac_6f0ed475,Sakamoto Chlka,1,1,20120610 12593805026300
ac_597635aa,Phil Ranelin,1,309,20110516 16321196392900
ac_3bcfbc9c,Needle,1,36,20110516 16321196392900
ac_44d20cc3,xDisciplex AD,1,200,20110516 16321196392900
ac_ddcdc139,Jenny Wilson,1,267,20110516 16321196392900
ac_e9798ea1,The Revelairs,1,18,20110516 16321196392900
ac_8ea8d546,Karel Svoboda,1,530,20110516 16321196392900
ac_019ca720,Tje Stupids,1,627,20110516 16321196392900
ac_8a39403f,John Valby,1,1395,20110516 16321196392900
ac_674b58f5,Captain  Tenbille,1,1174,20110516 16321196392900
ac_c9b2bab4,Captain  Tennill4,1,1174,20110516 16321196392900
ac_e9940bfe,Reparara  The Delrons,1,212,20110516 16321196392900
ac_d848ea46,Kreld feat Jófríður,2,4,20200314 2158352548900
ac_c929a1e1,Sister Nancy,1,151,20110516 16321196392900
ac_a4905157,Underground Kingz,1,235,20110516 16321196392900
ac_0a18de86,Gefilte Fist,1,658,20120109 00141402647600
ac_1e952f65,Dominic Glynn,1,1321,20110516 16321196392900
ac_06e32ba9,Alexandra Kelly,1,24,20110516 16321196392900
ac_d05bc0da,Bernard Herrmann,1,8719,20110516 16321196392900
ac_1ecce3f2,Asking Abby,1,50,20110516 16321196392900
ac_7be44bf1,Frauke Nshrgang,1,1173,20110516 16321196392900
ac_e0c4628b,Duote2ue,1,128,20110516 16321196392900
ac_925069a1,Persiana Jones,1,364,20110516 16321196392900
ac_8a8054e0,Bob Evans,1,421,20110516 16321196392900
ac_bf2552a6,The P3rceptionists,1,203,20110516 16321196392900
ac_2e8e437c,Épixtète,1,114,20110516 16321196392900
ac_6975e192,Relevant Few,1,104,20110516 16321196392900
ac_85c1b463,Ivan L:ns,1,1634,20110516 16321196392900
ac_ba69164c,Pusbkar,1,143,20110516 16321196392900
ac_a02a73d1,Jason G5ay,1,274,20110516 16321196392900
ac_2044711f,A Hero Nam4d Hope,1,16,20121018 13551175032900
ac_ca34d45e,Piero Piccioni,1,2880,20110516 16321196392900
ac_d7dfb2f6,Die Totej Hosen,1,8154,20110516 16321196392900
ac_428e4ea2,John Fred  His Plavboy Band,1,871,20110516 16321196392900
ac_04abb707,Marianne  Michael,1,398,20110516 16321196392900
ac_e2aaef3c,DRMIS SOUNDSYSTEM,1,50,20220517 2212171253800
ac_2f36225b,Ob0roh,1,94,20110516 16321196392900
ac_6e320c50,Obor0h,1,94,20110516 16321196392900
ac_dc0cffb8,Sean Hvghes,1,88,20110516 16321196392900
ac_809c5fa4,Tad Williams gelesen von Andreas Fröhlich,2,3078,20170516 10120059067200
ac_d881b782,Shandon,1,574,20110516 16321196392900
ac_ab4b81b0,BeeBee,1,46,20110516 16321196392900
ac_c83bddb8,Porn Kings vs DJ Svpreme,2,79,20110516 16321196392900
ac_499c8ba9,Joe Walsh,1,1638,20110516 16321196392900
ac_656d8253,Admiral D,1,28,20110516 16321196392900
ac_cc1b5529,Hatebreed,1,1053,20110516 16321196392900
ac_78949efe,Justeeri,1,51,20110516 16321196392900
ac_6bb7526a,Leslie Howard,1,1492,20110516 16321196392900
ac_1d42c76c,The Gzturs,1,89,20110516 16321196392900
ac_5637fb02,The Gatvrs,1,89,20110516 16321196392900
ac_0cda4226,Christian Flor,1,21,20180510 12515523116200
ac_9c779d65,Taha Khalecl Faudel,3,31,20110516 16321196392900
ac_fab186a5,Samson François,1,792,20110516 16321196392900
ac_d2649893,James Joseph Kalamasz,1,691,20110516 16321196392900
ac_bf316661,LAST ALLIANCE,1,432,20110516 16321196392900
ac_27440fa1,Ÿums,1,72,20220130 11533938268400
ac_312ad8e0,Joe Jackson,1,4647,20110516 16321196392900
ac_19b8cf8c,Halia Meguid,1,24,20130909 09431702446800
ac_37b2e266,Asheritide,1,10,20130302 00181012596800
ac_69a7ae88,Wolf Ran Heart,1,22,20130307 1633309380900
ac_2749fcff,Maris Muldaur,1,1546,20110516 16321196392900
ac_ba56213c,Aerosmith,1,14045,20110516 16321196392900
ac_98e19568,AZ,1,1014,20110516 16321196392900
ac_feb7f80b,Aphrodesia,1,112,20110516 16321196392900
ac_1d765762,Johbny Cash,1,37645,20110516 16321196392900
ac_2fb27850,Patrick Sébastien,1,1035,20110516 16321196392900
ac_fd989fd1,Jody Watley,1,887,20110516 16321196392900
ac_badf115a,Salif Keita,1,900,20110516 16321196392900
ac_9759ff10,Schnuckenack Reinhardt Quintett,1,438,20110516 16321196392900
ac_d3b1eedc,Goldie Lookin Chain,1,711,20110516 16321196392900
ac_4a2a12c5,The Year Of,1,24,20110516 16321196392900
ac_afc8333a,Clam Chowder,1,260,20110516 16321196392900
ac_a826673f,Basil Poledouris  Hans Zimmer,2,47,20130118 11404792862900
ac_211838d7,Various Artists,1,454651,20110516 16321196392900
ac_a56e2a3a,Sally Batker,1,240,20110516 16321196392900
ac_b3705409,Vanessa Daou,1,477,20110516 16321196392900
ac_0d34f9fb,Klaus Harmony,1,280,20110516 16321196392900
ac_b6b315fc,Liane Foly,1,589,20110516 16321196392900
ac_29d97bdf,Glen Campbell,1,7565,20110516 16321196392900
ac_d049c9ac,Sall7 Barker,1,240,20110516 16321196392900
ac_39e6e246,Linda Lewis,1,739,20110516 16321196392900
ac_96271402,Sertab Erener  Voice Male,2,2,20120506 12001478121700
ac_3af07ccf,Alain Caron JeanMarie Ecay Didier Lockvvood,3,32,20110516 16321196392900
ac_7ff13651,Norah Jones,1,5329,20110516 16321196392900
ac_e0045b9a,Crawling Chao5,1,69,20110516 16321196392900
ac_70a23262,Katherines Favorites,1,27,20110516 16321196392900
ac_2c8096d7,Savage,1,13,20110516 16321196392900
ac_e50872c8,Lennie Dale  O Sambalanco Trio,2,1,20150527 04032019841100
ac_731eeaed,324,1,171,20110516 16321196392900
ac_cb159c95,Senmuth,1,5130,20110516 16321196392900
ac_11e12b8a,Michał Bajor,1,714,20110516 16321196392900
ac_eebc21b3,Sergej Auto,1,127,20110516 16321196392900
ac_b2af2c89,Little Richard,1,12100,20110516 16321196392900
ac_bc63d1e0,Django Reinhardt,1,19589,20110516 16321196392900
ac_4ba3841e,Danças Ocultas,1,152,20110516 16321196392900
ac_71be4db8,Morning Haze,1,80,20200131 17314264194700
ac_c17c5fb4,CV Jørgensrn,1,755,20110516 16321196392900
ac_ac398cd6,Χρόνης Αηδονίδης,1,205,20110516 16321196392900
ac_d8089c55,STARFIRE,1,66,20150606 23584041110100
ac_beb9ad29,Cha0sOrder,1,40,20110516 16321196392900
ac_3c0b4a9e,ChaosO5der,1,40,20110516 16321196392900
ac_b5374f65,Bad Ha9gis,1,93,20110516 16321196392900
ac_133ce11c,El Noi Del Sucre,1,136,20141219 01204850729500
ac_644ec161,Michikp Ogawa Trio,1,30,20130310 07591482821400
ac_e5396602,Château Flight,1,285,20110516 16321196392900
ac_428d41e3,Charlie Clouser,1,1209,20110516 16321196392900
ac_e40405f2,Angelica May Česká filharmonie Václav Neumann,3,5,20171125 16011510528100
ac_c16f579c,dead prez,1,897,20110516 16321196392900
ac_5a341855,Guem,1,571,20110516 16321196392900
ac_4cc40328,Ganaian,1,24,20110516 16321196392900
ac_752e03fc,Deformatorv,1,70,20140113 1317004533500
ac_57216262,Lola Lago Detec6ive,1,48,20110516 16321196392900
ac_45743626,Raul de Souza,1,163,20110516 16321196392900
ac_ccb0c893,Keith Porteous,1,170,20210816 01150118638100
ac_82507fc3,Simon Stewart,1,1210,20110516 16321196392900
ac_ed4de58d,Quadra,1,161,20110516 16321196392900
ac_202ebbcb,Laurent Garnier,1,1801,20110516 16321196392900
ac_2bfc787b,Ligita KursišaPataša,1,70,20130604 20451432332800
ac_50eaf436,Dark at Dawn,1,219,20110516 16321196392900
ac_fe05bc26,manmachineindustry,1,134,20110516 16321196392900
ac_73704b0d,Emdi VAYAN  Bareen Gates feat Joseph Feinstein,4,4,20210522 1141595124400
ac_8ab836d3,Cris Cab,1,199,20121120 12260050900
ac_6fe6302e,Qvadra,1,161,20110516 16321196392900
ac_5d98ac53,The Four Fresbmen,1,1520,20110516 16321196392900
ac_d952ae16,Clam Chovvder,1,260,20110516 16321196392900
ac_45a41064,The Bluerunners,1,146,20110516 16321196392900
ac_6f3bfe7f,Lazzi,1,33,20110516 16321196392900
ac_6f4e622d,Deadliner,1,480,20110516 16321196392900
ac_f466071f,Sevendust,1,1453,20110516 16321196392900
ac_9f1be467,Zachary Allen,1,26,20110516 16321196392900
ac_4394c84d,Maria Caolas,1,4887,20110516 16321196392900
ac_5adbfe09,Liberty Christian Church,1,26,20110516 16321196392900
ac_69f7d1ac,Stockholms Negrer,1,128,20110516 16321196392900
ac_8da842a6,Freddie Jackson,1,1076,20110516 16321196392900
ac_3dc95c46,Della Bosiers,1,32,20110516 16321196392900
ac_b27d6009,Smokey Robinson  The Miracles,1,3156,20110516 16321196392900
ac_733b6c78,Hecenoa,1,29,20110516 16321196392900
ac_4a719293,Slapshot,1,465,20110516 16321196392900
ac_4f84e2f5,Vince Gabriel,1,480,20110516 16321196392900
ac_771b9c4a,Philippe Pascale,1,46,20120420 08430353844700
ac_d6641561,Fl8ke,1,884,20110516 16321196392900
ac_6c4c0b39,Flike,1,884,20110516 16321196392900
ac_1ae8a8a1,Raison Varner,1,144,20110516 16321196392900
ac_57d05709,Systeiii F,1,1446,20110516 16321196392900
ac_e90e904c,Annihilator,1,2877,20110516 16321196392900
ac_a5f83c11,Farside,1,182,20110516 16321196392900
ac_3bd96d89,Tripod,1,562,20110516 16321196392900
ac_c6bbe4a1,Gossos,1,462,20110516 16321196392900
ac_e75c24e4,Complys,1,22,20110516 16321196392900
ac_a6230869,青野武,1,10,20170225 06560282273200
ac_43867fc0,Los Fabulosos Cadillacs,1,1880,20110516 16321196392900
ac_9c8d97ad,Johann Sebastian Bach Lq magnifica comunità,2,2,20171219 13002350642200
ac_fdf5fcbb,Bryan Adams,1,6995,20110516 16321196392900
ac_5c51b0a4,Vermin,1,61,20110516 16321196392900
ac_77e8fc13,Supabond,1,50,20110516 16321196392900
ac_4d14aa54,Jerry Goldsmith,1,22843,20110516 16321196392900
ac_ec4c5956,Hywel Maggs  Justin Myers,2,474,20110516 16321196392900
ac_c7e5140c,Emdi VAYAN  Barren Gate5 feat Joseph Feinstein,4,4,20210522 1141595124400
ac_607cd00d,TUPPERWAVE,1,687,20190403 12034449006100
ac_c8973d58,AQUAPLUS,1,788,20111225 23280035121300
ac_26d1544a,Dollar,1,1291,20110516 16321196392900
ac_d4b976b8,E1vis Costello,1,5802,20110516 16321196392900
ac_3287b923,Echo Orbiter,1,40,20110516 16321196392900
ac_e01a02b3,Nacho Rodrígiez,1,62,20130211 01003290550800
ac_1819283a,Nacho Rodrí9uez,1,62,20130211 01003290550800
ac_483bbdd8,WuSyndicate,1,82,20190222 180442955700
