artist_credit,position,artist,name
ac_cf34e906,0,a_03615122,Hunter
ac_a88e326a,0,a_a81d3224,AG
ac_4ba3841e,0,a_1b5673fb,Danças Ocultas
ac_be131c25,0,a_64db4348,Табула Раса
ac_f04c78f9,0,a_2583120c,_ensnare_
ac_0d4cbed9,0,a_e72e0199,Nico Fidenco
ac_cd8c0fbc,0,a_c4e6a7e3,Bettye LaVette
ac_91dd8a33,1,a_842004c6,André Dussollier
ac_91dd8a33,0,a_6f272ac2,Hélène Bleskine
ac_0cda4226,0,a_c31b5e57,Christian Flor
ac_0bd4969e,0,a_e5e1c25c,PostScriptum
ac_db0ec87d,0,a_7b49ca8e,The Ink Spots
ac_9eb7754e,0,a_8e1d8ac6,Téada
ac_29d97bdf,0,a_88a65404,Glen Campbell
ac_a9fd6153,0,a_1f56beed,Metallica
ac_41cbf988,0,a_e1d2e977,Andrei Eshpai
ac_0ef56bd3,0,a_e7a4cc3a,Pete Renton
ac_2ed79acb,0,a_bbad3538,Pēteris Vasks
ac_c26cb749,0,a_65cd9ebb,Deela
ac_80295681,0,a_24086649,Sun YanZi
ac_d1c0ae4e,0,a_6c3a0e57,Miserylab
ac_14574550,0,a_65c88ce3,The Lightning Seeds
ac_3268d14e,0,a_16e1d4c1,William Perry
ac_34a8d2ac,0,a_c81154fb,Sanalejo
ac_78c51b82,0,a_34c86c38,Myon
ac_8d664a05,0,a_8631cb47,王新蓮
ac_8d664a05,1,a_6b53eadf,鄭華娟
ac_4880537d,1,a_b64e955d,The Night Heron Consort
ac_4880537d,0,a_73057e91,Steve Schuch
ac_719dbfb7,0,a_4e027a5a,Milla Kay
ac_ea499980,0,a_72625bee,The Step
ac_5e33890b,0,a_024a8316,Franklin Bruno
ac_f87a0b0e,0,a_67bfa047,Marenne
ac_d13f5e56,0,a_66c22d0a,Tamarisk
ac_4e50b6d9,0,a_798a0329,Voice of a Generation
ac_29388932,0,a_d967a0c1,Μαρία Φαραντούρη
ac_16fe9aa2,0,a_df8a322d,Zack Tempest
ac_008f472e,0,a_45088f21,Rosanne Cash
ac_e5f06033,0,a_04e8aa2c,John Ernest Galliard
ac_b49a3900,0,a_c51bd324,Maya de Vitry
ac_3c211a98,0,a_094a7b59,The Beach Boys
ac_3255e1bf,0,a_c30e8ead,Pete Lockett
ac_04b81679,0,a_6569ec0b,Ted Heath  His Orchestra
ac_63fbd8b0,0,a_70280e34,Κώστας Τουρνάς
ac_63fbd8b0,1,a_41c733c0,Σοφία Αρβανίτη
ac_b7762ab7,0,a_b63a0bfa,US Air Force Band of MidAmerica
ac_9033cb70,0,a_4d8bd0d6,Jochen Flach
ac_de84dabb,0,a_99163568,Ojo Rojo
ac_7e1a5a04,0,a_0ebda7a2,Hal Lindes
ac_63341424,0,a_07ec3317,Drama
ac_6edc7876,0,a_937c3fb7,林笛
ac_a3283c45,0,a_65696db5,Brad Knauber
ac_3aba85f0,0,a_d648bd9a,Léo Ferré
ac_0ab2e942,0,a_d5b94e0f,Diary of Dreams
ac_1a933b43,0,a_90156b57,Apollo
ac_ae6bdea4,0,a_e4846e9c,Oboroh
ac_29b60f2d,0,a_331609a6,Loop
ac_ac1202ff,0,a_40074649,Jesse Belvin
ac_2ae1fe58,0,a_74bb6683,NoNeck Blues Band
ac_135a9b61,0,a_026430e8,Marquess
ac_ab8bb9e7,0,a_0d8787b8,美輪明宏
ac_a92b6012,0,a_5b292b18,Georg Friedrich Händel
ac_56a982bf,0,a_fb1fb659,Skinny Puppy
ac_2d18df34,0,a_546fc7ad,Alan Kwan Quartet
ac_68372cec,0,a_47d5d05a,Magic Box
ac_d7416265,0,a_78684df6,Railis People
ac_42aff99e,0,a_c0d7a60a,The Clientele
ac_0bda2ac1,0,a_ce772177,Volker Klüpfel  Michael Kobr
ac_dfeb5914,0,a_999fd4f0,Manau
ac_28dc632e,0,a_7893ed42,Galleon
ac_47d38b90,0,a_8a26fa89,Virgil Fox
ac_1230727d,0,a_7ebd4c29,Dr Sin
ac_7107f248,0,a_0fa0e109,Lea Lu
ac_b91d99f2,2,a_4e0b5949,Brandon Roberts
ac_b91d99f2,0,a_4f7cffa0,Marco Beltrami
ac_b91d99f2,1,a_956527c7,Buck Sanders
ac_3bfbb592,0,a_f363c36a,ハレンチ☆パンチ
ac_4f3faa71,0,a_c8a03e60,Minuit
ac_43bd0dfb,0,a_cd0450cc,David Hubbard
ac_438c69d6,0,a_f7381889,The Channels
ac_a3578d63,0,a_b7cab9d6,Scrunter
ac_256199ae,0,a_cfca1a62,Drunk Vision
ac_1c20d92a,0,a_1fddb13b,Willi Weitzel
