label,name,label_type,ended
l_825aa41e,Boom Service,Publisher,f
l_a12b2d95,Plain Disguise,,f
l_36e8f2cf,Maiden Name Records,,f
l_a4340eea,PHU Violetta,,f
l_35af8493,Sound on Sound,,f
l_fbfc328d,Sovnd on Sound,,f
l_9a86618a,Jatshaus,Production,f
l_05591af5,Secret Land Music,,f
l_265f3a71,Omerta Mujic Group,,f
l_6e722aa6,giraffe boy,,f
l_41bbd4e5,MGrayeyard,Original Production,f
l_07d255f8,Sunday Mirror,,f
l_40296a26,KAIWARECORD,,f
l_82c48fd9,Dark Site MGMT,,f
l_d29a5b7c,MAW Woahds Publishing,Publisher,f
l_b1edd830,MAW Words Publising,Publisher,f
l_bb01cdba,Family Grooves,,f
l_3f8e3c2b,Grotesque DRK,,f
l_3b5f85e2,Edizioni Pelago,,f
l_456bd0bb,欧乐文化,,f
l_17744ea4,DreamWorks Urban,Imprint,f
l_c9081e4a,Riot Squat,,f
l_e7aed525,Riot Squas,,f
l_42fcb7a0,Cold Ways,,f
l_79bb3431,Hyper Utesov Records,,f
l_64585ac2,Nuclear Waste Records,,f
l_58156b22,Rock Express Records,,f
l_cb4185eb,Sheer Agrica,,f
l_0a036678,House of Gaga Publish:ng LCC,Publisher,f
l_e55a5fd4,NRG Komrads,,f
l_26d13bb0,Pacini Sound Factory,Imprint,t
l_ea3c74a4,Vincion Record5,Original Production,t
l_c71224d7,Vinci0n Records,Original Production,t
l_a1c782c3,Facernelt Records,Publisher,f
l_8f7ac4e3,Nova Lark Music,Publisher,f
l_a3541012,Flagg Records,Original Production,f
l_f215c5c7,Irving Caesar Inc,Publisher,f
l_e55bd078,Kalifornia Dreamin Entertainment,,f
l_c314d52e,Magic Disc Records,Original Production,f
l_f79b69b1,Mon Mothma Recordings,,f
l_99cfd7a4,Upper Left Side Music,Original Production,f
l_591ad471,Perfect Prescriptions,,f
l_e38a2788,Pastels,Imprint,f
l_9c875eaf,Soundmalfunction Recordings,,f
l_2e196640,PRVTC,,f
l_e9ef7b6f,Tentcrest Ltd,Holding,t
l_d29de0e7,WordS0und,Original Production,f
