label,area
l_825aa41e,b_39848c1c
l_36e8f2cf,b_0eb8b008
l_9a86618a,b_f52429f8
l_05591af5,b_a2f3b9e4
l_6e722aa6,b_e64c894c
l_41bbd4e5,b_1dae07b0
l_40296a26,b_1dae07b0
l_d29a5b7c,b_39848c1c
l_b1edd830,b_39848c1c
l_bb01cdba,b_ccae973d
l_c9081e4a,b_39848c1c
l_e7aed525,b_39848c1c
l_42fcb7a0,b_6bc660b9
l_58156b22,b_0ea7314d
l_cb4185eb,b_f6a17cc5
l_0a036678,b_39848c1c
l_26d13bb0,b_1dae07b0
l_8f7ac4e3,b_0d4a9d57
l_a3541012,b_39848c1c
l_e55bd078,b_39848c1c
l_c314d52e,b_403d25b6
l_99cfd7a4,b_2d499a6c
l_591ad471,b_4074ac69
l_e38a2788,b_f52429f8
l_9c875eaf,b_7aae3e0e
l_e9ef7b6f,b_4074ac69
l_d29de0e7,b_39848c1c
l_0023ddcf,b_39848c1c
l_c851c7df,b_f52429f8
l_10602662,b_39848c1c
l_532cc355,b_1dae07b0
l_86d93ed4,b_e3591130
l_ba0aa561,b_e3591130
l_f97a1b4b,b_f52429f8
l_2e79e0c2,b_f570f7b0
l_a5c61678,b_4b62a7e2
l_253d892d,b_502ef140
l_d663f2f2,b_39848c1c
l_71ecb2c4,b_ebda7216
l_f10d2a88,b_f52429f8
l_56bad376,b_21ac6f70
l_597a321e,b_f52429f8
l_2282f939,b_ce1be18d
l_e66697ee,b_39848c1c
l_6a6745b2,b_07ed3f6c
l_5cf8349f,b_39848c1c
l_5c330bb4,b_4a77ad07
l_f58896e8,b_4a77ad07
l_ade8fe52,b_502ef140
l_5c405919,b_502ef140
l_f1085466,b_ebda7216
l_6ca4cd15,b_ebda7216
l_9cc154db,b_39848c1c
l_df7981dd,b_4074ac69
l_4156fa7c,b_ed8e45c5
l_88ae0f80,b_1dae07b0
l_4d4c9bef,b_4074ac69
l_0e3ed489,b_5ea22ab0
l_1cb7b289,b_39848c1c
l_3be366bf,b_ab620a5f
l_600075f0,b_2d499a6c
l_cbc74071,b_39848c1c
l_2e413164,b_39848c1c
l_b7fa5c8b,b_39848c1c
l_fa4056c0,b_f52429f8
l_5dc03820,b_5729a57a
l_0e3f80d7,b_e988dad0
l_885ce5ee,b_bd97d130
l_bcd5bb42,b_f52429f8
l_3dfe78e7,b_f52429f8
l_63a70c3e,b_96c57021
l_b7278d97,b_1dae07b0
l_cf92df74,b_3658da94
l_9486c51b,b_e149f9aa
l_f0902d6d,b_dc169a51
l_203144e2,b_4074ac69
l_1037eb3c,b_39848c1c
l_bebbd222,b_2d499a6c
l_dc846d69,b_ebda7216
l_049cc077,b_2a96a3e3
l_25f46a82,b_bdba2290
l_5ede21cd,b_83a4a649
l_68206469,b_151fed68
l_96bec5c3,b_d382c699
l_0fabb227,b_1625598f
l_bfb7c90d,b_50baad02
l_e65331c2,b_f52429f8
l_2f43a8de,b_1dae07b0
l_acb69035,b_d8c01409
l_8055192a,b_d8c01409
l_cd01e722,b_69681970
l_69d9d15b,b_b2abedde
l_b7f163cb,b_39848c1c
l_d6e83687,b_39848c1c
l_b9f5fe58,b_7aae3e0e
l_ebb0d80c,b_59819ac0
l_6a9dded1,b_39848c1c
l_e5b8eac8,b_4bccae95
l_affb1080,b_403d25b6
l_13a71f90,b_ebda7216
l_6863f340,b_39848c1c
l_02eb690a,b_1dae07b0
l_7b85b674,b_2d28a2ce
l_4bbfa42f,b_151fed68
l_e616386b,b_1dae07b0
l_bb61ea05,b_3a25d789
l_7416dc00,b_3a25d789
l_043195cd,b_8579c390
l_a40d8f76,b_aaa29940
l_527ec3ba,b_aaa29940
l_87209416,b_4074ac69
l_17d0f838,b_39848c1c
l_4c2d1dc4,b_7fe55b00
l_9a2b5a42,b_0024f118
l_7bf7c08e,b_39848c1c
l_6a66d609,b_fc313b2d
l_0a01ab4c,b_d5505ffa
l_89c932d4,b_e3591130
l_a0f11cc5,b_28e511f5
l_30471cc5,b_28e511f5
l_1bdd7792,b_39848c1c
l_be9d1d46,b_b2169030
l_1320c873,b_0c38d199
l_2d02bb9e,b_4074ac69
l_3c31d74a,b_1dae07b0
l_e19f53c2,b_f0532f5b
l_cc4673c7,b_4074ac69
l_af33da2f,b_bffe3505
l_7dfe8326,b_4074ac69
l_d6ed8b90,b_39848c1c
l_f2acd8a1,b_39848c1c
l_72c05e0d,b_1d339971
l_f178dc37,b_1dae07b0
l_f4e583a4,b_f52429f8
l_876b294b,b_39848c1c
l_f05e78a1,b_2d499a6c
l_f59d7d8f,b_1625598f
l_240789c7,b_39848c1c
l_cea07f7e,b_39848c1c
l_b098016e,b_4074ac69
l_fa1c7ac2,b_f4bcefa2
l_5f5b448c,b_89589199
l_5098e0cd,b_1dae07b0
l_ac43dcea,b_1dae07b0
l_26eff511,b_7aae3e0e
l_18629b0f,b_39848c1c
l_ee89f4f0,b_39848c1c
l_c5153925,b_39848c1c
l_6e202752,b_4074ac69
l_ef3fb51f,b_1dae07b0
l_5167af25,b_0eb8b008
l_3fbf88c1,b_ce1be18d
l_95003f43,b_2d28a2ce
l_df987c92,b_39848c1c
l_22aba8ba,b_39848c1c
l_39500a1c,b_39848c1c
l_c1b43358,b_4074ac69
l_cca5f103,b_4b62a7e2
l_66261116,b_87a329b8
l_2d2de2fe,b_f52429f8
l_5acabf2f,b_1625598f
l_bed993b0,b_aaa29940
l_70662ab0,b_925c5431
l_d4f5c7ed,b_7aae3e0e
l_979aac57,b_ebda7216
l_3f06098d,b_7aae3e0e
l_c072be2b,b_2d499a6c
l_a24d7269,b_1625598f
l_32306efb,b_0eb8b008
l_74c55094,b_39848c1c
l_86cfd546,b_1dae07b0
l_f6896755,b_0a64852a
l_16b4dd92,b_f6a17cc5
l_964d95a5,b_39848c1c
l_a7c170ae,b_3ac82602
l_73124d15,b_403d25b6
l_d4740c19,b_4074ac69
l_ef4e37b6,b_3631a795
l_1e5ba119,b_3631a795
l_e3fae28b,b_f52429f8
l_cc608711,b_ce1be18d
l_7cd1fab8,b_7fe55b00
l_d7a3f099,b_4074ac69
l_343d4abc,b_39848c1c
l_4173829a,b_50baad02
l_6b79f86b,b_1dae07b0
l_56bf40ee,b_dc169a51
l_043998c0,b_dc169a51
l_a44cd971,b_22833a68
l_fb66af01,b_f0532f5b
l_fb27fd2c,b_f0532f5b
l_329c91dd,b_c49e4eef
l_fc115ddc,b_6e5ee01f
l_895d233b,b_f52429f8
l_e2098127,b_e52068fb
l_8db15a67,b_cbc661f0
l_a443d3c2,b_4911acd4
l_3f96743c,b_e8eeb28e
l_ec052521,b_e8eeb28e
l_7a8448d7,b_1dae07b0
l_267a93d9,b_39848c1c
l_d1e3b46e,b_1dae07b0
l_cd3d44fa,b_87a329b8
l_b9adbc9e,b_145b9c17
l_f5a9d1ce,b_39848c1c
l_39759890,b_27845948
l_40c55b4e,b_f52429f8
l_5c96dded,b_ebda7216
l_4b45abad,b_7aae3e0e
l_d44875b4,b_39848c1c
l_f16f5ec9,b_4074ac69
l_435b148f,b_39848c1c
l_98643b1e,b_39848c1c
l_a5ef1fa2,b_bba611cb
l_b9bf4830,b_69681970
l_a4928ef3,b_f246006f
l_88a7344d,b_1dae07b0
l_d76d332c,b_e52817e4
l_68f31289,b_5dec3ce8
l_cf8ba261,b_5dec3ce8
l_6bdd0434,b_39848c1c
l_fdc54595,b_39848c1c
l_1ec36ec3,b_e66f5e1c
l_80e497b2,b_e66f5e1c
l_35eec0fe,b_3684e251
l_f7602d48,b_0eb8b008
l_a50a879e,b_39848c1c
l_59f2884d,b_39848c1c
l_c081b988,b_8529e379
