medium,position,format,track_count
m_49452d95,1,1.0,14
m_8f623a74,2,1.0,16
m_be2dfbe8,1,12.0,28
m_ff572cae,1,1.0,20
m_80ff3b3c,1,1.0,11
m_05ab6e75,1,12.0,283
m_797409a3,1,1.0,12
m_e8d24524,1,1.0,12
m_fe50f48a,1,,2
m_8192f254,1,,13
m_8aaab3c7,1,1.0,8
m_394d7206,1,1.0,10
m_e037b41a,1,1.0,13
m_c3bd5209,1,1.0,13
m_2c305c44,1,,11
m_f03a85f4,1,1.0,5
m_f846d159,2,1.0,16
m_f3e8fc82,1,1.0,13
m_a6ae0822,3,12.0,15
m_15a0e4b0,1,8.0,4
m_06b6b73f,1,1.0,8
m_dca89c59,1,12.0,33
m_dfa82e84,1,1.0,17
m_49df6e5a,1,1.0,8
m_a4b5d574,1,1.0,20
m_cb560a8c,1,1.0,4
m_f0cbb0b9,1,,15
m_6721c210,1,8.0,6
m_e33ba81d,1,,24
m_f970d848,2,1.0,20
m_e432e7b9,1,12.0,11
m_694e6ae8,1,1.0,12
m_61ef4c84,1,31.0,11
m_5821692a,1,1.0,35
m_f3698b18,1,1.0,2
m_f5882851,1,1.0,10
m_ed59d027,1,12.0,4
m_d6120a6b,1,,11
m_f35c4be6,1,1.0,10
m_4872624f,1,12.0,134
m_3b5714fe,1,,36
m_173cfc8b,2,1.0,13
m_5bba13f9,1,1.0,11
m_01e390a3,1,12.0,11
m_618ccc50,1,,20
m_7f9e1bfe,1,1.0,12
m_9fe086d1,1,8.0,13
m_654d0c7c,1,,14
m_7d84928f,2,1.0,15
m_9cf9537d,1,1.0,13
m_5a8b3e74,7,1.0,11
m_3165c3ed,1,1.0,10
m_6ece1db5,2,1.0,10
m_744de01d,1,1.0,12
m_976dde52,1,1.0,12
m_13d4d793,1,1.0,19
m_fb7171b0,1,,9
m_4947a7ab,1,,10
m_78c38295,1,1.0,11
m_eeea7ae0,1,7.0,9
m_a6d6f3db,1,1.0,8
m_a81b6543,1,31.0,9
m_d1d5b1ed,1,1.0,11
m_733e3423,1,1.0,12
m_a8f6c22a,1,1.0,12
m_ad05212f,1,,13
m_1eaf481c,1,,21
m_223afe3f,1,7.0,9
m_c31d2c8f,1,1.0,12
m_d016bae5,1,1.0,13
m_799d93e0,1,1.0,14
m_3b99e5bc,1,1.0,99
m_9276079d,1,1.0,12
m_17b5c39f,1,1.0,14
m_a9d1d1b6,1,1.0,13
m_50926ce2,3,1.0,20
m_80dca9a6,1,1.0,7
m_61e26f55,1,29.0,3
m_1cab2cb6,1,31.0,9
m_197a0aca,1,,13
m_3f0fa2fb,1,1.0,19
m_42161a07,1,,11
m_9792a81c,1,1.0,17
m_549435d3,1,12.0,30
m_fc6d65ec,1,1.0,12
m_498e1fbc,1,1.0,19
m_6216d5e9,1,1.0,15
m_243fb6c8,1,31.0,3
m_1c13e1c3,1,1.0,10
m_5ad0b984,1,,14
m_430b19b6,1,1.0,16
m_e8b7c8c1,1,1.0,15
m_1c655d5b,1,1.0,16
m_014a1407,1,1.0,18
m_e33b7462,1,,12
m_061197c2,1,12.0,22
m_726fb5f6,1,,30
m_5ca7f7f9,1,1.0,4
m_1087d9c1,1,1.0,25
m_43c48581,1,,22
m_f4ed29bf,1,,19
m_052b79c0,1,1.0,12
m_76f598cc,1,,4
m_2cea564f,1,7.0,8
m_1c61a389,1,1.0,59
m_67e9582a,2,1.0,18
m_bf82485c,1,12.0,11
m_ea9d2b02,1,1.0,15
m_a228c5c8,1,1.0,11
m_66421ef5,1,,13
m_98ce3f75,1,29.0,2
m_9cf3c6c8,1,,8
m_4ffe69e2,1,29.0,2
m_c34a3fef,1,1.0,8
m_5dd5ae58,1,,16
