1,2
m2946,m2278
m346,m2605
m1633,m1634
m3662,m1865
m3464,m1666
m1553,m1432
m3568,m366
m507,m902
m2687,m1375
m2473,m2444
m703,m2854
m3755,m3003
m148,m2510
m2292,m2290
m2043,m2685
m2985,m1301
m1172,m3803
m1493,m2332
m2927,m3269
m1844,m3563
m289,m2465
m327,m3891
m962,m2493
m1706,m910
m3067,m2544
m3703,m2679
m2758,m2693
m1194,m2172
m1062,m2303
m2326,m515
m1686,m2867
m2696,m1975
m3218,m2017
m1805,m3042
m3529,m3699
m3019,m3711
m3158,m821
m3770,m1248
m914,m918
m379,m2706
m2290,m1008
m1372,m3243
m2253,m3839
m1007,m953
m1103,m3241
m1645,m1595
m2133,m506
m856,m2577
m2199,m3406
m850,m1711
m1684,m2867
m1075,m293
m2176,m550
m2648,m1585
m2340,m2592
m2668,m249
m3492,m3065
m1322,m2565
m921,m41
m3062,m1548
m1252,m3068
m492,m1136
m3016,m653
m95,m1195
m2848,m2591
m1408,m3310
m1308,m1128
m81,m2202
m276,m3141
m1500,m3214
m2700,m3461
m1959,m2165
m1465,m314
m3425,m637
m1588,m655
m500,m1678
m3367,m1376
m3510,m3511
m2540,m664
m2540,m3003
m3375,m3395
m3838,m2549
m3056,m3054
m1853,m1306
m1366,m22
m3819,m3700
m1756,m3777
m3743,m538
m2131,m3694
m3597,m1621
m270,m2851
m2308,m1680
m858,m2916
m1421,m3742
m1592,m112
m3299,m2806
m1900,m3496
m38,m941
m141,m2637
m1318,m1854
m3465,m2546
m159,m3172
m1941,m1838
m202,m2669
m597,m1247
m3811,m1184
m3069,m3344
m437,m1088
m3043,m77
m581,m752
m2254,m176
m768,m175
m3128,m2729
m2175,m1644
m1876,m3759
m2753,m1828
m99,m2304
m3018,m1494
m657,m1546
m1534,m1258
m388,m3904
m1830,m2366
m972,m235
m3826,m739
m557,m1139
m1857,m2589
m1120,m2183
m1515,m3440
m2414,m1201
m3664,m3580
m3271,m1195
m3746,m3884
m2149,m2117
m3027,m3713
m317,m188
m2011,m1935
m3341,m637
m3225,m2145
m1686,m1684
m1003,m2266
m2864,m661
m1059,m1634
m350,m2341
m2528,m3045
m715,m3289
m890,m3720
m2361,m36
m729,m3070
m282,m2160
m75,m2974
m3457,m1111
m1357,m678
m3714,m536
m1976,m3725
m3521,m965
m3062,m1549
m3092,m367
m583,m3088
m95,m3271
m1645,m1643
m3518,m1873
m897,m2954
m2273,m1921
m1369,m3874
m3688,m493
m2449,m1780
m3231,m1281
m1143,m1147
m1178,m0
m113,m1219
m1933,m2192
m2324,m2428
m1390,m1013
m3594,m1909
m2227,m865
m1919,m1631
m3600,m496
m3246,m774
m3728,m3881
m1205,m2048
m2213,m35
m2945,m667
m2319,m2208
m1326,m1784
m3089,m889
m3518,m3519
m3873,m3240
m1192,m418
m1158,m2942
m2366,m2368
m438,m2070
m557,m556
m1018,m1155
m664,m3755
m1650,m1081
m2005,m2750
m1638,m3340
m2934,m2933
m2414,m1199
m1935,m2374
m3001,m3002
m1608,m3731
m2732,m732
m933,m1456
m2970,m1505
m1916,m1384
m499,m3576
m2622,m2496
m1152,m2755
m2672,m912
m3771,m2121
m2065,m868
m1685,m264
m703,m3779
m3875,m3366
m3120,m3489
m231,m3377
m3799,m2804
m26,m3677
m1820,m1056
m1316,m2331
m1660,m1790
m3146,m314
m1734,m621
m2154,m728
m121,m3331
m739,m1857
m1307,m1201
m561,m559
m780,m1513
m1691,m82
m2854,m3779
m2684,m3249
m339,m2895
m1942,m102
m1406,m3788
m1292,m1012
m1235,m305
m909,m3185
m1107,m3510
m1424,m3173
m2666,m2665
m3788,m743
m2292,m56
m3180,m2293
m2031,m3683
m2379,m1852
m1406,m743
m2928,m1603
m2083,m3526
m1897,m3836
m3253,m3252
m1658,m1947
m3588,m1800
m3253,m2068
m1563,m3510
m3751,m3682
m1934,m3263
m3056,m3057
m1844,m2708
m1084,m2787
m1343,m376
m2023,m614
m2088,m1761
m282,m561
m2045,m351
m780,m783
m3177,m2751
m1490,m1872
m3339,m401
m375,m1718
m3376,m2547
m3515,m1958
m1146,m1591
m1959,m2164
m2063,m2524
m2288,m1431
m463,m1499
m2191,m3020
m3508,m1740
m3430,m1162
m1499,m462
m987,m1331
m2093,m3258
m874,m3867
m93,m841
m2542,m781
m3851,m1164
m1139,m556
m2445,m3544
m1307,m1199
m457,m986
m3338,m1628
m1602,m2074
m2530,m2529
m1931,m917
m3760,m498
m169,m1480
m1548,m1549
m3083,m1562
m1894,m3208
m3093,m1439
m1851,m164
m383,m3051
m1744,m3585
m2998,m2037
m888,m3776
m2044,m672
m417,m1564
m2073,m1470
m2964,m3185
m1266,m1906
m1451,m1015
m459,m3236
m145,m2846
m3229,m1257
m1830,m2367
m1121,m649
m27,m3014
m2069,m528
m2080,m3806
m23,m337
m2364,m1064
m3527,m414
m3264,m3901
m1084,m774
m2649,m342
m2938,m794
m3517,m3210
m2250,m1226
m1483,m3292
m801,m343
m3432,m2952
m452,m3469
