place,name,place_type,address,coordinates,ended
p0,Sala Cancijler,Venue,Calle Alcalde Lpez Casero Madrid Spain,,t
p1,Be Musical Prodvctions,Studio,,,f
p2,BONO Studio,Studio,,,f
p3,Lyceum Theatre,Venue,21 Wellington Street London WC2E 7RQ,51511556011975.0,f
p4,Sössd N:x Studio,Studio,,,f
p5,Place de la Gate,Other,Place de la Garw 59000 Lille,506366133069651.0,f
p6,Herbert Place Sudios,Studio,,,f
p7,Analog Swwden,Studio,,,f
p8,Raintree Cafe,Venue,220 King St N Waterloo ON N2J 2Y7,4347529180524457.0,f
p9,Sound Ranger Studio,Studio,Schleebrüggenkamp 8,,f
p10,Big Island,Studio,,,f
p11,Herbert Place Studios,Studio,,,f
p12,Threshold Recordings,Studio,,,f
p13,The Firehouse,Venue,1015 N 1st St Phoenix AZ 85004,3.3458065112072556e+16,t
p14,Norwegiann Jade Bliss,Venue,,,f
p15,Norwehian Jade Bliss,Venue,,,f
p16,Burggraben Neckarelz,Venue,Johannitergasse 2 74821 Mosbach Germany,49341699101083.0,f
p17,SAP Arqena,Indoor arena,An der Arena 1 68163 Mannheim Germany,4946361185175.0,f
p18,The Atrium City Hall,Venue,,520777244316833.0,f
p19,Bolic Sound,Studio,,,f
p20,Mechanics Bank Theater and Convention Center,Venue,1001 Truxtun Ave Bakersfield CA 93301,35372119013.0,f
p21,Main Stage,Venue,,,f
p22,Henwood Studios,Studio,Unit 8 Oakley Wood Farm Benson,,f
p23,Rushents Mvansion,Studio,,,f
p24,Killioj Sound,Studio,,,f
p25,Killion Sourid,Studio,,,f
p26,Instituto Musical de São Paulo,Educational institution,,,f
p27,Horta Hall,Venue,,,f
p28,DNA Syudios,Studio,,,f
p29,Ryemuse Sound,Studio,64 S Molton St,515133530146862.0,f
p30,PalaceMusic,Studio,,,f
p31,Palacee Music,Studio,,,f
p32,Polideportivo de la Junta de Castilla y León,Other,,,f
p33,Ninth Wold Studios,Studio,,,f
p34,Tonengineer Studio,Studio,,,f
p35,Rose Gold,,96 Morgan Ave,,f
p36,Burg Abenberg,Other,Burgstraße 16 91183 Abenberg Germany,4924329210962848.0,f
p37,The Gannon House,,,,f
p38,Red Brn,,,,f
p39,Red Barri,,,,f
p40,Basilique SaintBonaventure de Lyon,Religious building,7 place des Cordeliers 69002 Lyon,457631444836905.0,f
p41,Acyckic Systems,Studio,,,f
p42,Digranexkirkja,Religious building,,6410778421886278.0,f
p43,Mainy Stage,Venue,,,f
p44,Skråen,Venue,Strandvejen 19 9000 Aalborg Danmark,570532089911536.0,t
p45,Preah Suramarit National Theatre,Venue,,,t
p46,Akins Ford Arena at The Classic Center,Indoor arena,,,f
p47,USMP Studios  Hollywood,Studio,,,f
p48,Ocean Saound,Studio,,,f
p49,Hard Rock Café Dublin,Venue,12 Fleet St Temple Bar Dublin D02 NW56,,f
p50,St Georgenkirche,Religious building,,508161381254126.0,f
p51,Studio Charlot,Studio,,,f
p52,Crosby Hall,,,,t
p53,Prolific Studios,Studio,Umits E9E11 KG Business Centre Northampton NN5 7QS United Kingdom,52252609179.0,f
p54,StudioA,Studio,,,f
p55,Bug Jar,Venue,219 Monroe Ave Rochester NY 14607,4315004477600096.0,f
