recording,artist_credit
r_6442bc7a,ac_33405146
r_037eaaf3,ac_a8115cdb
r_7f8cf382,ac_43d17e82
r_c00002d8,ac_c748d6f3
r_79f5c7a4,ac_da09584a
r_82562c81,ac_6cbec516
r_e79d7103,ac_12ac0bfd
r_f8e0f746,ac_22c1ce9b
r_5bf5ae5e,ac_67a9fffb
r_ec561a12,ac_02d6ebea
r_743291dd,ac_1ac0ead2
r_3eb9ecad,ac_2c40f1a7
r_aeb47257,ac_f600885c
r_b8637684,ac_18411251
r_4ccad063,ac_a4fb3381
r_a781f2ae,ac_ec852ae0
r_4495509f,ac_c940f9fc
r_0e4ec166,ac_c940f9fc
r_296058ad,ac_fe508c9c
r_bbc615c7,ac_2280b4cb
r_93c59864,ac_48c17ffa
r_1d605a18,ac_479b0c1d
r_3d737d53,ac_26d1544a
r_10ac0bd1,ac_e9bc654d
r_059879d8,ac_7f743703
r_af0ec61c,ac_b9778e45
r_44cc72f2,ac_f466071f
r_3cfa37c3,ac_be83b68d
r_ac576c4a,ac_47422598
r_9fdf9509,ac_47422598
r_61584019,ac_cfdfc9a6
r_c11da522,ac_6bb7526a
r_1404f2ac,ac_8b3320ad
r_12a7d7f3,ac_0db5a9d0
r_290f9ea1,ac_b298a1a7
r_70e7f77e,ac_a3caf5cf
r_6ff88379,ac_1cdf67b7
r_5c05b814,ac_5f0ee50a
r_0b7e17b4,ac_44af4d4c
r_73924983,ac_fce4e518
r_e0c358aa,ac_784f6b87
r_e7fa5d1e,ac_6ceaefa3
r_6c0fedb9,ac_174aef7e
r_bf9bd582,ac_af0fdf45
r_ed86b7f1,ac_f2e18c38
r_c31e8b9a,ac_4b4c6d72
r_ef486bf1,ac_c04f8efa
r_7f94d3c5,ac_133ce11c
r_6b0070b0,ac_62c188f6
r_05b37285,ac_3b2f3f1a
r_4004e174,ac_f4a1cb96
r_f48435c1,ac_a8c09fff
r_85af8625,ac_f0ed1877
r_30ec61c2,ac_3177d302
r_0e1563a6,ac_d59d81a4
r_efe66e0d,ac_3046e286
r_b05b2312,ac_3f9e73e5
r_1a8e85e5,ac_3046e286
r_66990550,ac_f7c238b7
r_06b52911,ac_33993818
r_d3b99e8d,ac_80d8d902
r_1b5bd894,ac_8adb82e3
r_cc6c2b11,ac_2a8165d6
r_3d612fc0,ac_47d38b90
r_cc4d00f5,ac_87d8e11b
r_80cbce87,ac_9a1279f1
r_cb3eaeca,ac_45743626
r_3a0e5a48,ac_fe255137
r_de9af06c,ac_13afeef6
r_0d9072d5,ac_20ca2d00
r_1761a35c,ac_10afe79e
