1,2
r1019,r2502
r4048,r731
r4099,r2023
r3860,r939
r174,r1140
r4051,r1099
r1498,r2609
r3729,r1078
r3321,r3320
r127,r125
r587,r3873
r1462,r2883
r462,r1778
r1963,r1962
r2591,r3967
r4310,r4315
r2626,r760
r3077,r728
r1229,r1868
r4199,r4197
r950,r1604
r1587,r2153
r2073,r873
r472,r3395
r1545,r1811
r1577,r2748
r4383,r4415
r3726,r3216
r3255,r2081
r3713,r2972
r1542,r2173
r4172,r2442
r4146,r1354
r2351,r2350
r3553,r3554
r2604,r3455
r1678,r1691
r2560,r1653
r1437,r4293
r630,r3128
r2181,r943
r1557,r1559
r2299,r570
r2950,r2116
r928,r663
r1918,r4256
r4347,r903
r3388,r2827
r3899,r949
r155,r2362
r1053,r1864
r2375,r3392
r3705,r4407
r3806,r773
r1685,r2909
r1941,r524
r1719,r1721
r2923,r1330
r832,r2391
r85,r1164
r3320,r89
r4275,r3468
r4085,r848
r3000,r3560
r3135,r1422
r401,r207
r147,r3936
r4332,r4333
r2340,r3827
r3739,r3740
r786,r356
r842,r841
r4052,r1504
r3968,r739
r965,r55
r225,r3266
r2560,r2288
r2981,r4323
r1183,r1185
r2734,r2619
r1992,r1849
r3352,r2711
r1356,r1967
r3906,r398
r2571,r3624
r161,r4195
r4408,r3705
r1910,r1870
r1035,r2461
r2407,r1687
r3818,r4378
r2364,r2366
r1659,r2433
r3901,r949
r914,r678
r3646,r3431
r870,r315
r127,r1587
r1697,r875
r2108,r3898
r4396,r340
r16,r661
r2359,r2654
r1352,r643
r1466,r1130
r743,r776
r1860,r3894
r4345,r3125
r4287,r1725
r2748,r1518
r2059,r3771
r1613,r3836
r3599,r3600
r3549,r4279
r1210,r3448
r3502,r1591
r1482,r2271
r794,r1033
r3064,r1057
r4046,r441
r4297,r1300
r1464,r1703
r1046,r1908
r3333,r3582
r3954,r1711
r3267,r12
r4092,r129
r358,r360
r2488,r803
r1767,r394
r1271,r1044
r92,r94
r464,r1672
r3388,r3299
r3506,r2388
r1490,r2899
r4043,r4324
r1894,r3811
r3266,r658
r4047,r4048
r1135,r145
r2122,r774
r3845,r3976
r3682,r4385
r913,r2341
r533,r59
r2506,r531
r2759,r3339
r3125,r3130
r3578,r608
r230,r228
r2006,r1532
r1603,r4338
r3917,r611
r2370,r3958
r2254,r2255
r42,r3786
r72,r70
r3286,r3285
r2026,r1728
r4106,r2442
r2845,r2844
r1133,r261
r2051,r3717
r307,r3566
r1364,r577
r1234,r382
r768,r3319
r2737,r2912
r3199,r420
r1432,r337
r2405,r132
r2590,r3948
r738,r2375
r2999,r4299
r1231,r4323
r3420,r3418
r3622,r3623
r965,r1095
r3789,r3790
r1647,r936
r1095,r57
r3633,r2388
r2858,r2867
r925,r1185
r3033,r3032
r236,r1402
r1795,r3149
r37,r4107
r3795,r2877
r3705,r4307
r3843,r657
r2855,r1208
r1186,r3857
r25,r3946
r3205,r2758
r1376,r1424
r661,r556
r1987,r3732
r3598,r27
r4274,r2105
r2662,r1682
r3818,r4377
r3753,r119
r720,r494
r264,r1602
r1369,r2458
r1961,r3170
r1603,r715
r1049,r1365
r2833,r2033
r478,r3649
r3280,r3281
r2989,r3317
r1757,r2541
r2172,r1542
r72,r4244
r3932,r561
r2726,r1460
r4195,r157
r601,r109
r68,r499
r861,r4043
r3837,r3798
r3948,r1690
r1970,r3438
r598,r2262
r712,r4185
r3222,r1120
r2866,r3076
r231,r2331
r2745,r1590
r3321,r2423
r2447,r1145
r4345,r4209
r1986,r993
r2204,r812
r3269,r4352
r107,r109
r3791,r4258
r251,r1529
r4288,r4043
r1536,r1538
r955,r954
r2276,r3896
r3142,r144
r1604,r1247
r1307,r1940
r645,r646
r1050,r3908
r593,r271
r2727,r2610
r2144,r2964
r2511,r4179
r1870,r3128
r4048,r1955
r2724,r380
r2989,r2985
r695,r1628
r2801,r308
r2368,r1655
r4084,r3034
r2130,r4244
r2235,r4391
r497,r2384
r2965,r3054
r4356,r138
r2096,r3960
r922,r717
r388,r3021
r3570,r3578
r3788,r3786
r3277,r2194
r111,r110
r3822,r31
r2937,r2349
r600,r3462
r3717,r4305
r537,r4401
r887,r672
r3646,r1396
r2012,r3903
r438,r3626
r2799,r2067
r4117,r2878
r4291,r3816
r3277,r3276
r8,r2977
r3283,r1313
r1598,r3684
r3984,r2757
r673,r549
r3471,r2818
r2495,r2494
r598,r2261
r2368,r1076
r646,r4009
r1146,r2914
r2328,r2609
