release,name,barcode,status,packaging,language,script,quality
rl_8a9202a3,Classicod Do Funk,7891430074623.0,Official,,Portuguese,Latin,1
rl_4352ed9e,Classicos Do Furik,7891430074623.0,Official,,Portuguese,Latin,1
rl_64ee5a25,Spij This,,Promotion,CardboardPaper Sleeve,English,Latin,1
rl_960daf9d,In the Wake of Pestilence,,Official,,English,Latin,1
rl_4877148a,Pioneers,,Official,,English,Latin,1
rl_0aa4574a,Splitgut,,Official,,English,Latin,1
rl_16624d9a,Logan Complete Score,,,,,,1
rl_47e37981,ActionThriller 3,5055312870051.0,Official,,English,Latin,1
rl_1bbbafe9,Lovesongs for Underdogs,5014436700828.0,Official,,English,Latin,1
rl_c527ca54,together,4037688900328.0,Official,,English,Latin,1
rl_158822ce,Kune Kine,,Official,,Japanese,Latin,1
rl_57449e56,Kuje Kune,,Official,,Japanese,Latin,1
rl_8c6dd689,Promo 2005,,Promotion,,Multiple languages,Latin,1
rl_9e9fa7e9,Ku nieboskłonom,,Official,,Polish,Latin,1
rl_5756056d,Blazing Homs  Tenor in Roots,783564004423.0,Official,,English,Latin,1
rl_c99cad21,Piano Sonatas D 960  D 958,730099547529.0,Official,,English,Latin,1
rl_12c0dec1,Lisa Stansfield,,,,English,Latin,1
rl_2bbbca27,Lisa Stamsfield,,,,English,Latin,1
rl_b326926f,Up On The Lowdown  Drive You Home Again,805772623026.0,Official,Jewel Case,English,Latin,1
rl_0ef49446,Everything You Ever Made,,Official,,English,Latin,1
rl_f273266b,Un agujero en el cielo,745099270223.0,Official,Jewel Case,Spanish,Latin,1
rl_74888768,Gun Hill Road,5021392017822.0,Official,,English,Latin,1
rl_3d893592,ScheißKzpelle Live,4015860200244.0,Official,,English,Latin,1
rl_795fdbd9,The Anatomy of Timo Räisänen,,Official,,English,Latin,1
rl_b549e96a,Lil Bit of Gold,,Official,CardboardPaper Sleeve,English,Latin,1
rl_16aa73bd,Gold Dash,4988002797899.0,Official,Jewel Case,Japanese,Japanese,1
rl_0b71cc50,Convenience 2000 original cast,,Promotion,,English,Latin,1
rl_4158e18c,One Tvvo,732115003927.0,Official,,English,Latin,1
rl_37047767,The Trilogy Chapter 1 The Collabs,,Official,,English,Latin,1
rl_7e4bafb3,Hardwar,5013658085317.0,Official,,English,Latin,1
rl_7f84bb5e,Just Tjree,824536013026.0,Official,,English,Latin,1
rl_9cad648c,Na so was,4007198769913.0,Official,,German,Latin,1
rl_08ee17fa,Silver,4260101560629.0,Official,Digipak,English,Latin,1
rl_f49eadc8,The Day The Happy Valley Imploded,,Official,,English,Latin,1
rl_35017a9c,Wings Of Spring,,,,,Latin,1
rl_8aaf03f5,My Nevv Time,,Official,,English,Latin,1
rl_8dc5063a,Calling All Kings  Queens,,Official,,English,Latin,1
rl_559bfa38,Momentum,5013116001514.0,Official,CardboardPaper Sleeve,English,Latin,1
rl_0c03ed8f,Urk,886970007092.0,Official,Digipak,English,Latin,1
rl_c178bfe4,Urban Kisx 2003,39145204400.0,Official,Jewel Case,English,Latin,1
rl_91e0a083,We Are What We Pretend To Be,,Official,,English,Latin,1
rl_db5f6285,Schumann Edition,5028421950204.0,Official,CardboardPaper Sleeve,Multiple languages,Latin,1
rl_84f9008d,Its a New Day,501481003325.0,Official,,English,Latin,1
rl_d6f2a03c,我這個你不愛的人,4711875203040.0,Official,,Chinese,Han Traditional variant,1
rl_dba43cd2,Js Juke,,Official,,English,Latin,1
rl_03879bfd,Ark,,Official,,English,Latin,1
rl_4e6c2f7c,ToHeart2コンプリートサウンドトラック,,Promotion,,Japanese,Japanese,1
rl_366447a1,Sevg'lyle El Ele,8690072003126.0,Official,,Turkish,Latin,1
rl_cd8bfc80,Clubs Gs Suvs,,Official,,,Latin,1
rl_ae2956e1,LPs,5021603066113.0,Official,CardboardPaper Sleeve,English,Latin,1
rl_cd541f56,Hugo in 3 Monyhs  Italian disc 1,,Official,,English,Latin,1
rl_3e0095d4,Ad gloriam,,Official,,Italian,Latin,1
rl_9f50648d,The Silent Ballet Volume II Acquiescence and Oblivion,,Official,,English,Latin,1
rl_7e868866,Gräjtaste Hittar,,,,,Latin,1
rl_e8d8114a,Aşk İnsanı Değiştirir,8697980740549.0,Official,,Turkish,Latin,1
rl_f4311009,Elephamt Head,,Official,,,Latin,1
rl_c83e9450,The Town,,Official,,English,Latin,1
rl_0045ab47,Holiday Sounds of Manhattan Strings,,Official,,,Latin,1
rl_f93a99c8,Pussy Lounge Part 3,8715576153969.0,Official,,English,Latin,1
rl_52c35a4b,We Got By,75992722261.0,Official,,English,Latin,1
rl_f942ebd1,Split Albjm,,Official,,Multiple languages,Latin,1
rl_f004ad04,Avertis te5 chums,620675138206.0,Official,Jewel Case,French,Latin,1
rl_156fc2e4,A Blue Book,,Official,,English,Latin,1
rl_04a261e0,Romantic Wealth,700161302424.0,Official,Jewel Case,English,Latin,1
rl_dcbe9b41,On the Beach 4 Las Salinas Ibiza,,Official,,English,Latin,1
rl_653013ae,Thim Air,5024545555424.0,Official,,English,Latin,1
rl_d5e22c8d,Phylogenesis,,Official,,English,Latin,1
rl_e1575e4e,Storybook Ending,,Official,,English,Latin,1
rl_509b3742,S0 What,,Official,CardboardPaper Sleeve,English,Latin,1
rl_1eb81504,Magnoiia,,Official,,English,Latin,1
rl_ac68812c,Ashentide,,Official,,English,Latin,1
rl_c3b1731a,Stratosphere Breakdown,5018766953169.0,Official,,English,Latin,1
rl_2404e156,Wardance of the Alien Sex Fiend,636551413329.0,Official,,English,Latin,1
rl_aa75d6cc,The Silence  The Noise,4250137249186.0,Official,,English,Latin,1
rl_cacb8d0f,Oldie Juke Box,4013659801023.0,Official,,English,Latin,1
rl_6f84acaf,Turn in Your Graves,,Official,Cassette Case,English,Latin,1
rl_82f82730,Complete Keyboard Works,22924530920.0,Official,,English,Latin,1
rl_d9ddb462,I Married a Monster from Outer Space  The Atomic City,857252002210.0,Official,Jewel Case,English,Latin,1
rl_a704ac65,Альтернативыnet,4620005291829.0,Official,,Russian,Cyrillic,1
rl_d87b836c,Borderlands 3 Original Soundtrack,,Official,,English,Latin,1
rl_06f2bdd7,With or Without Me,,Official,,English,Latin,1
rl_a839f7dd,Kombi,,Official,,Polish,Latin,1
rl_a7ab2be1,Gloria,5099748985026.0,Official,Jewel Case,English,Latin,1
rl_2db60f23,Volatile Molotov,,Official,,English,Latin,1
rl_3bb16265,Sprin9 is here,4540774602001.0,Official,,Japanese,Japanese,1
rl_7d1a894f,Portland 200,,Bootleg,,English,Latin,1
rl_8bcb7bcc,Stargazing and healing,,Official,,English,,1
rl_eaf19dce,Kanto a Pacjamama,,Official,,,Latin,1
rl_1b82f138,Dead Presidents 2,,Official,,English,Latin,1
rl_bb2ea3cb,Metamemoria,718755195222.0,Official,,English,Latin,1
rl_0e41170d,The Singles Collection 1978–1981,5032556131322.0,Official,,English,Latin,1
rl_ca076861,Fest Noz fe Paname,731454919920.0,Official,Jewel Case,French,Latin,1
rl_2c3118a3,Collective Demise,4043196218923.0,Official,,English,Latin,1
rl_2f66bece,Release Me,886788822221.0,Official,,English,Latin,1
rl_957ff9ee,Ashes of Mv Paradise,4988002623488.0,Official,,English,Latin,1
rl_24bf1f71,The H9llow,,Official,,English,Latin,1
rl_a4252324,Yesh You,,Official,,English,Latin,1
rl_649c07eb,Cleopatra,30206622423.0,Official,Jewel Case,English,Latin,1
rl_97f45ba5,Θα είμαι εδώ,5099995664927.0,Official,,Greek,Greek,1
rl_fffb0764,Lightning Bolt,,Official,,English,Latin,1
rl_0c0d039a,Tbe Triple Platinum EP,,Bootleg,,English,Latin,1
rl_422b4029,Nafrhuju Krysy,8594027150098.0,Official,,Czech,Katakana,1
rl_68cd8482,On Tour,,Official,,English,Latin,1
rl_9f0ec0ca,Live Worship 2,,Official,,English,Latin,1
rl_805b570d,The End of a Long Day,,Official,,English,Latin,1
rl_99b200c9,Everloving Spark,634457110328.0,Official,Jewel Case,English,Latin,1
rl_26f93735,KXLU 889 FM Los Angeles Live Volume 2,,Official,,English,Latin,1
rl_35f55ce3,Theoretics,,Official,,English,Latin,1
rl_160f0e05,Jaggernaut,,Official,,English,Latin,1
rl_249abe0b,Superharps II,89408351426.0,Official,Jewel Case,English,Latin,1
rl_7fcbf586,The Indispensable Coleman Hawkin5 Body and Soul 1927–1956,,Official,,English,Latin,1
rl_00689c42,The Vibe The Ultimate Rare Grooves Series Volume 10 Jazz  Bop De Paris,828765793629.0,Official,,English,Latin,1
rl_4486ec53,Hear the Music  Bounce,,Official,,English,Latin,1
rl_4566ae38,Irish Dances,,,,,Latin,1
rl_213141a7,Smile,54645167024.0,Official,,English,Latin,1
rl_e9b51234,Another Show,4000127155733.0,Official,Jewel Case,English,Latin,1
rl_6149e548,City of Mirrors,,Official,,English,Latin,1
rl_f3e67653,Dos gardenias,,Official,,Spanish,Latin,1
rl_01204a98,We Are Gisnts,,Official,,English,Latin,1
rl_ae19236f,We Are Giamts,,Official,,English,Latin,1
rl_0948beb5,Lapi5latsulia,,Official,,Finnish,Latin,1
rl_9c3e0b39,An Ennio Morricone Western Quintet,,Official,,Italian,Latin,1
rl_b6fd99b2,Kochuu,5609063402766.0,Official,,English,Latin,1
rl_be77de1d,ir,,Official,,English,Latin,1
rl_24f38b74,Music to Kill By,884501075442.0,Official,,English,Latin,1
rl_869590c1,Cartolas Band 2003,,Official,,Portuguese,Latin,1
rl_5b8f686e,Hollywood Palladium 195455 8,,Official,,English,Latin,1
rl_4b99cf87,Cloudy Day Navigation,766397445120.0,Official,,English,Latin,1
rl_ab67c414,Lee Wiley Sings Irving Berlin,,Official,,English,Latin,1
rl_f76ad53e,Edward H Mewn Bocs,5016886428925.0,Official,Digipak,Welsh,Latin,1
rl_71c9f421,Bedtime Songs,,Official,,English,Latin,1
rl_8ab5fa05,The Twilight Zone,4005939608729.0,Official,Jewel Case,English,Latin,1
rl_df0fceac,Matthäu5Passion,,Official,,German,Latin,1
rl_c7ec0435,Acı Gerçekler,,Official,,Turkish,Latin,1
rl_e9235cc2,Музыка Народов Птиц,,Official,,Russian,Cyrillic,1
rl_c4acbd79,Fiend EP,,Official,,English,Latin,1
rl_b6e325c6,Loud Is Good,,Official,,English,Latin,1
rl_61d432fc,Some Guys Have All the Luck,,Official,CardboardPaper Sleeve,English,Latin,1
rl_8b6a702e,Street Theater,,Official,,English,Latin,1
rl_01c4ada0,Invocatum Furae Diabolis,,Official,,English,Latin,1
rl_175a0715,In the Mood,,Official,,English,Latin,1
rl_ab220ba1,The Very Best of Rosanne Cash,,Official,,English,Latin,1
rl_2b90c5d5,ふたりごと,,Official,,Japanese,Japanese,1
rl_8c5c5c52,Cello Stories  Une histoire du violoncelle aux XVIIe  XVIIIe siècles,3760014198908.0,Official,Digibook,French,Latin,1
rl_bd206b2f,HipHop Cho0shop Volume 3,,Official,,English,Latin,1
rl_cca6c813,Masters of Jazz Vol 5 1928,3356571005225.0,Official,,English,Latin,1
rl_4ce8cafe,Drag,5060058070061.0,Official,CardboardPaper Sleeve,English,Latin,1
rl_f4d0c8d2,Autour de Vegas 76,3388334509381.0,Official,,French,Latin,1
rl_8db1cf03,Lost In Focus,,,,English,Latin,1
rl_0d411ece,Tarab,,Official,,Portuguese,Latin,1
rl_9ccbeb9d,19850601 St Jakobs Stadion Basel Sw9tzerland,,Bootleg,,English,Latin,1
rl_0a3b4e6e,For the Blood Is the Life,,Official,Cassette Case,English,Latin,1
rl_b8809665,Songs in the language of mushrooms,,Official,,English,Latin,1
rl_641b83b9,Anal oder Kot,4003099858923.0,Official,Jewel Case,German,Latin,1
rl_b573de3b,Dance  Hoyse  World  Sports,,Official,,English,Latin,1
rl_e051a91e,Nevv Words,,Official,,English,Latin,1
rl_b618739b,Capitol Jazz 50th Anniversary Collection,,Official,,English,Latin,1
rl_528a6b0f,Maps 0f Tacit,36172006823.0,Official,,English,Latin,1
rl_edb38bbf,HELL draeing,4529123326874.0,Official,Jewel Case,Japanese,Japanese,1
rl_f81601b9,The Hobbit,,Official,,English,Latin,1
rl_225a9124,Redintegration,,Official,,English,Latin,1
rl_3cac1939,Design and Technology,,Official,,English,Latin,1
rl_e4ab6833,Sound Design,,Official,,English,Latin,1
rl_b5691c1a,Freedom Rhythm  Sound Revolutionary Jazz  The Civil Rights Movement 196382,5026328302195.0,Official,Digipak,English,Latin,1
rl_18df2f21,Selection,8436003396390.0,Official,Jewel Case,English,Latin,1
rl_62112554,Hjernen er alene,,Official,,Norwegian,Latin,1
rl_95650451,Beautiful Day Remixes,,Official,,English,Latin,1
rl_254db089,Club Bizarre 1,4001617810521.0,Official,,English,Latin,1
rl_84c9b33b,Alibis For Life,,Official,,English,Latin,1
rl_12e389a8,Force,,Official,,English,Latin,1
