release,release_group
rl0,rg3201
rl1,rg1552
rl2,rg2304
rl3,rg4446
rl4,rg3817
rl5,rg3220
rl6,rg1500
rl7,rg235
rl8,rg3936
rl9,rg2593
rl10,rg456
rl11,rg456
rl12,rg1182
rl13,rg2858
rl14,rg3489
rl15,rg807
rl16,rg1981
rl17,rg1981
rl18,rg1181
rl19,rg2845
rl20,rg2076
rl21,rg3695
rl22,rg91
rl23,rg1305
rl24,rg2581
rl25,rg2024
rl26,rg3685
rl27,rg3637
rl28,rg2227
rl29,rg752
rl30,rg2413
rl31,rg4316
rl32,rg1571
rl33,rg1309
rl34,rg2159
rl35,rg3097
rl36,rg3649
rl37,rg2902
rl38,rg2981
rl39,rg3836
rl40,rg1775
rl41,rg189
rl42,rg778
rl43,rg909
rl44,rg217
rl45,rg1549
rl46,rg1031
rl47,rg3307
rl48,rg153
rl49,rg3700
rl50,rg2762
rl51,rg2938
rl52,rg983
rl53,rg2186
rl54,rg1551
rl55,rg3534
rl56,rg2847
rl57,rg664
rl58,rg316
rl59,rg2246
rl60,rg3475
rl61,rg2545
rl62,rg72
rl63,rg3499
rl64,rg1093
rl65,rg760
rl66,rg4427
rl67,rg2403
rl68,rg225
rl69,rg3785
rl70,rg236
rl71,rg431
rl72,rg3369
rl73,rg3540
rl74,rg433
rl75,rg4047
rl76,rg2094
rl77,rg3845
rl78,rg1322
rl79,rg3659
rl80,rg4154
rl81,rg2927
rl82,rg1239
rl83,rg2004
rl84,rg4192
rl85,rg2561
rl86,rg1984
rl87,rg3455
rl88,rg1648
rl89,rg2448
rl90,rg300
rl91,rg3557
rl92,rg3639
rl93,rg3527
rl94,rg3018
rl95,rg2641
rl96,rg377
rl97,rg3877
rl98,rg352
rl99,rg3547
rl100,rg317
rl101,rg1314
rl102,rg458
rl103,rg2437
rl104,rg2803
rl105,rg1808
rl106,rg3048
rl107,rg2375
rl108,rg3708
rl109,rg4435
rl110,rg550
rl111,rg3428
rl112,rg2459
rl113,rg1824
rl114,rg2884
rl115,rg2710
rl116,rg668
rl117,rg1348
rl118,rg2372
rl119,rg2372
rl120,rg846
rl121,rg3716
rl122,rg3737
rl123,rg1448
rl124,rg2463
rl125,rg83
rl126,rg1441
rl127,rg2385
rl128,rg4434
rl129,rg101
rl130,rg1062
rl131,rg789
rl132,rg3055
rl133,rg1634
rl134,rg2084
rl135,rg836
rl136,rg2518
rl137,rg3289
rl138,rg4189
rl139,rg4371
rl140,rg2011
rl141,rg1958
rl142,rg887
rl143,rg1910
rl144,rg2690
rl145,rg2664
rl146,rg3468
rl147,rg2970
rl148,rg869
rl149,rg3461
rl150,rg2859
rl151,rg3842
rl152,rg3848
rl153,rg2830
rl154,rg913
rl155,rg1088
rl156,rg3537
rl157,rg1279
rl158,rg1730
rl159,rg2974
rl160,rg2422
rl161,rg1632
rl162,rg1392
rl163,rg2611
rl164,rg4386
rl165,rg3300
rl166,rg1604
rl167,rg4037
rl168,rg3181
rl169,rg2911
rl170,rg2079
rl171,rg1822
rl172,rg3960
rl173,rg1615
rl174,rg3030
rl175,rg2707
rl176,rg239
rl177,rg3957
rl178,rg3776
rl179,rg3156
rl180,rg1123
rl181,rg2626
rl182,rg2966
rl183,rg935
rl184,rg1423
rl185,rg803
rl186,rg2204
rl187,rg1992
rl188,rg2702
rl189,rg594
rl190,rg3371
rl191,rg2144
rl192,rg642
rl193,rg3382
rl194,rg1288
rl195,rg430
rl196,rg3822
rl197,rg4402
rl198,rg1798
rl199,rg3647
rl200,rg898
rl201,rg31
rl202,rg524
rl203,rg2708
rl204,rg582
rl205,rg2634
rl206,rg193
rl207,rg252
rl208,rg252
rl209,rg748
rl210,rg87
rl211,rg3868
rl212,rg4452
rl213,rg4452
rl214,rg2355
rl215,rg3818
rl216,rg1499
rl217,rg105
rl218,rg1868
rl219,rg4194
rl220,rg1655
rl221,rg1555
rl222,rg1052
rl223,rg54
rl224,rg886
rl225,rg4427
rl226,rg111
rl227,rg2054
rl228,rg3270
rl229,rg111
rl230,rg4215
rl231,rg227
rl232,rg1265
rl233,rg1788
rl234,rg1530
rl235,rg2695
rl236,rg1369
rl237,rg662
rl238,rg3939
rl239,rg3931
rl240,rg24
rl241,rg24
rl242,rg61
rl243,rg842
rl244,rg1120
rl245,rg157
rl246,rg3613
rl247,rg3928
rl248,rg2650
rl249,rg178
rl250,rg2474
rl251,rg2474
rl252,rg4165
rl253,rg557
rl254,rg2280
rl255,rg1933
rl256,rg2434
rl257,rg707
rl258,rg1838
rl259,rg2310
rl260,rg3491
rl261,rg3748
rl262,rg479
rl263,rg3747
rl264,rg4073
rl265,rg3785
