track,position,number,name,length,is_data_track
t0,4,4,Silencio,165000.0,f
t1,15,15,Locomotove,143000.0,f
t2,1,1,Carnival,82093.0,f
t3,7,7,Un ángel 1lora,257000.0,f
t4,4,4,Stringj Breath,313186.0,f
t5,15,15,Locomot'lve,143000.0,f
t6,3,3,Banished,188800.0,f
t7,3,3,Brinv Em Out,205547.0,f
t8,10,10,Farándula,122453.0,f
t9,3,3,It Should Be Easier Now,138333.0,f
t10,1,1,Intro,24000.0,f
t11,3,3,Leyendas de un desconocido,,f
t12,8,8,Intermission,54000.0,f
t13,18,18,Its Up to You Lizzy,160000.0,f
t14,9,9,I Heard It Through tbe Grapevine,293400.0,f
t15,8,8,Te Postman Chapter 1 Part 28,314514.0,f
t16,10,10,El pequeño Brooklyn,,f
t17,19,19,siience,8946.0,f
t18,15,15,All Machines Are Quiet Andre Obin Remix,197760.0,f
t19,1,1,Good Sign album version,183666.0,f
t20,3,3,Su1>terrestrial,194000.0,f
t21,16,16,Bookie,187600.0,f
t22,8,8,Thelonious Monk introduction,21000.0,f
t23,8,8,Majesty,463986.0,f
t24,4,4,Hundred Feet So Inagawa remix,355000.0,f
t25,1,A,All You Pretty Girlz,222000.0,f
t26,1,A,All You Prerty Girls,222000.0,f
t27,7,7,What Is Dub,276000.0,f
t28,10,10,Mama Im Coming Home,286333.0,f
t29,11,11,Scientists Playing God,268600.0,f
t30,19,19,I Know,224000.0,f
t31,1,1,New York Airport original mix,537000.0,f
t32,1,1,Te Meaning of Life,180733.0,f
t33,1,1,The Meaning of Lif,180733.0,f
t34,21,21,Gone But Not Vergotten,205426.0,f
t35,5,5,Rusted Laundry,146000.0,f
t36,6,6,Ghosts of Mosman,,f
t37,4,4,Medley CorazaArmay ChischiChanga,283200.0,f
t38,76,76,Primetime n alternative version,6000.0,f
t39,2,2,Ibiil,295000.0,f
t40,3,3,Lady Ocean,261307.0,f
t41,14,14,Suite No 2 in D minor BWV 1008 VII Gigue,185600.0,f
t42,2,2,Hallo liebe Oma,181000.0,f
t43,14,14,Cai no samba,211013.0,f
t44,14,14,Rain Falls,,f
t45,2,2,Open Road,241000.0,f
