track,medium
t0,m55
t1,m3862
t2,m2968
t3,m1227
t4,m2568
t5,m3862
t6,m1778
t7,m1324
t8,m3473
t9,m2543
t10,m373
t11,m106
t12,m1585
t13,m3059
t14,m2641
t15,m2029
t16,m3475
t17,m1428
t18,m1165
t19,m1618
t20,m2257
t21,m3509
t22,m1223
t23,m1870
t24,m2602
t25,m2879
t26,m2879
t27,m3225
t28,m1011
t29,m2805
t30,m2281
t31,m1322
t32,m2233
t33,m2233
t34,m226
t35,m1657
t36,m1130
t37,m1380
t38,m2151
t39,m2369
t40,m396
t41,m2394
t42,m1720
t43,m3422
t44,m2966
t45,m2522
t46,m1287
t47,m1816
t48,m1071
t49,m2113
t50,m3348
t51,m1025
t52,m1187
t53,m2110
t54,m1037
t55,m1083
t56,m281
t57,m186
t58,m1822
t59,m1475
t60,m1312
t61,m1637
t62,m3775
t63,m2703
t64,m3703
t65,m3890
t66,m2347
t67,m3605
t68,m212
t69,m2358
t70,m2550
t71,m1895
t72,m1619
t73,m1888
t74,m3793
t75,m880
t76,m3402
t77,m1458
t78,m865
t79,m2040
t80,m1351
t81,m3291
t82,m2316
t83,m246
t84,m1617
t85,m2777
t86,m1079
t87,m2979
t88,m2849
t89,m1069
t90,m3043
t91,m3498
t92,m1843
t93,m3606
t94,m2878
t95,m1894
t96,m2889
t97,m1334
t98,m2889
t99,m534
t100,m534
t101,m3215
t102,m3138
t103,m885
t104,m39
t105,m2726
t106,m1423
t107,m263
t108,m2403
t109,m697
t110,m1812
t111,m2478
t112,m3509
t113,m1333
t114,m434
t115,m119
t116,m378
t117,m3166
t118,m2328
t119,m3371
t120,m3131
t121,m485
t122,m1303
t123,m997
t124,m3237
t125,m1754
t126,m408
t127,m745
t128,m2603
t129,m170
t130,m705
t131,m2460
t132,m995
t133,m2759
t134,m2953
t135,m2953
t136,m942
t137,m3634
t138,m1117
t139,m3594
t140,m1117
t141,m1466
t142,m1581
t143,m2599
t144,m1701
t145,m1701
t146,m2291
t147,m1853
t148,m3582
t149,m2104
t150,m2797
t151,m1230
t152,m376
t153,m230
t154,m3496
t155,m819
t156,m2578
t157,m887
t158,m1903
t159,m792
t160,m3031
t161,m3408
t162,m3810
t163,m880
t164,m795
t165,m2062
t166,m3704
t167,m3704
t168,m2046
t169,m2477
t170,m868
t171,m2657
t172,m3270
t173,m3830
t174,m1652
t175,m1176
t176,m24
t177,m587
t178,m1808
t179,m261
t180,m1329
t181,m448
t182,m3171
t183,m3734
t184,m3412
t185,m2087
t186,m2587
t187,m846
t188,m1131
t189,m1131
t190,m1131
t191,m3367
t192,m1438
t193,m1439
t194,m2499
t195,m837
t196,m3624
t197,m2031
t198,m599
t199,m1344
t200,m2040
t201,m2813
t202,m3085
t203,m1452
t204,m3752
t205,m2379
t206,m1207
t207,m156
t208,m2149
t209,m377
t210,m1920
t211,m1109
t212,m580
t213,m622
t214,m3587
t215,m221
t216,m3121
t217,m1051
t218,m1577
t219,m221
t220,m3886
t221,m508
t222,m1175
t223,m3366
t224,m221
t225,m3591
t226,m2438
t227,m1836
t228,m2247
t229,m682
t230,m648
t231,m1574
t232,m1662
t233,m731
t234,m731
t235,m2366
t236,m2041
t237,m1825
t238,m2461
t239,m3529
t240,m1356
t241,m3771
t242,m624
t243,m3771
t244,m1677
t245,m2789
t246,m2989
t247,m194
t248,m3626
t249,m2653
t250,m223
t251,m379
t252,m162
t253,m2279
t254,m43
t255,m1992
t256,m2247
t257,m3148
t258,m3488
t259,m2548
t260,m1255
t261,m811
t262,m2386
t263,m2712
t264,m2313
t265,m569
t266,m3346
t267,m731
t268,m762
t269,m3455
t270,m707
t271,m2808
t272,m2868
t273,m1912
t274,m3654
t275,m2982
t276,m137
t277,m2271
t278,m1522
t279,m1779
t280,m629
t281,m812
t282,m1085
t283,m1957
t284,m397
t285,m2963
t286,m3277
t287,m213
t288,m1868
t289,m900
t290,m991
t291,m1169
t292,m1476
t293,m2578
t294,m3119
t295,m963
t296,m2721
t297,m2360
t298,m1403
t299,m374
t300,m2774
t301,m2997
t302,m247
t303,m3533
t304,m3063
t305,m2652
t306,m635
t307,m3627
