ability,generation,is_main_series,flavor_text,name
a_8bd68dfb,3.0,1.0,Turns the sunlight harsh when the Pokémon entersa battle.,Drought
a_fa459c39,3.0,1.0,Prevents opposing Pokémon from fleeing.,Arena Trap
a_b96e46b2,3.0,1.0,"The Pokémon is full of vitality, and that preventsit from falling asleep.",Vital Spirit
a_e7fdba7e,3.0,1.0,"The Pokémon is protected by its white smoke, whichprevents other Pokémon from lowering its stats.",White Smoke
a_4b597dfc,3.0,1.0,"Using its pure power, the Pokémon doubles itsAttack stat.",Pure Power
a_74c13cf9,3.0,1.0,A hard shell protects the Pokémon from critical hits.,Shell Armor
a_660ee062,3.0,1.0,Eliminates the effects of weather.,Air Lock
a_5b424c56,4.0,1.0,Raises evasiveness if the Pokémon is confused.,Tangled Feet
a_ba91099e,4.0,1.0,Boosts its Speed stat if hit by an Electric-type moveinstead of taking damage.,Motor Drive
a_93029957,4.0,1.0,"Becomes competitive and deals more damage toPokémon of the same gender, but deals less toPokémon of the opposite gender.",Rivalry
a_5cc0fd44,4.0,1.0,"For five turns, the Pokémon’s Attack and Speedstats are halved.",Slow Start
a_e4d8d336,3.0,1.0,"The oozed liquid has a strong stench, which damagesattackers using any draining move.",Liquid Ooze
a_3a0c10c5,4.0,1.0,The Pokémon can hit Ghost-type Pokémon withNormal- and Fighting-type moves.,Scrappy
a_0c0fa10b,3.0,1.0,It cannot be knocked out with one hit. One-hit KOmoves cannot knock it out either.,Sturdy
a_8d9e293b,3.0,1.0,It cannot be knocked out with one hit. One-hit KOmoves cannot knock it out either.,Sturdy
a_4c240133,4.0,1.0,"Draws in all Water-type moves. Instead of being hitby Water-type moves, it boosts its Sp. Atk.",Storm Drain
a_2d22d2bf,4.0,1.0,The Pokémon gradually regains HP in a hailstorm.,Ice Body
a_0f834476,3.0,1.0,Hard armor protects the Pokémon from critical hits.,Battle Armor
a_1b71dd1f,3.0,1.0,"It cannot be knocked out with one hit. One-hit KOmoves cannot knock it out, either.",Sturdy
a_b06fa828,3.0,1.0,"Prevents the use of explosive moves, such asSelf-Destruct, by dampening its surroundings.",Damp
a_3e6ac5f2,3.0,1.0,Its limber body protects the Pokémon from paralysis.,Limber
a_e6b409d0,3.0,1.0,"By releasing stench when attacking, this Pokémonmay cause the target to flinch.",Stench
a_c24f20b8,3.0,1.0,The Pokémon makes it rain when it enters a battle.,Drizzle
a_ad772062,3.0,1.0,Its Speed stat is boosted every turn.,Speed Boost
a_47c9347e,4.0,1.0,The Pokémon summons a hailstorm when it entersa battle.,Snow Warning
a_731adbf7,3.0,1.0,Boosts the Pokémon’s evasiveness in a sandstorm.,Sand Veil
a_d6055983,3.0,1.0,"The Pokémon is charged with static electricity, socontact with it may cause paralysis.",Static
a_0e6755fe,7.0,1.0,All sound-based moves become Water-type moves.,Liquid Voice
a_3acdb0b8,4.0,1.0,The Pokémon may gather Honey after a battle.,Honey Gather
a_5a40de1c,7.0,1.0,Normal-type moves become Electric-type moves.The power of those moves is boosted a little.,Galvanize
a_6b69640b,7.0,1.0,Doubles the Pokémon’s Speed stat onElectric Terrain.,Surge Surfer
a_22e2e02d,7.0,1.0,Powers up Steel-type moves.,Steelworker
a_a8a2e53c,7.0,1.0,Boosts the Pokémon’s Sp. Atk stat when it takesa hit that causes its HP to become half or less.,Berserk
a_a88c001e,7.0,1.0,Boosts the Pokémon’s Speed stat in a hailstorm.,Slush Rush
a_03a5ab58,4.0,1.0,"When it enters a battle, the Pokémon can check anopposing Pokémon’s held item.",Frisk
a_5db640f1,7.0,1.0,"When it has a lot of HP, the Pokémon forms apowerful school. It stops schooling when its HPis low.",Schooling
a_9d8d1e5c,7.0,1.0,"Once per battle, the shroud that covers thePokémon can protect it from an attack.",Disguise
a_2f8769b7,5.0,0.0,,Wave Rider
a_aef450fd,7.0,1.0,Once per battle the shroud that covers thePokémon can protect it from an attack.,Disguise
a_c7201f44,7.0,1.0,Once per battle the shroud that covers thePokémon can protect it from an attack.,Disguise
a_ca4b5517,4.0,1.0,Powers up the Pokémons weaker moves.,Technician
a_bc1178c4,8.0,1.0,Bounces back only the stat-lowering effects thatthe Pokémon receives.,Mirror Armor
a_6f9835c2,5.0,1.0,Makes status moves more likely to miss.,Wonder Skin
a_7b9e9d7b,8.0,1.0,Makes status moves more likely to miss.,Wonder Skin
a_7215c9ea,6.0,1.0,Changes the Pokémon’s type to the type of themove it’s about to use.,Protean
a_cae71156,3.0,1.0,Items held by the Pokémon are stuck fast andcannot be removed by other Pokémon.,Sticky Hold
a_656aa282,5.0,1.0,Makes stat changes have an opposite effect.,Contrary
a_962494a8,5.0,1.0,Makes stat changes have an opposite effect.,Contrary
a_468df4b5,8.0,1.0,Powers up Electric-type moves.,Transistor
a_f465ea6d,5.0,1.0,Changes the Pokémon’s shape when HP is halfor less.,Zen Mode
a_27c63d6f,4.0,1.0,The Pokémon may gather Honey after a battle.,Honey Gather
a_05357622,5.0,1.0,Inflicts damage on the attacker upon contact withiron barbs.,Iron Barbs
a_468c4e87,4.0,1.0,The Pokémon can hit Ghost-type Pokémon withNormal- and Fighting-type moves.,Scrappy
a_929bd94d,5.0,1.0,Halves the Pokémons Attack and Sp. Atk statswhen its HP becomes half or less.,Defeatist
a_383800f8,3.0,1.0,The Pokémon draws in all Electric-type moves.Instead of being hit by Electric-type movesit boosts its Sp. Atk.,Lightning Rod
a_18e3f70f,7.0,0.0,,Jagged Edge
a_0b9566a3,7.0,1.0,Doubles the Pokémons Speed stat onElectric Terrain.,Surge Surfer
a_ab6f2f88,5.0,0.0,,Medic
a_4696dd00,8.0,1.0,Ignores the effects of opposing Pokémon’s Abilities andmoves that draw in moves.,Propeller Tail
a_5f6f0b73,8.0,1.0,Enables the Pokémon to move first occasionally.,Quick Draw
a_2fe4ca77,8.0,1.0,"The Pokémon changes its form, alternating betweenits Full Belly Mode and Hangry Mode after the end ofeach turn.",Hunger Switch
a_4c4136dc,8.0,1.0,Protects the Pokémon and its ally Pokémon frombeing poisoned.,Pastel Veil
a_6597013d,8.0,1.0,"If the Pokémon with Neutralizing Gas is in the battle,the effects of all Pokémon’s Abilities will be nullifiedor will not be triggered.",Neutralizing Gas
a_00afa0ba,8.0,1.0,Boosts the Pokémon’s Attack stat but only allowsthe use of the first selected move.,Gorilla Tactics
a_843633f9,8.0,1.0,The Pokémon exchanges Abilities with a Pokémonthat hits it with a move that makes direct contact.,Wandering Spirit
