move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect,flavor_text,name
m_1d2d449f,1.0,id-1,80.0,15.0,100.0,0.0,10,2,1,,5.0,23.0,5.0,The target is slugged with a punch thrown atmaximum power.,Strength
m_073147d4,1.0,id-12,20.0,25.0,100.0,0.0,10,3,4,,4.0,9.0,20.0,A nutrient-draining attack. The user’s HP is restoredby half the damage taken by the target.,Absorb
m_bb0341fd,1.0,id-12,40.0,15.0,100.0,0.0,10,3,4,,4.0,4.0,20.0,A nutrient-draining attack. The user’s HP is restoredby half the damage taken by the target.,Mega Drain
m_ee127f23,1.0,id-12,,10.0,90.0,0.0,10,1,85,,4.0,8.0,21.0,A seed is planted on the target. It steals some HPfrom the target every turn.,Leech Seed
m_7617bedb,1.0,id-1,,20.0,,0.0,7,1,317,,2.0,32.0,11.0,"The user’s body grows all at once, raising theAttack and Sp. Atk stats.",Growth
m_143df3dd,1.0,id-12,55.0,25.0,95.0,0.0,11,2,44,,1.0,2.0,5.0,Sharp-edged leaves are launched to slash at opposingPokémon. Critical hits land more easily.,Razor Leaf
m_9d119a21,1.0,id-12,120.0,10.0,100.0,0.0,10,3,152,,1.0,1.0,6.0,"In this two-turn attack, the user gathers light, thenblasts a bundled beam on the next turn.",Solar Beam
m_5fa25996,1.0,id-4,,35.0,75.0,0.0,10,1,67,,4.0,33.0,19.0,The user scatters a cloud of poisonous dust thatpoisons the target.,Poison Powder
m_b637e1fb,1.0,id-12,,30.0,75.0,0.0,10,1,68,,4.0,14.0,19.0,The user scatters a cloud of numbing powder thatparalyzes the target.,Stun Spore
m_c20abd5f,1.0,id-12,,15.0,75.0,0.0,10,1,2,,4.0,5.0,19.0,The user scatters a big cloud of sleep-inducing dustaround the target.,Sleep Powder
m_9172bdfc,8.0,id-2,,5.0,,0.0,7,1,425,100.0,,,,This move raises all the user’s stats but preventsthe user from switching out or fleeing.,No Retreat
m_06943dff,8.0,id-17,80.0,5.0,100.0,0.0,10,2,1,,,,,"The user, having mastered the Dark style, strikes thetarget with a fierce blow. This attack always resultsin a critical hit.",Wicked Blow
m_e20a9556,1.0,id-14,,20.0,,0.0,7,1,52,,1.0,15.0,13.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Barrier
m_eb13f127,1.0,id-3,35.0,35.0,100.0,0.0,10,2,1,,1.0,1.0,5.0,The target is jabbed with a sharply pointed beakor horn.,Peck
m_8681a672,8.0,id-16,25.0,20.0,90.0,0.0,10,2,1,,,,,The user attacks by shooting scales two to five timesin a row. This move boosts the users Speed stat butlowers its Defense stat.,Scale Shot
m_c5cf4e28,8.0,id-15,130.0,5.0,100.0,0.0,11,2,1,,,,,The user attacks by hurling a blizzard-cloakedicicle lance at opposing Pokémon.,Glacial Lance
m_162bacf4,1.0,id-14,,30.0,,0.0,4,1,36,,2.0,15.0,13.0,A wondrous wall of light is put up to reduce damagefrom special attacks for five turns.,Light Screen
m_c6d00a04,1.0,id-1,80.0,20.0,85.0,,10,2,1,,5.0,1.0,18.0,The target is slugged by a punch thrown withmuscle-packed power.,Mega Punch
m_3e5d2f4b,8.0,id-12,80.0,10.0,100.0,0.0,10,2,397,100.0,,,,The user inflicts damage by dropping an apple fromhigh above. This also lowers the target’s Defense stat.,Grav Apple
m_7e333afe,1.0,id-15,,30.0,,0.0,12,1,26,,2.0,33.0,13.0,The user creates a haze that eliminates every statchange among all the Pokémon engaged in battle.,Haze
m_991b009f,6.0,id-14,80.0,5.0,,,10,3,360,,,,,Using a hyperspace hole the user appears rightnext to the target and strikes. This also hits a targetusing a move such as Protect or Detect.,Hyperspace Hole
m_968070a5,3.0,id-1,,,100.0,0.0,9,1,200,,3.0,6.0,14.0,The user performs a wobbly dance that confusesthe Pokémon around it.,Teeter Dance
m_4603f386,1.0,id-14,,20.0,,0.0,4,1,66,,4.0,15.0,13.0,A wondrous wall of light is put up to reduce damagefrom physical attacks for five turns.,Reflect
m_b3beaebc,1.0,id-1,18.0,15.0,85.0,0.0,10,2,30,,5.0,12.0,7.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Comet Punch
m_64949b89,1.0,id-1,80.0,20.0,85.0,0.0,10,2,1,,5.0,1.0,18.0,The target is slugged by a punch thrown withmuscle-packed power.,Mega Punch
m_38feada3,1.0,id-1,40.0,20.0,100.0,0.0,10,2,35,,4.0,11.0,23.0,Numerous coins are hurled at the target to inflictdamage. Money is earned after the battle.,Pay Day
m_7406b0c5,1.0,id-10,75.0,15.0,100.0,0.0,10,2,5,10.0,2.0,1.0,17.0,The target is punched with a fiery fist. This may alsoleave the target with a burn.,Fire Punch
m_09990713,1.0,id-1,40.0,35.0,100.0,0.0,10,2,1,,5.0,1.0,5.0,"The target is physically pounded with a long tail, aforeleg, or the like.",Pound
m_21c867c7,1.0,id-2,50.0,25.0,100.0,0.0,10,2,44,,5.0,2.0,5.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Karate Chop
m_03e81a10,1.0,id-1,15.0,10.0,85.0,0.0,10,2,30,,5.0,10.0,7.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Double Slap
m_c38534b5,1.0,id-12,55.0,25.0,95.0,0.0,11,2,44,,1.0,2.0,5.0,Sharp-edged leaves are launched to slash at opposingPokémon. Critical hits land more easily.,Razor Leaf
m_38a28e50,8.0,id-12,,10.0,,0.0,13,1,1,,,,,"The user becomes one with the jungle, restoring HPand healing any status conditions of itself and its allyPokémon in battle.",Jungle Healing
