pokemon,ability,is_hidden,slot
p_0a79f8ae,a_4b647701,0,1
p_0a79f8ae,a_56747035,1,3
p_e034cfd0,a_4b647701,0,1
p_e034cfd0,a_56747035,1,3
p_69a67bc8,a_4b647701,0,1
p_69a67bc8,a_56747035,1,3
p_dfeffeb3,a_34112778,0,1
p_dfeffeb3,a_a628d4fe,1,3
p_e36789c2,a_34112778,0,1
p_e36789c2,a_a628d4fe,1,3
p_1d9bb027,a_34112778,0,1
p_1d9bb027,a_a628d4fe,1,3
p_2c07b63c,a_b319852b,0,1
p_2c07b63c,a_64216c1d,1,3
p_58e9a2ae,a_b319852b,0,1
p_58e9a2ae,a_64216c1d,1,3
p_ec0d740a,a_b319852b,0,1
p_ec0d740a,a_64216c1d,1,3
p_003c41d5,a_fb761663,0,1
p_003c41d5,a_7fb884bb,1,3
p_34fa6cc5,a_72847a9c,0,1
p_d08069e0,a_b5a89028,0,1
p_d08069e0,a_24b89273,1,3
p_b91b256d,a_fb761663,0,1
p_b91b256d,a_7fb884bb,1,3
p_620911cb,a_72847a9c,0,1
p_07a26da8,a_1ea344d1,0,1
p_07a26da8,a_07082d17,1,3
p_969c71b4,a_bb58525f,0,1
p_969c71b4,a_5b424c56,0,2
p_969c71b4,a_b5a1613d,1,3
p_0cea8f24,a_bb58525f,0,1
p_0cea8f24,a_5b424c56,0,2
p_0cea8f24,a_b5a1613d,1,3
p_4096046a,a_bb58525f,0,1
p_4096046a,a_5b424c56,0,2
p_4096046a,a_b5a1613d,1,3
p_71fd0f13,a_7fb884bb,0,1
p_71fd0f13,a_7c125a84,0,2
p_71fd0f13,a_c62d688b,1,3
p_06480ee0,a_7fb884bb,0,1
p_06480ee0,a_7c125a84,0,2
p_06480ee0,a_c62d688b,1,3
p_4eed6011,a_bb58525f,0,1
p_4eed6011,a_07082d17,1,3
p_6edba5b2,a_bb58525f,0,1
p_6edba5b2,a_07082d17,1,3
p_f2da4b86,a_a56d16b3,0,1
p_f2da4b86,a_72847a9c,0,2
p_f2da4b86,a_4d998458,1,3
p_1db522c6,a_a56d16b3,0,1
p_1db522c6,a_72847a9c,0,2
p_1db522c6,a_4d998458,1,3
p_85eb5c4e,a_d6055983,0,1
p_85eb5c4e,a_d25ef48e,1,3
p_973d85a8,a_d6055983,0,1
p_973d85a8,a_d25ef48e,1,3
p_f0fe5ea9,a_731adbf7,0,1
p_f0fe5ea9,a_c71c1882,1,3
p_f2462e65,a_731adbf7,0,1
p_f2462e65,a_c71c1882,1,3
p_0d08a997,a_e00dbd35,0,1
p_0d08a997,a_93029957,0,2
p_0d08a997,a_c62d688b,1,3
p_65365a2f,a_e00dbd35,0,1
p_65365a2f,a_93029957,0,2
p_65365a2f,a_c62d688b,1,3
p_0408be73,a_e00dbd35,0,1
p_0408be73,a_93029957,0,2
p_0408be73,a_65d9ec6e,1,3
