pokemon,version,item,rarity
p_b3191ba7,30,i_ed7a4c76,5
p_6a484dd8,28,i_aff3a027,5
p_1f98be64,12,i_dfc3a7f2,100
p_1f25ed0b,26,i_a06abd3d,5
p_b0b38613,28,i_95160cca,5
p_c6384c0e,15,i_cc73b589,5
p_f7484f9e,30,i_c0c4b257,5
p_122d931d,28,i_91b0d686,5
p_fb41d29f,25,i_91b0d686,5
p_aa4101ab,11,i_2f96e457,100
p_f2e7cb20,22,i_34b5197c,5
p_40ef56c0,14,i_69649e64,5
p_c7c3abe7,29,i_34b5197c,5
p_2be3d4b1,25,i_114796d1,5
p_54f2578f,27,i_0f4f0193,5
p_d0a989de,22,i_d38360e0,5
p_b67ba255,21,i_ee882f4d,5
p_f8346600,12,i_cf07c155,5
p_327ee00f,15,i_15a3faba,5
p_8126f0ab,28,i_b197a352,50
p_90e451d3,11,i_6def45e3,50
p_3a168976,15,i_ea645365,5
p_fe73762c,12,i_ed7a4c76,100
p_85a6264e,28,i_d46bcc61,5
p_e8ce0640,10,i_78614607,5
p_6ea5d789,27,i_944d0422,50
p_1a804c5b,18,i_998d0550,50
p_ef33364a,12,i_114796d1,5
p_4772c9e3,30,i_aff3a027,5
p_a3f8a973,21,i_cac0d853,5
p_f7484f9e,17,i_c0c4b257,5
p_5b41a4ca,28,i_50e94d9a,5
p_7e7c7fc9,18,i_4be4a298,1
p_67102227,9,i_d9e2a6ab,5
p_aba34775,28,i_caf2b77b,5
p_aa4101ab,15,i_2f96e457,100
p_c7c3abe7,18,i_34b5197c,5
p_d959a43f,14,i_c0c4b257,5
p_d79908d6,14,i_dfc3a7f2,100
p_a85558da,15,i_05a2225a,5
p_b2950114,30,i_91b0d686,5
p_f0426e6b,22,i_f1fa21da,5
p_f2462e65,9,i_aff3a027,5
p_1aafae5a,28,i_3a465e6f,5
p_acd755ca,26,i_2f96e457,100
p_c44616f1,25,i_d3717ecd,5
p_e2a6cec8,29,i_99b2a2eb,5
p_fc796a8c,22,i_78dc996a,50
p_67102227,17,i_20976a3d,50
p_e8ce0640,8,i_78614607,5
p_84604db4,17,i_60ff0367,5
p_c108bae8,29,i_0f4f0193,5
p_24f77b9d,17,i_99b2a2eb,5
p_1c2b0efe,29,i_ee882f4d,5
p_7cc090f2,13,i_99b2a2eb,5
p_cdaac739,29,i_cde02c09,5
p_4729419d,29,i_cc73b589,5
p_34a4ece6,22,i_eb16fe3f,5
p_8cb549cc,14,i_a9a08996,5
p_76c8ee3a,18,i_78dc996a,50
p_c404d1e4,27,i_462495a4,5
p_5b41a4ca,18,i_50e94d9a,5
p_24f77b9d,18,i_99b2a2eb,5
p_c1d9b686,29,i_91b0d686,5
p_f800bef3,30,i_cc73b589,5
p_6051ecec,29,i_0f4f0193,5
p_fe73762c,14,i_2f96e457,100
p_122d931d,7,i_91b0d686,5
p_c4f35c50,28,i_d38360e0,5
p_60739100,16,i_78614607,5
p_35e3e28c,29,i_51599e4b,5
p_48489334,16,i_05a2225a,5
p_a58f52d9,18,i_cf07c155,5
p_fc796a8c,21,i_aff3a027,5
p_6246e21e,9,i_d644a07c,5
p_59a221f5,24,i_ee882f4d,5
