pokemon,version_group,move,pokemon_move_method,level,order
p_5b035982,20,m_c0a308a8,1,1,2.0
p_b4d45787,20,m_b4fcac5b,1,1,2.0
p_4772c9e3,20,m_d7951f82,1,1,1.0
p_1cb775df,20,m_3ecb05f2,1,1,2.0
p_0dfbf219,20,m_1a6e5aaa,1,1,7.0
p_b2a7b6f3,20,m_aa09a94b,1,24,2.0
p_f0426e6b,20,m_2a80e1f3,1,1,1.0
p_0cd225f3,20,m_1e2d9624,1,1,1.0
p_782c5cf3,20,m_42d7d619,1,1,3.0
p_0dfbf219,20,m_97e7b3ec,1,1,8.0
p_72a9ad6d,20,m_849b235f,1,1,4.0
p_f389ec4f,20,m_e2b3fd3f,1,1,2.0
p_f25bb647,20,m_f4418ee4,1,1,2.0
p_e36f333a,20,m_f40e4ea3,1,1,2.0
p_f8346600,20,m_923664ab,1,1,1.0
p_b5f2291d,20,m_3e8daf50,1,1,6.0
p_d9ca6889,20,m_04b46ee9,1,36,1.0
p_56495143,20,m_c93378d1,1,1,1.0
p_d2217a54,20,m_fc1b87e1,1,24,1.0
p_1fec2936,20,m_691962f1,1,1,3.0
p_7c7e59d7,20,m_c0a308a8,1,1,9.0
p_bbdf15eb,20,m_9e35e72f,1,1,5.0
p_4cc0c12f,20,m_cccd194c,1,1,2.0
p_9439fb29,20,m_5cfc118c,1,1,1.0
p_54f2578f,20,m_dcad69d9,1,1,7.0
p_17ee6a62,20,m_ad7f967b,1,1,2.0
p_f636ec5f,20,m_b35fa2b5,1,1,3.0
p_909d9de8,20,m_1a4e46c6,1,24,1.0
p_1a51f525,20,m_3d02aa31,1,1,1.0
p_edb0f73f,20,m_d3071402,1,1,7.0
p_a3edadba,20,m_cccd194c,1,1,2.0
p_2740b16b,20,m_b165f896,1,1,2.0
p_9d07df1c,20,m_efe3fc8b,1,1,2.0
p_452982db,20,m_cccd194c,1,1,2.0
p_ab3b4800,20,m_e2b3fd3f,1,1,2.0
p_e9c3d893,20,m_a162cb22,1,1,5.0
p_7c7e59d7,20,m_4b366630,1,1,6.0
p_8cb549cc,20,m_1659b9f8,1,1,2.0
p_909d9de8,20,m_e5f5fedc,1,1,1.0
p_978e4acf,20,m_e2b3fd3f,1,1,4.0
p_b7869d51,20,m_efe3fc8b,1,1,2.0
p_3937b865,20,m_4603f386,1,30,2.0
p_cc28c80c,20,m_51bbe3eb,1,1,9.0
p_4842cf6d,20,m_0a174de7,1,1,1.0
p_eaab2be7,20,m_ad7f967b,1,1,13.0
p_3c34c15d,20,m_7b7c9cff,1,1,8.0
p_5ac75991,20,m_849b235f,1,1,2.0
p_adc36e6e,20,m_b703d6a4,1,1,1.0
p_847ca8ef,20,m_14501733,1,1,3.0
p_663116d6,20,m_01ccb5b6,1,1,2.0
p_54cc7584,20,m_07fc82bf,1,36,1.0
p_74c75553,20,m_e69225e2,1,1,1.0
p_676d9427,20,m_681cd0c1,1,1,4.0
p_0c497dff,20,m_dfd86f6b,1,1,3.0
p_773613a5,20,m_760cc4f2,1,36,2.0
p_a2d39e11,20,m_1659b9f8,1,1,7.0
p_3bfc6080,20,m_e2b3fd3f,1,1,2.0
p_aea4c475,20,m_47688a3b,1,1,4.0
p_b4d45787,20,m_7d4bd896,1,1,6.0
p_cc28c80c,20,m_a52ce8d4,1,1,3.0
p_bb404b90,20,m_cccd194c,1,1,4.0
p_35699f73,20,m_d878e376,1,1,7.0
p_7401595b,20,m_b4fcac5b,1,1,2.0
p_64e5c334,20,m_027805d9,1,1,1.0
p_663116d6,20,m_d7951f82,1,1,7.0
p_3bec042a,20,m_361d0549,1,1,5.0
p_663116d6,20,m_6dd04c3f,1,1,15.0
p_3dc2f292,20,m_476d1019,1,1,1.0
p_c138ff94,20,m_77ced336,1,1,14.0
p_d356555b,20,m_e09c6c35,1,1,3.0
p_b83fec82,20,m_cccd194c,1,1,1.0
p_127d13c3,20,m_5eaf2458,1,1,1.0
p_809ab63e,20,m_4b366630,1,1,12.0
p_d356555b,20,m_7a20ba36,1,1,8.0
p_ec7cf3ff,20,m_e7c362b6,1,1,1.0
p_51dab86e,20,m_b3608a9a,1,1,4.0
p_8bb7bdd0,20,m_e2b3fd3f,1,1,5.0
p_3dc2f292,20,m_fb4ed71b,1,1,9.0
p_20f5d7cb,20,m_8fabc910,1,1,1.0
p_f389ec4f,20,m_d7c09c92,1,1,4.0
p_1c99d832,20,m_80ce94c8,1,1,1.0
p_bf469e28,20,m_0a174de7,1,1,1.0
p_eaab2be7,20,m_b4fcac5b,1,1,2.0
p_9303066c,20,m_9a314631,1,1,1.0
p_042087fd,20,m_d9fe8eac,1,1,1.0
p_e52e15a5,20,m_7a91d9e1,1,1,3.0
p_9cc7e0a1,20,m_29ad7469,1,1,7.0
p_fa26a0a7,20,m_ee91272c,1,1,1.0
p_310fcb68,20,m_bfdc9aab,1,1,2.0
p_2147dbe8,20,m_ad7f967b,1,1,19.0
p_bdd3af08,20,m_e6d6d933,1,1,6.0
p_f46ef00f,20,m_01a39620,1,1,1.0
p_9439fb29,20,m_1d1f95c2,1,1,2.0
p_a58f52d9,20,m_c765c162,1,1,7.0
p_85c1c4a0,20,m_c93378d1,1,1,2.0
p_4b352a88,20,m_da81784f,1,1,3.0
p_85a6264e,20,m_e2b3fd3f,1,1,2.0
p_0ef2a5ae,20,m_8e4249ec,1,1,1.0
p_fc796a8c,20,m_e2b3fd3f,1,1,2.0
p_1f25ed0b,20,m_b0e0daa1,1,1,1.0
p_0bff6143,20,m_c38534b5,1,12,2.0
p_f94fdaf8,20,m_773e5575,1,1,2.0
p_be1bb38a,20,m_33a27727,1,1,4.0
p_8d9f7927,20,m_19eebd81,1,1,7.0
p_6791e219,20,m_15a326cb,1,1,11.0
p_8d7dfd5a,20,m_b3eef395,1,1,3.0
p_8126f0ab,20,m_c38534b5,1,1,8.0
p_43e2d88c,20,m_ff9393aa,1,1,5.0
p_23326eea,20,m_d9fe8eac,1,1,7.0
p_dbe93636,20,m_0bdc42b2,1,1,1.0
p_782c5cf3,20,m_2820a608,1,1,1.0
p_b67ba255,20,m_c0a308a8,1,1,7.0
p_822cd7f5,20,m_0f5680d3,1,1,5.0
p_6317a992,20,m_c0a308a8,1,1,5.0
p_16477544,20,m_13abeeef,1,1,2.0
p_cab4dc02,20,m_c93378d1,1,1,1.0
p_c138ff94,20,m_29bd5536,1,1,7.0
p_7de09c8a,20,m_29bd5536,1,1,16.0
p_9a670085,20,m_1659b9f8,1,1,11.0
p_63646996,20,m_f172d8cf,1,1,9.0
p_6791e219,20,m_4ff7e250,1,1,15.0
p_eaab2be7,20,m_1659b9f8,1,1,12.0
p_e57dd7af,20,m_29bd5536,1,40,1.0
p_2147dbe8,20,m_7b7c9cff,1,1,7.0
p_3ac396f6,20,m_07fc82bf,1,56,2.0
p_690b11f7,20,m_3d26006b,1,1,1.0
p_b32547b3,20,m_8886224f,1,36,3.0
p_cfc84d7f,20,m_bcc5ddd7,1,1,1.0
p_ce8792ef,20,m_8fbb1a0b,1,1,14.0
p_4718c422,20,m_d9fe8eac,1,1,6.0
p_a58f52d9,20,m_923664ab,1,1,1.0
p_d08069e0,20,m_f172d8cf,1,12,1.0
p_294412cf,20,m_1659b9f8,1,1,2.0
p_0408be73,20,m_ad7f967b,1,1,14.0
p_809ab63e,20,m_ad7f967b,1,1,13.0
p_92abab29,20,m_bd563f0b,1,1,3.0
p_b4f86955,20,m_8e4249ec,1,1,3.0
p_6bca8aa0,20,m_4913d1ed,1,1,1.0
p_5e57b9bb,20,m_1659b9f8,1,1,2.0
p_2ef7f6ba,20,m_9661af95,1,1,5.0
p_8bb7bdd0,20,m_b457e59a,1,1,6.0
p_a26516bb,20,m_c03350f3,1,1,2.0
p_7182cf07,20,m_3faa6a72,1,1,2.0
p_5dfc29e2,20,m_05fbd872,1,1,1.0
p_4486ed4d,20,m_d7c09c92,1,1,5.0
p_a4d7527f,20,m_9fe9348e,1,1,1.0
p_006cbd58,20,m_8f9beedb,1,1,5.0
p_23c3c22e,20,m_0a174de7,1,1,3.0
p_37aad0d3,20,m_1659b9f8,1,1,8.0
p_14c68c06,20,m_3c700710,1,1,1.0
p_519049e9,20,m_15a326cb,1,1,14.0
p_14c68c06,20,m_3c700710,1,1,1.0
p_0408be73,20,m_da81784f,1,1,14.0
p_bbdf15eb,20,m_df89b523,1,1,6.0
p_2fd541a7,20,m_13488df4,1,1,5.0
p_2147dbe8,20,m_01df8340,1,1,1.0
p_3bfc6080,20,m_c58e47ba,1,1,4.0
p_b64a49f9,20,m_df7fce2b,1,1,1.0
p_edb0f73f,20,m_f40e4ea3,1,1,10.0
p_c84eb7b2,20,m_d878e376,1,1,4.0
p_51e46b03,20,m_d878e376,1,1,4.0
p_9cc7e0a1,20,m_a52ce8d4,1,1,6.0
p_bbdf15eb,20,m_0d25efb4,1,1,2.0
p_663116d6,20,m_7a20ba36,1,1,8.0
p_9990a3d1,20,m_77ced336,1,1,7.0
p_3937b865,20,m_e2b3fd3f,1,1,2.0
p_006cbd58,20,m_7d4bd896,1,1,6.0
p_eaab2be7,20,m_e09c6c35,1,1,3.0
p_64e5c334,20,m_c93378d1,1,1,1.0
p_30ea1cb7,20,m_cccd194c,1,1,1.0
p_3fc28e0d,20,m_0e8529e0,1,1,7.0
p_c64bc4cb,20,m_da81784f,1,1,2.0
p_599f2eb5,20,m_a8c09667,1,1,1.0
p_c0515915,20,m_cccd194c,1,1,9.0
p_3c3e6977,20,m_1659b9f8,1,1,4.0
p_376219a0,20,m_7617e38c,1,56,1.0
p_376a830e,20,m_a2e8d77e,1,36,1.0
p_ab3b4800,20,m_0a174de7,1,1,3.0
p_c2946b78,20,m_3c700710,1,1,2.0
p_29cd2c8f,20,m_e32315ce,1,1,12.0
p_3dc2f292,20,m_8654bad7,1,1,14.0
p_16c44746,20,m_19423178,1,1,4.0
p_ff786ea7,20,m_ad7f967b,1,1,2.0
p_bdcd0b76,20,m_29bd5536,1,50,1.0
p_70dfad21,20,m_2a80e1f3,1,1,1.0
p_b4f86955,20,m_cccd194c,1,1,5.0
p_67102227,20,m_51bbe3eb,1,1,8.0
p_d08069e0,20,m_5ad2bfcf,1,1,4.0
p_4718c422,20,m_47d46115,1,1,5.0
p_d7463523,20,m_1659b9f8,1,1,2.0
p_9077d865,20,m_e2b3fd3f,1,1,2.0
p_9c4bec01,20,m_ec121607,1,1,2.0
p_fee0d597,20,m_a8c09667,1,1,2.0
p_a2552e68,20,m_8f5e32ab,1,1,4.0
p_82c7b207,20,m_a6f8291b,1,1,1.0
p_dc8c22f4,20,m_e2b3fd3f,1,1,2.0
p_b33fff91,20,m_361d0549,1,1,5.0
p_0bbc2d23,20,m_d1ec32f3,1,1,13.0
p_4353a3b6,20,m_08d443c9,1,1,12.0
p_aea4c475,20,m_d9fe8eac,1,1,2.0
p_4f8b0122,20,m_f4418ee4,1,1,2.0
p_9254b2cb,20,m_f8dbcd8c,1,1,2.0
p_51dab86e,20,m_b42dcafa,1,1,2.0
p_4353a3b6,20,m_ee127f23,1,1,18.0
p_c108bae8,20,m_5aabae74,1,1,2.0
p_1c99d832,20,m_07039041,1,1,12.0
p_6c3b80c0,20,m_56f13700,1,1,1.0
p_29cd2c8f,20,m_bf6dd5d6,1,1,17.0
p_7f623259,20,m_d0e14285,1,1,2.0
p_6f3869b5,20,m_baba2db1,1,1,2.0
p_fa26a0a7,20,m_0a174de7,1,1,9.0
p_4bb0d9fc,20,m_003fc7ac,1,35,1.0
p_50a86fd6,20,m_97ccdb53,1,1,5.0
p_0e9167e0,20,m_29bd5536,1,1,2.0
p_bdd3af08,20,m_f2923d23,1,1,5.0
p_589c4f99,20,m_19d5b36d,1,1,1.0
p_84604db4,20,m_ba19ec96,1,1,1.0
p_51dab86e,20,m_09990713,1,1,14.0
p_6e52d608,20,m_8fbb1a0b,1,1,18.0
p_327b708e,20,m_3fa468f1,1,1,5.0
p_a26fbc55,20,m_e5f5fedc,1,1,1.0
p_9391cec5,20,m_fd0283c6,1,1,4.0
p_18c7d7e2,20,m_8f9beedb,1,1,5.0
p_ca5eaeb9,20,m_8f9beedb,1,1,2.0
p_7182cf07,20,m_a2e8d77e,1,1,6.0
p_c8d8cfbc,20,m_ad7f967b,1,1,4.0
p_c138ff94,20,m_29bd5536,1,1,7.0
p_0bff6143,20,m_dd5c23e3,1,1,5.0
p_8bb7bdd0,20,m_cccd194c,1,1,4.0
p_7e7c7fc9,20,m_2650179e,1,1,2.0
p_92ef3a16,20,m_93c23859,1,1,1.0
p_c060b130,20,m_1a4e46c6,1,44,1.0
p_67126bb8,20,m_3ecb05f2,1,1,2.0
p_91e46a43,20,m_f9339504,1,1,5.0
p_e8403e01,20,m_cccd194c,1,1,5.0
p_3d9a6e9d,20,m_0a174de7,1,1,1.0
p_1c99d832,20,m_e2b3fd3f,1,1,11.0
p_bac81a50,20,m_cccd194c,1,1,3.0
p_35b9da5e,20,m_09cc8553,1,1,1.0
p_2e4599f4,20,m_0bdc42b2,1,1,2.0
p_3ed40554,20,m_7d4bd896,1,1,2.0
p_ab266131,20,m_0bdc42b2,1,1,1.0
p_076ccf88,20,m_1d1f95c2,1,1,1.0
p_20f5d7cb,20,m_13488df4,1,1,7.0
p_3cff6d4d,20,m_9a314631,1,1,1.0
p_8bb7bdd0,20,m_b457e59a,1,1,6.0
p_4bb0d9fc,20,m_e2b3fd3f,1,1,2.0
p_ccf81d76,20,m_e5672f7c,1,1,1.0
p_b33fff91,20,m_d0e14285,1,1,1.0
p_c07cf29c,20,m_e161f4b5,1,1,5.0
p_eea8d394,20,m_a5a3b92b,1,1,1.0
p_701f6637,20,m_cccd194c,1,1,4.0
p_bb864036,20,m_10f14cbd,1,1,10.0
p_29cd2c8f,20,m_fa96adba,1,1,8.0
p_edb0f73f,20,m_0bdc42b2,1,1,2.0
p_e57dd7af,20,m_fc1b87e1,1,40,1.0
p_302df944,20,m_a162cb22,1,1,2.0
p_663116d6,20,m_29bd5536,1,1,6.0
p_2740b16b,20,m_23335e40,1,1,2.0
p_3937b865,20,m_d9fe8eac,1,1,1.0
p_18fdfece,20,m_d878e376,1,1,1.0
p_5d927e94,20,m_cccd194c,1,1,3.0
p_c138ff94,20,m_4603f386,1,1,8.0
p_f7484f9e,20,m_da81784f,1,1,3.0
p_db0b5811,20,m_d9fe8eac,1,1,1.0
p_57e6e494,20,m_5fcbbe69,1,1,5.0
p_b1babd1d,20,m_5d96b7d5,1,1,1.0
p_a4d7527f,20,m_bfdc9aab,1,1,4.0
p_88a653a2,20,m_aa09a94b,1,24,2.0
p_07312a32,20,m_bf6dd5d6,1,1,3.0
p_5d22a35c,20,m_30a116dc,1,1,1.0
p_7b5d896f,20,m_d1ec32f3,1,1,1.0
p_6b0eccff,20,m_42eab06d,1,1,4.0
p_979fa2e9,20,m_30a116dc,1,1,1.0
p_be1bb38a,20,m_e3992118,1,1,11.0
p_e831f4fe,20,m_0a174de7,1,1,1.0
p_e1e72d49,20,m_a6d91c12,1,1,3.0
p_c64bc4cb,20,m_ad7f967b,1,1,2.0
p_4cc0c12f,20,m_4b366630,1,1,1.0
p_b8d1b58f,20,m_4b366630,1,1,2.0
p_327b708e,20,m_8886224f,1,1,13.0
p_1f25ed0b,20,m_5aabae74,1,1,2.0
p_006cbd58,20,m_cccd194c,1,1,4.0
p_e1e72d49,20,m_cccd194c,1,1,4.0
p_14c68c06,20,m_2650179e,1,1,8.0
p_dbe93636,20,m_a8c09667,1,1,2.0
p_6ea5d789,20,m_e98e70d9,1,1,8.0
p_fd5f2c7c,20,m_1659b9f8,1,1,6.0
