pokemon,name,height,weight,base_experience,is_default
p_6bb0e03f,chat0t,5.0,,144,1
p_63acc066,honedge,8.0,20.0,65,1
p_b49261ae,luvcisx,6.0,,116,1
p_c08f6152,araquanid-totem,31.0,2175.0,159,0
p_cab4dc02,rydon,,1200.0,170,1
p_05c2c27e,drilbuah,,85.0,66,1
p_73fe97cc,bastiodon,13.0,1495.0,173,1
p_a28f89bb,shieldon,5.0,570.0,70,1
p_09461da7,loutred,,405.0,126,1
p_e96d0e40,carko|,,780.0,144,1
p_4353a3b6,exe9gutor,,1200.0,186,1
p_3dc2f292,exeggvtor,,1200.0,186,1
p_3e58e209,scraggy,6.0,118.0,70,1
p_ff786ea7,golceen,6.0,150.0,64,1
p_c8f88dab,cresselia,15.0,856.0,300,1
p_7254cb20,phione,4.0,31.0,216,1
p_7d1aca35,azelf,3.0,3.0,290,1
p_7a75f7ef,dialga,54.0,6830.0,340,1
p_0759d80f,uxie,3.0,3.0,290,1
p_763895c3,mesprit,3.0,3.0,290,1
p_1b3a38ce,regigigas,37.0,4200.0,335,1
p_7377b67a,giratina-altered,45.0,7500.0,340,1
p_f33a81bc,palkia,42.0,3360.0,340,1
p_17445a86,heatran,17.0,4300.0,300,1
p_4c6e439c,treveriant,15.0,,166,1
p_40826764,sawj,,510.0,163,1
p_458edca8,sawi,14.0,510.0,163,1
p_56b99934,regice,18.0,1750.0,290,1
p_afd8a72a,registeel,19.0,2050.0,290,1
p_6e9f2d7e,caterpie,3.0,,39,1
p_9031b357,caterpi,,29.0,39,1
p_b11ce1a4,beldum,6.0,952.0,60,1
p_0faa13ce,metang,12.0,2025.0,147,1
p_87488d39,naganadel,36.0,1500.0,270,1
p_6eb1b031,regirock,17.0,2300.0,290,1
p_28ec9002,luvdisc,6.0,87.0,116,1
p_6051ecec,bagon,6.0,421.0,60,1
p_b9bccedf,shelgon,11.0,1105.0,147,1
p_7ddf4ee2,magearna,10.0,805.0,300,1
p_bf8b2db9,soogat,,105.0,149,1
p_d2217a54,duosion,6.0,80.0,130,1
p_c8b290a9,reuniclus,10.0,201.0,245,1
p_7741ec1c,gothitelle,15.0,440.0,245,1
p_ae38193d,solosis,3.0,10.0,58,1
p_021d313d,gothita,4.0,58.0,58,1
p_6bc42b47,gothorita,7.0,180.0,137,1
p_fdbeac1f,minccino,4.0,58.0,60,1
p_89b621fa,cinccino,5.0,75.0,165,1
p_db0b5811,zorua,7.0,125.0,66,1
p_75cc87a7,zoroark,16.0,811.0,179,1
p_19dba4ec,starly,3.0,20.0,49,1
p_00eb812d,staravia,6.0,155.0,119,1
p_0edd726e,prinplup,8.0,230.0,142,1
p_0bb5aa77,empoleon,17.0,845.0,239,1
p_04c4d843,infernape,12.0,550.0,240,1
p_7c5975f6,piplup,4.0,52.0,63,1
p_8055d81a,zygarde-complete,45.0,6100.0,354,0
p_7132c02f,gumshoos-totem,14.0,600.0,146,0
p_6bfe784b,lurantis-totem,15.0,580.0,168,0
p_19f2572f,salazzle-totem,21.0,810.0,168,0
