pokemon,species
p_6bb0e03f,s_fe978049
p_63acc066,s_81436b49
p_b49261ae,s_8c3d4abc
p_c08f6152,s_e7b22f53
p_cab4dc02,s_e9c54a88
p_05c2c27e,s_524f0d5a
p_73fe97cc,s_d333f99a
p_a28f89bb,s_6a13beda
p_09461da7,s_247e8e72
p_e96d0e40,s_00c456e5
p_4353a3b6,s_06f562d6
p_3dc2f292,s_06f562d6
p_3e58e209,s_2d343a3d
p_ff786ea7,s_1661115a
p_c8f88dab,s_c1cb6219
p_7254cb20,s_b799519a
p_7d1aca35,s_52cb080f
p_7a75f7ef,s_343ce3d0
p_0759d80f,s_cecba73d
p_763895c3,s_a4679abd
p_1b3a38ce,s_460b9b35
p_7377b67a,s_db204434
p_f33a81bc,s_71eba3c9
p_17445a86,s_da2a500c
p_4c6e439c,s_3721a473
p_40826764,s_efd9ba39
p_458edca8,s_75384e38
p_56b99934,s_dbf86e8e
p_afd8a72a,s_6cf5602e
p_6e9f2d7e,s_4490b72f
p_9031b357,s_9ae69dcb
p_b11ce1a4,s_1d3c6bbc
p_0faa13ce,s_accfd6ab
p_87488d39,s_d447d3fe
p_6eb1b031,s_b7e8ab5e
p_28ec9002,s_8c3d4abc
p_6051ecec,s_9084765c
p_b9bccedf,s_f825197a
p_7ddf4ee2,s_a1e072ab
p_bf8b2db9,s_58c35206
p_d2217a54,s_c4cadae1
p_c8b290a9,s_377eb830
p_7741ec1c,s_16188f17
p_ae38193d,s_ec07adfe
p_021d313d,s_0cf60680
p_6bc42b47,s_bc9a8289
p_fdbeac1f,s_98c3ac7a
p_89b621fa,s_38b9d127
p_db0b5811,s_cadfca47
p_75cc87a7,s_0844e668
p_19dba4ec,s_50894291
p_00eb812d,s_b3892b9d
p_0edd726e,s_dba70011
p_0bb5aa77,s_208243ad
p_04c4d843,s_4bda13b2
p_7c5975f6,s_5ac54e89
p_8055d81a,s_4cf9af4a
p_7132c02f,s_b014eb90
p_6bfe784b,s_65e014d1
p_19f2572f,s_362457c0
p_0f069a0b,s_5822744b
p_0ad6ba17,s_afa0ceb0
p_fc9860fa,s_4cf9af4a
p_9919792a,s_b3629d9a
p_a8f5f853,s_b87ea008
p_38997265,s_a31e0ed8
p_038e95d1,s_4ef79c0a
p_74c47dc2,s_15a41430
p_759b076b,s_6ca550ed
p_21a871ee,s_71ce56eb
p_5d4c6cc1,s_2f9349cb
p_2458f020,s_986ca577
p_93dc7e97,s_17f28f2d
p_aad2103f,s_375a952d
p_880906e2,s_42cd88e6
p_8bbd8a45,s_1fda1672
p_20e706e9,s_ed244e6c
p_fc47c039,s_18e0cc19
p_60ef50b4,s_babb8a4c
p_b8f28103,s_ee497e60
p_d209396b,s_cca23239
p_07312a32,s_b02db767
p_8c93b6c5,s_29d1d267
p_701f6637,s_272695df
p_ce8792ef,s_b1d29c48
p_ca5eaeb9,s_eaa89459
p_def41a20,s_86c432d2
p_c6384c0e,s_fd41649d
p_85a6264e,s_5312917a
p_b65d33a8,s_5312917a
p_834149c3,s_d9f901e7
p_80ee2fe3,s_d007c411
p_09963fb6,s_a826fedc
p_4abde213,s_5bae9175
p_f95a746e,s_ed19bc12
p_df4ec9be,s_3d027cec
p_1b05691b,s_a5255bf4
p_2ef7f6ba,s_64b0c677
p_49c88e97,s_9d9bd513
p_587ae95d,s_7380f085
p_cceb575e,s_d47f5bb4
p_2fd541a7,s_71719f68
p_74341ded,s_06482c3a
p_7f623259,s_71eba3c9
p_8a5e1859,s_18d49040
p_e9b32add,s_0e557ad1
p_f510396e,s_0e557ad1
p_2c583ae9,s_e3eef5f7
p_4fe263ea,s_c8564dcb
p_1ff8a267,s_159ece57
p_c47417b1,s_159ece57
p_a648da81,s_ab5fc35e
p_49ba9f86,s_ab5fc35e
p_70957d4e,s_13c2debe
p_2a119796,s_13c2debe
p_958d7898,s_b75f82f3
p_68c8ccae,s_b75f82f3
p_572b932b,s_41bd7bcc
p_11a8b705,s_b3274871
p_87ba7a50,s_f7bdb3e0
p_eea8d394,s_57a63736
p_27b6d215,s_6d7a9d9e
p_b4d45787,s_6d7a9d9e
p_ecde4383,s_c9a851c4
p_0f091bb2,s_b5a4534c
p_599f2eb5,s_f526a194
p_a72779e8,s_db204434
p_9d07df1c,s_db204434
p_d7d44e26,s_6ea1c293
p_97bdb32a,s_fbac4310
p_e8de4bad,s_757a4d5f
p_8d2adea1,s_b194930d
p_4bb0d9fc,s_b194930d
p_1f25ed0b,s_24bf8e1c
p_bdd3af08,s_ed05ea91
p_09b79c9e,s_891b22c1
p_40551510,s_adaf1d09
p_491a5f93,s_dbaf5599
p_67ed699e,s_dd11391a
p_49149cbf,s_ebb61b3b
p_b3c0d0a3,s_ebb61b3b
p_57f0ea0e,s_17692cec
p_e765fddf,s_1919736b
p_6859f497,s_1919736b
p_9e0025a5,s_6f79a8af
