species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order,flavor_text,name
s_cf3e765e,1.0,id-69,29,5.0,5.0,2.0,4,120,70,0,20,0,4,0,0.0,0.0,,It spits outPOISONPOWDER toimmobilize theenemy and thenfinishes it witha spray of ACID.,Weepinbell
s_9b1d373c,1.0,id-70,29,5.0,5.0,2.0,4,45,70,0,20,0,4,0,0.0,0.0,,"Said to live inhuge coloniesdeep in jungles,although no onehas ever returnedfrom there.",Victreebel
s_48a9ae96,1.0,,30,2.0,10.0,7.0,4,190,50,0,20,0,1,0,0.0,0.0,,Tentacool is not a particularly strong swimmer.It drifts across the surface of shallow seas as itsearches for prey.,Tentacool
s_48a9ae96,1.0,,30,2.0,10.0,7.0,4,190,50,0,20,0,1,0,0.0,0.0,,"This Pokémon is mostly made of water.A Tentacool out in the ocean is very hard tospot, because its body blends in with the sea.",Tentacool
s_4820b58e,1.0,id-72,30,2.0,10.0,7.0,4,60,50,0,20,0,1,0,0.0,0.0,,"When the red orbs on Tentacruel’s head glowbrightly, watch out. The Pokémon is about tofire off a burst of ultrasonic waves.",Tentacruel
s_4820b58e,1.0,id-72,30,2.0,10.0,7.0,4,60,50,0,20,0,1,0,0.0,0.0,,"Its 80 tentacles can stretch and shrink freely.Tentacruel ensnares prey in a net of spread-outtentacles, delivering venomous stings to its catch.",Tentacruel
s_bb66d690,1.0,,31,3.0,4.0,4.0,4,255,70,0,15,0,4,0,0.0,0.0,,"Found in fieldsand mountains.Mistaking themfor boulders,people often stepor trip on them.",Geodude
s_23263453,1.0,id-74,31,3.0,12.0,4.0,4,120,70,0,15,0,4,0,0.0,0.0,,Rolls down slopesto move. It rollsover any obstaclewithout slowingor changing itsdirection.,Graveler
s_bdf68109,1.0,id-75,31,3.0,12.0,4.0,4,45,70,0,15,0,4,0,0.0,0.0,,Its boulder-likebody is extremelyhard. It caneasily withstanddynamite blastswithout damage.,Golem
s_f6994b83,1.0,,32,10.0,8.0,3.0,4,190,50,0,20,0,2,0,0.0,0.0,,"It can’t run properly when it’s newly born.As it races around with others of its kind,its legs grow stronger.",Ponyta
s_f6994b83,1.0,,32,10.0,8.0,3.0,4,190,50,0,20,0,2,0,0.0,0.0,,"If you’ve been accepted by Ponyta, its burningmane is mysteriously no longer hot to the touch.",Ponyta
