COL name VAL Palace Music COL place_type VAL Studio COL ended VAL f COL id VAL p610	COL name VAL St Cecilia COL place_type VAL building Religious COL ended VAL f COL id VAL p717	0
COL name VAL Recombination Labs COL place_type VAL Studio COL ended VAL  COL id VAL p279	COL name VAL dada COL place_type VAL Venue COL address VAL Гороховая улица 47 COL coordinates VAL 5992754830323238.0 COL ended VAL t COL id VAL p178	0
COL name VAL Akins Ford at The Ciassic Center COL place_type VAL Indoor arena COL ended VAL f COL id VAL p173	COL name VAL La Mafée COL place_type VAL Venue COL ended VAL t COL id VAL p242	0
COL name VAL Music Hall Center for the Performin9 Arts COL place_type VAL eVnue COL address VAL 350 Madison Street Detroit MI 482s26 United States COL coordinates VAL 4233722283046111.0 COL ended VAL f COL id VAL p384	COL name VAL Music Hall Center f0r the Performing Arts COL place_type VAL Venue COL address VAL 350 Madison Street Detroit MI United 4u226 States COL coordinates VAL 4233722283046111.0 COL ended VAL f COL id VAL p684	1
COL name VAL Studios COL place_type VAL Studio COL ended VAL f COL id VAL p66	COL name VAL St Catharines Colege Cambridge COL place_type VAL Educational institution COL address VAL St Catharines College Cambridgw CB2 1RL UK COL coordinates VAL 5220301169.0 COL ended VAL f COL id VAL p442	0
COL name VAL  COL place_type VAL Religious building COL ended VAL f COL id VAL p296	COL name VAL St Cecilia COL place_type VAL building Religious COL ended VAL f COL id VAL p717	1
COL name VAL St Marys Hall Auditorium Thaetre COL place_type VAL  COL ended VAL f COL id VAL p319	COL name VAL Millersville University of Pennsylvania COL place_type VAL Educational institution COL address VAL  COL coordinates VAL 407635.60 COL ended VAL f COL id VAL p65	0
COL name VAL Joonior Studjos COL place_type VAL Studio COL ended VAL f COL id VAL p429	COL name VAL Gyllenbergen COL coordinates VAL 601791249222.0 COL ended VAL f COL id VAL p139	0
COL name VAL dada COL place_type VAL Venue COL address VAL Московский проспект 1093 СанктПетербург COL coordinates VAL 598901130317271.0 COL ended VAL f COL id VAL p400	COL name VAL Digraneskirkja COL place_type VAL Religious building COL coordinates VAL 6410778421886278.0 COL ended VAL f COL id VAL p386	0
COL name VAL Market Hotel COL place_type VAL Venue COL address VAL 1140 Myrtle Ave Brooklyn NY 11221 COL ended VAL f COL id VAL p648	COL name VAL Hochschule für Musik und Theater Hamburg COL address VAL Harvestehuder Weg 12 20148 Hamburg COL coordinates VAL  COL ended VAL f COL id VAL p511	0
COL name VAL Multi Media Masters COL place_type VAL Studio COL ended VAL  COL id VAL p86	COL name VAL The Lighthouse Theatre COL place_type VAL Venue COL address VAL 247 Main St COL coordinates VAL 4278604680203093.0 COL ended VAL f COL id VAL p575	0
COL name VAL Angel Sound Studios COL place_type VAL Studio COL ended VAL f COL id VAL p126	COL name VAL Studios COL place_type VAL Studio COL ended VAL f COL id VAL p66	0
COL name VAL Lansdownce Hotel COL place_type VAL Venue COL address VAL 26 City Road Chippendale NSW 20o8 Australia COL coordinates VAL 3.3884794151194884e+16 COL ended VAL f COL id VAL p212	COL name VAL Подвал прёмной комиссии МГИМО COL place_type VAL Studio COL address VAL Москва НиколоЩаповский переулок COL ended VAL f COL id VAL p535	0
COL name VAL Commercial Recordin Studio COL place_type VAL Studio COL address VAL 1120 Chenvert COL ended VAL f COL id VAL p255	COL name VAL Commercial Recording Studio COL place_type VAL Studio COL address VAL 1120 Chenevert COL ended VAL f COL id VAL p549	1
COL name VAL Klanglabor Weimar COL place_type VAL Studio COL ended VAL f COL id VAL p533	COL name VAL Long Beach City College COL place_type VAL Educational institution COL coordinates VAL 3.3834167118135556e+16 COL ended VAL f COL id VAL p268	0
COL name VAL Place de la Gare COL place_type VAL Other COL address VAL Place de la Gare 59000 Lille COL coordinates VAL 506366133069651.0 COL ended VAL f COL id VAL p345	COL name VAL Joonior Studiosz COL place_type VAL Studio COL ended VAL f COL id VAL p430	0
COL name VAL Studio MhSound COL place_type VAL Studio COL address VAL 11 allée de Longueterre 31850 Mxontrabé COL ended VAL f COL id VAL p293	COL name VAL Studio MySound COL place_type VAL Studio COL address VAL 11 allée de Longueterre 31850 Montrabé COL ended VAL f COL id VAL p678	1
COL name VAL Aud'lo ExEx COL place_type VAL Studio COL ended VAL f COL id VAL p157	COL name VAL Bar Kitchen COL place_type VAL Venue COL address VAL 24 Hoxton Square London N1 6NU COL coordinates VAL 515274560081724.0 COL ended VAL f COL id VAL p515	0
COL name VAL High Hold Studio COL place_type VAL Studio COL ended VAL f COL id VAL p90	COL name VAL Surrealis Sounds COL place_type VAL Studio COL ended VAL f COL id VAL p555	0
COL name VAL Sandkvie Studio COL place_type VAL Studio COL ended VAL f COL id VAL p441	COL name VAL Bliss Stueois COL place_type VAL Studio COL ended VAL f COL id VAL p707	0
COL name VAL Digraneskirkja COL place_type VAL Religious building COL coordinates VAL 6410778421886278.0 COL ended VAL f COL id VAL p386	COL name VAL Festival Messiaen au Pays de la Meije COL place_type VAL Venue COL address VAL La Garve COL ended VAL f COL id VAL p595	0
COL name VAL Angel Sound Studios COL place_type VAL Studio COL ended VAL f COL id VAL p126	COL name VAL Soundsurfer Studios COL place_type VAL Studio COL ended VAL f COL id VAL p58	0
COL name VAL St Catharines College Cambridge COL place_type VAL Educational institution COL address VAL St Catharines College Cambridge CB2 1RL UK COL coordinates VAL 5220301169.0 COL ended VAL  COL id VAL p332	COL name VAL Kleiner Konzertsaal COL place_type VAL Venue COL address VAL RosenheimerS traße 5 8166 München COL coordinates VAL 481313211590463.0 COL ended VAL f COL id VAL p141	0
COL name VAL MRA Arena COL place_type VAL Indoor arena COL ended VAL f COL id VAL p123	COL name VAL Bright Lights Studios COL place_type VAL Studio COL ended VAL f COL id VAL p197	0
COL name VAL PalaceMusic COL place_type VAL Studio COL ended VAL f COL id VAL p30	COL name VAL Palace Music COL place_type VAL Studio COL ended VAL f COL id VAL p610	1
COL name VAL Music Hall Center for the Performin9 Arts COL place_type VAL eVnue COL address VAL 350 Madison Street Detroit MI 482s26 United States COL coordinates VAL 4233722283046111.0 COL ended VAL f COL id VAL p384	COL name VAL Bar Kitchen COL place_type VAL Venue COL address VAL 24 Hoxton Square London N1 6NU COL coordinates VAL 515274560081724.0 COL ended VAL f COL id VAL p515	0
COL name VAL ExEx Avdio COL place_type VAL Sutdio COL ended VAL f COL id VAL p129	COL name VAL Aud'lo ExEx COL place_type VAL Studio COL ended VAL f COL id VAL p157	1
COL name VAL Place de la Gate COL place_type VAL Other COL address VAL Place de la Garw 59000 Lille COL coordinates VAL 506366133069651.0 COL ended VAL f COL id VAL p5	COL name VAL Place de la Gare COL place_type VAL Other COL address VAL Place de la Gare 59000 Lille COL coordinates VAL 506366133069651.0 COL ended VAL f COL id VAL p345	1
COL name VAL PolydorStudio München COL place_type VAL Studio COL ended VAL f COL id VAL p128	COL name VAL Grand Théâtre de Québec COL place_type VAL Venue COL address VAL 269 boulevare René‐Lévesque Est COL ended VAL f COL id VAL p484	0
