place,area
p0,b498
p1,b39
p2,b1
p3,b642
p5,b645
p6,b693
p7,b25
p8,b241
p9,b302
p11,b693
p12,b638
p13,b523
p14,b47
p15,b47
p16,b301
p17,b166
p18,b298
p19,b460
p20,b46
p21,b350
p22,b367
p23,b606
p24,b676
p25,b676
p26,b589
p27,b87
p28,b414
p29,b450
p30,b410
p31,b410
p32,b621
p33,b23
p35,b280
p36,b402
p38,b140
p39,b140
p40,b296
p42,b360
p43,b389
p44,b459
p45,b335
p46,b462
p47,b676
p49,b693
p50,b418
p51,b726
p52,b642
p53,b420
p54,b300
p55,b609
p56,b115
p57,b420
p58,b228
p59,b703
p60,b311
p61,b54
p62,b499
p63,b184
p64,b226
p65,b135
p66,b59
p67,b636
p68,b386
p69,b258
p71,b642
p72,b164
p73,b667
p74,b150
p75,b280
p77,b701
p78,b697
p79,b701
p80,b138
p82,b147
p83,b642
p84,b149
p85,b599
p86,b16
p87,b137
p88,b1
p89,b513
p90,b179
p91,b394
p92,b394
p93,b652
p94,b42
p95,b689
p96,b215
p97,b148
p98,b118
p99,b327
p100,b225
p101,b225
p102,b163
p103,b272
p104,b164
p106,b430
p107,b154
p108,b21
p109,b224
p110,b107
p111,b107
p112,b642
p113,b373
p114,b590
p115,b6
p116,b629
p117,b732
p119,b704
p120,b413
p121,b8
p122,b518
p123,b714
p124,b212
p125,b348
p126,b86
p127,b524
p128,b164
p129,b59
p130,b170
p131,b344
p132,b318
p133,b498
p134,b111
p135,b313
p136,b57
p139,b163
p140,b648
p141,b40
p142,b701
p143,b53
p145,b166
p149,b73
p150,b567
p152,b265
p153,b221
p154,b677
p155,b109
p156,b171
p157,b59
p158,b327
p159,b514
p160,b608
p161,b63
p162,b174
p163,b505
p164,b392
p165,b528
p166,b529
p167,b726
p169,b211
p170,b668
p171,b639
p172,b608
p173,b415
p174,b415
p175,b247
p176,b244
p177,b250
p178,b313
p179,b122
p180,b253
p181,b342
p182,b387
p183,b387
p184,b731
p185,b18
p186,b240
p187,b163
p188,b107
p189,b22
p190,b342
p191,b704
p192,b280
p193,b91
p194,b113
p195,b403
p196,b620
p197,b52
p198,b599
p199,b290
p200,b43
p201,b344
p202,b344
p203,b141
p205,b642
p206,b642
p207,b139
p208,b41
p209,b143
p210,b676
p211,b272
p212,b488
p213,b96
p214,b7
p215,b521
p216,b270
p217,b490
p218,b343
p219,b285
p220,b161
p221,b222
p222,b416
p223,b252
p224,b201
p225,b685
p227,b330
p228,b679
p230,b488
p232,b640
p233,b272
p234,b704
p235,b7
p236,b661
p237,b708
p238,b337
p239,b475
p240,b83
p241,b42
p242,b504
p243,b504
p244,b386
p245,b95
p246,b396
p247,b414
p248,b31
p249,b210
p250,b251
p251,b495
p252,b688
p253,b164
p254,b545
p255,b67
p256,b67
p257,b372
p258,b437
p259,b489
p260,b734
p261,b704
p262,b599
p263,b701
p265,b629
p267,b554
p268,b68
p269,b32
p270,b289
p272,b203
p273,b634
p274,b510
p275,b122
p276,b510
p277,b504
p278,b91
p279,b432
p280,b408
p281,b701
p282,b59
p283,b493
p284,b652
p285,b452
p286,b39
p287,b272
p288,b242
p289,b508
p291,b155
p292,b303
p293,b381
p294,b219
p295,b7
p296,b54
p297,b399
p298,b155
p300,b425
p301,b675
p302,b692
p303,b219
p304,b532
p305,b650
p306,b650
p307,b272
p308,b694
p309,b219
p311,b181
p312,b439
p313,b383
p314,b456
p317,b642
p318,b642
p319,b187
p320,b364
p321,b364
p322,b382
p323,b212
p324,b289
p325,b723
p326,b91
p327,b179
p328,b679
p329,b419
p331,b483
p332,b516
p333,b320
p334,b565
p336,b639
p337,b15
p338,b702
p339,b569
p340,b410
p341,b104
p342,b262
p344,b587
p345,b645
p347,b692
p348,b131
p349,b400
p350,b174
p353,b511
p354,b489
p356,b287
p357,b629
p358,b642
p359,b636
p360,b488
p361,b488
p362,b704
p363,b173
p364,b159
p365,b90
p366,b173
p368,b518
p369,b402
p370,b424
p371,b424
p372,b337
p373,b693
p375,b474
p378,b523
p380,b313
p381,b726
p382,b343
p383,b435
p384,b54
p385,b717
p386,b497
p387,b27
p388,b726
p389,b407
p390,b722
p391,b358
p392,b577
p393,b436
p395,b22
p396,b22
p397,b662
p398,b601
p399,b87
p400,b313
p401,b498
p402,b87
p403,b362
p406,b191
p407,b157
p408,b132
p410,b699
p411,b642
p412,b99
p413,b279
p414,b51
p415,b676
p416,b321
p417,b493
p418,b221
p419,b199
p420,b639
p421,b447
p422,b341
p423,b601
p424,b704
p425,b560
p426,b285
p427,b642
p428,b2
p429,b59
p430,b59
p431,b242
p432,b355
p435,b642
p436,b676
p437,b215
p438,b147
p439,b113
p440,b523
p441,b555
p442,b516
p443,b726
p444,b245
p445,b687
p446,b156
p447,b650
p448,b164
p449,b406
p450,b486
p451,b486
p452,b696
p453,b120
p454,b316
p457,b487
p459,b385
p460,b506
p461,b630
p462,b573
p463,b416
p464,b616
p465,b285
p466,b170
p468,b673
p469,b320
p470,b163
p471,b17
p472,b718
p474,b612
p475,b662
p476,b371
p477,b307
p478,b65
p479,b65
p480,b446
p482,b595
p483,b62
p484,b28
p485,b28
p486,b361
p487,b34
p488,b18
p489,b44
p490,b342
p491,b276
p492,b527
p493,b538
p494,b453
p495,b445
p496,b620
p497,b543
p498,b363
p499,b195
p501,b510
p502,b510
p503,b667
p504,b130
p505,b503
p506,b291
p507,b485
p508,b269
p509,b448
p510,b14
p511,b734
p512,b192
p513,b618
p514,b614
p515,b255
p516,b123
p517,b514
p518,b586
p519,b22
p520,b102
p521,b484
p522,b684
p523,b387
p524,b89
p525,b413
p526,b284
p527,b603
p528,b691
p529,b407
p530,b431
p531,b489
p532,b25
p533,b284
p534,b226
p535,b528
p536,b131
p537,b667
p538,b322
p539,b702
p540,b642
p541,b423
p542,b40
p543,b85
p544,b17
p545,b281
p546,b98
p547,b1
p548,b136
p549,b67
p550,b614
p551,b279
p552,b601
p553,b667
p554,b413
p555,b201
p557,b1
p558,b44
p560,b478
p561,b442
p562,b155
p563,b368
p564,b18
p565,b303
p567,b410
p568,b609
p570,b582
p571,b582
p572,b210
p573,b683
p574,b8
p575,b632
p576,b344
p577,b343
p578,b556
p580,b670
p582,b272
p583,b321
p584,b704
p586,b347
p587,b509
p588,b386
p589,b594
p590,b344
p591,b730
p592,b163
p593,b616
p594,b531
p597,b321
p599,b724
p600,b377
p601,b533
p602,b531
p603,b88
p604,b88
p605,b680
p606,b155
p607,b40
p608,b656
p610,b410
p611,b614
p612,b607
p613,b407
p614,b99
p615,b31
p617,b410
p618,b704
p619,b343
p620,b215
p622,b726
p623,b357
p624,b610
p625,b376
p626,b573
p627,b601
p629,b386
p630,b280
p631,b280
p632,b48
p633,b682
p634,b726
p635,b726
p636,b2
p637,b155
p638,b424
p639,b333
p640,b526
p641,b321
p642,b192
p643,b192
p644,b169
p645,b728
p646,b22
p647,b488
p648,b339
p649,b276
p650,b653
p651,b695
p652,b423
p653,b729
p654,b528
p655,b619
p656,b385
p657,b287
p658,b192
p659,b525
p660,b1
p661,b667
p662,b734
p663,b642
p664,b289
p665,b332
p666,b716
p667,b716
p668,b83
p669,b83
p670,b342
p671,b314
p672,b196
p673,b201
p675,b506
p676,b163
p678,b381
p679,b280
p680,b600
p681,b388
p682,b560
p683,b253
p684,b54
p685,b215
p686,b716
p687,b716
p689,b622
p690,b155
p691,b29
p692,b574
p693,b628
p694,b567
p695,b362
p696,b410
p697,b144
p698,b726
p700,b425
p701,b486
p702,b629
p703,b510
p704,b510
p706,b704
p707,b27
p708,b642
p711,b91
p712,b7
p714,b33
p715,b601
p716,b478
p717,b54
p718,b158
p719,b676
p720,b31
p722,b342
p723,b712
p724,b454
p725,b269
p726,b410
p727,b644
p728,b156
p729,b235
p730,b141
p731,b642
p732,b734
p733,b601
p734,b667
p735,b34
p736,b155
p738,b85
p739,b59
p740,b563
p741,b704
p742,b655
p743,b136
p744,b166
p745,b286
p747,b498
p749,b488
