release,artist_credit
rl0,ac141
rl1,ac141
rl2,ac141
rl3,ac1319
rl4,ac141
rl5,ac823
rl6,ac4060
rl7,ac141
rl8,ac4339
rl9,ac2992
rl10,ac2635
rl11,ac2635
rl12,ac1297
rl13,ac3519
rl14,ac2055
rl15,ac1274
rl16,ac1965
rl17,ac1965
rl18,ac1000
rl19,ac4065
rl20,ac3400
rl21,ac3781
rl22,ac4272
rl23,ac2897
rl24,ac2090
rl25,ac3891
rl26,ac3426
rl27,ac81
rl28,ac659
rl29,ac141
rl30,ac3792
rl31,ac3358
rl32,ac1229
rl33,ac3827
rl34,ac520
rl35,ac4024
rl36,ac141
rl37,ac1381
rl38,ac3536
rl39,ac141
rl40,ac1258
rl41,ac2204
rl42,ac2543
rl43,ac4356
rl44,ac4506
rl45,ac740
rl46,ac227
rl47,ac341
rl48,ac1624
rl49,ac1781
rl50,ac2053
rl51,ac3838
rl52,ac141
rl53,ac387
rl54,ac1035
rl55,ac2905
rl56,ac1995
rl57,ac420
rl58,ac141
rl59,ac1092
rl60,ac4315
rl61,ac737
rl62,ac435
rl63,ac4214
rl64,ac141
rl65,ac2353
rl66,ac2076
rl67,ac2373
rl68,ac3418
rl69,ac2951
rl70,ac497
rl71,ac1595
rl72,ac2525
rl73,ac640
rl74,ac141
rl75,ac1418
rl76,ac494
rl77,ac3100
rl78,ac2066
rl79,ac141
rl80,ac3870
rl81,ac1722
rl82,ac3176
rl83,ac2337
rl84,ac3715
rl85,ac3128
rl86,ac4613
rl87,ac3967
rl88,ac4592
rl89,ac3895
rl90,ac296
rl91,ac4279
rl92,ac2942
rl93,ac1755
rl94,ac50
rl95,ac1065
rl96,ac4036
rl97,ac4083
rl98,ac3086
rl99,ac4063
rl100,ac3719
rl101,ac907
rl102,ac3438
rl103,ac2387
rl104,ac3922
rl105,ac2953
rl106,ac141
rl107,ac3107
rl108,ac664
rl109,ac141
rl110,ac1594
rl111,ac141
rl112,ac1330
rl113,ac2989
rl114,ac1608
rl115,ac4084
rl116,ac3872
rl117,ac3091
rl118,ac159
rl119,ac159
rl120,ac3757
rl121,ac893
rl122,ac2861
rl123,ac3748
rl124,ac2286
rl125,ac1910
rl126,ac1130
rl127,ac2584
rl128,ac3693
rl129,ac1482
rl130,ac3808
rl131,ac4071
rl132,ac4574
rl133,ac1692
rl134,ac4426
rl135,ac286
rl136,ac3985
rl137,ac1007
rl138,ac3224
rl139,ac4104
rl140,ac3977
rl141,ac1738
rl142,ac2630
rl143,ac1675
rl144,ac141
rl145,ac4122
rl146,ac40
rl147,ac1457
rl148,ac912
rl149,ac162
rl150,ac4330
rl151,ac3516
rl152,ac528
rl153,ac2573
rl154,ac141
rl155,ac3119
rl156,ac141
rl157,ac1025
rl158,ac141
rl159,ac3583
rl160,ac2343
rl161,ac141
rl162,ac3373
rl163,ac141
rl164,ac251
rl165,ac1040
rl166,ac2127
rl167,ac141
rl168,ac1589
rl169,ac1975
rl170,ac610
rl171,ac2235
rl172,ac2876
rl173,ac3823
rl174,ac2800
rl175,ac4361
rl176,ac1491
rl177,ac3245
rl178,ac1334
rl179,ac4481
rl180,ac2909
rl181,ac1560
rl182,ac691
rl183,ac4040
rl184,ac965
rl185,ac3113
rl186,ac2299
rl187,ac141
rl188,ac186
rl189,ac2319
rl190,ac2169
rl191,ac3026
rl192,ac1944
rl193,ac1986
rl194,ac141
rl195,ac4507
rl196,ac4532
rl197,ac141
rl198,ac123
rl199,ac2039
rl200,ac4131
rl201,ac4335
rl202,ac141
rl203,ac141
rl204,ac3953
rl205,ac3917
rl206,ac2202
rl207,ac1664
rl208,ac1664
rl209,ac507
rl210,ac141
rl211,ac826
rl212,ac1355
rl213,ac4439
rl214,ac1387
rl215,ac1281
rl216,ac367
rl217,ac3192
rl218,ac1247
rl219,ac4548
rl220,ac141
rl221,ac1598
rl222,ac1777
rl223,ac1844
rl224,ac3918
rl225,ac2549
rl226,ac4550
rl227,ac4037
rl228,ac2644
rl229,ac4550
rl230,ac437
rl231,ac141
rl232,ac706
rl233,ac3584
rl234,ac3430
rl235,ac3688
rl236,ac141
rl237,ac4555
rl238,ac1529
rl239,ac272
rl240,ac1522
rl241,ac1522
rl242,ac2047
rl243,ac141
rl244,ac1189
rl245,ac1569
rl246,ac962
rl247,ac707
rl248,ac6
rl249,ac812
rl250,ac3276
rl251,ac3276
rl252,ac688
rl253,ac304
rl254,ac141
rl255,ac2898
rl256,ac2068
rl257,ac900
rl258,ac4354
rl259,ac2923
rl260,ac141
rl261,ac4393
rl262,ac2857
rl263,ac141
rl264,ac141
rl265,ac2951
rl266,ac1468
rl267,ac2133
rl268,ac85
rl269,ac523
rl270,ac141
rl271,ac4196
rl272,ac4056
rl273,ac3545
rl274,ac169
rl275,ac3631
rl276,ac141
rl277,ac897
rl278,ac3264
rl279,ac4013
rl280,ac2607
rl281,ac2646
rl282,ac919
rl283,ac1095
rl284,ac1836
rl285,ac1914
rl286,ac141
rl287,ac141
rl288,ac141
rl289,ac891
rl290,ac141
rl291,ac4388
rl292,ac2420
rl293,ac1790
rl294,ac1921
rl295,ac2795
rl296,ac2162
rl297,ac1934
rl298,ac63
rl299,ac2696
rl300,ac660
rl301,ac500
rl302,ac2395
rl303,ac2063
rl304,ac608
rl305,ac738
rl306,ac141
rl307,ac4311
rl308,ac141
rl309,ac3375
rl310,ac3309
rl311,ac2718
rl312,ac2718
rl313,ac2317
rl314,ac2528
rl315,ac3899
rl316,ac2512
rl317,ac4616
rl318,ac141
rl319,ac3254
rl320,ac2546
rl321,ac1708
rl322,ac4134
rl323,ac2820
rl324,ac141
rl325,ac1084
rl326,ac1084
rl327,ac712
rl328,ac1579
rl329,ac1558
rl330,ac1502
rl331,ac83
rl332,ac2933
rl333,ac1237
rl334,ac1458
rl335,ac4175
rl336,ac843
rl337,ac3496
rl338,ac3076
rl339,ac3876
rl340,ac3876
rl341,ac4620
rl342,ac943
rl343,ac2222
rl344,ac4284
rl345,ac141
rl346,ac2895
rl347,ac4372
rl348,ac1200
rl349,ac1261
rl350,ac1504
rl351,ac3939
rl352,ac3320
rl353,ac4406
rl354,ac3937
rl355,ac3254
rl356,ac1052
rl357,ac3118
rl358,ac91
rl359,ac3780
rl360,ac141
rl361,ac141
rl362,ac979
rl363,ac3582
rl364,ac2481
rl365,ac2114
rl366,ac3323
rl367,ac1711
rl368,ac894
rl369,ac604
rl370,ac2850
rl371,ac3183
rl372,ac587
rl373,ac1076
rl374,ac1243
rl375,ac1291
rl376,ac2145
rl377,ac1810
rl378,ac4161
rl379,ac784
rl380,ac2709
rl381,ac686
rl382,ac1096
rl383,ac706
rl384,ac3995
rl385,ac4547
rl386,ac4547
rl387,ac3368
rl388,ac1312
rl389,ac2442
rl390,ac4128
rl391,ac344
rl392,ac141
rl393,ac3842
rl394,ac141
rl395,ac4551
rl396,ac2032
rl397,ac141
rl398,ac3371
rl399,ac4473
rl400,ac141
rl401,ac141
rl402,ac2165
rl403,ac2414
rl404,ac141
rl405,ac334
rl406,ac141
rl407,ac3454
rl408,ac3787
rl409,ac668
rl410,ac527
rl411,ac3772
rl412,ac204
rl413,ac3004
rl414,ac727
rl415,ac2598
rl416,ac4617
rl417,ac141
rl418,ac3444
rl419,ac2067
rl420,ac2524
rl421,ac4233
rl422,ac2978
rl423,ac2524
rl424,ac379
rl425,ac379
rl426,ac141
rl427,ac141
rl428,ac896
rl429,ac3961
rl430,ac3532
rl431,ac1671
rl432,ac3015
rl433,ac3493
rl434,ac4477
rl435,ac794
rl436,ac141
rl437,ac3939
rl438,ac2450
rl439,ac2034
rl440,ac918
rl441,ac889
rl442,ac2347
rl443,ac4099
rl444,ac141
rl445,ac141
rl446,ac1657
rl447,ac1667
rl448,ac3418
rl449,ac376
rl450,ac3649
rl451,ac4358
rl452,ac2271
rl453,ac1633
rl454,ac1964
rl455,ac3586
rl456,ac1394
rl457,ac484
rl458,ac801
rl459,ac3871
rl460,ac2128
rl461,ac3060
rl462,ac4474
rl463,ac2535
rl464,ac141
rl465,ac141
rl466,ac2489
rl467,ac1687
rl468,ac141
rl469,ac2316
rl470,ac3095
rl471,ac1026
rl472,ac469
rl473,ac3264
rl474,ac1066
rl475,ac141
rl476,ac141
rl477,ac2651
rl478,ac141
rl479,ac2927
rl480,ac667
rl481,ac857
rl482,ac1169
rl483,ac464
rl484,ac1820
rl485,ac17
rl486,ac3622
rl487,ac4101
rl488,ac1026
rl489,ac543
rl490,ac3622
rl491,ac2308
rl492,ac3421
rl493,ac141
rl494,ac4386
rl495,ac1632
rl496,ac1206
rl497,ac141
rl498,ac2209
rl499,ac2208
rl500,ac4118
rl501,ac422
rl502,ac1616
rl503,ac141
rl504,ac3760
rl505,ac2699
rl506,ac255
rl507,ac1131
rl508,ac4306
rl509,ac3270
rl510,ac141
rl511,ac502
rl512,ac4365
rl513,ac1273
rl514,ac2408
rl515,ac4164
rl516,ac1730
rl517,ac1698
rl518,ac312
rl519,ac141
rl520,ac1925
rl521,ac1810
rl522,ac1810
rl523,ac278
rl524,ac4297
rl525,ac2740
rl526,ac4306
rl527,ac1840
rl528,ac1448
rl529,ac160
rl530,ac1723
rl531,ac216
rl532,ac4497
rl533,ac141
rl534,ac3178
rl535,ac1548
rl536,ac3913
rl537,ac797
rl538,ac4116
rl539,ac3742
rl540,ac1150
rl541,ac1659
rl542,ac2022
rl543,ac1424
rl544,ac3805
rl545,ac1691
rl546,ac170
rl547,ac4516
rl548,ac1065
rl549,ac3228
rl550,ac3865
rl551,ac181
rl552,ac3652
rl553,ac1385
rl554,ac842
rl555,ac1785
rl556,ac4194
rl557,ac2690
rl558,ac141
rl559,ac4517
rl560,ac2285
rl561,ac902
rl562,ac1294
rl563,ac1563
rl564,ac2107
rl565,ac141
rl566,ac3050
rl567,ac853
rl568,ac141
rl569,ac4591
rl570,ac1394
rl571,ac141
rl572,ac3080
rl573,ac4352
rl574,ac3071
rl575,ac1901
rl576,ac1309
rl577,ac858
rl578,ac3804
rl579,ac4071
rl580,ac383
rl581,ac769
rl582,ac2197
rl583,ac647
rl584,ac3091
rl585,ac398
rl586,ac3898
rl587,ac4293
rl588,ac4142
rl589,ac141
rl590,ac3698
rl591,ac3268
rl592,ac141
rl593,ac4290
rl594,ac488
rl595,ac2296
