track,recording
t0,r3359
t1,r440
t2,r1060
t3,r468
t4,r3850
t5,r440
t6,r2314
t7,r4145
t8,r475
t9,r2259
t10,r4053
t11,r47
t12,r3382
t13,r3912
t14,r2736
t15,r1263
t16,r1692
t17,r2326
t18,r3334
t19,r3028
t20,r1738
t21,r3596
t22,r818
t23,r3483
t24,r2
t25,r3457
t26,r3457
t27,r4397
t28,r3569
t29,r11
t30,r462
t31,r4273
t32,r36
t33,r36
t34,r768
t35,r1510
t36,r3504
t37,r3670
t38,r3607
t39,r4031
t40,r4250
t41,r2806
t42,r1443
t43,r2984
t44,r991
t45,r3278
t46,r1334
t47,r3671
t48,r2544
t49,r2820
t50,r2190
t51,r3973
t52,r2227
t53,r701
t54,r758
t55,r3503
t56,r1567
t57,r178
t58,r519
t59,r3746
t60,r2371
t61,r1957
t62,r1898
t63,r2694
t64,r4319
t65,r687
t66,r4141
t67,r3274
t68,r3403
t69,r3469
t70,r2654
t71,r87
t72,r1496
t73,r2176
t74,r2223
t75,r156
t76,r752
t77,r3914
t78,r4360
t79,r1517
t80,r1842
t81,r2304
t82,r1987
t83,r2534
t84,r4178
t85,r64
t86,r194
t87,r1266
t88,r919
t89,r2016
t90,r3456
t91,r3318
t92,r68
t93,r2786
t94,r3603
t95,r4398
t96,r516
t97,r2437
t98,r516
t99,r994
t100,r994
t101,r4227
t102,r813
t103,r2082
t104,r3157
t105,r3075
t106,r2131
t107,r447
t108,r2679
t109,r2069
t110,r1680
t111,r1070
t112,r3596
t113,r2567
t114,r1971
t115,r2612
t116,r1069
t117,r1847
t118,r1552
t119,r2226
t120,r3580
t121,r1537
t122,r3263
t123,r4133
t124,r976
t125,r3248
t126,r3876
t127,r429
t128,r1292
t129,r450
t130,r4158
t131,r4072
t132,r843
t133,r4235
t134,r1572
t135,r1572
t136,r2153
t137,r856
t138,r2931
t139,r744
t140,r2931
t141,r936
t142,r3164
t143,r555
t144,r3893
t145,r3893
t146,r624
t147,r574
t148,r2514
t149,r5
t150,r3779
t151,r1325
t152,r2840
t153,r522
t154,r2823
t155,r1934
t156,r1111
t157,r2642
t158,r3751
t159,r1090
t160,r3748
t161,r4343
t162,r430
t163,r156
t164,r3136
t165,r1927
t166,r1301
t167,r1301
t168,r217
t169,r1294
t170,r715
t171,r2708
t172,r384
t173,r4017
t174,r1593
t175,r1773
t176,r225
t177,r340
t178,r2135
t179,r2448
t180,r3784
t181,r740
t182,r1531
t183,r3086
t184,r3799
t185,r584
t186,r4271
t187,r1911
t188,r2619
t189,r2619
t190,r2619
t191,r2571
t192,r4104
t193,r951
t194,r4148
t195,r2600
t196,r2023
t197,r2895
t198,r3913
t199,r213
t200,r1517
t201,r3020
t202,r2398
t203,r3293
t204,r4225
t205,r2739
t206,r1297
t207,r3212
t208,r3081
t209,r1772
t210,r3207
t211,r2966
t212,r4372
t213,r3854
t214,r1484
t215,r3833
t216,r568
t217,r288
t218,r825
t219,r2071
t220,r4097
t221,r791
t222,r3234
t223,r3801
t224,r3833
t225,r585
t226,r3551
t227,r2201
t228,r2003
t229,r1125
t230,r4373
t231,r3589
