artist_credit,position,artist,name
ac1164,0,a1266,Hunter
ac1740,0,a1875,AG
ac162,0,a168,Danças Ocultas
ac4426,0,a4651,Табула Раса
ac523,0,a560,_ensnare_
ac1903,0,a2033,Nico Fidenco
ac3594,0,a3753,Bettye LaVette
ac1038,1,a612,André Dussollier
ac1038,0,a257,Hélène Bleskine
ac118,0,a821,Christian Flor
ac3742,0,a3277,PostScriptum
ac1117,0,a1211,The Ink Spots
ac403,0,a428,Téada
ac146,0,a149,Glen Campbell
ac1797,0,a1932,Metallica
ac1887,0,a836,Andrei Eshpai
ac4595,0,a2557,Pete Renton
ac1404,0,a1525,Pēteris Vasks
ac4174,0,a4375,Deela
ac771,0,a3694,Sun YanZi
ac3102,0,a3250,Miserylab
ac2296,0,a2443,The Lightning Seeds
ac3874,0,a2770,William Perry
ac4620,0,a4859,Sanalejo
ac1703,0,a1839,Myon
ac4573,0,a2147,王新蓮
ac4573,1,a2148,鄭華娟
ac1483,1,a1058,The Night Heron Consort
ac1483,0,a1581,Steve Schuch
ac472,0,a511,Milla Kay
ac4036,0,a4212,The Step
ac4628,0,a4870,Franklin Bruno
ac691,0,a744,Marenne
ac3547,0,a1054,Tamarisk
ac713,0,a765,Voice of a Generation
ac1733,0,a1867,Μαρία Φαραντούρη
ac449,0,a482,Zack Tempest
ac1738,0,a1950,Rosanne Cash
ac3705,0,a3866,John Ernest Galliard
ac1452,0,a3022,Maya de Vitry
ac2815,0,a2957,The Beach Boys
ac4240,0,a4444,Pete Lockett
ac863,0,a923,Ted Heath  His Orchestra
ac2422,0,a296,Κώστας Τουρνάς
ac2422,1,a2002,Σοφία Αρβανίτη
ac3438,0,a3589,US Air Force Band of MidAmerica
ac2154,0,a2280,Jochen Flach
ac2993,0,a3137,Ojo Rojo
ac2239,0,a2377,Hal Lindes
ac672,0,a721,Drama
ac4184,0,a4387,林笛
ac4553,0,a1810,Brad Knauber
ac1460,0,a1577,Léo Ferré
ac3156,0,a3315,Diary of Dreams
ac3333,0,a1639,Apollo
ac3628,0,a3785,Oboroh
ac2813,0,a2955,Loop
ac3312,0,a3466,Jesse Belvin
ac4123,0,a4313,NoNeck Blues Band
ac609,0,a646,Marquess
ac4406,0,a3230,美輪明宏
ac728,0,a784,Georg Friedrich Händel
ac2910,0,a3048,Skinny Puppy
ac1621,0,a847,Alan Kwan Quartet
ac3480,0,a3639,Magic Box
ac970,0,a1050,Railis People
ac4354,0,a4563,The Clientele
ac2303,0,a437,Volker Klüpfel  Michael Kobr
ac1948,0,a2084,Manau
ac3602,0,a3761,Galleon
ac2722,0,a2865,Virgil Fox
ac4325,0,a4530,Dr Sin
ac4096,0,a4278,Lea Lu
ac1010,2,a1487,Brandon Roberts
ac1010,0,a4235,Marco Beltrami
ac1010,1,a3243,Buck Sanders
ac1553,0,a1680,ハレンチ☆パンチ
ac881,0,a950,Minuit
ac2255,0,a2396,David Hubbard
ac2364,0,a2526,The Channels
ac3932,0,a2031,Scrunter
ac445,0,a79,Drunk Vision
ac271,0,a279,Willi Weitzel
ac1235,0,a1954,Charles Veal Jr
ac2546,0,a2704,中川幸太郎
ac3039,0,a1407,Poschek
ac3924,0,a4107,Dina Carroll
ac3762,0,a3932,Denean
ac4561,0,a1820,Brian Eno
ac662,0,a712,Mercedes Sosa
ac2753,0,a2891,Donna Summer
ac4335,0,a4547,Krzysztof Myszkowski
ac1487,0,a1604,Skunk Anansie
ac3796,0,a3967,Babu
ac1649,0,a1786,Dickie Goodman
ac1088,0,a1171,Vision Divine
ac4343,0,a3119,Kid
ac2587,0,a2749,Les Satellites
ac3662,0,a3822,The Eggnogs
ac1098,0,a1186,Broder Daniel
ac3047,0,a3195,QNTAL
ac2263,0,a2405,Sielun Veljet
ac3073,0,a3226,The Servant
ac3119,0,a3269,Andrea Marcovicci
ac3446,0,a1636,Молат
ac1189,0,a1292,Disgorge
ac1268,0,a3443,Juan de Araujo
ac3715,0,a3877,スフィア
ac1856,0,a1987,The Mamaku Project
ac1810,0,a1941,Marilyn Manson
ac3544,0,a2883,Lisa Dal Bello
ac618,0,a658,Losing Scarlet
ac2833,0,a2974,Chris Goulstone
ac597,0,a638,Weldon Henson
ac756,0,a815,George Gershwin
ac709,0,a762,Static
ac1014,0,a1094,St Vladimirs Seminary Chorale
ac4301,0,a4508,Rolf Raggenbass
ac894,0,a3381,Jerry Bey
ac1165,0,a1269,Leci Brandão
ac2334,0,a2482,Sir William Walton
ac4155,0,a3305,Драконь
ac920,0,a995,Dustin OHalloran
ac924,0,a1001,Bon Jovi
ac1994,0,a2131,Lila Deneken
ac3027,0,a2513,Dive
ac1545,0,a1671,St Anthony Falls
ac4485,0,a4719,Neutral Milk Hotel
ac2068,0,a2190,坂本九
ac1108,0,a1200,Euhedral
ac3288,0,a3438,Michael White
ac1891,0,a2024,Slow Gherkin
ac3012,0,a3162,The Tremeloes
ac450,0,a1026,Novotnik 44
ac377,0,a397,Tommy Steele
ac2819,0,a524,Auróra
ac3468,0,a3620,Dura  Blues Club
ac1172,0,a1276,nao
ac4185,0,a2057,Carl Carlton
ac459,0,a1020,Marina and the Diamonds
ac3571,0,a3725,Snailhouse
ac1006,0,a2162,Kraftklub
ac2143,0,a2266,The Brothers Four
ac4410,0,a4633,The Mighty Diamonds
ac3346,0,a3499,unknown
ac3670,0,a3830,Domenico Scarlatti
ac1708,0,a1841,The Loud Family
ac3395,0,a3546,Blümchen
ac2224,0,a2360,2PU
ac2895,0,a3035,Over the Rhine
ac1756,0,a1892,Amestoy Trio
ac4363,0,a4575,Alien Voices
ac4115,0,a4305,DeathBoy
ac483,0,a2961,Claudinho  Buchecha
ac3244,0,a3395,Christy Moore
ac4175,0,a4377,Pavement
ac2814,0,a2956,Kraan
ac1880,0,a2014,Nebelhorn
ac1715,2,a3377,Dana
ac1715,0,a3954,The Infesticons
ac1715,1,a2029,Majesticon 69
ac2535,0,a2693,Intricate
ac4230,0,a4434,Nitin Sawhney
ac1326,0,a1444,Aloha From Hawai
ac3562,0,a3719,Porn Kings
ac4306,0,a4511,Sheridan Tongue
ac448,0,a479,Elephant Man
ac4035,0,a4211,aLi
ac4436,0,a4662,The Missing Links
ac492,0,a534,Zappacosta
ac2293,0,a2439,Lyzanxia
ac408,0,a434,Herman Chittison
ac2102,0,a2226,Il teatro degli orrori
ac1794,0,a1928,Bing Crosby
ac2305,0,a2130,Technicolor Fabrics
ac374,0,a394,UNITE
ac1242,0,a1870,Heehawhairhead
ac3515,0,a3680,Mortuus Infradaemoni
ac3359,0,a3514,Greenhorns
ac3317,0,a1543,Jaraguá Mulungú
ac2085,0,a2201,David Hammond
ac3856,0,a2502,Daniel C Holter
ac3856,1,a4367,Eliot Pulse
ac3836,0,a4008,Bob Dylan
ac4179,0,a4380,Baia e Rockboys
ac3093,0,a114,Duane Eddy
ac236,0,a247,The Shamen
ac4214,0,a4416,Lorene Drive
ac2783,1,a3088,Zack Laurence
ac2783,0,a2345,Alec Gould
ac1617,0,a1735,De Toppers
ac2302,0,a2451,Chris Bacon
ac2516,0,a467,Ruth Jacott
ac3512,0,a4332,Savana
ac2173,0,a4070,OAR
ac1657,0,a1793,Domenico Modugno
ac2055,0,a2177,Tommy McCook
ac1395,0,a1511,QDos
ac2117,0,a695,Style
ac474,0,a515,Bette Midler
ac2126,0,a2246,Disturbed
ac1045,0,a1124,Elvis Costello
ac452,0,a432,さユり
ac3518,0,a3683,Patsy
ac1209,0,a1313,Harper Lee
ac3123,0,a3273,Edera
ac238,0,a250,Carouge
ac1607,0,a2329,William Perry
ac721,0,a773,Anima Virus
ac3958,0,a4142,Helena Vondráčková
ac905,0,a975,Gilbert Bécaud
ac1036,0,a1117,System F
