label,area
l0,b319
l2,b127
l6,b219
l7,b479
l9,b206
l10,b215
l12,b215
l14,b319
l15,b319
l16,b353
l21,b319
l22,b319
l23,b75
l26,b626
l27,b239
l28,b319
l30,b215
l34,b280
l35,b319
l37,b319
l38,b704
l40,b657
l41,b321
l42,b219
l43,b247
l45,b321
l46,b319
l47,b319
l50,b219
l53,b319
l56,b215
l58,b624
l59,b624
l60,b219
l62,b552
l63,b155
l64,b548
l74,b319
l75,b8
l78,b219
l79,b154
l80,b219
l82,b216
l88,b319
l93,b385
l94,b319
l98,b121
l99,b121
l102,b548
l103,b548
l107,b8
l109,b8
l112,b319
l113,b321
l114,b93
l116,b215
l117,b321
l118,b87
l119,b319
l123,b125
l125,b657
l126,b319
l127,b319
l128,b319
l130,b219
l131,b578
l132,b736
l136,b201
l138,b219
l139,b219
l142,b229
l143,b215
l145,b248
l146,b338
l148,b465
l151,b321
l153,b319
l154,b657
l155,b8
l156,b342
l157,b517
l159,b158
l160,b442
l161,b583
l162,b217
l163,b1
l165,b219
l167,b215
l169,b102
l170,b102
l171,b568
l172,b272
l173,b319
l175,b319
l182,b247
l183,b179
l186,b319
l187,b14
l188,b704
l190,b8
l191,b319
l194,b215
l198,b236
l199,b442
l205,b215
l206,b198
l207,b198
l210,b213
l211,b15
l212,b15
l213,b321
l214,b319
l215,b0
l218,b197
l220,b319
l221,b3
l222,b456
l224,b624
l225,b395
l226,b395
l228,b319
l229,b180
l230,b625
l233,b321
l234,b215
l235,b246
l238,b321
l239,b289
l241,b321
l242,b319
l243,b319
l245,b287
l246,b215
l247,b219
l249,b319
l252,b657
l253,b217
l260,b319
l262,b319
l264,b321
l266,b440
l267,b400
l272,b215
l273,b215
l274,b247
l275,b319
l278,b319
l279,b319
l282,b321
l283,b215
l289,b127
l291,b216
l294,b236
l295,b319
l296,b319
l297,b319
l298,b321
l299,b155
l300,b240
l302,b219
l303,b217
l307,b15
l308,b735
l309,b247
l311,b8
l314,b247
l315,b657
l316,b217
l317,b127
l318,b319
l319,b215
l322,b35
l323,b239
l324,b319
l325,b48
