recording,artist_credit
r0,ac3759
r1,ac2517
r2,ac4047
r3,ac774
r4,ac587
r5,ac3653
r6,ac3715
r7,ac2670
r8,ac1826
r9,ac642
r10,ac4253
r11,ac600
r12,ac2559
r13,ac1810
r14,ac829
r15,ac3872
r16,ac1191
r17,ac1191
r18,ac1387
r19,ac1986
r20,ac1344
r21,ac1559
r22,ac228
r23,ac1418
r24,ac2512
r25,ac2163
r26,ac196
r27,ac4176
r28,ac2567
r29,ac2567
r30,ac2972
r31,ac115
r32,ac1254
r33,ac389
r34,ac4144
r35,ac2486
r36,ac4113
r37,ac1691
r38,ac1104
r39,ac1729
r40,ac2953
r41,ac1599
r42,ac3998
r43,ac1015
r44,ac1585
r45,ac1899
r46,ac3700
r47,ac170
r48,ac3221
r49,ac4085
r50,ac888
r51,ac2954
r52,ac4596
r53,ac3891
r54,ac572
r55,ac3228
r56,ac327
r57,ac3228
r58,ac4019
r59,ac1846
r60,ac3346
r61,ac4256
r62,ac2057
r63,ac2722
r64,ac3138
r65,ac2152
r66,ac180
r67,ac4016
r68,ac3914
r69,ac3905
r70,ac3205
r71,ac505
r72,ac3205
r73,ac492
r74,ac502
r75,ac783
r76,ac993
r77,ac1730
r78,ac4223
r79,ac1580
r80,ac500
r81,ac569
r82,ac4016
r83,ac3009
r84,ac2600
r85,ac1492
r86,ac3183
r87,ac3960
r88,ac222
r89,ac2110
r90,ac2442
r91,ac1000
r92,ac4383
r93,ac917
r94,ac2456
r95,ac3810
r96,ac2098
r97,ac3942
r98,ac634
r99,ac2843
r100,ac1411
r101,ac984
r102,ac1810
r103,ac1342
r104,ac4240
r105,ac3045
r106,ac3655
r107,ac3007
r108,ac1087
r109,ac3007
r110,ac3293
r111,ac3293
r112,ac1597
r113,ac3293
r114,ac1114
r115,ac2542
r116,ac4131
r117,ac176
r118,ac2611
r119,ac3767
r120,ac251
r121,ac754
r122,ac293
r123,ac754
r124,ac4287
r125,ac1705
r126,ac801
r127,ac1705
r128,ac16
r129,ac3026
r130,ac3283
r131,ac2670
r132,ac1847
r133,ac3677
r134,ac3282
r135,ac4100
r136,ac257
r137,ac3062
r138,ac3691
r139,ac3216
r140,ac1365
r141,ac1579
r142,ac2512
r143,ac42
r144,ac3547
r145,ac3595
r146,ac1943
r147,ac1167
r148,ac4441
r149,ac1244
r150,ac512
r151,ac4251
r152,ac1981
r153,ac160
r154,ac1025
r155,ac4379
r156,ac2325
r157,ac3513
r158,ac956
r159,ac2962
r160,ac4386
r161,ac3513
r162,ac1137
r163,ac2596
r164,ac3731
r165,ac3731
r166,ac3346
r167,ac3922
r168,ac1482
r169,ac3144
r170,ac3792
r171,ac3984
r172,ac4201
r173,ac3192
r174,ac2234
r175,ac3351
r176,ac1532
r177,ac1061
r178,ac437
r179,ac4040
r180,ac2807
r181,ac3096
r182,ac1270
r183,ac1551
r184,ac3787
r185,ac3042
r186,ac640
r187,ac3654
r188,ac1245
r189,ac1918
r190,ac2339
r191,ac4402
r192,ac2351
r193,ac947
r194,ac57
r195,ac1249
r196,ac302
r197,ac1165
r198,ac1035
r199,ac3838
r200,ac1888
r201,ac2040
r202,ac4171
r203,ac3658
r204,ac2545
r205,ac2349
r206,ac2386
r207,ac1254
r208,ac1252
r209,ac1252
r210,ac322
r211,ac2452
r212,ac2721
r213,ac1654
r214,ac2831
r215,ac3643
r216,ac4000
r217,ac3387
r218,ac2656
r219,ac1201
r220,ac3694
r221,ac2263
r222,ac3190
r223,ac1508
r224,ac2495
r225,ac3358
r226,ac2701
r227,ac3683
r228,ac1936
r229,ac1106
r230,ac3551
r231,ac1548
r232,ac2916
r233,ac2225
r234,ac1727
r235,ac1003
r236,ac2121
r237,ac4401
r238,ac2348
r239,ac585
r240,ac3101
r241,ac2977
r242,ac2360
r243,ac224
r244,ac2860
r245,ac1194
r246,ac851
r247,ac4198
r248,ac1146
r249,ac1252
r250,ac2803
r251,ac1678
r252,ac862
r253,ac3219
r254,ac2740
r255,ac2575
r256,ac453
r257,ac1349
r258,ac3803
r259,ac3081
r260,ac1810
r261,ac1810
r262,ac3676
r263,ac1810
r264,ac1381
r265,ac156
r266,ac2251
r267,ac2447
r268,ac4406
r269,ac1703
r270,ac2576
r271,ac2460
r272,ac965
r273,ac2904
r274,ac682
r275,ac271
r276,ac823
r277,ac380
r278,ac2590
r279,ac1614
r280,ac1657
r281,ac1184
r282,ac4503
r283,ac3971
r284,ac4255
r285,ac4475
r286,ac273
r287,ac4094
r288,ac1329
r289,ac4292
r290,ac2868
r291,ac2227
r292,ac4507
r293,ac1606
r294,ac1026
r295,ac2403
r296,ac221
r297,ac3056
r298,ac4590
r299,ac1702
r300,ac1429
r301,ac1428
r302,ac1429
r303,ac2290
r304,ac3015
r305,ac3039
r306,ac4010
r307,ac1547
r308,ac2347
r309,ac4301
r310,ac2826
r311,ac2614
r312,ac679
r313,ac2584
r314,ac422
r315,ac1506
r316,ac2944
r317,ac837
r318,ac3034
r319,ac1163
r320,ac153
r321,ac1476
r322,ac3401
r323,ac1457
r324,ac2853
r325,ac1934
r326,ac4431
r327,ac2928
r328,ac3155
r329,ac73
r330,ac67
r331,ac4267
r332,ac2762
r333,ac1330
r334,ac2814
r335,ac2195
r336,ac1596
r337,ac2102
r338,ac3871
r339,ac4002
r340,ac3483
r341,ac4552
r342,ac2060
r343,ac575
r344,ac575
r345,ac1347
r346,ac3342
r347,ac4547
r348,ac3499
r349,ac1827
r350,ac823
r351,ac1020
r352,ac1654
r353,ac483
r354,ac2569
r355,ac848
r356,ac1264
r357,ac2845
r358,ac555
r359,ac555
r360,ac555
r361,ac10
r362,ac2047
r363,ac16
r364,ac4361
r365,ac3
r366,ac514
r367,ac3512
r368,ac1831
r369,ac3594
r370,ac4543
r371,ac2845
r372,ac2895
r373,ac1732
r374,ac60
r375,ac2910
r376,ac2176
r377,ac3439
r378,ac1620
r379,ac3118
r380,ac2540
r381,ac4605
r382,ac4605
r383,ac793
r384,ac1859
r385,ac3091
r386,ac2390
r387,ac248
r388,ac369
r389,ac2884
r390,ac2481
r391,ac610
r392,ac20
r393,ac819
r394,ac250
r395,ac2230
r396,ac2738
r397,ac4178
r398,ac3479
r399,ac3479
r400,ac4522
r401,ac4568
r402,ac1566
r403,ac1566
r404,ac619
r405,ac2074
r406,ac4036
r407,ac2
r408,ac3163
r409,ac942
r410,ac1008
r411,ac2494
r412,ac2937
r413,ac2937
r414,ac394
r415,ac2171
r416,ac2966
r417,ac1749
r418,ac1976
r419,ac2095
r420,ac1976
r421,ac1754
r422,ac71
r423,ac71
r424,ac908
r425,ac2953
r426,ac3184
r427,ac2861
r428,ac990
r429,ac1372
r430,ac438
r431,ac3056
r432,ac3852
r433,ac4199
r434,ac4230
r435,ac827
r436,ac479
r437,ac1941
r438,ac1941
r439,ac3117
r440,ac2259
r441,ac1045
r442,ac1449
r443,ac1352
r444,ac1913
r445,ac4488
r446,ac2087
r447,ac1662
r448,ac3977
r449,ac3649
r450,ac217
r451,ac2747
r452,ac945
r453,ac1040
r454,ac2166
r455,ac4582
r456,ac200
r457,ac4442
r458,ac2128
r459,ac946
r460,ac692
r461,ac497
r462,ac4006
r463,ac2052
