release_group,artist_credit
rg0,ac3526
rg1,ac1608
rg2,ac2754
rg3,ac3551
rg4,ac2730
rg5,ac1109
rg6,ac1608
rg7,ac2404
rg8,ac1109
rg9,ac3246
rg10,ac4623
rg11,ac4188
rg12,ac141
rg13,ac1267
rg14,ac141
rg15,ac2957
rg16,ac1995
rg17,ac2553
rg18,ac141
rg19,ac3980
rg20,ac3906
rg21,ac1804
rg22,ac2576
rg23,ac1522
rg24,ac1522
rg25,ac2034
rg26,ac1702
rg27,ac1162
rg28,ac2481
rg29,ac12
rg30,ac4061
rg31,ac4335
rg32,ac4452
rg33,ac1927
rg34,ac260
rg35,ac1469
rg36,ac4568
rg37,ac3342
rg38,ac182
rg39,ac4417
rg40,ac4417
rg41,ac3683
rg42,ac3871
rg43,ac1584
rg44,ac3709
rg45,ac4375
rg46,ac2014
rg47,ac128
rg48,ac742
rg49,ac742
rg50,ac3730
rg51,ac3886
rg52,ac2120
rg53,ac2120
rg54,ac1844
rg55,ac141
rg56,ac686
rg57,ac2573
rg58,ac1533
rg59,ac2708
rg60,ac1658
rg61,ac2047
rg62,ac4120
rg63,ac1267
rg64,ac3140
rg65,ac446
rg66,ac2315
rg67,ac1651
rg68,ac2728
rg69,ac2583
rg70,ac1986
rg71,ac3743
rg72,ac435
rg73,ac933
rg74,ac2102
rg75,ac3408
rg76,ac224
rg77,ac4161
rg78,ac2745
rg79,ac697
rg80,ac1594
rg81,ac1165
rg82,ac422
rg83,ac1910
rg84,ac3075
rg85,ac267
rg86,ac4578
rg87,ac141
rg88,ac233
rg89,ac3115
rg90,ac4311
rg91,ac4272
rg92,ac4060
rg93,ac3084
rg94,ac3728
rg95,ac2189
rg96,ac4273
rg97,ac1918
rg98,ac3863
rg99,ac69
rg100,ac2738
rg101,ac1482
rg102,ac3034
rg103,ac141
rg104,ac3593
rg105,ac3192
rg106,ac3496
rg107,ac3496
rg108,ac442
rg109,ac2237
rg110,ac3883
rg111,ac4550
rg112,ac2037
rg113,ac4625
rg114,ac2596
rg115,ac141
rg116,ac1741
rg117,ac4094
rg118,ac524
rg119,ac3998
rg120,ac141
rg121,ac141
rg122,ac2448
rg123,ac3342
rg124,ac3310
rg125,ac61
rg126,ac1569
rg127,ac125
rg128,ac844
rg129,ac4357
rg130,ac2280
rg131,ac1031
rg132,ac141
rg133,ac551
rg134,ac3947
rg135,ac485
rg136,ac748
rg137,ac2085
rg138,ac4254
rg139,ac4350
rg140,ac1449
rg141,ac250
rg142,ac141
rg143,ac3581
rg144,ac1335
rg145,ac141
rg146,ac3851
rg147,ac3290
rg148,ac1836
rg149,ac1836
rg150,ac2469
rg151,ac141
rg152,ac3348
rg153,ac1624
rg154,ac1557
rg155,ac4173
rg156,ac2243
rg157,ac1569
rg158,ac141
rg159,ac3041
rg160,ac3910
rg161,ac3694
rg162,ac1659
rg163,ac141
rg164,ac815
rg165,ac3195
rg166,ac2556
rg167,ac2214
rg168,ac2874
rg169,ac141
rg170,ac4471
rg171,ac383
rg172,ac1921
rg173,ac141
rg174,ac627
rg175,ac141
rg176,ac4436
rg177,ac2067
rg178,ac812
rg179,ac3625
rg180,ac2093
rg181,ac141
rg182,ac404
rg183,ac4175
rg184,ac3908
rg185,ac785
rg186,ac1810
rg187,ac4094
rg188,ac3783
rg189,ac2204
rg190,ac2270
rg191,ac4139
rg192,ac1487
rg193,ac2202
rg194,ac141
rg195,ac1643
rg196,ac451
rg197,ac2222
rg198,ac2569
rg199,ac4337
rg200,ac3329
rg201,ac4518
rg202,ac4296
rg203,ac141
rg204,ac226
rg205,ac3349
rg206,ac4387
rg207,ac141
rg208,ac141
rg209,ac1712
rg210,ac4294
rg211,ac1009
rg212,ac3300
rg213,ac141
rg214,ac1967
rg215,ac141
rg216,ac653
rg217,ac4506
rg218,ac1303
rg219,ac4170
rg220,ac679
rg221,ac2120
rg222,ac4297
rg223,ac4406
rg224,ac1862
rg225,ac111
rg226,ac1269
rg227,ac141
rg228,ac4502
rg229,ac1845
rg230,ac4428
rg231,ac2035
rg232,ac3217
rg233,ac3215
rg234,ac141
rg235,ac4583
rg236,ac497
rg237,ac4457
rg238,ac1372
rg239,ac1491
rg240,ac141
rg241,ac1308
rg242,ac1839
rg243,ac1468
rg244,ac4284
rg245,ac4386
rg246,ac3990
rg247,ac141
rg248,ac141
rg249,ac3048
rg250,ac141
rg251,ac2465
rg252,ac1664
rg253,ac3024
rg254,ac1952
rg255,ac1617
rg256,ac3611
rg257,ac416
rg258,ac2718
rg259,ac1261
rg260,ac698
rg261,ac2835
rg262,ac4120
rg263,ac141
rg264,ac2466
rg265,ac4230
rg266,ac3264
rg267,ac896
rg268,ac3102
rg269,ac908
rg270,ac3008
rg271,ac921
rg272,ac3353
rg273,ac2815
rg274,ac3547
rg275,ac2426
rg276,ac480
rg277,ac3186
rg278,ac3272
rg279,ac2792
rg280,ac141
rg281,ac321
rg282,ac685
rg283,ac3121
rg284,ac141
rg285,ac4154
rg286,ac4538
rg287,ac141
rg288,ac1273
rg289,ac1119
rg290,ac1985
rg291,ac2646
rg292,ac141
rg293,ac3113
rg294,ac141
rg295,ac3821
rg296,ac501
rg297,ac3053
rg298,ac3759
rg299,ac965
rg300,ac296
rg301,ac1079
rg302,ac821
rg303,ac1276
rg304,ac2598
rg305,ac398
rg306,ac141
rg307,ac734
rg308,ac141
rg309,ac2533
rg310,ac1459
rg311,ac3916
rg312,ac2017
rg313,ac141
rg314,ac2028
rg315,ac1607
rg316,ac141
rg317,ac541
