pub_id,author_list
1,"['4904a614-7e46-41db-8254-eebe1ec4b6c1', 'b440934f-cc6c-41fd-9414-3d9c69f37feb']"
2,"['2119cb7d-d310-4843-9d25-75f8f33250b9', 'eeb65ec4-5f20-48da-a8af-bcfbaeba3395', '0567b7b3-0af9-4a4e-b676-f677675fe99a']"
9,"['8ac424f7-4e24-4941-aeec-a61c58e7481c', 'b82ea86c-cb0f-49da-94f8-1915b7aeec0e', '735d4273-bda6-4588-8f74-67fbb4d41306']"
12,['7bed68f9-fdc2-4045-af09-1e0abadd02f1']
13,"['547f2c72-b752-4338-b691-f0899f6a1cf7', 'baa35620-0853-4939-9905-eb8fb26be586', '7f2965aa-fbaa-4fe1-9a48-c90bd8dfac97']"
16,['33198f71-dd94-4de7-ba7b-353c4f40bb6d']
19,"['15d10a1c-bff7-4c4b-b933-10bf2786aabf', 'd568eaa3-98a9-4a47-942f-fabd6fd22a0d']"
20,"['95aa30ab-100c-4121-9b78-169770b09998', 'aacee460-1c29-4f40-9244-746f6868d9b2', '0f19597a-c6c3-4455-8d5f-0a8bfb26c353', '2335cee6-d37b-4f7f-88be-2892cdb0092b']"
21,['f6c1dde3-3276-4c03-b1ee-49b2d6ee288e']
22,"['3170c62b-74f0-4164-bbb7-8a60a8d164e6', '31477a9f-70ce-4e70-b890-e7d9a5e1bdce']"
23,['cb56413f-ef01-4310-b0c1-e406ab36bd1b']
25,['fe131e97-e4aa-4240-85eb-53c73ad3b8b2']
27,"['98ebe602-6547-43e2-9c61-03be623dbcfc', 'd5c3ea74-21a6-41da-83a8-11c81166259c']"
29,"['f53751e7-7332-4207-8c3d-37a1ef43c565', '5d0f8927-069d-4d7c-8069-7559e960e3b3']"
31,"['e435bc2a-f5f0-41a0-9e80-321da1e19343', '4a5cc13b-22b3-4c2c-8ad9-0afb3a0094dd']"
34,"['dc3ce93e-2d7a-4334-99f6-a566fbc58c1a', 'b90ecb47-b1f5-4a89-8279-a91a8f80aea8', '28eb79a5-5766-4883-a1fb-97ed933523c9', '46ad2a0e-bff5-4bf1-be7f-32acd2179fb1', '91e43e6c-7e84-41b8-81e6-a72a3ee7562b']"
35,['4a86f841-6587-471e-a4b8-45ed9506765c']
36,"['29d27c0c-3cc8-47e6-993b-6c617707ad5f', '7fa388e4-0e99-4226-bf10-05c9e345df0c', '3dce1c20-fe77-452c-a806-bde17f975032']"
38,"['611b732d-a558-405c-9053-12ddc5bf4052', '179f94fa-21f3-401c-9903-ae5641a3bc39']"
40,"['cf3646ba-1685-473c-873f-56f3bf7c554d', 'd0ef52c6-86a6-48f5-a77d-b67334b9dc65', 'fd066eb2-000a-437a-9dd1-5fbaf1b868a5']"
42,['afb7e7e0-ac9d-4b47-984f-99f8a24ed64f']
43,"['5b4fa096-f53e-474f-a39d-5532828c4186', '37afafb5-a842-48d3-97a4-7908c2a6c637', 'c1f7169d-cb27-4c14-bd25-1ad1c7bbd6c3', '8fbcc725-6941-40e2-b35d-23d25b2acac8']"
44,"['ae94942c-bd29-45d2-a12d-cc122bc15357', 'd4fff280-1b1e-4b3d-98bd-2c8c0fe193d3', '37b75d1d-1840-4e6a-9f5f-ed415e693f8c', '79846aea-1224-4426-a705-21b7b50d9143', '4f529147-9a94-4880-8189-909894b7335a', '08c493a3-ebea-41f1-a27c-0c3d600c2c35']"
