id,title,venue,year
0,"towards a cooperative transaction model - the cooperative activity model m rusinkiewicz , w klas , t tesch , j wфsch , p muth 1995",vldb,
1,sql/xml is making good progress sigmod record 2002,,
2,using formal methods to reason about semantics-based decompositions of transactions vldb,,1995.0
3,editor 's notes l liu 2002,sigmod record,
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,
5,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",vldb,
6,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",vldb,
7,"phoenix project : fault-tolerant applications r barga , d lomet 2002",sigmod record,
8,mining the world wide web : an information search approach - book review 2002,,
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,vldb,
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,2002.0
11,"retrieval of composite multimedia objects s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995.0
12,mpeg-7 and multimedia database systems,sigmod record,2002.0
13,the fittest survives : an adaptive approach to query optimization vldb,,1995.0
14,reminiscences on influential papers,,2002.0
15,"type classification of semi-structured documents m tresch , n palmer , a luniewski vldb 1995",,
16,data mining : practical machine learning tools and techniques - book review sigmod record 2002,,
17,"managing intra-operator parallelism in parallel database systems m mehta , d dewitt vldb",,1995.0
18,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",sigmod record,2002.0
19,mining generalized association rules vldb,,1995.0
20,sampling-based estimation of the number of distinct values of an attribute 1995,vldb,
21,book review column sigmod record 2002,,
22,processing object-oriented queries with invertible late bound functions vldb 1995,,
23,databases and transaction processing : an application-oriented approach - book review sigmod record 2002,,
24,"the clustra telecom database : high availability , high throughput , and real-time response s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",vldb,
25,conceptual modeling and specification generation for b2b business process based on ebxml,sigmod record,2002.0
26,"neurorule : a connectionist approach to data mining h lu , r setiono , h liu vldb 1995",,
27,a multi-agent system infrastructure for software component market-place : an ontological perspective sigmod record,,2002.0
28,"improving performance in replicated databases through relaxed coherency r gallersdіrfer , m nicola 1995",vldb,
29,an active functionality service for e-business applications,sigmod record,2002.0
30,"contracting in the days of ebusiness w hќmmer , w lehner , h wedekind sigmod record",,2002.0
31,redo recovery after system crashes vldb 1995,,
32,db2 query parallelism : staging and implementation y wang vldb,,1995.0
33,david dewitt speaks out m winslett 2002,ecord,
34,a product specification database for visual prototyping vldb,,1995.0
35,from ternary relationship to relational tables : a case against common beliefs 2002,sigmod record,
36,database de-centralization - a practical approach vldb 1995,,
37,"cluster validity methods : part i m halkidi , y batistakis , m vazirgiannis 2002",sigmod record,
38,a pictorial query language for querying geographic databases using positional and olap operators 2002,sigmod record,
39,"benchmarking spatial join operations with spatial output e hoel , h samet vldb",,1995.0
40,bringing order to query optimization sigmod record,,2002.0
41,"bigsur : a system for the management of earth science data p brown , m stonebraker vldb 1995",,
42,editor 's notes sigmod record 2002,,
43,efficient search of multi-dimensional b-trees vldb 1995,,
44,research activities in database management and information retrieval at the university of illinois at chicago sigmod record 2002,,
45,accessing a relational database through an object-oriented database interface,vldb,1995.0
46,interviewing during a tight job market,,2002.0
47,"db2 common server : technology , progress , & directions vldb 1995",,
48,investigating xquery for querying across database object types n wiegand,sigmod record,2002.0
49,w3qs : a query system for the world-wide web vldb,,1995.0
50,"the design of a retrieval technique for high-dimensional data on tertiary storage r orlandic , j lukaszuk , c swietlik sigmod record 2002",,
51,oodb bulk loading revisited : the partitioned-list approach vldb,,1995.0
52,chair 's message,,2002.0
53,the double life of the transaction abstraction : fundamental principle and evolving system concept h korth vldb,,1995.0
54,combining fuzzy information : an overview r fagin,sigmod record,2002.0
55,"databases and workflow management : what is it all about ? ( panel ) a reuter , s ceri , j gray , b salzberg , g weikum vldb",,1995.0
56,index concurrency control in firm real-time database systems,vldb,1995.0
57,a brief survey of web data extraction tools 2002,sigmod record,
58,value-cognizant speculative concurrency control 1995,vldb,
59,data warehousing and business intelligence for e-commerce - book review,sigmod record,2002.0
60,"data mining : concepts and techniques - book review f galiano , n marэn sigmod record",,2002.0
61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system vldb 1995,,
62,hot block clustering for disk arrays with dynamic striping,vldb,1995.0
63,book review column k aberer,sigmod record,2002.0
64,tods perceptions and misconceptions sigmod record 2002,,
65,"an approach for building secure database federations d jonscher , k dittrich vldb",,1994.0
66,the cougar approach to in-network query processing in sensor networks sigmod record 2002,,
67,dalэ : a high performance main memory storage manager 1994,vldb,
68,introduction to constraint databases - book review,,2002.0
69,"fast , randomized join-order selection - why use transformations ? 1994",vldb,
70,foundations of statistical natural language processing - book review 2002,,
71,bulk loading into an oodb : a performance study vldb 1994,,
72,"efficient and effective clustering methods for spatial data mining r ng , j han vldb 1994",,
73,automata theory for xml researchers sigmod record 2002,,
74,"database research at the university of illinois at urbana-champaign m winslett , k chang , a doan , j han , c zhai , y zhou sigmod record 2002",,
75,fast incremental indexing for full-text information retrieval 1994,vldb,
76,chair 's message,,2002.0
77,"a transaction replication scheme for a replicated database with node autonomy a fu , d cheung vldb",,1994.0
78,treasurer 's message,,2002.0
79,"a top-down approach for two level serializability m ouzzani , m atroun , n belkhodja vldb 1994",,
80,access to objects by path expressions and rules vldb,,1994.0
81,report on the mobile search workshop at www 2002 2002,,
82,graphdb : modeling and querying graphs in databases r gќting,vldb,1994.0
83,report on the web dynamics workshop at www 2002,,2002.0
84,report on the 24th european colloquium on information retrieval research 2002,,
85,"database graph views : a practical model to manage persistent graphs a gutiщrrez , p pucheral , h steffen , j thщvenin vldb 1994",,
86,dual-buffering strategies in object bases,vldb,1994.0
87,sql/med - a status report,sigmod record,2002.0
88,hector garcia-molina speaks out,,2002.0
89,2q : a low overhead high performance buffer management replacement algorithm vldb,,1994.0
90,an effective deductive object-oriented database through language integration vldb,,1994.0
91,"toward autonomic computing with db2 universal database s lightstone , g lohman , d zilio",sigmod record,2002.0
92,reminiscences on influential papers 2002,,
93,"an algebraic approach to rule analysis in expert database systems e baralis , j widom 1994",vldb,
94,report on the semantic web workshop at www 2002 2002,,
95,fast algorithms for mining association rules in large databases 1994,vldb,
96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,2002.0
97,"opossum : desk-top schema management through customizable visualization e haber , y ioannidis , m livny vldb",,1995.0
98,"the grid : an application of the semantic web c goble , d roure",sigmod record,2002.0
99,"querying shapes of histories r agrawal , g psaila , e wimmers , m zaяt vldb 1995",,
100,interview with david maier 2002,,
101,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation 1995",vldb,
102,small worlds : the dynamics of networks between order and randomness - book review,,2002.0
103,"flexible relations - operational support of variant relational structures c kalus , p dadam 1995",vldb,
104,query processing in tertiary memory databases s sarawagi,vldb,1995.0
105,"agents , turst , and information access on the semantic web",sigmod record,2002.0
106,"methodology for development and employment of ontology based knowledge management applications y sure , s staab , r studer sigmod record",,2002.0
107,near neighbor search in large metric spaces vldb,,1995.0
108,scientific journals : extinction or explosion ? ( panel ) vldb 1995,,
109,acm-sigmod digital review h jagadish sigmod record 2000,,
110,"querying multiple bioinformatics data sources : can semantic web research help ? d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002.0
111,"the p operator : discovering and ranking associations on the semantic web k anyanwu , a sheth 2002",sigmod record,
112,similarity based retrieval of pictures using indices on spatial relationships vldb 1995,,
113,clustering validity checking methods : part ii,sigmod record,2002.0
114,providing database migration tools - a practicioner 's approach,vldb,1995.0
115,editor 's notes 2002,sigmod record,
116,metrics for accessing heterogeneous data : is there any hope ? ( panel ) vldb 1995,,
117,"very large databases : how large , how different ? 1995",vldb,
118,book review column k aberer sigmod record 2002,,
119,a study on the management of semantic transaction for efficient data retrieval sigmod record 2002,,
120,"promises and realities of active database systems e simon , a dittrich vldb 1995",,
121,"os support for vldbs : unix enhancements for the teradata data base j catozzi , s rabinovici vldb 1995",,
122,reminiscences on influential papers 2002,,
123,parameterized complexity for the database theorist,sigmod record,2002.0
124,managing a db2 parallel edition database g fecteau 1995,vldb,
125,research in information managment at dublin city university,sigmod record,2002.0
126,the oracle warehouse 1995,vldb,
127,informix-online xps : a dynamically scalable rdbms for open parallel platforms vldb 1995,,
128,report on the edbt '02 panel on scientific data integration 2002,,
129,supporting exceptions to schema consistency to ease schema evolution in oodbms vldb,,1994.0
130,wrapping web data into xml,sigmod record,2001.0
131,on database theory and xml sigmod record,,2001.0
132,"naos - efficient and modular reactive capabilities in an object-oriented database system c collet , t coupaye , t svensen vldb 1994",,
133,xquery formal semantics : state and challenges p fankhauser 2001,sigmod record,
134,"towards automated performance tuning for complex workloads k brown , m mehta , m carey , m livny vldb 1994",,
135,"why and how to benchmark xml databases a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse sigmod record",,2001.0
136,query optimization by predicate move-around vldb 1994,,
137,the evolution of effective b-tree : page organization and techniques : a personal account d lomet sigmod record,,2001.0
138,"optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism w hasan , r motwani 1994",vldb,
139,"the ecobase project : database and web technologies for environmental information systems a tanaka , p valduriez sigmod record",,2001.0
140,some issues in design of distributed deductive databases vldb 1994,,
141,"semantic integration in heterogeneous databases using neural networks w li , c clifton vldb",,1994.0
142,xml document versioning 2001,sigmod record,
143,"providing dynamic security control in a federated database n idris , w gray , r churchhouse 1994",vldb,
144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives b ludфscher , r marciano , r moore sigmod record",,2001.0
145,"semantic web workshop : models , architectures and management 2001",,
146,implementing lazy database updates for an object database system,vldb,1994.0
147,"towards event-driven modelling for database design m teisseire , p poncelet , r cicchetti vldb 1994",,
148,reminiscences on influential papers,,2001.0
149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more 2001",,
150,"new concurrency control algorithms for accessing and compacting b-trees v setzer , a zisman vldb",,1994.0
151,odefs : a file system interface to an object-oriented database vldb 1994,,
152,report on the 2001 sigmod and pods awards,,2001.0
153,constraints for semi-structured data and xml sigmod record,,2001.0
154,"indexing multiple sets c kilger , g moerkotte",vldb,1994.0
155,editor 's notes 2001,,
156,"the hcc-tree : an efficient index structure for object oriented databases b sreenath , s seshadri 1994",vldb,
157,"performance of data-parallel spatial operations e hoel , h samet 1994",vldb,
158,sql/xml and the sqlx informal group of companies,sigmod record,2001.0
159,eiha ?!? : deploying web and wap services using xml technology 2001,sigmod record,
160,the impact of global clustering on spatial database systems,vldb,1994.0
161,"java support for data-intensive systems : experiences building the telegraph dataflow system m shah , s madden , m franklin , j hellerstein 2001",sigmod record,
162,"a requirement-based approach to data modeling and re-engineering a muntz , c ramiller 1994",vldb,
163,"sql multimedia and application packages ( sql/mm ) j melton , a eisenberg",sigmod record,2001.0
164,from nested-loop to join queries in oodb vldb,,1994.0
165,dimacs summer school tutorial on new frontiers in data mining sigmod record,,2001.0
166,"composite events for active databases : semantics , contexts and detection 1994",vldb,
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ) 2001,,
168,"a low-cost storage server for movie on demand databases b жzden , a biliris , r rastogi , a silberschatz vldb 1994",,
169,editor 's notes sigmod record,,2001.0
170,content-based image indexing t chiueh 1994,vldb,
171,client-server paradise,vldb,1994.0
172,"research in multi-organizational processes and semantic information brokering at the lsdis lab a sheth , j miller , k kochut , i arpinar 2001",sigmod record,
173,on the academic interview circuit : an end-to-end discussion u чetintemel 2001,sigmod record,
174,"cumulative updates s sripada , b wќthrich 1994",vldb,
175,"cache conscious algorithms for relational query processing a shatdal , c kant , j naughton vldb",,1994.0
176,introduction to the career forum column sigmod record 2001,,
177,"challenges for global information systems a levy , a silberschatz , d srivastava , m zemankova 1994",vldb,
178,"continuous queries over data streams s babu , j widom sigmod record",,2001.0
179,data analysis and mining in the life sciences n huyn sigmod record 2001,,
180,building a laboratory information system around a c++ - based object-oriented dbms vldb 1994,,
181,a multidatabase system for tracking and retrieval of financial data vldb 1994,,
182,a general techniques for querying xml documents using a relational database system 2001,sigmod record,
183,"an overview of repository technology p bernstein , u dayal 1994",vldb,
184,advanced xml data processing - guest editor 's introduction sigmod record,,2001.0
185,data compression support in databases vldb,,1994.0
186,accessibility of the database literature,sigmod record,2001.0
187,treasurer 's message,,2001.0
188,an empirical performance study of the ingres search accelerator for a large property management database system,vldb,1994.0
189,chair 's message 2001,,
190,"data integration in the large : the challenge of reuse a rosenthal , l seligman 1994",vldb,
191,"career-enhancing services at sigmod online a labrinidis , a mendelzon sigmod record",,2001.0
192,experiments on access to digital libraries : how can images and text be used together vldb,,1994.0
193,pc database systems - present and future p bernstein,vldb,1994.0
194,editor 's notes sigmod record 2001,,
195,"data mining-based intrusion detectors : an overview of the columbia ids project s stolfo , w lee , p chan , w fan , e eskin sigmod record",,2001.0
196,distributed top-k monitoring sigmod conference,,2003.0
197,approximate join processing over data streams sigmod conference 2003,,
198,adam : a testbed for exploring the use of data mining in intrusion detection sigmod record 2001,,
199,detection and classification of intrusions and faults using sequences of system calls 2001,sigmod record,
200,containment join size estimation : models and methods sigmod conference,,2003.0
201,"relating distributed objects b martin , r cattell 1994",vldb,
202,book review column sigmod record,,2001.0
203,integrating a structured-text retrieval system with an object-oriented database system 1994,vldb,
204,describing semistructured data 2001,sigmod record,
205,chair 's message,,2001.0
206,user interfaces ; who cares ? vldb,,1994.0
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,2001.0
208,scientific databases - state of the art and future directions vldb,,1994.0
209,"mining system audit data : opportunities and challenges w lee , w fan 2001",sigmod record,
210,efficient similarity search and classification via rank aggregation,sigmod conference,2003.0
211,"using unknowns to prevent discovery of association rules y saygin , v verykios , c clifton 2001",sigmod record,
212,"extracting structured data from web pages a arasu , h garcia-molina sigmod conference 2003",,
213,factorizing complex predicates in queries to exploit indexes,sigmod conference,2003.0
214,"mining email content for author identification forensics o vel , a anderson , m corney , g mohay",sigmod record,2001.0
215,transactional information systems - book review,,2001.0
216,"estimating compilation time of a query optimizer i ilyas , j rao , g lohman , d gao , e lin sigmod conference",,2003.0
217,"extended wavelets for multiple measures a deligiannakis , n roussopoulos 2003",sigmod conference,
218,information warfare and security - book review 2001,,
219,treasurer 's message 2000,,
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,2001.0
221,"chain : operator scheduling for memory minimization in data stream systems b babcock , s babu , m datar , r motwani sigmod conference",,2003.0
222,"sigmod 2001 industry sessions g lohman , c galindo-legaria , m franklin , l seligman sigmod record 2001",,
223,capturing both types and constraints in data integration sigmod conference,,2003.0
224,reminiscences on influential papers 2001,,
225,exchanging intensional xml data,sigmod conference,2003.0
226,"the gmap : a versatile tool for physical data independence o tsatalos , m solomon , y ioannidis 1994",vldb,
227,the design and performance evaluation of alternative xml storage strategies 2002,sigmod record,
228,guest editor 's introduction,,2002.0
229,including group-by in query optimization vldb,,1994.0
230,"persistent threads f matthes , j schmidt 1994",vldb,
231,"the n-tier hub technology r sommer , t gulledge , d bailey sigmod record",,2002.0
232,supporting global user profiles through trusted authorities i cingil 2002,sigmod record,
233,"memory-contention responsive hash joins d davison , g graefe vldb",,1994.0
234,"business data management for b2b electronic commerce c quix , m schoop , m jeusfeld sigmod record 2002",,
235,v-trees - a storage method for long vector data 1994,vldb,
236,"qualified answers that reflect user needs and preferences t gaasterland , j lobo 1994",vldb,
237,semantic b2b integration : issues in ontology-based applications,sigmod record,2002.0
238,"rp * : a family of order preserving scalable distributed data structures w litwin , m neimat , d schneider 1994",vldb,
239,the role of b2b engines in b2b integration architectures,sigmod record,2002.0
240,supply chain infrastructures : system integration and information sharing 2002,sigmod record,
241,"on index selection schemes for nested object hierarchies s chawathe , m chen , p yu vldb",,1994.0
242,interview with avi silberschatz,,2002.0
243,reasoning about spatial relationships in picture retrieval systems vldb 1994,,
244,what will be - book review 2002,,
245,"on spatially partitioned temporal join h lu , b ooi , k tan vldb",,1994.0
246,"modelling and querying video data r hjelsvold , r midtstraum vldb 1994",,
247,too much middleware sigmod record 2002,,
248,materialization : a powerful and ubiquitous abstraction pattern vldb 1994,,
249,the xml typechecking problem sigmod record 2002,,
250,report on the 18th british national conference on databases ( bncod ),,2002.0
251,maximizing buffer and disk utilizations for news on-demand vldb,,1994.0
252,reminiscences on influential papers,,2002.0
253,"investigation of algebraic query optimisation techniques for database programming languages a poulovassilis , c small vldb",,1994.0
254,"join index hierarchies for supporting efficient navigations in object-oriented databases z xie , j han 1994",vldb,
255,letter to sigmod record editor n elderini 2002,,
256,"hilbert r-tree : an improved r-tree using fractals i kamel , c faloutsos",vldb,1994.0
257,why i like working in academia sigmod record 2002,,
258,a survey of logical models for olap databases sigmod record,,1999.0
259,qc-trees : an efficient summary structure for semantic olap sigmod conference 2003,,
260,fintime - a financial time series benchmark 1999,sigmod record,
261,"spreadsheets in rdbms for olap a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian sigmod conference 2003",,
262,"xrank : ranked keyword search over xml documents l guo , f shao , c botev , j shanmugasundaram sigmod conference",,2003.0
263,"diluting acid t kempster , c stirling , p thanisch sigmod record 1999",,
264,"querying structured text in an xml database s al-khalifa , c yu , h jagadish 2003",sigmod conference,
265,"design and management of data warehouses : report on the dmdw '99 workshop s gatziu , m jeusfeld , m staudt , y vassiliou sigmod record 1999",,
266,vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,,
267,editor 's notes m franklin sigmod record,,1999.0
268,rights protection for relational data sigmod conference,,2003.0
269,"sql standardization : the next steps a eisenberg , j melton sigmod record",,2000.0
270,reminiscences on influential papers 2000,,
271,information sharing across private databases 2003,sigmod conference,
272,"incremental maintenance of recursive views using relational calculus/sql g dong , j su",sigmod record,2000.0
273,"winnowing : local algorithms for document fingerprinting s schleimer , d wilkerson , a aiken 2003",sigmod conference,
274,data quality and data cleaning : an overview sigmod conference 2003,,
275,"sigmod sister societies s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000.0
276,"birn-m : a semantic mediator for solving real-world neuroscience problems a gupta , b ludфscher , m martone 2003",sigmod conference,
277,"a system for watermarking relational databases r agrawal , p haas , j kiernan sigmod conference",,2003.0
278,chair 's message,,2000.0
279,"beyond document similarity : understanding value-based search and browsing technologies a paepcke , h garcia-molina , g rodrэguez-mulр , j cho sigmod record 2000",,
280,aurora : a data stream management system sigmod conference,,2003.0
281,improving the efficiency of database-system teaching j ullman,sigmod conference,2003.0
282,comparative analysis of five xml query languages sigmod record 2000,,
283,an extensible compressor for xml data sigmod record,,2000.0
284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003 2003",,
285,an optimisation scheme for coalesce/valid time selection operator sequences c vassilakis,sigmod record,2000.0
286,efficient processing of joins on set-valued attributes n mamoulis 2003,sigmod conference,
287,hierarchies and relative operators in the olap environment sigmod record,,2000.0
288,"data grid management systems a jagatheesan , a rajasekar 2003",sigmod conference,
289,"evaluating probabilistic queries over imprecise data r cheng , d kalashnikov , s prabhakar",sigmod conference,2003.0
290,evolution and change in data management - issues and directions 2000,sigmod record,
291,"adaptive filters for continuous queries over distributed data streams c olston , j jiang , j widom",sigmod conference,2003.0
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl sigmod record 2000,,
293,knowledge discovery in data warehouses 2000,sigmod record,
294,"dynamic xml documents with distribution and replication s abiteboul , a bonifati , g cobena , i manolescu , t milo sigmod conference 2003",,
295,editor 's notes m franklin sigmod record 2000,,
296,"dynamic sample selection for approximate query processing b babcock , s chaudhuri , g das 2003",sigmod conference,
297,"cmvf : a novel dimension reduction scheme for efficient indexing in a large image database j shen , a ngu , j shepherd , d huynh , q sheng 2003",sigmod conference,
298,the implementation and performance of compressed databases,sigmod record,2000.0
299,"dbcache : middle-tier database caching for highly scalable e-business architectures c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003.0
300,"metadata standards for data warehousing : open information model vs. common warehouse metamodel t vetterli , a vaduva , m staudt",sigmod record,2000.0
301,"a comprehensive xquery to sql translation using dynamic interval encoding d dehaan , d toman , m consens , m жzsu sigmod conference 2003",,
302,"spatial operators e clementini , p felice sigmod record 2000",,
303,reminiscences on influential papers 2000,,
304,gigascope : a stream database for network applications sigmod conference 2003,,
305,formal semantics and analysis of object queries,sigmod conference,2003.0
306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,2000.0
307,"provision of market services for eco compliant electronic market places s arpinar , a dogac sigmod record 2000",,
308,"hardware acceleration for spatial selections and joins c sun , d agrawal , a abbadi",sigmod conference,2003.0
309,"a characterization of the sensitivity of query optimization to storage access cost parameters f reiss , t kanungo",sigmod conference,2003.0
310,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 ) 2000",,
311,"a theory of redo recovery d lomet , m tuttle",sigmod conference,2003.0
312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga 2000,,
313,sigmod digital symposium collection ( disc ) editor 's message 2000,,
314,"cache-and-query for wide area sensor databases a deshpande , s nath , p gibbons , s seshan sigmod conference",,2003.0
315,composing xsl transformations with xml publishing views sigmod conference 2003,,
316,sigmod ' 2000 program chair 's message,,2000.0
317,an optimal and progressive algorithm for skyline queries,sigmod conference,2003.0
318,information director 's message,,2000.0
319,sigmod anthology editor 's message 2000,,
320,"contorting high dimensional data for efficient main memory processing b cui , b ooi , j su , k tan 2003",sigmod conference,
321,chair 's message 2000,,
322,visionary : a next generation visualization system for databases,sigmod conference,2003.0
323,"comparative analysis of six xml schema languages d lee , w chu sigmod record",,2000.0
324,extracting and exploiting structure in text search p raghavan 2003,sigmod conference,
325,building notification services with microsoft sqlserver sigmod conference 2003,,
326,vice chair 's message 2000,,
327,google in a box - building the google search appliance 2003,sigmod conference,
328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,sigmod conference,2003.0
329,editor 's notes 2000,sigmod record,
330,data management challenges in crm sigmod conference 2003,,
331,new tpc benchmarks for decision support and web commerce,sigmod record,2000.0
332,"integration of electronic tickets and personal guide system for public transport using mobile terminals k goto , y kambayashi sigmod conference 2003",,
333,constraint databases : a tutorial introduction sigmod record,,2000.0
334,"multi-dimensional clustering : a new data layout scheme in db2 s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras sigmod conference 2003",,
335,"generating spatiotemporal datasets on the www y theodoridis , m nascimento 2000",sigmod record,
336,theory of answering queries using views a halevy sigmod record 2000,,
337,"using sets of feature vectors for similarity search on voxelized cad objects h kriegel , s brecheisen , p krіger , m pfeifle , m schubert 2003",sigmod conference,
338,"object database evolution using separation of concerns a rashid , p sawyer 2000",sigmod record,
339,a framework for change diagnosis of data streams sigmod conference,,2003.0
340,on relational support for xml publishing : beyond sorting and tagging,sigmod conference,2003.0
341,moving up the food chain : supporting e-commerce applications on databases sigmod record 2000,,
342,reminiscences on influential papers,,2000.0
