id,title,authors,venue,year
13,obtaining complete answers from incomplete databases,ay levy,"proceedings of the international conference on very large & hellip ; ,",1996.0
14,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",proceedings of the very large data bases conference ( vldb ;,
16,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",,
25,too much middleware,m stonebraker,"sigmod record ,",2002.0
45,load balancing in dynamic structured p2p systems,ssy patel,,
97,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,",2003.0
101,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","proceedings of the 1997acm-sigmod conference ,",
104,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
118,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton","proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",
135,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang","proceedings of acm-sigmod international conference on & hellip ; ,",1998.0
137,a value-added model for electronic commerce,to ` daniel,"electronic markets ,",
144,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦,"proc of the 22nd vldb conf ,",
162,application servers ( panel session ) : born-again tp monitors for the web,"c mohan , l cable , m devin , s dietzen , p helland , d","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
166,nsf workshop on industrial/academic cooperation in database systems,"m carey , l seligman","sigmod record ,",1999.0
179,efficient transparent application recovery,"d lomet , g weikum",client-server information systems .,
180,parametric query optimization for linear and piecewise linear cost functions,"ah hs02 , s sudarshan",,2002.0
191,report on the 18th british national conference on databases ( bncod ),"c goble , b read","sigmod record ,",2002.0
202,extracting structured data from web pages,"a arasu , h garcia-molina",,
219,passive dynamic running,"mh raibert , cm thompson","experimental robotics i ,",
234,distributed restoration in telecommunications networks,d johnsonâ ? ¦,"bt technology journal ,",1994.0
241,optimization of dynamic query evaluation plans,"rl cole , g graefe","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
256,mapinfo spatialware : a spatial information server for rdbms .,c mina,"vldb ,",1998.0
261,"tata probabilistic temporal databases , i : algebra","a dekhtyar , r ross , vs subrahmanian","technical report cs-tr-3987 , department of computer science ,",
