track,recording,medium,position,number,name,artist_credit,length,is_data_track
t0,id-13601446,id-1178773,4,4,Silencio,id-47014,165000,f
t1,id-13515966,id-1167716,15,15,Locomotove,id-32020,143000,f
t2,id-3811252,id-937809,1,1,Carnival,id-239056,82093,f
t3,id-8616568,id-998978,7,7,Un ángel 1lora,id-569503,257000,f
t4,id-6144217,id-184872,4,4,Stringj Breath,id-383848,313186,f
t5,id-13515966,id-1167716,15,15,Locomot'lve,id-32020,143000,f
t6,id-13842502,id-1425452,3,3,Banished,id-1031252,188800,f
t7,id-21975463,id-2247182,3,3,Brinv Em Out,id-159154,205547,f
t8,id-15087009,id-1349855,10,10,Farándula,id-1191347,122453,f
t9,id-3855577,id-459631,3,3,It Should Be Easier Now,id-6083,138333,f
t10,id-12790809,id-1085042,1,1,Intro,id-791589,24000,f
t11,id-17186325,id-1611486,3,3,Leyendas de un desconocido,id-1404018,,f
t12,id-11385969,id-843171,8,8,Intermission,id-53139,54000,f
t13,id-13461830,id-1161755,18,18,Its Up to You Lizzy,id-969266,160000,f
t14,id-29114006,id-3259628,9,9,I Heard It Through tbe Grapevine,id-2173,293400,f
t15,id-30258477,id-3437210,8,8,Te Postman Chapter 1 Part 28,rec-3072653-dup-0,314514,f
t16,id-10025550,id-851413,10,10,El pequeño Brooklyn,id-553560,,f
t17,rec-2049071-dup-0,id-36504,19,19,siience,rec-69363-dup-1,8946,f
t18,id-29136197,id-3262774,15,15,All Machines Are Quiet Andre Obin Remix,id-193545,197760,f
t19,id-4041873,id-947553,1,1,Good Sign album version,id-1500372,183666,f
t20,id-7478465,id-393411,3,3,Su1>terrestrial,id-470993,194000,f
t21,id-32254209,id-3764147,16,16,Bookie,id-3302023,187600,f
t22,id-12233210,id-840001,8,8,Thelonious Monk introduction,id-97546,21000,f
t23,id-8656967,id-463870,8,8,Majesty,id-2601,463986,f
t24,id-8571665,id-453689,4,4,Hundred Feet So Inagawa remix,id-566481,355000,f
t25,id-11215151,rec-710611-dup-0,1,A,All You Pretty Girlz,rec-1192-dup-0,222000,f
t26,id-11215151,rec-710611-dup-0,1,A,All You Prerty Girls,rec-1192-dup-0,222000,f
t27,id-1405511,id-958221,7,7,What Is Dub,id-5621,276000,f
t28,id-2755755,id-962424,10,10,Mama Im Coming Home,id-188,286333,f
