For each line in the following csv, create a different name for the column "primaryName". The new name should be mutated similar to duplicate data entries in real Databases. Mutations should include data truncation, abbreviations and misspellings. Return in csv format. 

nconst,primaryName
nm21967423,Camille ParentG
nm21965574,Jus Riddickm
nm21964643,Christina Filippidis
nm0056249,Joanne Baron
nm21961601,Dave Shueya
nm21956745,Willy Goldberger
nm0564947,Brian McCardie
nm0223119,Christopher C Dewey
nm21962780,Ron Selmoura
nm21960805,Dan Drillingn
nm21960142,Bryan SmithC
nm21969422,Ettore Maria Fizzarotti
nm21966129,Daphne Sheldrick
nm9111139,Bruno Delahaye
nm21955437,Sarah Young
nm21962011,Rajaa YousefP
nm0850187,Alberto Tarallo
nm21968544,JB Rogers
nm2732493,Trevor Ilesley
nm1879199,Stern Bigot
nm21962657,Miriam Cutler
nm0018145,Alessandro Alessandroni
nm21964909,Irina Mazingr
nm21966981,Eloïse GenetA
nm0684929,Roddy Piper
nm0421314,Anders Thomas Jensen
nm3264655,Michael C Alvarez
nm21960352,Alemdo Prado
nm0001618,Joaquin Phoenix
nm21962721,Sidney M Goldin
nm21960200,Tom HubbardT
nm21966022,Anirban BhattacharyaO
nm21954875,Colin ClercF
nm21968303,Jim DeloyeS
nm8466651,Nicolas Przygoda
nm0362027,Will B Hard
nm4554005,Bobby Chakraborty
nm0674098,ColeridgeTaylor Perkinson
nm0192325,Jack Cunningham
nm21962152,Al Morrow
nm21959478,Miklós Kapácsy
nm1051220,Yoshiko Asai
nm21963955,Jade ChengK
nm21963905,Michael J HartnettD
nm21967636,Lamberto V AvellanaC
nm0005787,Stelvio Massi
nm4463092,Will LP
nm0259906,Ismet Erten
nm0205802,Joone
nm1027089,Reiko Yoshida
nm21968499,Mark Burman
nm21958289,Miryam Zohar\\
nm21969057,Rajan P Dev
nm0434654,Hannu Kahakorpi
nm0111612,Clive Brook
nm21966386,James Bushe
nm3970873,Zak Shy
nm21966232,Robert Allen Mukesx
nm2063773,Andrew Halliwell
nm21964347,Phillip G Carroll Jrt
nm21956136,Joseph Sistrom
nm0013566,Luis Aguilar
nm21965632,Stan Freberg
nm21955211,ChiranjeeviP
nm21966576,Antônio Fagundes
nm21969385,Rolf Bergn
nm21958240,Dwier Brown
nm2012991,Pedro Pablo Picazo Pérez
nm5474724,Dennis Pickett
nm2437691,Ceyda Ates
nm1092280,Ti Ou
nm21964073,Martijn Schinkel
nm9716243,Darren Mcmeckan
nm21963924,Guy Glovere
nm21961650,Robert F Blumofef
nm21966949,Nripati Chatterjee
nm2669252,Hans von Petersdorff
nm1627175,Fabien Bouillaud
nm21967837,Matt Day
nm0266813,Michael P Flannigan
nm0162737,Gabriele Cirilli
nm21958741,Rosamund KwanB
nm7405864,Vivian Dorsett
nm21955150,Sophie Leblond
nm21969585,Axel Skovdal RoelofsQ
nm21968517,Ashley White
nm21965787,Alyssa Chaffee
nm21968407,Jon Osborn
nm2047752,Daniele Anzellotti
nm9056022,Scott Ingram
nm21959571,Miki Andoy
nm0924502,Bernard White
nm4384917,James Weaver
nm1046893,Andrew Strahorn
nm21967902,Avinesh RekhiC
nm21964168,Gerard Damiano
nm0315713,Jose Americo Ghezzi
nm0382890,Katherine Hicks
nm21964939,Megan Gallaghera
nm21966444,Hanneke Schutte
nm21958742,Sammo KamBo HungV
nm21959005,Petr Kettnerv
nm21962882,Fernando NoguerasK
nm0853259,Tianna Taylor
nm21955659,Gary PorterK
nm21957295,Céline Fuhrer
nm21967503,DW GriffithL
nm21969138,Peter Mullan
nm0046942,Egon Bahr
nm2014777,Tony Corella
nm21955510,Lore ReyesS
nm1469305,Richard da Costa
nm1037986,Courtney Looney
nm0005847,Phil Rosen
nm21960929,Makar Zaporozhskiyr
nm0304842,Kaz Garas
nm21956803,Elaine Tysonz
nm21963486,H Atkinsn
nm21969397,Kanchana
nm21967900,Suresh Nair
nm4221562,D Karetnyy
nm21960990,Brock Englandq
nm21968249,Enes Vejzovic
nm21967534,Nate Davis
nm21969489,Arthur C Miller
nm21959480,Gábor MarosiV
nm21954991,Éric Névé
nm3170784,Ryan Bader
nm21969641,Cheyenne Peskok
nm21965790,Mark Anthoneil
nm0000248,Edward D Wood Jr
nm21963175,Andrew Taggarti
nm21964645,Paul Burke
nm21959572,Megumi Ishii
nm21965041,Chris Candy
nm21955210,Giri Babu
nm21965245,Lynne Ramsay
nm0012420,Jacky Adriaansen
nm1886602,Miles Teller
nm21965562,Kal PennJ
nm0960112,Turgud Ören
nm21956864,Alexis C Martino
nm21957250,José Nieto
nm5374866,Branko Radakovic
nm21965561,Sharat Rajuk
nm21967404,George Meehane
nm21967498,Frank Sullivan
nm21956002,Madhusudan ReddyV
nm21964010,Sergio Doria
nm4104397,Anne Rieman
nm21966639,Mariah Carey
nm9536366,Vishnuprasad Palinje
nm0003405,Nathan Anderson
nm3060183,Anu Valia
nm21967486,Francis LaiJ
nm1213110,Norihiko Hibino
nm21966635,David Archuleta
nm7774893,Marie Colomb
nm0057302,Tina Barrett
nm21958320,Nadir AlievB
nm21955059,MariaTeresa DaherCusackX
nm21965211,Julie BeirízQ
nm0256488,Luciano Emmer
nm0456562,Tim Kirk
nm8187824,Konomi Fujimura
