node_id,entity_type,degree,betweenness,is_articulation_point
m532,move,1118,0.021647445992528953,False
m250,move,1118,0.021560327020606757,False
m755,move,1118,0.0215142579457764,False
m499,move,1117,0.02147051215533304,False
m405,move,1115,0.021442501368157427,False
m909,move,1113,0.02137422047704536,False
m907,move,852,0.012436831292262826,False
m322,move,851,0.01233909606305842,False
m226,move,742,0.010536311155504584,False
m1087,move,739,0.010420818044152494,False
a324,ability,70,0.008923130419101654,True
m288,move,696,0.008100633126935776,False
m88,move,709,0.00795174207549595,False
m1046,move,608,0.006844867042075247,False
i1030,item,19,0.006434606054335169,True
m865,move,635,0.006424800371107381,False
a453,ability,67,0.004539277092723349,True
a169,ability,38,0.00434700386886275,False
1014,pokemon,94,0.004230737441061719,True
1164,pokemon,112,0.0040235978516894,True
m266,move,488,0.003955400956761672,False
m271,move,476,0.003575137950049378,False
a259,ability,36,0.003436487574764206,True
a152,ability,50,0.003402801447240688,False
m1075,move,423,0.0032469990702106988,False
555,pokemon,102,0.003120897033024854,True
1302,pokemon,113,0.003117085688670927,True
m430,move,406,0.0030568816468989775,False
486,pokemon,336,0.003030340122969202,False
a446,ability,53,0.003028215384875962,False
393,pokemon,90,0.0030145048335872286,True
m91,move,430,0.002997439850525798,False
1179,pokemon,131,0.0029026648919085207,False
a369,ability,44,0.0026068146340782576,True
a183,ability,24,0.002578696714320473,True
1183,pokemon,91,0.0025420131209450626,True
m158,move,408,0.0025086889138089784,False
a54,ability,41,0.0024636333118570547,False
300,pokemon,106,0.002456070887959218,True
m128,move,372,0.0024382491476770247,False
1003,pokemon,101,0.0024360952195447484,True
m778,move,403,0.0023591988216341187,False
1473,pokemon,96,0.0023371958854273684,True
600,pokemon,98,0.0023201393764805535,False
633,pokemon,77,0.0022847298487420013,True
398,pokemon,86,0.0022822453161824466,True
568,pokemon,61,0.002267050760630253,False
943,pokemon,60,0.002228731617062505,True
179,pokemon,107,0.0021774976771163244,True
m412,move,361,0.002158068657290868,False
180,pokemon,106,0.0021510198722635623,True
m579,move,410,0.0021467859186067176,False
1219,pokemon,87,0.0021308246979350296,True
a374,ability,39,0.002127343935538029,False
m1081,move,391,0.002097617049244512,False
a168,ability,15,0.0020957798549771835,False
m746,move,393,0.002092208335125077,False
m892,move,390,0.00206065907804892,False
m942,move,318,0.0020564037146814087,False
m1136,move,353,0.0020145273633098548,False
1206,pokemon,99,0.00198865059861576,True
a403,ability,28,0.0019784611641194836,False
a444,ability,37,0.001963188690867297,False
a383,ability,23,0.0019527095458925817,False
a320,ability,33,0.0019343237078446123,False
a394,ability,35,0.0019159601026208879,False
942,pokemon,55,0.0019097416679541034,True
a5,ability,41,0.0019013963145419596,False
372,pokemon,97,0.0018886194211582058,True
a118,ability,37,0.0018607219071365769,False
455,pokemon,4,0.0018399810066476734,True
1581,pokemon,96,0.001825660897456823,True
63,pokemon,88,0.0018164722816083043,True
a20,ability,23,0.0018155498950014318,False
635,pokemon,57,0.0018109621076925996,True
288,pokemon,76,0.0018082354984055137,True
m353,move,359,0.0018062193306678275,False
626,pokemon,79,0.001795850546068644,False
m377,move,321,0.0017744178168044187,False
m600,move,341,0.0017532250120652995,False
m1143,move,298,0.0017451803135949701,False
m953,move,340,0.0017296030153957792,False
a40,ability,27,0.0017218938273545264,False
1190,pokemon,77,0.0017196325620964126,False
1012,pokemon,75,0.0017153520138076584,False
1230,pokemon,63,0.001715230914283879,True
a98,ability,27,0.001706977186935826,False
a0,ability,7,0.001705124795368555,True
a410,ability,3,0.0017048359997077953,True
a309,ability,3,0.0017048359997077944,True
719,pokemon,54,0.001677662521351496,False
m676,move,370,0.001666606761892119,False
419,pokemon,69,0.0016620023340553373,True
827,pokemon,81,0.0016595400011117185,False
m740,move,286,0.0015961809862703987,False
a381,ability,40,0.0015937042581797433,False
a179,ability,40,0.0015908328564387128,False
1353,pokemon,103,0.0015572443899731334,False
i222,item,32,0.0015386263136523094,False
a232,ability,29,0.0015372230887251064,False
m741,move,331,0.0015290766296872417,False
m1027,move,313,0.0015216975182710433,False
1580,pokemon,121,0.0014935222852956297,True
m900,move,301,0.0014577602221716565,False
402,pokemon,97,0.001450570034053463,False
1530,pokemon,90,0.001432039245877349,True
m22,move,288,0.0014134274316241595,False
a270,ability,31,0.0014124387461189397,False
a287,ability,14,0.0013891698928767168,False
a34,ability,45,0.0013805864571287576,False
m1147,move,319,0.001379765767557433,False
i1163,item,13,0.0013714763711776552,False
m139,move,273,0.0013708363515436296,False
i1162,item,12,0.0013701066582694806,False
m121,move,273,0.0013534272804264788,False
a248,ability,42,0.0013304174634154455,False
801,pokemon,112,0.001318439775801228,True
m16,move,250,0.0013173192179492886,False
443,pokemon,79,0.001305382854871341,False
a171,ability,33,0.0013040855731447584,False
1459,pokemon,70,0.0012939099210209214,False
m1237,move,319,0.0012884806157336555,False
m736,move,265,0.0012857246788745644,False
1193,pokemon,124,0.0012837722384337023,False
a121,ability,52,0.0012772555727759223,False
1273,pokemon,73,0.001276652325742603,False
m251,move,302,0.0012702557643480942,False
1360,pokemon,92,0.0012689620895340965,False
m153,move,275,0.0012447290842814082,False
1290,pokemon,66,0.0012434075705523352,False
a18,ability,43,0.0012426997564845134,False
1361,pokemon,92,0.0012241015268497173,False
m1262,move,300,0.0012237888901147865,False
1354,pokemon,79,0.0012192857703001378,False
1289,pokemon,64,0.0012165627714595547,False
a2,ability,23,0.001206798937807404,True
m789,move,284,0.001202901184226273,False
1169,pokemon,63,0.001202490003794272,False
a187,ability,35,0.0011865351616017839,False
1163,pokemon,116,0.001185111511059909,True
a170,ability,27,0.0011842170965009383,False
1492,pokemon,100,0.0011804118432686265,False
m159,move,264,0.0011723618737925067,False
759,pokemon,63,0.0011709847919109254,False
m379,move,259,0.0011486454558565782,False
688,pokemon,127,0.0011410306693384448,False
m753,move,274,0.0011325696122174056,False
a13,ability,44,0.0011265728260561397,False
a14,ability,47,0.0011242238014795597,False
m835,move,264,0.0011219012356456844,False
1334,pokemon,93,0.0011218205398762886,True
433,pokemon,97,0.0011205798103899021,True
1579,pokemon,57,0.0011200415029242728,False
1247,pokemon,73,0.0011187668604928512,False
1142,pokemon,73,0.0011187668604928512,False
1476,pokemon,70,0.001117493825595007,False
i1501,item,11,0.0011078391476507694,False
1232,pokemon,77,0.0011034339074989404,False
a486,ability,43,0.0010892502579172647,False
i1499,item,32,0.0010801227725124808,False
a82,ability,20,0.001078538071816718,False
524,pokemon,94,0.001077704270901885,False
i1525,item,23,0.0010664895905790014,False
1475,pokemon,69,0.0010643950736515956,False
1609,pokemon,119,0.001056779100513639,False
1122,pokemon,80,0.0010490913564544355,False
a182,ability,20,0.0010464379273912707,False
i1524,item,27,0.0010461503823114109,False
m419,move,261,0.001045820664985983,False
1612,pokemon,147,0.0010447725824126058,False
a469,ability,30,0.0010345384195663322,False
950,pokemon,64,0.0010332397711509855,False
a254,ability,39,0.001030868463178509,False
1189,pokemon,73,0.0010250660776482939,True
m1051,move,263,0.0010247390565966288,False
477,pokemon,76,0.0010194037464855833,False
681,pokemon,110,0.0010129754611829277,False
m861,move,252,0.0010126436107854538,False
497,pokemon,51,0.0010107342629284732,False
12,pokemon,113,0.0010001927721283758,False
478,pokemon,61,0.0009941191230693194,False
m858,move,271,0.0009938227044417479,False
176,pokemon,110,0.0009922036069184208,False
m1029,move,257,0.0009896477146137193,False
a483,ability,21,0.0009847178637397566,False
1170,pokemon,48,0.000973045571463395,False
a451,ability,37,0.000971645419345185,False
924,pokemon,117,0.0009706592542439841,False
m424,move,262,0.0009703079743994426,False
545,pokemon,111,0.0009698343479874023,False
a189,ability,11,0.0009686870115735176,False
1120,pokemon,115,0.0009682598241549516,True
m274,move,255,0.0009653381164734448,False
a249,ability,31,0.000962631436197675,False
a322,ability,28,0.0009621795825827615,False
364,pokemon,63,0.0009616220767345413,False
a317,ability,17,0.0009608785619498925,False
1185,pokemon,96,0.0009594087300517206,True
1377,pokemon,99,0.0009591180449358672,False
a181,ability,25,0.0009588819836710743,False
1555,pokemon,70,0.0009582882247166945,False
m1031,move,258,0.0009575013487395411,False
1221,pokemon,50,0.0009520965773445753,False
1404,pokemon,76,0.0009455965543093731,False
a178,ability,13,0.0009382621015651613,False
a52,ability,14,0.0009309735290625523,False
869,pokemon,98,0.0009182135548687361,False
726,pokemon,133,0.0009158218666700366,False
863,pokemon,98,0.0009094214571804217,False
1338,pokemon,5,0.0009073587065040144,False
a250,ability,41,0.0009050933730667878,False
1329,pokemon,67,0.0009001089456626936,False
m184,move,230,0.0008925229437578106,False
m1095,move,235,0.0008920794737183084,False
1231,pokemon,64,0.0008888360282084648,False
a12,ability,14,0.0008885294211917867,False
1217,pokemon,75,0.0008872523179686283,False
411,pokemon,79,0.0008871585570043427,False
1474,pokemon,105,0.0008836591071317918,False
81,pokemon,123,0.0008820556937248916,False
m820,move,228,0.0008812144988660771,False
599,pokemon,82,0.000877902530134072,False
921,pokemon,125,0.0008668831483362105,False
a105,ability,27,0.0008642057931849152,False
689,pokemon,102,0.0008617497266626193,False
205,pokemon,73,0.0008592417128358133,False
1156,pokemon,2,0.000853556983107304,False
241,pokemon,100,0.0008527657651192046,False
1159,pokemon,2,0.0008517331433998097,False
1267,pokemon,139,0.0008499014363988679,False
543,pokemon,127,0.0008484553891672988,False
859,pokemon,71,0.0008479980595065289,False
1216,pokemon,72,0.0008431497355325289,False
a99,ability,57,0.000843094643642846,True
1566,pokemon,54,0.0008396310604016695,False
983,pokemon,54,0.0008394156890472699,False
489,pokemon,106,0.0008323927890125576,False
308,pokemon,57,0.0008297642522766693,True
1454,pokemon,107,0.0008271423019030971,False
1352,pokemon,95,0.0008246158373069147,False
435,pokemon,74,0.000820411000735066,False
1453,pokemon,5,0.0008178099203740234,False
721,pokemon,140,0.0008176546893733388,True
1166,pokemon,109,0.0008173624795791691,True
m362,move,226,0.000816122848309736,False
a297,ability,10,0.000813163239414655,False
m657,move,247,0.0008125750998805166,False
a300,ability,32,0.0008087652847603886,True
m1163,move,235,0.0008067854492215991,False
889,pokemon,82,0.0008049076255259271,False
m824,move,219,0.0008043676512180789,False
m380,move,217,0.0008023560417861642,False
732,pokemon,146,0.0008010017543827829,True
714,pokemon,100,0.0008007224437764631,False
m6,move,208,0.0007981649748309308,False
m234,move,255,0.0007943374005946367,False
277,pokemon,66,0.000794002563080478,False
i18,item,28,0.000789643151226191,False
i2395,item,10,0.0007875658276178381,False
m1010,move,240,0.0007867696388488819,False
m810,move,232,0.0007866280249638408,False
a290,ability,5,0.0007843889254145662,False
a289,ability,4,0.0007841606399298705,False
1263,pokemon,102,0.0007835057512012502,False
168,pokemon,81,0.0007833674603691629,True
a379,ability,17,0.0007809742890799344,False
789,pokemon,127,0.0007778481532628981,False
434,pokemon,67,0.0007776756596953098,False
309,pokemon,64,0.0007767632705002912,False
m41,move,257,0.0007732954957191155,False
184,pokemon,115,0.0007701620632744409,True
661,pokemon,96,0.0007670184583586592,False
203,pokemon,98,0.0007630005154549125,True
463,pokemon,90,0.0007597806406329236,False
708,pokemon,110,0.0007580086124960899,False
1200,pokemon,93,0.0007579853223816666,False
m179,move,237,0.0007533168509194307,False
a452,ability,17,0.0007527789781683725,False
a174,ability,16,0.0007502233439563494,False
13,pokemon,60,0.000746881864657294,False
i1841,item,10,0.0007443471871281348,False
49,pokemon,98,0.0007439352439596802,False
1125,pokemon,68,0.0007412432653310903,False
185,pokemon,90,0.0007377499437507892,True
701,pokemon,70,0.0007361985281615502,False
i1025,item,12,0.0007287608197999804,True
a371,ability,46,0.0007280601999569648,False
1608,pokemon,95,0.0007278535634042582,False
1154,pokemon,106,0.0007256271389166364,False
i17,item,27,0.0007239092692611103,False
165,pokemon,85,0.000722567659002839,False
430,pokemon,131,0.000721766595559172,False
593,pokemon,89,0.0007198023530891973,True
767,pokemon,74,0.0007196256130008797,True
989,pokemon,109,0.0007179975683459402,False
m959,move,216,0.0007154345160476178,False
1355,pokemon,70,0.0007147718924252952,False
864,pokemon,88,0.0007140702083558431,False
48,pokemon,90,0.0007132643422995575,False
1269,pokemon,124,0.0007105362690743729,False
551,pokemon,86,0.000709660522820744,False
509,pokemon,76,0.0007060321781673345,True
250,pokemon,90,0.000705045974695644,False
1507,pokemon,88,0.0007043514483576191,False
m1225,move,216,0.0007033270068095702,False
1356,pokemon,66,0.0007010358201566383,False
m735,move,225,0.0007000653659032679,False
1479,pokemon,98,0.0006994583040032031,False
101,pokemon,86,0.0006972293394479202,False
1491,pokemon,111,0.0006972169273474896,True
1151,pokemon,86,0.0006967852575780883,False
a245,ability,14,0.0006945280345602828,False
261,pokemon,95,0.0006935677408390292,False
m447,move,246,0.0006922686140981178,False
1093,pokemon,71,0.0006907984081223447,False
1551,pokemon,78,0.0006907981626942799,False
i1895,item,9,0.0006892187097809715,False
i1896,item,10,0.0006892187097809715,False
703,pokemon,75,0.0006883407394478256,False
1167,pokemon,89,0.0006859427832431935,False
1637,pokemon,85,0.0006856547826285461,False
1029,pokemon,86,0.0006855691265024176,False
m446,move,244,0.0006853257628708303,False
m1111,move,213,0.0006849376162073785,False
1180,pokemon,93,0.000684687165727926,False
407,pokemon,96,0.0006832693841102949,True
m373,move,230,0.0006769150071545415,False
1214,pokemon,74,0.000675189842396441,False
a107,ability,19,0.0006674820999955621,False
1286,pokemon,98,0.0006665630404355901,False
613,pokemon,81,0.0006657564153108874,False
1254,pokemon,113,0.0006629818749311405,True
m17,move,213,0.0006621642127222525,False
m601,move,205,0.0006616246133229068,False
m1201,move,212,0.0006598061587617163,False
908,pokemon,78,0.0006587040725711578,False
1228,pokemon,72,0.0006519108464777672,False
a393,ability,32,0.0006499066024868533,False
m237,move,232,0.000649072645215956,False
687,pokemon,99,0.0006489004859961436,False
91,pokemon,96,0.0006486287268801454,True
m1009,move,194,0.0006485056374308677,False
14,pokemon,79,0.0006479799980082747,True
1048,pokemon,76,0.0006455020753676812,False
m863,move,227,0.0006434994159571308,False
1204,pokemon,80,0.0006420315604255455,False
192,pokemon,54,0.0006418926076944668,False
m36,move,196,0.0006392472786705049,False
a23,ability,16,0.0006378509378202018,True
m591,move,181,0.0006363648222239207,False
1613,pokemon,87,0.000636254974848692,False
1538,pokemon,74,0.0006360327544214574,False
298,pokemon,74,0.0006358856836809956,False
214,pokemon,38,0.0006329919957371526,False
611,pokemon,78,0.0006329101168497415,False
a26,ability,34,0.0006316624284647076,False
1073,pokemon,91,0.0006314873331358478,False
1480,pokemon,109,0.0006307715923182947,False
848,pokemon,95,0.0006278105010935983,False
565,pokemon,54,0.0006270074311346285,False
m503,move,225,0.0006268847623884296,False
1222,pokemon,77,0.0006247874593245297,False
527,pokemon,85,0.0006238746086669084,False
a175,ability,21,0.0006232527665767628,False
922,pokemon,99,0.0006217389401872442,False
1519,pokemon,49,0.0006214727178518812,False
881,pokemon,77,0.0006196664828299316,False
285,pokemon,82,0.0006189399198409214,False
m1076,move,231,0.0006178970500890426,False
630,pokemon,79,0.0006162427490734525,False
610,pokemon,75,0.0006150924273075124,False
m187,move,205,0.0006149747774740101,False
698,pokemon,98,0.0006146599217308027,False
1518,pokemon,62,0.0006145182078930284,False
707,pokemon,101,0.0006108291117650308,False
m42,move,191,0.0006105443514944972,False
923,pokemon,91,0.0006100053316236951,False
503,pokemon,63,0.0006098880210877022,False
880,pokemon,74,0.0006080211161001188,False
133,pokemon,72,0.0006077484243720291,False
526,pokemon,65,0.0006068791079050232,False
m78,move,195,0.0006060432608767327,False
a333,ability,25,0.0006042791276394791,False
409,pokemon,90,0.0006028976374863519,False
1085,pokemon,104,0.0006019694942267939,True
810,pokemon,63,0.0006018801251009388,False
a338,ability,18,0.000601598560099575,False
m607,move,191,0.00060132043053285,False
23,pokemon,85,0.0005998865190876197,True
291,pokemon,86,0.0005996930217255584,False
559,pokemon,104,0.0005993323944895126,False
i1504,item,8,0.0005962802522219501,False
m681,move,196,0.0005959178751725948,False
737,pokemon,56,0.0005933452403707966,False
1374,pokemon,108,0.0005916202591530786,False
1265,pokemon,95,0.0005903526909087317,False
571,pokemon,134,0.0005880463730317811,False
541,pokemon,113,0.0005878639586344779,False
m34,move,205,0.0005878476551014903,False
871,pokemon,98,0.0005876822688622823,False
a188,ability,33,0.0005875107067200053,False
824,pokemon,99,0.0005870226792193849,True
1517,pokemon,61,0.0005867590182774894,False
1160,pokemon,132,0.0005867231133258536,False
417,pokemon,74,0.0005860401686539035,False
784,pokemon,48,0.000585977375113803,False
736,pokemon,130,0.0005857395459055515,True
m324,move,188,0.0005850770476546062,False
212,pokemon,94,0.0005844243373896965,False
1615,pokemon,121,0.0005843460438984694,False
1209,pokemon,92,0.0005833240137142814,False
m606,move,205,0.0005819583634252795,False
a271,ability,32,0.0005794466479022741,False
a151,ability,17,0.000574200778672858,False
400,pokemon,64,0.0005731807377772575,False
515,pokemon,74,0.0005713733628879391,False
m414,move,181,0.0005699309534373272,False
1060,pokemon,78,0.0005688266449466937,False
1205,pokemon,80,0.0005678813185282312,False
213,pokemon,73,0.00056762629769106,True
667,pokemon,81,0.0005649927259445826,False
72,pokemon,81,0.0005638309977367028,True
994,pokemon,76,0.0005626164790179115,False
a468,ability,27,0.0005622167136861398,False
785,pokemon,48,0.000561786248718782,False
97,pokemon,102,0.0005614957420115892,False
795,pokemon,104,0.0005608984650916796,False
290,pokemon,106,0.0005595450425830524,True
122,pokemon,62,0.0005594312946172255,False
m936,move,207,0.0005583006417588887,False
47,pokemon,89,0.000556917398000614,False
m554,move,175,0.0005556211400678564,False
m495,move,187,0.0005543846858303135,False
m24,move,189,0.0005542409304974606,False
884,pokemon,75,0.0005539966154998833,False
718,pokemon,65,0.0005525291862647432,True
662,pokemon,10,0.0005518337562641273,True
a387,ability,17,0.0005512879403858612,False
406,pokemon,42,0.000550995773947761,False
1071,pokemon,74,0.000550255938904972,False
297,pokemon,57,0.0005485768726104347,False
m864,move,215,0.000547254018830411,False
1077,pokemon,67,0.0005472261451501093,False
m1045,move,188,0.000545956784517455,False
518,pokemon,91,0.0005456380637362851,False
a141,ability,24,0.0005444483866198074,False
1074,pokemon,6,0.0005440912195056968,True
1387,pokemon,65,0.0005415060905363119,False
1065,pokemon,90,0.0005410714384354111,False
121,pokemon,59,0.0005407187162713605,False
281,pokemon,67,0.0005404478601632265,False
a288,ability,14,0.0005397129604702785,False
1126,pokemon,69,0.0005381030863482723,False
1456,pokemon,70,0.0005377220593616835,False
1528,pokemon,57,0.0005353359665084208,False
512,pokemon,67,0.00053390794519783,True
a114,ability,29,0.0005334077399776103,True
1245,pokemon,111,0.0005323347109314261,False
539,pokemon,106,0.0005321033050515838,False
1470,pokemon,90,0.0005318113436420858,False
317,pokemon,97,0.0005317938630722832,False
464,pokemon,79,0.0005314431773430521,True
1124,pokemon,79,0.0005310763780522196,False
