node_id,entity_type,degree,betweenness,is_articulation_point
tt0043677,movie,10,2.3431859873365283e-05,True
nm0199959,name,5,2.278241316054204e-05,True
tt0412270,movie,11,2.17764364755311e-05,True
nm0005692,name,3,2.0326646547132965e-05,True
nm0000561,name,11,2.006151637477906e-05,False
nm1131544,name,6,1.9794070655068348e-05,True
nm0001000,name,8,1.6727036294183307e-05,False
nm0184722,name,6,1.636487366116338e-05,True
tt2104487,movie,12,1.5844132788922425e-05,True
tt0246857,movie,11,1.554233978341914e-05,True
tt0161506,movie,11,1.477837455191402e-05,True
tt0105845,movie,11,1.473187147783278e-05,True
tt5210858,movie,11,1.4415476824495112e-05,False
tt5784568,movie,13,1.4409136635303863e-05,True
nm0366170,name,4,1.4256972094713973e-05,True
tt0112630,movie,10,1.3906148292798392e-05,True
tt0264066,movie,11,1.3856863374586316e-05,True
nm1683003,name,4,1.38469731936801e-05,True
nm0001014,name,6,1.371087046570803e-05,True
tt0081586,movie,11,1.325694814288814e-05,True
nm0621096,name,2,1.3225634652938047e-05,True
nm0006163,name,5,1.2480028404047576e-05,True
tt0196869,movie,12,1.2352801940943249e-05,True
tt7349906,movie,10,1.2175276643588377e-05,True
nm0505465,name,4,1.2160482868808805e-05,True
nm0649320,name,7,1.1996694648034965e-05,True
nm0208125,name,3,1.1947452511982957e-05,True
nm0198790,name,3,1.1808979104574162e-05,False
tt0050047,movie,11,1.1768447837150125e-05,True
nm0000763,name,6,1.1651154337112086e-05,True
nm0516316,name,3,1.1363344971102827e-05,False
tt0195054,movie,11,1.1231433812651637e-05,True
tt1188681,movie,11,1.0984377773832771e-05,True
tt0061002,movie,9,1.0651517841292382e-05,True
nm0573093,name,9,1.0087736838580082e-05,False
tt2083932,movie,10,9.98579797621161e-06,True
tt0034251,movie,11,9.941416651872892e-06,True
nm0192446,name,7,9.484289011184092e-06,True
nm0320883,name,8,9.359598623756266e-06,False
tt12543979,movie,8,9.29640807148352e-06,False
tt2051999,movie,13,9.24061440660056e-06,True
nm0802280,name,7,8.817089768625363e-06,True
nm0111612,name,6,8.67077229140073e-06,False
tt0268418,movie,11,8.292806683243986e-06,True
nm0125540,name,4,8.254926327001598e-06,True
nm1027089,name,5,8.225338777442453e-06,True
nm0681635,name,5,8.093539693042621e-06,True
nm1692616,name,7,8.068736104418691e-06,True
nm0195996,name,3,8.033019705308007e-06,True
nm0293989,name,3,7.988638380969288e-06,True
tt0393068,movie,11,7.9537213970175e-06,True
tt2789248,movie,11,7.93740068253353e-06,True
nm0162737,name,6,7.936860169240784e-06,True
nm0392056,name,4,7.925236489056832e-06,True
tt3692292,movie,11,7.641229015274816e-06,True
tt0052547,movie,11,7.595546651112069e-06,True
nm0812220,name,5,7.544825137582106e-06,True
tt0046813,movie,6,7.544825137582104e-06,True
tt12540322,movie,4,7.538319552151089e-06,False
tt6988208,movie,11,7.432815128536769e-06,True
tt0339725,movie,11,7.3791348600508915e-06,True
tt0019035,movie,11,7.2973464194838256e-06,False
tt0393824,movie,13,7.157816313876488e-06,False
tt1059840,movie,11,7.157260752148022e-06,True
tt7090140,movie,11,6.8865021598911176e-06,True
nm0242658,name,8,6.839869255544739e-06,False
tt12535717,movie,7,6.81993017338304e-06,False
tt0834914,movie,13,6.697141842712586e-06,True
nm0777886,name,4,6.524238727327666e-06,True
nm0013566,name,5,6.302148056097994e-06,True
tt1733412,movie,11,6.176400970471625e-06,True
tt5639338,movie,13,6.035860110065683e-06,True
tt0212651,movie,11,5.899757382093615e-06,True
tt2613788,movie,12,5.864199011722534e-06,True
tt0023039,movie,11,5.718568864317134e-06,True
nm0240338,name,5,5.7103970649150835e-06,True
tt1198083,movie,13,5.693900303048773e-06,False
tt0290293,movie,11,5.675385131270095e-06,True
tt12532623,movie,8,5.535830522516125e-06,False
tt1644575,movie,11,5.464367260923269e-06,True
tt0036727,movie,11,5.462847900270233e-06,False
tt0467771,movie,11,5.444109118882775e-06,True
tt1853725,movie,11,5.444109118882773e-06,True
nm0219783,name,3,5.37950963567864e-06,False
tt0303418,movie,12,5.370140244984911e-06,True
nm0160900,name,4,5.209157077610833e-06,False
nm0946916,name,4,5.192614947630038e-06,False
nm0433967,name,7,5.154573812482564e-06,True
nm0925028,name,7,5.1359054776416746e-06,False
tt12540778,movie,6,5.128110414119105e-06,False
tt12531261,movie,7,5.029883425054736e-06,False
nm0958784,name,4,5.015089650275165e-06,True
tt12545804,movie,8,4.971060558669293e-06,False
tt6416520,movie,11,4.9647908160246165e-06,True
tt2294965,movie,11,4.96331143854666e-06,True
tt0392232,movie,10,4.8873348380715685e-06,True
