node_id,entity_type,degree,betweenness,is_articulation_point
m532,move,1118,0.02108031002442178,False
m250,move,1118,0.021034773154309936,False
m755,move,1118,0.021034773154309936,False
m499,move,1117,0.02094813982880706,False
m405,move,1115,0.02092160006798136,False
m909,move,1113,0.020854050074176823,False
m322,move,851,0.012760950722978365,False
m907,move,852,0.012760841373433744,False
m226,move,742,0.00961503899521059,False
m1087,move,739,0.009511270560128366,False
m288,move,696,0.008713602136436516,False
m88,move,709,0.007743657294562862,False
a324,ability,70,0.007073315910114443,True
m865,move,635,0.006973651591818322,False
m1046,move,608,0.00647773219232287,False
i1030,item,19,0.006436317103253406,True
a152,ability,50,0.0048213856929046825,False
m271,move,476,0.0040512336537111325,False
m266,move,488,0.003703816921555017,False
1334,pokemon,93,0.0032803576743278603,True
942,pokemon,55,0.003218003886969595,True
1580,pokemon,121,0.003081073221272196,True
a270,ability,31,0.003007023433743706,False
m430,move,406,0.003006673256541955,False
m1075,move,423,0.0029509729871324015,False
486,pokemon,336,0.0029227375670375397,False
1302,pokemon,113,0.0028603903404927733,True
a171,ability,33,0.0028527488166196244,False
a34,ability,45,0.00280786530149303,False
m778,move,403,0.002788781521182909,False
a446,ability,53,0.002754359937756726,False
1164,pokemon,112,0.002733396927517641,True
393,pokemon,90,0.002699749565039182,True
1163,pokemon,116,0.002660139468326176,True
m91,move,430,0.0026503030188893906,False
a486,ability,43,0.002607649332683464,False
a18,ability,43,0.002563215525384749,False
a183,ability,24,0.002423947454222931,True
398,pokemon,86,0.0024172625400436043,True
m579,move,410,0.002414734766410008,False
1473,pokemon,96,0.0023740889035430528,True
732,pokemon,146,0.002342385713663868,True
m1262,move,300,0.002311990913174233,False
a99,ability,57,0.0022633906738863795,True
a300,ability,32,0.0022602668686626188,True
m158,move,408,0.0022540889781482933,False
203,pokemon,98,0.0022484721583521184,True
1185,pokemon,96,0.0022438500570930884,True
1206,pokemon,99,0.002217681313265432,True
179,pokemon,107,0.002202242089858842,True
m746,move,393,0.0021842422432118355,False
m128,move,372,0.0021649051892602095,False
23,pokemon,85,0.002153387298585107,True
943,pokemon,60,0.002138016153822611,True
a54,ability,41,0.002137904394775327,False
1491,pokemon,111,0.002136496837151803,True
m892,move,390,0.0021176047378406453,False
a453,ability,67,0.002104845824212096,True
72,pokemon,81,0.002103795165830171,True
m1136,move,353,0.002091766834704887,False
i222,item,32,0.0020776026135697883,False
m1081,move,391,0.002077357037477947,False
186,pokemon,74,0.0020619388601149117,True
a250,ability,41,0.002056781322365308,False
568,pokemon,61,0.0020348826762262118,False
213,pokemon,73,0.002019490726682594,True
a114,ability,29,0.001967305070502332,True
m353,move,359,0.0019397487211563575,False
m676,move,370,0.0019245280587349871,False
m412,move,361,0.00190162374968785,False
1601,pokemon,105,0.0018815348004047156,True
977,pokemon,82,0.001856016160640063,False
a311,ability,4,0.0018408941485864563,True
734,pokemon,101,0.0018407372803756637,True
185,pokemon,90,0.0018318384420027976,True
m953,move,340,0.0018227906086930783,False
1465,pokemon,101,0.0018221211596716315,True
a106,ability,12,0.0018184952287274563,True
a169,ability,38,0.0017953785346194301,False
1120,pokemon,115,0.001765189719920595,True
1003,pokemon,101,0.0017621719337985071,True
1227,pokemon,55,0.0017434928312668686,False
1410,pokemon,79,0.0017310951670314765,False
151,pokemon,74,0.0017148809641592715,False
a294,ability,16,0.0017085495956702884,True
m942,move,318,0.0017077977306349,False
557,pokemon,10,0.0017058427775557845,True
a14,ability,47,0.0016895272603644027,False
288,pokemon,76,0.0016874118793375522,True
a444,ability,37,0.0016809496829103124,False
595,pokemon,83,0.0016725914407124236,False
m1027,move,313,0.0016717564287328172,False
i1524,item,27,0.0016433348439623802,False
a121,ability,52,0.001640942625488429,False
m1237,move,319,0.0016395432066321942,False
m1143,move,298,0.0016251855284873432,False
a13,ability,44,0.001619892371717706,False
1332,pokemon,45,0.0016159217909634354,True
a371,ability,46,0.0016104102364649811,False
m600,move,341,0.0016044234320929634,False
m1147,move,319,0.00160318146860916,False
555,pokemon,102,0.0016007034040370835,True
m377,move,321,0.0015914773612969123,False
12,pokemon,113,0.0015567528060177855,False
a381,ability,40,0.0015461803534562,False
m741,move,331,0.001543685889053043,False
176,pokemon,110,0.0015386994123931226,False
m900,move,301,0.0015091712136199504,False
661,pokemon,96,0.0015071106461840929,False
a369,ability,44,0.0014813841636346532,True
527,pokemon,85,0.001430763369121941,False
1530,pokemon,90,0.0014066487797512355,True
m139,move,273,0.0013737771375533709,False
298,pokemon,74,0.0013699809175760724,False
1471,pokemon,93,0.0013587801126112274,False
m251,move,302,0.001347857016647614,False
m22,move,288,0.0013452855984198873,False
a118,ability,37,0.0013384331725671383,False
m121,move,273,0.0013267520909118584,False
m789,move,284,0.0013261180722959002,False
1179,pokemon,131,0.0013069083921630298,False
1352,pokemon,95,0.0013000827779609471,False
1470,pokemon,90,0.0012873151822592576,False
a40,ability,27,0.0012863199013168252,False
a374,ability,39,0.001281932955053079,False
a248,ability,42,0.001278250968505603,False
1193,pokemon,124,0.00127696669852113,False
a141,ability,24,0.0012724562396194347,False
1492,pokemon,100,0.0012722194033538447,False
m835,move,264,0.0012648508308815744,False
a387,ability,17,0.001263310367151875,False
i1525,item,23,0.0012595785902667664,False
1273,pokemon,73,0.0012217478126067111,False
a2,ability,23,0.0012114736430031265,True
m153,move,275,0.0012095326036012475,False
m740,move,286,0.0012071000311655912,False
a271,ability,32,0.0012035186090031812,False
286,pokemon,58,0.0012034861793794307,False
1247,pokemon,73,0.0012022066576956188,False
1142,pokemon,73,0.0012022066576956188,False
a194,ability,13,0.0011978139246347328,False
801,pokemon,112,0.0011920898235990177,True
a313,ability,6,0.0011792869054260034,False
