artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
a0,Love4Monei,Love4Momey,,,,,,,f,Group,,id-189,
a1,One Night Stand,One Night Stand,,,,,,,f,Group,,id-21,Punk rock from Belgium
a2,The Archipelago Singdrs,Archipelavo Singers The,,,,,,,f,Group,,id-8162,Finnish male choir
a3,Dash,Dash,,,,,,,f,Person,Male,id-194,Spanish MC
a4,The Flirts,Flirts The,1980,,,,,,f,Group,,id-222,USA pop group
a5,Erlend Kroser,Krauser Erlerid,1958,7,19,,,,f,Person,Male,id-81,
a6,Digo el Cigala,Diego el Cigwla,1968,12,27,,,,f,Person,Male,id-194,
a7,Mills Embargo,Mills Embargo,,,,,,,f,Group,,id-203,
a8,Triumvirad,Triumfirat,1969,,,1980,,,t,Group,,id-81,progressive rock bant formed in 1969 in Cologne Germany
a9,Olivier Capparos,Capparos Olivier,,,,,,,f,Person,Male,id-73,
a10,Herman Dune,Herman Dune,1999,,,,,,f,Group,,id-73,
a11,Distance,Distance,,,,,,,f,Person,Male,id-221,UK dubstep artist Greg Sanders
a12,菅野よう子,Kanno Yōko,1964,3,19,,,,f,Person,Female,id-107,Japanese composer arranger  musician
a13,Swizz Beatz,Swizz Beatz,1978,9,13,,,,f,Person,Male,id-222,US hip hop producer
a14,The Chaperals,Chaperals The,,,,,,,f,Group,,id-81,a cappella Vocal Group
a15,Carlas,Carlas,,,,,,,f,Group,,,
a16,Kaahl Wolf,Wo1f Karl,1979,4,18,,,,f,Person,Male,id-5076,
a17,Hummingbird,Hummingbird,,,,,,,f,,,,Ambient electronic
a18,Gene Krupa and His Orchestra,Krupa Gene and His Orchestra,,,,,,,t,Group,,id-222,
a19,David McAlmont,McAlmont David,1967,5,2,,,,f,Person,Male,id-221,
a20,Madona,Madomna,1958,8,16,,,,f,Person,Female,id-222,Queeh of Pop
a21,Dean Collinzon,Collinzon Dean,,,,,,,f,,,,
a22,Clive Cussler,Cussler Clive,1931,7,15,2020,2,24,t,Person,Male,id-222,novelist
a23,Pittsburgh Symphony Orchestra,Pittsburgh Symphony Orchestra,1895,,,,,,f,Orchestra,,id-222,
a24,Ars Nova,Ars Nova,,,,,,,f,Group,,,electronicaindieexperimental
a25,Gregor Popovic,Popovic Gregor,,,,,,,f,Person,,,
a26,Musica ad Renum,Musica ad Renum,1992,,,,,,f,Group,,,
a27,Faraquet,Faraquet,1997,,,2001,,,t,Group,,id-222,
a28,Treefight for Sunlight,Treefight for Sunlight,2007,,,,,,f,Group,,id-57,
a29,The Chils,Chills Th,1980,,,,,,f,Group,,id-5430,
a30,Black Tape for a Blue Girl,Black Tape for a Blue Girl,1986,,,,,,f,Group,,id-222,
a31,Seloadoh,Sebad0h,1986,,,,,,f,Group,,id-222,
a32,Van Coke Kartel,Van Coke Kardel,2007,,,2017,,,t,Group,,id-193,
a33,Triumfirat,Triumvirad,1969,,,1980,,,t,Group,,id-81,progressive rock band formed in 1969 in Cilogne Germany
a34,Jim Reeves,Reeves Jim,1923,8,20,1964,7,31,t,Person,Male,id-222,US country  pop singer
a35,Vomitous,Vomitous,2001,,,,,,f,Group,,id-202,
a36,Six of Swords,Six of Swords,2013,,,,,,f,Group,,id-5076,death metal
a37,Son Kite,Son Kite,1996,,,,,,f,Group,,id-57,
a38,nevergetusettopeople,nevergetusecltopeople,2000,,,,,,f,Person,Male,id-176,ÑΣVΣR GΣ† UΣD †Ø PΣØPLΣ
a39,Crimpzhrine,Crimpshrin,1982,,,1989,,,t,Group,,id-222,
a40,Tetine,Tetine,,,,,,,f,Group,,id-30,
a41,King Adora,King Adora,1998,,,2005,,,t,Group,,id-221,
a42,Asking Abloy,Asking Abb6,,,,,,,f,Group,,,
a43,Marko Antonio Solís,Solís Marco Antoriio,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
a44,Marco Antonoo Solís,Solís Marco Anton9o,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
a45,Marco Antonjo Solís,Solís Marco Anton:o,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
a46,Clermont  Maclrod,Clermond  Macleod,,,,,,,f,,,,
a47,若原一郎,Wakahara Ichirou,1931,8,1,1990,7,16,t,Person,Male,id-107,
a48,Anton'lno,Andonino,1983,3,9,,,,f,Person,Male,id-105,Italian singer kfr Amici di Maria De Filippi
a49,Ceap Trick,Cheap Tr8ck,1973,,,,,,f,Group,,id-222,
a50,Cheap Tr:ck,Cheap Tnck,1973,,,,,,f,Group,,id-222,
a51,Kelly Sweet,Sweet Kelly,1988,3,29,,,,f,Person,Female,id-222,
a52,Roudoudou,Roudoudou,1963,,,,,,f,Person,Male,id-73,
a53,Arsenik,Arsenik,1989,9,24,,,,f,Person,,,Born in the 80s Product of the 90s
a54,Tapes,Tapes,,,,,,,f,Person,Male,id-221,Jackson Bailey
a55,The Dorsey Brothers Orchrstra,Dorsey Brothers Orchest4a The,,,,,,,f,Group,,id-222,
a56,Hot Chip,Hot Chip,2000,,,,,,f,Group,,id-221,
a57,Concentus Musicus Wien,Concentus Musicus Wien,1953,,,,,,f,Orchestra,,id-14,
a58,ThermalBear,ThermalBear,,,,,,,f,,,,
a59,Back of tbe Bus,Back og the Bus,2004,,,,,,f,Group,,,
a60,FREEATLAST,FREEATLAST,,,,,,,f,,,id-3925,Synthwave and Dubstep
a61,Alpek Duo,Albei Duo,,,,,,,f,Group,,,
a62,Corvus Corax,Corvus Corax,1989,12,,,,,f,Group,,id-81,German band playing medieval music
a63,Jet,Jet,2001,,,,,,f,Group,,id-13,Australian garage rock band
a64,Sharon Lois  Bram,Sharon Lois  Bram,1978,,,,,,f,Group,,id-38,
a65,Johann Bley,Bley Johann,,,,,,,f,Person,Male,id-81,psychedelic trance artist
a66,Marcia Hines,Hines Marcia,1953,7,20,,,,f,Person,Female,id-13,
a67,iNTROSPEKT,iNTROSPEKT,,,,,,,f,,,,
a68,Stendal Blast,Stendal Blast,1989,,,,,,f,Group,,id-81,
a69,Grateful Dead,Grateful Dead,1965,,,1995,,,t,Group,,id-222,
a70,Stephen L Alen,Alen Stephen L,,,,,,,f,Person,Male,,
a71,Phil Ranelin,Ranelin Phil,1939,5,25,,,,f,Person,Male,id-222,
a72,Needle,Needle,,,,,,,f,Group,,,
a73,Nusrat Fateh Ali Khan,Fateh Ali Khan Nusrat,1948,10,13,1997,8,16,t,Person,Male,id-162,
a74,xDisciplex AD,xDisciplex AD,1995,,,2004,,,t,Group,,id-222,
a75,Philharmonia Orchestra,Philharmonia Orchestra,1945,10,,,,,f,Orchestra,,id-1178,London orchestra known as New Philharmonia Orchestra from 19641976
a76,Jenny Wilson,Wilson Jenny,1975,10,20,,,,f,Person,Female,id-202,Swedish singer
a77,The Revelairs,Revelairs The,,,,,,,f,,,,
a78,AlienSjx13,AlienSixl3,,,,,,,f,,,,
a79,Drunk Vision,Drunk Vision,,,,,,,f,,,,
a80,John Valby,Valby John,1945,,,,,,f,Person,Male,id-222,
a81,Captain  Tennille,Captain  Tennile,1974,,,2013,,,t,Group,,id-222,
a82,Captain  Tenille,Captain  Tennikle,1974,,,2013,,,t,Group,,id-222,
a83,Posession,Posession,1997,,,,,,f,Group,,id-111634,
a84,Sister Nancy,Sister Nancy,1962,1,2,,,,f,Person,Female,id-106,
a85,UGK,UGK,1987,,,2007,12,4,t,Group,,id-222,
a86,Dominic Glynn,Glynn Dominic,1960,9,27,,,,f,Person,Male,id-221,
a87,Alexandra Kelly,Kelly Alexandra,2006,7,1,2008,,,t,,,,
a88,ぼたん,Botan,,,,,,,f,Character,,,Anime Yu Yu Hakusho character
a89,雪菜,Yukina,,,,,,,f,Character,,,Anime Yu Yu Hakusho character
