artist,area
a0,b457
a1,b465
a2,b647
a3,b240
a4,b319
a5,b219
a6,b240
a7,b16
a8,b219
a9,b8
a10,b8
a11,b321
a12,b215
a13,b319
a14,b219
a16,b22
a18,b319
a19,b321
a20,b319
a22,b319
a23,b319
a27,b319
a28,b548
a29,b324
a30,b319
a31,b319
a32,b239
a33,b219
a34,b319
a35,b15
a36,b22
a37,b548
a38,b443
a39,b319
a40,b658
a41,b321
a43,b340
a44,b340
a45,b340
a47,b215
a48,b217
a49,b319
a50,b319
a51,b319
a52,b8
a54,b321
a55,b319
a56,b321
a57,b246
a60,b712
a62,b219
a63,b247
a64,b657
a65,b219
a66,b247
a68,b219
a69,b319
a71,b319
a73,b631
a74,b319
a75,b642
a76,b15
a80,b319
a81,b319
a82,b319
a83,b549
a84,b552
a85,b319
a86,b321
a90,b215
a91,b217
a92,b247
a96,b453
a97,b217
a98,b219
a99,b319
a101,b356
a102,b127
a103,b606
a104,b217
a105,b219
a106,b0
a107,b319
a109,b319
a110,b319
a111,b319
a112,b0
a113,b319
a114,b319
a116,b177
a117,b321
a118,b8
a119,b319
a120,b215
a121,b247
a122,b177
a124,b319
a125,b8
a126,b319
a127,b179
a128,b319
a129,b265
a131,b179
a132,b647
a133,b8
a134,b319
a135,b319
a136,b219
a137,b345
a138,b8
a139,b321
a140,b219
a142,b319
a145,b319
a146,b319
a147,b219
a148,b8
a149,b319
a150,b319
a151,b319
a152,b321
a153,b216
a154,b319
a155,b606
a157,b8
a158,b219
a159,b239
a160,b215
a161,b443
a163,b319
a164,b441
a166,b319
a167,b8
a168,b442
a170,b30
a171,b216
a173,b127
a174,b127
a175,b127
a176,b319
a177,b319
a179,b321
a180,b726
a181,b606
a182,b606
a183,b215
a184,b321
a185,b215
a186,b319
a187,b319
a188,b11
a189,b319
a190,b321
a191,b246
a192,b219
a194,b704
a196,b8
a197,b356
a198,b219
a200,b15
a201,b8
a202,b8
a203,b178
a205,b215
a206,b319
a207,b606
a208,b606
a209,b606
a210,b15
a211,b8
a212,b272
a213,b319
a215,b67
a216,b15
a218,b319
a219,b15
a220,b319
a221,b465
a222,b8
a223,b319
a225,b321
a226,b606
a227,b606
a229,b657
a230,b319
a231,b247
a232,b570
a233,b202
a234,b248
a235,b0
a236,b657
a237,b15
a238,b15
a239,b219
a240,b319
a241,b321
a242,b121
a243,b319
a244,b97
a245,b319
a246,b319
a247,b321
a248,b215
a249,b215
a251,b127
a252,b319
a253,b319
a255,b219
a256,b440
a259,b319
a260,b219
a261,b443
a262,b240
a264,b215
a266,b215
a268,b321
a269,b321
a270,b556
a271,b319
a272,b336
a273,b319
a275,b219
a276,b321
a277,b219
a280,b321
a281,b8
a283,b321
a284,b319
a285,b236
a288,b219
a289,b657
a290,b629
a291,b246
a293,b236
a294,b319
a295,b319
a296,b216
a297,b319
a299,b217
a300,b606
a301,b219
a302,b552
a303,b319
a304,b356
a306,b319
a309,b319
a311,b606
a312,b319
a313,b319
a314,b319
a315,b219
a316,b319
a317,b219
a318,b8
a320,b321
a321,b8
a322,b465
a323,b219
a326,b16
a327,b348
a328,b127
a329,b548
a330,b319
a332,b319
a333,b219
a334,b457
a336,b240
a338,b606
a339,b606
a341,b215
a342,b443
a343,b321
a344,b319
a345,b237
a346,b606
a347,b247
a349,b219
a350,b319
a351,b321
a352,b319
a357,b606
a358,b319
a359,b219
a360,b246
a361,b246
a362,b552
a363,b247
a364,b215
a366,b319
a368,b8
a369,b127
a370,b217
a371,b16
a372,b319
a373,b215
a375,b319
a376,b319
a377,b319
a378,b319
a379,b441
a380,b319
a381,b319
a383,b319
a384,b319
a385,b247
a386,b319
a387,b319
a388,b219
a389,b219
a390,b240
a391,b240
a392,b321
a393,b128
a395,b319
a397,b321
a398,b319
a399,b319
a400,b657
a401,b8
a402,b617
a403,b552
a404,b319
a405,b319
a408,b319
a409,b541
a410,b8
a411,b8
a412,b440
a413,b659
a414,b674
a415,b248
a416,b443
a417,b127
a418,b217
a419,b336
a420,b319
a421,b247
a423,b217
a424,b658
a426,b219
a427,b319
a428,b562
a429,b219
a430,b319
a431,b319
a432,b215
a433,b441
a434,b319
a435,b219
a436,b127
a438,b647
a439,b321
a440,b319
a441,b319
a443,b219
a444,b319
a445,b215
a446,b127
a447,b422
a450,b8
a451,b657
a452,b15
a453,b219
a454,b0
a455,b657
a456,b658
a457,b326
a459,b321
a460,b16
a461,b219
a462,b319
a463,b657
a464,b319
a465,b319
a466,b201
a467,b127
a468,b629
a469,b356
a470,b8
a471,b319
a473,b653
a475,b657
a476,b215
a477,b321
a478,b15
a479,b552
a480,b15
a481,b8
a483,b319
a484,b319
a487,b319
a488,b220
a489,b319
a490,b319
a491,b319
a493,b15
a494,b319
a495,b319
a496,b319
a497,b319
a498,b215
a500,b215
a502,b319
a503,b215
a504,b319
a506,b0
a507,b236
a508,b321
a509,b681
a510,b443
a512,b319
a515,b319
a516,b606
a517,b321
a519,b321
a520,b319
a521,b319
a523,b606
a524,b440
a525,b319
a527,b127
a528,b319
a530,b588
a531,b606
a532,b658
a533,b319
a534,b657
a536,b606
a537,b319
a538,b556
a539,b319
a540,b321
a543,b231
a545,b236
a548,b217
a549,b219
a550,b15
a551,b219
a553,b321
a555,b219
a556,b319
a558,b319
a559,b321
a560,b321
a561,b8
a562,b548
a563,b629
a564,b657
a565,b202
a567,b471
a568,b319
a572,b4
a573,b657
a574,b319
a575,b319
a576,b319
a578,b219
a579,b8
a580,b319
a581,b236
a582,b15
a583,b127
a585,b319
a586,b319
a587,b606
a588,b319
a589,b15
a590,b319
a591,b321
a593,b356
a594,b548
a595,b321
a596,b219
a597,b319
a598,b556
a599,b319
a600,b201
a601,b219
a602,b247
a603,b219
a604,b319
a607,b215
a608,b319
a609,b8
a611,b606
a612,b8
a613,b319
a614,b219
a615,b247
a617,b127
a619,b321
a620,b319
a621,b319
a622,b319
a624,b319
a625,b627
a626,b627
a627,b627
a630,b219
a631,b325
a632,b219
a633,b219
a634,b319
a636,b653
a639,b624
a640,b465
a641,b319
a642,b657
a643,b319
a645,b356
a646,b219
a647,b658
a648,b606
a649,b566
a651,b240
a652,b8
a656,b465
a657,b465
a659,b215
a663,b319
a664,b606
a668,b557
a669,b8
a670,b629
a671,b443
a672,b606
a673,b8
a674,b321
a675,b219
a677,b319
a681,b16
a682,b657
a683,b657
a684,b219
a685,b705
a686,b606
a687,b321
a689,b319
a691,b158
a692,b215
a695,b356
a696,b319
a697,b319
a698,b657
a699,b217
a700,b219
a701,b240
a702,b342
a704,b319
a705,b219
a706,b219
a707,b606
a708,b319
a709,b552
a710,b219
a712,b248
a713,b319
a714,b319
a715,b319
a716,b319
a717,b321
a718,b219
a719,b215
a720,b319
a721,b8
a722,b319
a723,b221
a724,b313
a726,b397
a727,b397
a728,b319
a729,b606
a730,b606
a731,b606
a732,b8
a733,b321
a734,b217
a736,b15
a737,b321
a738,b321
a739,b215
a742,b319
a744,b0
a745,b319
a748,b219
a749,b8
a752,b319
a753,b319
a754,b219
a755,b443
a758,b321
a759,b319
a760,b219
a761,b319
a763,b657
a764,b240
a765,b15
a767,b217
a768,b465
a769,b0
a770,b391
a771,b8
a773,b217
a774,b606
a775,b606
a776,b552
a778,b321
a779,b457
a780,b321
a783,b319
a784,b321
a785,b657
a786,b287
a787,b687
a788,b321
a793,b441
a794,b319
a795,b629
a796,b219
a797,b15
a798,b319
a799,b442
a801,b319
a802,b319
a803,b440
a804,b0
a805,b0
a806,b219
a808,b236
a809,b215
a810,b215
a811,b686
a812,b219
a815,b319
a817,b247
a819,b0
a820,b319
a821,b219
a822,b5
a824,b219
a827,b548
a829,b552
a830,b319
a831,b552
a833,b319
a836,b443
a837,b127
a838,b37
a839,b8
a840,b246
a841,b37
a843,b658
a845,b321
a846,b319
a850,b319
a851,b319
a852,b321
a853,b321
a854,b0
a857,b321
a859,b0
a860,b321
a861,b700
a864,b319
a866,b443
a867,b219
a868,b319
a869,b215
a873,b319
a874,b309
a875,b0
a876,b8
a879,b219
a880,b247
a881,b239
a882,b319
a883,b319
a884,b319
a885,b356
a887,b15
a888,b319
a890,b54
a892,b321
a893,b243
a894,b243
a896,b629
a897,b319
a898,b240
a899,b319
a900,b215
a901,b246
a902,b319
a903,b319
a904,b291
a905,b14
a906,b319
a908,b8
a909,b441
a910,b321
a911,b658
a913,b319
a914,b319
a915,b215
a916,b606
a917,b319
a918,b465
a919,b8
a920,b687
a921,b319
a922,b252
a923,b321
a924,b566
a926,b219
a928,b575
a930,b219
a931,b8
a932,b15
a933,b15
a934,b321
a935,b219
a936,b548
a937,b548
a938,b246
a939,b528
a940,b201
a941,b353
a943,b321
a944,b319
a945,b319
a947,b217
a948,b658
a949,b319
a950,b128
a951,b127
a953,b321
a954,b319
a955,b219
a956,b121
a957,b319
a958,b319
a959,b0
a960,b319
a961,b319
a962,b687
a963,b217
a967,b319
a968,b319
a969,b319
a970,b319
a971,b321
a972,b8
a973,b321
a974,b562
a975,b8
a976,b321
a977,b321
a978,b319
a979,b606
a980,b217
a981,b552
a982,b15
a984,b319
a985,b273
a988,b215
a989,b321
a990,b217
a991,b443
a992,b8
a993,b236
a994,b217
a995,b319
a996,b8
a997,b16
a998,b236
a999,b348
a1000,b219
a1001,b319
a1003,b657
a1005,b319
a1007,b319
a1008,b15
a1010,b15
a1011,b321
a1012,b321
a1013,b658
a1015,b216
a1016,b319
a1017,b128
a1019,b658
a1020,b178
a1021,b319
a1023,b319
a1024,b8
a1025,b321
a1026,b219
a1028,b219
a1029,b657
a1031,b321
a1032,b15
a1033,b319
a1035,b287
a1036,b319
a1037,b15
a1038,b0
a1039,b606
a1040,b321
a1041,b319
a1042,b319
a1043,b319
a1045,b219
a1046,b219
a1047,b248
a1048,b247
a1049,b443
a1050,b0
a1051,b16
a1053,b219
a1054,b321
a1056,b215
a1057,b8
a1059,b319
a1061,b443
a1063,b8
a1064,b127
a1065,b321
a1066,b217
a1067,b236
a1068,b319
a1069,b326
a1070,b326
a1071,b236
a1072,b321
a1075,b219
a1077,b215
a1078,b434
a1079,b321
a1081,b8
a1082,b319
a1083,b465
a1084,b215
a1086,b231
a1087,b231
a1088,b606
a1089,b127
a1091,b321
a1092,b247
a1093,b8
a1096,b127
a1099,b319
a1100,b319
a1101,b289
a1102,b443
a1103,b319
a1104,b59
a1105,b575
a1107,b319
a1108,b8
a1109,b240
a1110,b201
a1113,b319
a1114,b236
