recording,artist
id-14950668,id-1170816
id-11353601,id-262429
id-8571665,id-566481
id-11376783,id-624088
id-24746461,id-2424495
rec-8470280-dup-0,rec-558971-dup-0
id-12441880,id-627408
rec-12966678-dup-0,id-601621
rec-15896143-dup-1,rec-1488075-dup-1
id-8228157,id-1104471
id-2249718,id-154451
id-2994717,id-89441
id-4331733,id-272152
id-12929388,id-187
id-11355861,id-737792
id-6419071,id-405195
rec-10736089-dup-0,id-162647
rec-10736089-dup-1,id-162647
id-11948031,id-776260
id-6316767,id-22492
id-4598557,id-256187
id-25264727,id-1916773
id-2330250,id-104436
id-24764954,id-321897
rec-13021363-dup-0,id-894565
id-26538351,id-1309777
id-4673050,id-1012
id-7326530,id-469760
rec-1312686-dup-1,id-53043
rec-1312686-dup-2,id-53043
id-8470280,id-558971
rec-9433743-dup-1,id-411882
rec-14483156-dup-1,id-1116858
id-8822766,id-315496
id-11026605,id-313146
id-2392274,id-162777
rec-2246478-dup-0,id-356
id-73365,id-5507
id-4967597,id-68173
id-11443497,id-44954
id-15091328,id-713233
id-6450479,id-992
id-2507190,id-33058
id-7686138,id-458181
id-14256258,id-1088198
id-8346941,id-58141
id-12692194,id-70573
id-17186325,id-1404018
id-10417094,id-543482
id-11318922,id-9696
id-1829703,id-14732
rec-29125960-dup-0,rec-261245-dup-0
id-11254753,id-149110
rec-26533127-dup-0,id-1335525
id-13086622,id-905985
rec-11886090-dup-1,id-7262
id-11504014,id-746736
rec-11886090-dup-2,id-7262
id-4032120,id-253056
rec-1485535-dup-2,id-3126
id-13504231,id-97546
id-9018405,id-45442
id-13981634,id-1049504
id-6516157,id-38345
id-3111586,id-303
rec-3075229-dup-0,id-1156
id-3340399,id-187670
rec-11357176-dup-2,rec-126774-dup-0
id-3129925,id-2122
id-1963202,id-58636
rec-3068341-dup-0,id-196668
id-4219595,id-153598
rec-3068341-dup-2,id-196668
id-14246300,id-61965
id-6578968,id-415859
id-7792358,id-228322
id-14075669,id-1063238
id-27965988,id-805009
id-8206696,id-538831
id-11445701,id-743175
rec-13776338-dup-1,id-325256
rec-11839654-dup-0,id-769178
rec-11357176-dup-1,rec-126774-dup-0
id-11235807,id-729098
id-7209558,id-268693
id-10358205,id-2132260
rec-6749002-dup-1,id-325071
id-13505059,id-974213
id-24284018,id-536653
id-1857685,id-34227
id-1728080,id-129092
id-263138,id-22590
rec-1942359-dup-2,rec-30847-dup-1
id-11124312,id-179780
rec-1942359-dup-0,id-30847
rec-1942359-dup-1,rec-30847-dup-0
id-8265350,id-265209
id-616807,id-1874
id-32255296,id-3039727
rec-11467536-dup-0,rec-50680-dup-0
id-15063589,id-1188294
id-6057010,id-340959
id-12173606,id-187
rec-9558401-dup-1,id-630404
id-12014323,id-565615
rec-12857124-dup-1,id-142950
id-10801203,id-703963
rec-31563971-dup-2,id-1685547
id-1633229,id-61362
rec-31563971-dup-0,id-1685547
rec-15340354-dup-1,id-1222230
rec-15340354-dup-0,id-1222230
id-21933836,id-595139
rec-15340354-dup-2,id-1222230
id-5568851,id-1745
rec-7916073-dup-0,id-294468
id-6288504,id-134589
id-1807471,id-102489
id-5401338,id-23494
rec-1155684-dup-0,id-1040692
id-10582897,id-144617
rec-10343614-dup-0,id-675814
id-30269813,id-3073877
rec-10343614-dup-2,id-675814
id-5619255,id-22153
rec-9863041-dup-0,id-64925
id-8037957,id-62438
rec-9863041-dup-2,id-64925
rec-7578162-dup-1,id-491218
id-2965355,id-311
rec-29084947-dup-2,id-2935568
id-12966678,id-601621
rec-29084947-dup-0,rec-2935568-dup-0
rec-8659998-dup-0,id-572130
rec-14037678-dup-0,id-201995
id-15306390,id-1218640
rec-12101286-dup-0,rec-52904-dup-1
id-1948995,id-139945
id-2916886,id-189182
id-8001629,id-416934
rec-11349821-dup-0,rec-737349-dup-0
rec-2923892-dup-0,id-1990
rec-13021363-dup-1,id-894565
rec-5173309-dup-2,rec-37180-dup-0
rec-22613665-dup-1,id-2208417
id-17850612,id-1486894
id-2216907,id-53448
id-740181,id-11442
id-7078869,id-9202
rec-13942386-dup-0,id-1043913
id-11957296,id-293699
id-5860147,id-361994
id-8239100,id-541283
id-12883364,id-3331
id-2076754,id-161962
id-8499392,id-203525
id-10957859,id-816227
rec-5931070-dup-0,id-107335
id-7273681,id-466114
id-17073404,id-1390531
id-6750248,id-432495
rec-5931070-dup-1,id-107335
id-4849772,id-209615
id-17841938,id-1485649
rec-2852156-dup-0,id-186079
rec-2852156-dup-1,id-186079
id-1940768,id-97546
id-10540909,id-580476
id-9353739,id-283289
rec-13328380-dup-0,rec-794376-dup-0
id-11986050,id-574766
id-18114172,id-1200073
id-14472112,id-1918
rec-4165218-dup-0,id-818983
rec-26571124-dup-1,id-2653183
id-1398972,id-67425
id-7706611,id-31471
id-1004292,id-21365
id-8948431,id-592428
id-7035189,id-216143
id-8812160,id-50588
id-21938865,id-2128064
rec-8916816-dup-0,rec-527350-dup-0
id-2778708,id-151300
id-12103732,id-335941
id-2867892,id-149549
id-14888729,id-613603
id-6433541,id-407299
id-3912140,id-245870
id-28558324,id-67117
id-4143801,id-216007
id-3257976,id-207574
id-2778060,id-72042
id-4838971,id-133560
id-8105201,id-527563
id-12590868,id-14414
id-8076611,id-528777
rec-8744961-dup-0,id-107434
id-9958908,id-58532
id-2713204,id-60728
id-6336519,id-347594
id-8931258,id-160980
id-12731367,id-856804
id-1646939,id-2098452
id-5086952,id-315890
id-6510017,id-404126
id-2639353,id-174591
id-14483156,id-1116858
rec-10622836-dup-0,id-14410
rec-10622836-dup-1,id-14410
rec-1646912-dup-1,id-45799
id-13248067,id-663679
id-23465713,id-1656976
id-10879020,id-35999
id-3287434,id-209179
id-2634084,id-1129732
id-8869732,id-586435
id-695760,id-36957
id-1824044,id-77028
id-17840463,id-1485398
rec-10551743-dup-0,rec-362868-dup-0
id-15262158,id-170690
rec-9898113-dup-0,rec-1373-dup-0
rec-8353372-dup-0,rec-116557-dup-0
rec-213800-dup-0,id-14679
id-3516806,id-175568
id-8584393,id-567248
id-14125399,id-1026249
