track,artist
t0,a4684
t1,a2400
t1,a1761
t1,a2618
t1,a2620
t2,a4721
t3,a2383
t3,a1178
t4,a420
t5,a2400
t5,a1761
t5,a2618
t5,a2620
t6,a3217
t7,a3751
t8,a679
t9,a2040
t10,a560
t11,a4121
t12,a1530
t12,a1658
t13,a1657
t13,a4231
t14,a2413
t14,a3378
t15,a1994
t15,a2129
t16,a2379
t17,a590
t18,a4111
t18,a3864
t19,a210
t20,a418
t21,a4268
t22,a3499
t23,a2278
t24,a4224
t24,a514
t24,a1830
t24,a522
t25,a4095
t26,a4095
t27,a2170
t27,a1330
t27,a1329
t28,a1844
t29,a641
t29,a1467
t30,a4687
t31,a3125
t32,a4301
t33,a4301
t34,a3577
t34,a2986
t34,a3698
t35,a2928
t36,a2836
t37,a4690
t38,a4714
t39,a1557
t40,a2695
t41,a4528
t42,a2469
t42,a1383
t43,a3584
t43,a2146
t44,a7
t44,a460
t44,a3300
t45,a1934
t46,a1297
t47,a2389
t48,a4437
t49,a2248
t50,a3948
t51,a3206
t52,a288
t53,a4048
t54,a994
t55,a3644
t56,a3944
t56,a2263
t57,a463
t57,a1996
t57,a2141
t57,a2138
t58,a2119
t59,a4812
t60,a4257
t61,a4745
t62,a2285
t62,a3436
t63,a886
t64,a3825
t65,a843
t66,a2018
t67,a3758
t68,a4410
t69,a352
t69,a914
t69,a2507
t70,a1526
t71,a4698
t72,a1528
t73,a2172
t74,a4585
t75,a4099
t75,a2911
t76,a814
t77,a4169
t77,a1861
t78,a2977
t79,a2031
t80,a35
t81,a1849
t82,a3628
t83,a3281
t84,a1210
t85,a3289
t86,a363
t87,a4381
t88,a76
t89,a2160
t89,a1570
t90,a576
t91,a3592
t92,a4094
t93,a3689
t94,a1885
t95,a4012
t96,a4653
t97,a4153
t98,a4653
t99,a1870
t100,a1870
t101,a146
t102,a4109
t103,a2124
t104,a437
t105,a615
t106,a276
t107,a1799
t108,a669
t109,a3812
t109,a2255
t109,a3567
t110,a3642
t111,a1535
t112,a4268
t113,a1065
t114,a1831
t115,a168
t115,a3828
t115,a3829
t115,a3665
t116,a3853
t117,a443
t118,a3503
t119,a2161
t119,a2128
t119,a2947
t120,a2104
t121,a1954
t122,a4135
t123,a3315
t124,a1234
t124,a1916
t124,a1990
t125,a4177
t126,a1273
t127,a1493
t127,a1401
t127,a2203
t127,a4260
t128,a1711
t129,a3629
t130,a3491
t131,a36
t132,a4305
t133,a97
t133,a990
t134,a283
t135,a283
t136,a1840
t137,a4537
t138,a4033
t139,a3294
t140,a4033
t141,a1131
t142,a3554
t142,a3447
t142,a3446
t142,a3437
t143,a273
t144,a1617
t144,a674
t145,a1617
t145,a674
t146,a1196
t147,a1148
t148,a3516
t149,a3452
t149,a605
t150,a595
t151,a3234
t151,a1084
t152,a2051
t152,a2810
t153,a4077
t154,a2329
t155,a999
t156,a2368
t157,a807
t157,a1553
t158,a817
t159,a1579
t160,a2404
t161,a2534
t162,a464
t163,a4099
t163,a2911
t164,a99
t164,a2666
t164,a913
t165,a22
t166,a830
t167,a830
t168,a3538
t169,a4604
t170,a4638
t171,a4265
t172,a1992
t173,a4235
t174,a1775
t175,a2688
t176,a3513
t177,a3645
t178,a3310
t178,a1734
t178,a516
t178,a3455
t179,a4075
t180,a3523
t181,a3334
t182,a1851
t182,a21
t182,a4490
t183,a3561
t184,a3043
t184,a4847
t184,a4435
t185,a4625
t186,a2478
t187,a1680
t188,a3136
t188,a2921
t189,a3136
t189,a2921
t190,a2921
t190,a3136
t191,a98
t192,a1426
t192,a3072
t193,a230
t194,a4518
t195,a4858
t196,a1893
t197,a3947
t198,a2674
t199,a1791
t200,a2031
t201,a3088
t201,a2345
t202,a3368
t202,a4524
t202,a4811
t202,a121
t203,a1880
t204,a4658
t205,a4489
t206,a2169
t207,a3328
t208,a3586
t208,a1155
t208,a707
t208,a648
t209,a2416
t210,a3968
t211,a699
t212,a3046
t213,a2343
t214,a4769
t215,a3624
t216,a2657
t217,a1447
t218,a669
t219,a3624
t220,a1129
t221,a2554
t222,a2235
t223,a1384
t224,a3624
t225,a1638
t226,a3469
t227,a1408
t228,a4289
t229,a187
t230,a1260
t230,a3442
t230,a1458
t230,a3441
t231,a3687
t231,a2318
t232,a3911
t232,a3392
t233,a2313
t234,a2313
t235,a4073
t236,a3726
t237,a4263
t238,a4673
t239,a4632
t240,a4799
t241,a3573
t242,a1328
t243,a3573
t244,a294
t245,a2053
t245,a4146
t245,a4713
t246,a1106
t247,a2171
t248,a3319
t248,a49
t248,a50
t249,a4138
t250,a11
t250,a3008
t250,a1363
t250,a1361
t251,a2100
t252,a2244
t252,a3693
t253,a4736
t253,a592
t253,a1098
t254,a4456
t255,a4803
t256,a4289
t257,a2042
t257,a2216
t258,a2578
t259,a4705
t260,a2516
t261,a2130
t262,a2584
t262,a1646
t263,a1228
t263,a2750
t263,a2751
t263,a3145
t264,a4007
t265,a520
t266,a3261
t267,a2313
t268,a3141
t269,a3124
t270,a1181
t270,a3704
t271,a2626
t272,a1020
t273,a3711
t274,a2328
t275,a3510
t275,a1707
t276,a196
t277,a793
t278,a1702
t279,a345
t280,a2275
t281,a1193
t281,a2025
t282,a3395
t283,a2616
t284,a1410
t284,a1190
t284,a169
t284,a1152
t285,a479
t286,a3055
t287,a765
t288,a3906
t289,a4070
t289,a4188
t290,a445
t291,a3075
t292,a1041
t292,a3254
t293,a2368
t294,a1858
t295,a640
t295,a808
t296,a3624
t297,a2465
t297,a662
t297,a661
t298,a3656
t298,a3063
t298,a651
t299,a286
t300,a3983
t301,a4575
t302,a597
t302,a4339
t302,a1842
t302,a4340
t303,a1122
t304,a608
t305,a1628
t305,a2302
t306,a561
t307,a4373
t308,a1051
t309,a4852
t309,a3242
t309,a38
t309,a1061
t310,a3719
t311,a2766
t312,a3433
t313,a3223
t314,a1069
t314,a1070
t314,a3223
t315,a4277
t316,a1872
t317,a4277
t318,a3257
t319,a10
t320,a599
t320,a3643
t320,a13
t321,a2071
t322,a598
t323,a850
t324,a4783
t324,a621
t324,a1608
t325,a1577
t326,a508
t327,a4143
t328,a367
t329,a4829
t330,a3998
t330,a3747
t330,a1569
t330,a3746
t331,a337
t332,a3121
t333,a80
t334,a4708
t335,a3108
t336,a2493
t336,a3123
t336,a3733
t337,a84
t338,a2052
t339,a4120
t340,a270
t340,a2217
t340,a1968
t341,a1980
t342,a4166
t343,a470
t344,a3992
t344,a2801
t344,a2871
t344,a2870
t345,a4126
t346,a734
t347,a2357
t348,a1026
t349,a3078
t350,a4056
t351,a3158
t351,a4519
t351,a4101
t351,a4685
t351,a4723
t352,a4778
t353,a4081
t353,a1086
t353,a1087
t354,a2715
t354,a1545
t355,a2074
t356,a2295
t357,a2715
t357,a1545
t358,a756
t358,a3625
t359,a947
t360,a1359
t361,a2163
t362,a2163
t363,a1710
t363,a3599
t364,a1878
t365,a1815
t366,a4003
t367,a3726
t368,a3304
t368,a3299
t368,a3297
t369,a2189
t369,a3648
t369,a4356
t369,a3627
t370,a54
t371,a714
t372,a1945
t373,a1687
t374,a3734
t375,a1822
t376,a1414
t376,a657
t376,a656
t377,a2534
t378,a246
t378,a2475
t378,a2474
t379,a980
t380,a4736
t380,a592
t380,a1098
t381,a3927
