1,2
t799,t2545
t3438,t3439
t3749,t1516
t780,t1743
t3102,t1731
t460,t417
t2723,t1516
t3625,t2517
t3129,t4031
t2838,t55
t2670,t2721
t1002,t3705
t1869,t2320
t1684,t3819
t953,t2608
t2043,t79
t102,t1516
t3031,t3030
t951,t4116
t4402,t2242
t592,t593
t1268,t3042
t2363,t1387
t3331,t4263
t2865,t2867
t241,t243
t3428,t294
t514,t3261
t2182,t745
t3507,t2293
t2317,t3453
t2400,t158
t2397,t3072
t2748,t424
t1346,t262
t658,t3919
t3196,t982
t2543,t1113
t3095,t3719
t4367,t681
t1605,t4104
t650,t644
t1996,t1995
t2361,t1831
t1125,t2883
t3917,t1091
t658,t1412
t2649,t546
t2660,t391
t438,t3083
t962,t1151
t1617,t3662
t551,t2006
t3091,t1974
t300,t906
t4171,t3025
t648,t649
t2598,t2597
t1810,t2005
t429,t2226
t2741,t3362
t3124,t3008
t3003,t3002
t3696,t3289
t1562,t504
t2362,t2361
t2689,t3597
t4419,t3175
t1666,t1973
t1133,t2581
t402,t763
t2859,t4070
t1912,t3628
t2453,t2454
t426,t3835
t4249,t4426
t3290,t994
t1621,t1615
t3849,t413
t3679,t278
t3752,t406
t842,t672
t4357,t1065
t1412,t3919
t4296,t673
t2138,t2680
t1700,t1699
t234,t926
t96,t98
t2596,t2044
t2000,t258
t1644,t3956
t2538,t3132
t1797,t1566
t1935,t2461
t422,t3811
t2093,t4151
t127,t790
t1061,t3669
t1942,t3178
t1636,t2373
t3746,t46
t3721,t1615
t2700,t4322
t3465,t3468
t4372,t2279
t3597,t3170
t1865,t1438
t1995,t4319
t215,t296
t2376,t1229
t747,t2884
t1677,t2107
t1985,t4279
t1810,t2004
t4370,t2965
t3070,t667
t2429,t393
t1004,t1003
t2657,t2557
t1514,t4086
t3468,t604
t2452,t994
t284,t1849
t941,t3089
t1162,t1503
t4255,t1709
t2133,t2510
t3798,t3354
t3747,t1329
t2145,t3028
t981,t3306
t1533,t2620
t4397,t2526
t1255,t801
t1287,t4395
t400,t2386
t1575,t1381
t3988,t1960
t2139,t2348
t1081,t2029
t285,t3522
t2751,t3927
t899,t145
t3004,t1921
t1340,t1102
t2073,t2229
t2267,t3898
t2393,t404
t3106,t673
t611,t334
t3306,t982
t1330,t615
t68,t3715
t1204,t2316
t302,t1548
t892,t891
t313,t2192
t845,t432
t1345,t4000
t1760,t3231
t3296,t3293
t3391,t4332
t1776,t3390
t2900,t2903
t4171,t1030
t3031,t728
t1080,t2560
t3942,t4233
t3358,t3357
t3034,t3238
t3143,t955
t3859,t566
t461,t460
t422,t2740
t4056,t4367
t408,t2894
t373,t3195
t26,t25
t2856,t242
t3960,t266
t1603,t2184
t4139,t4140
t778,t2528
t3197,t401
t2097,t2262
t3642,t3934
t1361,t1363
t2990,t3587
t705,t533
t2085,t2084
t2031,t666
t150,t4043
t3944,t1947
t2520,t2811
t3318,t1487
t3928,t1633
t209,t4326
t2601,t168
t1085,t3924
t1237,t507
t1133,t1310
t903,t2504
t3189,t3188
t2672,t2673
t996,t935
t952,t2414
t1526,t827
t2011,t4196
t1201,t621
t1086,t2526
t1571,t4395
t2331,t2814
t1810,t419
t688,t2493
t3701,t3499
t2043,t3808
t771,t3699
t3549,t1898
t2256,t1642
t2709,t4092
t1114,t2867
t4001,t3049
t2374,t337
t833,t2565
t2884,t2523
t1774,t61
t1817,t2546
t4430,t2976
t1476,t2989
t512,t1748
t2393,t3752
t4426,t991
t361,t2718
t1469,t2023
t634,t1104
t645,t2415
t39,t2598
t3100,t2933
t3903,t3886
t4315,t2353
t4232,t2081
t1015,t3508
t2203,t3771
t921,t1209
t1224,t2310
t3155,t3152
t1080,t2432
t1365,t1819
t277,t1056
t1256,t74
t1109,t3282
t1454,t1453
t4004,t2347
t349,t1910
t215,t224
t3035,t4194
t156,t798
t1887,t3945
t3047,t389
t3541,t617
t215,t219
t462,t575
t1689,t1688
t1861,t282
t3042,t3607
t4362,t450
t2752,t808
t618,t3541
t654,t3600
t674,t842
t4024,t4029
t3518,t2612
t3003,t95
t2042,t2939
t2939,t3326
t962,t2890
t1797,t1796
t3250,t2131
t2849,t1074
t566,t3460
t3654,t3655
t1775,t1524
t2796,t2331
t1147,t2136
t3337,t3339
t720,t5
t3270,t3263
t2366,t115
t3631,t2333
t1750,t1842
t2268,t3898
t3924,t3923
t3265,t2244
t2530,t344
t488,t4311
t1786,t3963
t1919,t1952
t3263,t3116
t2170,t4094
t1999,t2000
t134,t3010
t1030,t3025
t4245,t3695
t1690,t170
t3503,t2262
t622,t1021
t679,t1824
t241,t1037
t2383,t2384
t1492,t3057
t1673,t1674
t3289,t1855
t4357,t1686
t2260,t3453
t284,t1671
t1174,t3199
t3489,t3505
t1755,t1095
t4427,t4135
t2798,t3067
t2015,t2011
t1806,t3624
t652,t3862
t2511,t988
t1429,t1430
t2259,t2256
t3756,t2784
t3405,t2426
t1911,t2395
t1272,t3385
t4209,t4192
t1330,t3448
t2266,t3898
t3801,t3803
t858,t3126
t2846,t1478
t1618,t2589
t275,t821
t3143,t3142
t3525,t1910
t2604,t4240
t1808,t1809
t1106,t1473
t2682,t2674
t3916,t1091
t676,t2200
t467,t1393
t1605,t2934
t14,t3713
t377,t983
t490,t912
t2958,t4292
t3065,t3064
t4218,t752
t3685,t3682
t2069,t61
t3391,t1323
t2210,t1994
t3679,t4176
t2365,t389
t4076,t2104
t1519,t2667
t4057,t4411
t3720,t4383
t548,t2035
t2015,t4196
t1136,t2250
t2014,t2996
t315,t4080
t57,t2502
t344,t1678
t652,t2985
t3645,t3642
t4122,t2026
t1183,t3018
t3973,t3948
t3917,t3916
t1846,t665
t733,t4428
t4226,t3620
t3577,t3957
t3908,t2823
t3520,t3153
t2431,t2813
t321,t2163
t149,t335
t4200,t689
t4022,t3728
t2396,t1619
t2638,t4383
t275,t822
t3352,t2189
t4297,t4298
t2605,t2394
t1320,t66
t1636,t2377
t294,t3427
t2920,t3514
t1999,t258
t494,t3
t831,t3225
t2743,t3796
t784,t2165
t400,t1165
t2559,t2109
t3847,t1903
t733,t1288
t1369,t3969
t3536,t189
t713,t3681
t3804,t2384
t243,t1037
t1740,t481
t2700,t2699
t4106,t2411
t1280,t1662
t1593,t2347
t1869,t2314
t690,t4286
t4149,t2
t4329,t3496
t1756,t3669
t2848,t1074
t4131,t2377
t901,t2492
t4403,t2154
t1798,t2487
t2654,t934
t2087,t2833
t376,t1453
t1697,t1696
t1374,t3186
t190,t189
t2907,t38
t1719,t3380
t3594,t3593
t269,t1521
t2540,t3493
t267,t926
t2324,t330
t1560,t979
t981,t3196
t4410,t21
t2393,t406
t2249,t1327
t650,t1984
t618,t616
t3848,t159
t2884,t751
t573,t2777
t261,t1955
t541,t2169
t1004,t4168
t3250,t2929
t903,t2503
t3117,t2657
t2612,t3406
t1877,t2284
t1474,t998
t187,t2183
t18,t3302
t795,t2814
t856,t2183
t2785,t2784
t3043,t2100
t1358,t3638
t2829,t2409
t3498,t3497
t1882,t2279
t1391,t467
t264,t2675
t4353,t4246
t3962,t262
t3968,t3338
t2552,t1557
t3678,t689
t4054,t3078
t1204,t2315
t4081,t2805
t3026,t2739
t4306,t3233
t370,t1652
t3318,t666
t892,t740
t341,t1438
t1322,t1323
t162,t591
t3778,t154
t1605,t4103
t1983,t1024
t2235,t1754
t3595,t3596
t4105,t688
t445,t3090
t2075,t3942
t2626,t1731
t3217,t3744
t1126,t1127
t133,t700
t3480,t4248
t2050,t3244
t1771,t1490
t2748,t2747
t4026,t4024
t3345,t2875
t583,t144
t630,t96
t2403,t229
t244,t3646
t4168,t1003
t65,t3707
t2334,t1182
t2618,t925
t2826,t2824
t675,t3819
t233,t926
t1050,t1622
t2923,t815
t4329,t3512
t2412,t2289
t488,t3514
t3815,t1273
t621,t1191
t2869,t297
t463,t1474
t3267,t620
t1507,t1953
t2806,t1700
t1668,t4321
t3186,t1141
t1795,t448
t2996,t1277
t909,t4448
t932,t930
t376,t1452
t3880,t472
t2104,t1451
t1211,t1640
t3196,t3306
t272,t1546
t4311,t2920
t2754,t2755
t1130,t1700
t361,t362
t2053,t873
t1558,t3727
t2935,t1093
t512,t513
t2001,t2000
t3912,t2617
t641,t1363
t2699,t4322
t4316,t365
t3709,t278
t3816,t2756
t1016,t765
t4037,t65
t2640,t193
t2552,t2588
t1180,t4275
t836,t78
t3221,t3662
t2178,t597
t125,t3280
t3546,t2105
t4136,t3412
t2856,t286
t404,t406
t166,t3032
t3504,t3854
t3008,t3430
t3007,t905
t2702,t3714
t891,t740
t2948,t112
t3601,t4398
t1630,t3902
t4285,t2206
t4250,t1257
t4209,t49
t2355,t1885
t2208,t1743
t1568,t2220
t3767,t2378
t3730,t4440
t2091,t2805
t4428,t732
t497,t480
t1582,t1656
t2763,t294
t3175,t1610
t821,t822
t3312,t2873
t2893,t1957
t3449,t3419
t1909,t537
t3276,t783
t1011,t1674
t3517,t1875
t3407,t3412
t2197,t1707
t3687,t3011
t3685,t528
t2475,t3415
t68,t2103
t376,t1454
t2396,t3249
t483,t856
t4150,t2
t2626,t3102
t3823,t3935
t2632,t1423
t2270,t2281
t2208,t1485
t568,t4180
t3200,t1174
t362,t2718
t4458,t2332
t463,t2707
t1965,t1097
t3185,t3986
t2497,t1903
t2708,t1358
t2753,t2750
t868,t867
t1354,t4304
t3004,t1781
t748,t2768
t1653,t842
t2099,t2540
t4105,t2493
t941,t4444
t1134,t468
t3536,t188
t4170,t2944
t4380,t1948
t1817,t799
t2415,t2416
t3579,t4088
t3143,t137
t3721,t1621
t1346,t3962
t4422,t4354
t617,t616
t1085,t3923
t3827,t2061
t1180,t4274
t2835,t2976
t2772,t3741
t1391,t1393
t597,t1827
t1988,t3266
t675,t1684
t2958,t1945
t2952,t937
t2893,t4338
t2757,t2755
t1716,t319
t1281,t3864
t3573,t2426
t3849,t415
t3187,t3186
t1623,t2026
t2397,t496
t313,t314
t2743,t2229
t2350,t2349
t1695,t3826
t2757,t2754
t3730,t3414
t2575,t2219
t2723,t3749
t4156,t1355
t775,t761
t2460,t1575
t2239,t1974
t1887,t231
t2858,t4070
t3822,t3935
t4125,t2800
t2001,t258
t3304,t2581
t2717,t1330
t1587,t1585
t4228,t447
t612,t1091
t3166,t2041
t1917,t2976
t3316,t3315
t2964,t3935
t2895,t1923
t140,t4002
t2660,t58
t3720,t2638
t2833,t2088
t2123,t88
t2794,t2791
t3749,t102
t1615,t276
t976,t3211
t196,t3357
