item,category,cost,fling_power,fling_effect
i0,22,0,,
i1,21,0,,
i2,49,,,
i3,25,50,,
i4,49,20,,
i5,49,20,,
i6,24,300,30,
i7,49,20,,
i8,49,20,,
i9,49,20,,
i10,49,20,,
i11,49,20,,
i12,49,20,,
i13,49,20,,
i14,49,20,,
i15,23,,,
i16,25,50,,
i17,3,80,10,3
i18,3,80,10,3
i19,49,20,,
i20,37,1000,,
i21,,1000,,
i22,21,0,,
i23,21,0,,
i24,37,16000,120,
i25,21,0,,
i26,25,50,,
i27,,1000,50,
i28,45,1000,50,
i29,37,10000,80,
i30,37,10000,80,
i31,49,20,,
i32,49,20,,
i33,49,20,,
i34,49,20,,
i35,49,20,,
i36,49,20,,
i37,49,20,,
i38,49,20,,
i39,35,10000,100,
i40,49,20,,
i41,49,20,,
i42,21,0,,
i43,37,1000,,
i44,23,0,,
i45,23,0,,
i46,23,0,,
i47,23,0,,
i48,47,20,,
i49,23,0,,
i50,23,0,,
i51,23,0,,
i52,23,0,,
i53,47,20,,
i54,47,20,,
i55,23,0,,
i56,23,0,,
i57,47,20,,
i58,47,20,,
i59,47,20,,
i60,47,20,,
i61,49,20,,
i62,22,0,,
i63,49,20,,
i64,24,600,30,
i65,25,50,,
i66,22,,,
i67,22,0,,
i68,41,0,,
i69,41,0,,
i70,2,80,10,
i71,2,80,10,
i72,49,20,,
i73,22,0,,
i74,22,0,,
i75,22,0,,
i76,22,0,,
i77,41,0,,
i78,41,0,,
i79,21,0,,
i80,22,0,,
i81,21,0,,
i82,21,0,,
i83,49,20,,
i84,37,1000,,
i85,37,1000,,
i86,44,0,80,
i87,44,0,80,
i88,37,50000,,
i89,37,50000,,
i90,44,0,80,
i91,37,1000,,
i92,37,30000,,
i93,37,30000,,
i94,37,30000,,
i95,44,0,80,
i96,21,0,,
i97,25,50,,
i98,25,50,,
i99,25,50,,
i100,25,50,,
i101,25,50,,
i102,25,50,,
i103,25,50,,
i104,25,50,,
i105,25,50,,
i106,25,50,,
i107,37,100000,,
i108,37,0,,
i109,37,20000,,
i110,37,20000,,
i111,37,20000,,
i112,37,20000,,
i113,37,1000,,
i114,37,1000,,
i115,37,0,,
i116,37,0,,
i117,21,0,,
i118,46,,,
i119,37,4000,10,
i120,37,16000,120,
i121,37,6000,10,
i122,37,16000,120,
i123,37,6000,80,
i124,37,6000,80,
i125,37,6000,80,
i126,37,6000,80,
i127,37,6000,80,
i128,37,10000,90,
i129,47,20,,
i130,47,20,,
i131,44,0,80,
i132,44,0,80,
i133,47,20,,
i134,47,20,,
i135,47,20,,
i136,47,20,,
i137,44,0,80,
i138,44,0,80,
i139,44,0,80,
i140,44,0,80,
i141,44,0,80,
i142,44,0,80,
i143,44,0,80,
i144,44,0,80,
i145,12,5000,10,
i146,,50000,,
i147,49,20,,
