move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect
m0,1,id-1,80,15,100,0,10,2,1,,5,23,5
m1,1,id-12,20,25,100,0,10,3,4,,4,9,20
m2,1,id-12,40,15,100,0,10,3,4,,4,4,20
m3,1,id-12,,10,90,0,10,1,85,,4,8,21
m4,1,id-1,,20,,0,7,1,317,,2,32,11
m5,1,id-12,55,25,95,0,11,2,44,,1,2,5
m6,1,id-12,120,10,100,0,10,3,152,,1,1,6
m7,1,id-4,,35,75,0,10,1,67,,4,33,19
m8,1,id-12,,30,75,0,10,1,68,,4,14,19
m9,1,id-12,,15,75,0,10,1,2,,4,5,19
m10,8,id-2,,5,,0,7,1,425,100,,,
m11,8,id-17,80,5,100,0,10,2,1,,,,
m12,1,id-14,,20,,0,7,1,52,,1,15,13
m13,1,id-3,35,35,100,0,10,2,1,,1,1,5
m14,8,id-16,25,20,90,0,10,2,1,,,,
m15,8,id-15,130,5,100,0,11,2,1,,,,
m16,1,id-14,,30,,0,4,1,36,,2,15,13
m17,1,id-1,80,20,85,,10,2,1,,5,1,18
m18,8,id-12,80,10,100,0,10,2,397,100,,,
m19,1,id-15,,30,,0,12,1,26,,2,33,13
m20,6,id-14,80,5,,,10,3,360,,,,
m21,3,id-1,,,100,0,9,1,200,,3,6,14
m22,1,id-14,,20,,0,4,1,66,,4,15,13
m23,1,id-1,18,15,85,0,10,2,30,,5,12,7
m24,1,id-1,80,20,85,0,10,2,1,,5,1,18
m25,1,id-1,40,20,100,0,10,2,35,,4,11,23
m26,1,id-10,75,15,100,0,10,2,5,10,2,1,17
m27,1,id-1,40,35,100,0,10,2,1,,5,1,5
m28,1,id-2,50,25,100,0,10,2,44,,5,2,5
m29,1,id-1,15,10,85,0,10,2,30,,5,10,7
m30,1,id-12,55,25,95,0,11,2,44,,1,2,5
m31,8,id-12,,10,,0,13,1,1,,,,
m32,1,id-1,,10,,1,7,2,27,,5,15,15
m33,1,id-15,75,15,100,0,10,2,6,10,2,1,17
m34,1,id-13,75,15,100,0,10,2,7,10,1,1,17
m35,8,id-2,,10,,0,2,2,1,,,,
m36,2,id-18,,20,100,0,10,1,59,,3,23,19
m37,1,id-1,,10,,0,7,1,84,,3,17,14
m38,2,id-1,40,40,100,0,10,2,102,,1,5,16
m39,2,id-1,,15,85,0,10,1,119,,3,27,19
m40,2,id-16,120,10,100,0,8,2,28,,1,6,7
m41,2,id-6,,10,,0,12,1,116,,5,21,13
m42,2,id-12,75,10,100,0,10,3,4,,4,10,20
m43,1,id-3,,20,,0,10,1,10,,4,19,15
m44,6,id-18,140,5,90,0,10,3,270,,,,
m45,6,id-5,90,10,100,0,11,2,1,,,,
m46,6,id-5,90,10,100,0,11,2,374,,,,
m47,6,id-5,90,10,100,0,11,2,373,100,,,
m48,2,id-1,,10,,0,7,1,33,,3,12,8
m49,2,id-13,65,20,100,0,10,2,7,30,1,4,5
m50,6,id-7,20,20,100,0,10,3,43,100,,,
m51,6,id-1,40,40,100,0,10,2,102,,,,
m52,7,id-18,,10,,0,10,1,387,,,,
m53,3,id-10002,80,,100,0,10,2,44,,,,
m54,8,id-4,90,10,100,0,10,3,1,20,,,
m55,7,id-14,,1,,0,10,2,1,,,,
m56,6,id-11,,15,,0,12,1,211,,3,1,13
m57,8,id-2,,10,,0,13,1,1,100,,,
m58,3,id-10,150,5,90,,10,3,81,,2,6,22
m59,1,id-1,,20,100,0,10,1,24,,2,22,10
m60,4,id-10,100,5,75,0,10,3,43,100,5,,7
m61,4,id-10,,5,75,0,10,3,43,100,5,,7
m62,5,id-10,60,15,100,,11,3,315,,,,
m63,7,id-14,85,10,100,0,10,2,187,,,,
m64,7,id-14,85,10,100,0,10,2,187,,,,
m65,1,id-3,60,35,100,,10,2,1,,1,12,5
m66,2,id-1,,,,0,14,1,115,,2,14,10
m67,8,id-13,110,10,100,0,10,2,437,100,,,
m68,6,id-1,,20,,0,10,1,357,100,,,
m69,2,id-13,65,20,100,0,10,2,7,30,1,4,5
