artist,area
rec-837651-dup-0,id-189
id-111402,id-21
rec-852293-dup-0,id-8162
id-545449,id-194
id-74665,id-222
rec-187428-dup-1,id-81
rec-216157-dup-0,id-194
id-878582,id-203
rec-50776-dup-2,id-81
id-1119184,id-73
id-115967,id-73
id-427385,id-221
id-38012,id-107
id-59533,id-222
id-931805,id-81
id-491218,
rec-532607-dup-0,id-5076
id-759653,
id-69635,id-222
id-68908,id-221
rec-89-dup-1,id-222
rec-299405-dup-1,
id-189646,id-222
id-249865,id-222
id-268451,
id-1602066,
rec-435052-dup-1,
id-46935,id-222
id-788950,id-57
rec-82444-dup-0,id-5430
id-44783,id-222
rec-34914-dup-1,id-222
rec-578662-dup-0,id-193
rec-50776-dup-1,id-81
id-35917,id-222
id-183473,id-202
id-1500972,id-5076
id-66398,id-57
rec-1742697-dup-1,id-176
rec-116496-dup-0,id-222
id-504144,id-30
id-24329,id-221
rec-200866-dup-1,
rec-37180-dup-2,rec-138-dup-0
rec-37180-dup-0,rec-138-dup-0
rec-37180-dup-1,rec-138-dup-0
rec-508834-dup-1,
id-686331,id-107
rec-384022-dup-0,id-105
rec-2784-dup-1,id-222
rec-2784-dup-0,id-222
id-452165,id-222
id-136311,id-73
id-609850,
id-676239,id-221
rec-139482-dup-0,id-222
id-157138,id-221
id-337880,id-14
id-938186,
rec-336253-dup-1,
id-2049850,id-3925
rec-1040535-dup-0,
id-41158,id-81
id-99187,id-13
id-44434,id-38
id-117497,id-81
id-84353,id-13
id-150137,
id-120323,id-81
id-1528,id-222
rec-655141-dup-0,
id-40154,id-222
id-256352,
id-1030,id-162
id-188064,id-222
id-130808,id-1178
id-235823,id-202
id-155692,
rec-188882-dup-1,
id-966919,
id-77045,id-222
rec-67118-dup-0,id-222
rec-67118-dup-1,id-222
id-608321,id-111634
id-81933,id-106
id-304175,id-222
id-308861,id-221
id-560570,
id-833521,
id-833522,
id-833523,id-107
id-141474,id-105
id-164913,id-13
id-486172,
rec-893054-dup-1,
rec-893054-dup-0,
id-718330,id-7503
id-69442,id-105
id-299749,id-81
id-239239,id-222
rec-750834-dup-0,
id-60953,id-56
id-513040,id-150
rec-21240-dup-1,rec-221-dup-0
id-152519,id-105
rec-260042-dup-1,id-81
id-275537,id-72
id-1663,id-222
id-5170,
rec-44109-dup-0,id-222
id-331264,id-222
id-5174,id-222
id-383729,id-72
rec-152048-dup-0,id-222
id-9152,id-222
id-933437,
id-2914,id-432
id-373350,id-221
id-271306,id-73
id-789072,id-222
id-392074,id-107
rec-1274364-dup-2,id-13
id-9655,id-432
id-841313,
id-475797,id-222
id-2025529,id-73
rec-12640-dup-0,id-222
rec-41118-dup-0,id-434
id-481,id-222
id-9871,id-43994
id-399689,
rec-41118-dup-1,id-434
rec-852293-dup-1,id-8162
id-191481,id-73
id-24074,id-222
id-596787,id-222
id-658556,id-81
id-24070,id-131
id-824968,id-73
id-139354,id-221
id-227829,id-81
id-362264,
id-205962,id-222
id-1,
rec-285484-dup-0,
rec-426000-dup-2,id-222
id-8658,id-222
id-440891,id-81
id-92623,id-73
id-379,id-222
rec-743338-dup-0,id-222
rec-743338-dup-1,id-222
id-1085275,id-221
id-433373,id-84
id-40269,id-222
rec-985155-dup-0,rec-221-dup-0
id-550430,
id-557427,id-73
rec-50776-dup-0,id-81
rec-578662-dup-1,id-193
id-154323,id-107
id-505638,id-176
id-1040952,
id-289878,id-222
id-339983,id-170
id-190578,
id-3331,id-222
id-3332,id-73
id-193885,id-171
rec-297001-dup-1,
rec-62438-dup-0,rec-103-dup-0
id-362868,id-84
rec-641524-dup-1,
rec-75525-dup-2,id-150
rec-75525-dup-1,id-150
rec-75525-dup-0,id-150
rec-284787-dup-0,id-222
rec-284787-dup-1,id-222
id-714016,
id-534503,id-221
id-79841,id-4434
rec-739644-dup-1,rec-221-dup-0
rec-739644-dup-0,rec-221-dup-0
rec-3680-dup-1,id-107
id-829608,id-221
id-840650,id-107
id-173871,id-222
id-55592,id-222
id-102489,id-3
id-807104,id-222
id-124472,id-221
id-346378,id-14
rec-1874-dup-1,id-81
id-840550,
id-376690,id-7703
id-1783738,
id-9098,id-73
id-10729,id-56
id-87098,id-81
rec-977237-dup-0,
id-434509,id-202
rec-38971-dup-2,id-73
rec-38971-dup-1,id-73
id-490828,id-435
rec-422130-dup-0,
rec-889609-dup-0,id-107
id-154853,id-222
rec-1357-dup-2,rec-221-dup-0
rec-1357-dup-0,rec-221-dup-0
rec-1357-dup-1,rec-221-dup-0
id-273166,id-202
id-256922,id-73
id-510782,id-5099
id-1012,id-222
id-325535,
rec-52512-dup-0,id-7326
rec-34644-dup-1,id-202
id-325536,
rec-164-dup-1,id-222
id-258159,id-202
id-30944,id-222
id-180957,id-21
rec-695643-dup-0,id-73
id-4049,id-222
id-666853,
id-106483,id-221
rec-1347-dup-1,rec-221-dup-0
rec-1347-dup-0,rec-221-dup-0
rec-270619-dup-1,
id-31389,id-38
id-35007,id-222
id-72962,id-13
id-376087,id-1818
id-176629,id-322
id-14917,id-10
rec-672775-dup-0,id-72
id-156,id-38
id-8431,id-202
rec-34644-dup-2,id-202
id-536653,id-81
id-1338,id-222
id-104436,id-221
id-1332,id-47
id-282220,id-222
rec-687682-dup-0,rec-67-dup-0
rec-1615-dup-0,id-222
rec-47079-dup-0,id-222
id-12616,id-221
id-889609,id-107
id-7966,id-107
id-312700,
rec-313715-dup-0,id-150
rec-1196080-dup-0,id-222
id-11522,id-222
id-1696006,
id-196127,id-81
id-279434,id-97
id-665747,
id-713638,
rec-566491-dup-0,id-222
rec-187683-dup-1,id-81
id-873615,id-176
id-144617,id-194
rec-200866-dup-0,
rec-39233-dup-0,id-107
id-407960,
id-169887,id-107
id-842831,
id-2862,id-221
id-2860,id-221
id-634733,id-67
id-168604,id-222
rec-33153-dup-1,id-87369
id-35718,id-222
id-193087,
rec-77089-dup-2,id-81
id-179585,id-221
rec-77089-dup-1,id-81
id-444772,
id-684275,
id-431262,id-221
rec-242773-dup-1,id-73
id-466224,
id-400653,id-221
id-224913,id-222
id-52749,id-214
id-35536,
id-799973,
id-639555,id-81
id-235523,id-38
id-30080,id-160
id-31839,id-14
id-1001975,
id-47204,id-214
id-11411,id-222
id-7364,id-222
id-322081,id-84
id-100637,id-222
id-861811,
id-67071,id-105
rec-258986-dup-0,rec-221-dup-0
id-129490,id-81
id-306627,id-106
rec-2051564-dup-0,id-222
rec-267507-dup-2,id-56
id-768460,
rec-89955-dup-0,id-222
id-132237,
id-528777,
id-68359,id-222
id-299526,
rec-365377-dup-2,rec-221-dup-0
rec-1104-dup-0,id-222
rec-1104-dup-1,id-222
rec-1104-dup-2,id-222
rec-540054-dup-0,id-81
id-131766,id-222
id-630380,id-81
id-53507,id-73
id-565127,
id-56133,id-221
id-1567492,id-73
rec-120455-dup-0,id-21
id-233295,id-81
id-105915,
id-2289835,
id-128831,id-203
id-59059,id-138
id-34840,id-150
id-503520,id-57
id-45799,id-222
id-223167,
id-244460,id-222
rec-187683-dup-0,id-81
rec-457907-dup-0,id-189
id-746736,
id-834982,id-194
id-126774,
rec-52544-dup-2,rec-221-dup-0
rec-52544-dup-1,rec-221-dup-0
rec-183687-dup-0,
rec-80034-dup-1,id-107
rec-96958-dup-0,id-176
id-278722,id-221
rec-1539-dup-0,id-222
id-732457,id-190
rec-118465-dup-1,rec-221-dup-0
id-812091,id-13
id-169464,
id-88297,id-81
rec-844165-dup-1,id-222
id-424601,id-221
id-101230,id-222
rec-481492-dup-0,
rec-481492-dup-1,
rec-1192305-dup-1,
id-720384,
rec-706993-dup-0,rec-221-dup-0
id-310038,id-222
rec-102893-dup-0,id-81
rec-337880-dup-1,id-14
rec-337880-dup-0,id-14
rec-42534-dup-1,id-106
id-527563,id-13
id-118269,id-107
id-469807,
rec-74603-dup-0,id-222
id-140514,
id-222768,id-73
id-2309,id-150
id-32473,id-105
rec-206463-dup-0,id-203
id-944893,id-222
id-828949,id-107
rec-528777-dup-1,
id-800436,id-222
id-36722,id-222
rec-479739-dup-0,id-222
rec-1528-dup-0,id-222
id-289220,id-170
id-326476,id-222
rec-901345-dup-2,id-222
id-183687,
rec-901345-dup-1,id-222
id-217953,id-222
id-241892,id-13
rec-59387-dup-0,id-222
id-174088,id-222
rec-346601-dup-0,id-81
rec-346601-dup-1,id-81
id-549205,id-194
id-549204,id-194
id-118465,id-221
id-46843,id-153
id-388370,
rec-682511-dup-0,id-222
rec-678834-dup-2,
id-77277,id-221
id-93819,id-222
rec-31535-dup-0,id-222
id-373165,id-38
id-39287,id-73
id-854714,id-7747
id-43238,id-106
id-93814,id-222
id-172586,id-222
id-114598,
id-176025,
id-48584,id-222
rec-15745-dup-0,rec-44676-dup-0
rec-473384-dup-1,id-73
rec-473384-dup-0,id-73
id-376650,id-97
id-852904,id-33
id-1465569,id-7288
id-140605,id-10
id-567183,id-176
id-33403,id-150
id-470993,id-105
id-33153,id-87369
id-383848,id-222
