track,artist_credit
id-12441221,id-47014
rec-12288939-dup-0,id-32020
id-3157571,id-239056
rec-7295050-dup-1,id-569503
rec-5008051-dup-0,id-383848
rec-12288939-dup-1,id-32020
id-15921017,id-1031252
rec-24446611-dup-0,id-159154
id-15114815,id-1191347
id-3194840,id-6083
id-11220779,id-791589
id-17837666,id-1404018
id-9872047,id-53139
id-12181081,id-969266
rec-34277515-dup-0,id-2173
rec-35849685-dup-0,rec-3072653-dup-0
id-8597691,id-553560
rec-1725136-dup-0,rec-69363-dup-1
id-34305577,id-193545
id-3344000,id-1500372
rec-6235988-dup-0,id-470993
rec-38650558-dup-1,id-3302023
id-10635752,id-97546
id-7332310,id-2601
id-7252621,id-566481
rec-9715043-dup-0,rec-1192-dup-0
rec-9715043-dup-1,rec-1192-dup-0
id-1187058,id-5621
id-2305340,id-188
id-2496611,id-89441
id-13051135,id-854602
id-8020861,id-620714
rec-1884753-dup-1,id-356
rec-1884753-dup-0,id-356
id-16564664,id-1314909
id-39767535,id-2611921
id-7738662,id-69657
id-11665607,id-116044
id-9451152,id-3074030
id-12660523,id-233928
id-18692357,id-1479400
id-1708226,id-2327
id-10277500,id-769157
id-13521846,id-1074366
id-12444215,id-961429
id-18742927,id-1484915
id-8391654,id-457299
id-30706729,id-587603
id-27531007,id-2373002
id-12125296,id-197771
id-6585809,id-501909
id-9021040,id-74857
id-8289776,id-639555
id-3527469,id-268765
id-14247564,id-786776
id-11352245,id-879316
id-9034767,id-815954
id-7600399,id-592428
rec-1654033-dup-1,id-22492
rec-8365729-dup-0,id-193526
id-4110785,id-918
rec-8939507-dup-0,id-14904
id-992978,id-89655
id-3134089,id-146382
rec-5680190-dup-0,id-336433
rec-14468159-dup-1,rec-256643-dup-0
id-4276153,id-96253
id-7102246,id-554522
rec-10363509-dup-1,id-249662
id-3195481,id-101230
id-7410711,id-243273
rec-12260481-dup-0,rec-974213-dup-1
id-3826449,id-20688
id-5222806,id-402831
id-13736959,id-823078
rec-9475106-dup-1,id-816227
id-8898858,id-675814
id-22401078,id-844070
id-4972906,id-380489
id-1292648,id-119323
id-12783187,id-183473
id-27531624,id-407
id-336180,id-36220
id-13179806,id-30866
id-35102327,id-1743
id-2592982,id-303
id-6818078,id-527563
id-473661,id-30965
id-7659503,id-235823
id-3581591,id-128737
id-5724509,id-54
rec-8770654-dup-1,id-71296
id-2608314,id-2122
id-9471686,id-711620
id-359154,id-1766
rec-12209806-dup-0,id-115618
rec-6874357-dup-1,id-535738
id-875286,id-72236
rec-6874357-dup-2,id-535738
rec-4547030-dup-0,rec-346433-dup-1
rec-4547030-dup-1,rec-346433-dup-1
id-3266993,id-8658
rec-4297790-dup-2,id-76579
id-8786553,id-667127
id-32715280,id-2822231
id-897098,id-23146
id-13200082,id-179585
id-11296845,id-110490
id-10361972,id-88515
id-14832666,id-1527797
rec-3438096-dup-0,id-9125
id-6581494,id-47914
rec-38650558-dup-2,id-3302023
id-4640735,id-6983
id-6156853,id-474636
rec-9718461-dup-0,id-193885
id-26242642,id-3214141
id-14430150,id-290640
id-10295127,id-127523
id-18712672,id-576463
id-10801174,id-220530
id-37677265,id-3220286
id-23073382,id-2006738
id-6158056,id-5907
id-24476905,id-4690
rec-5681073-dup-0,rec-436016-dup-1
