track,recording,medium,position,number,name,length,is_data_track
id-12441221,id-13601446,id-1178773,4,4,Silencio,165000.0,f
rec-12288939-dup-0,id-13515966,id-1167716,15,15,Locomotove,143000.0,f
id-3157571,id-3811252,id-937809,1,1,Carnival,82093.0,f
rec-7295050-dup-1,id-8616568,id-998978,7,7,Un ángel 1lora,257000.0,f
rec-5008051-dup-0,id-6144217,id-184872,4,4,Stringj Breath,313186.0,f
rec-12288939-dup-1,id-13515966,id-1167716,15,15,Locomot'lve,143000.0,f
id-15921017,id-13842502,id-1425452,3,3,Banished,188800.0,f
rec-24446611-dup-0,id-21975463,id-2247182,3,3,Brinv Em Out,205547.0,f
id-15114815,id-15087009,id-1349855,10,10,Farándula,122453.0,f
id-3194840,id-3855577,id-459631,3,3,It Should Be Easier Now,138333.0,f
id-11220779,id-12790809,id-1085042,1,1,Intro,24000.0,f
id-17837666,id-17186325,id-1611486,3,3,Leyendas de un desconocido,,f
id-9872047,id-11385969,id-843171,8,8,Intermission,54000.0,f
id-12181081,id-13461830,id-1161755,18,18,Its Up to You Lizzy,160000.0,f
rec-34277515-dup-0,id-29114006,id-3259628,9,9,I Heard It Through tbe Grapevine,293400.0,f
rec-35849685-dup-0,id-30258477,id-3437210,8,8,Te Postman Chapter 1 Part 28,314514.0,f
id-8597691,id-10025550,id-851413,10,10,El pequeño Brooklyn,,f
rec-1725136-dup-0,rec-2049071-dup-0,id-36504,19,19,siience,8946.0,f
id-34305577,id-29136197,id-3262774,15,15,All Machines Are Quiet Andre Obin Remix,197760.0,f
id-3344000,id-4041873,id-947553,1,1,Good Sign album version,183666.0,f
rec-6235988-dup-0,id-7478465,id-393411,3,3,Su1>terrestrial,194000.0,f
rec-38650558-dup-1,id-32254209,id-3764147,16,16,Bookie,187600.0,f
id-10635752,id-12233210,id-840001,8,8,Thelonious Monk introduction,21000.0,f
id-7332310,id-8656967,id-463870,8,8,Majesty,463986.0,f
id-7252621,id-8571665,id-453689,4,4,Hundred Feet So Inagawa remix,355000.0,f
rec-9715043-dup-0,id-11215151,rec-710611-dup-0,1,A,All You Pretty Girlz,222000.0,f
rec-9715043-dup-1,id-11215151,rec-710611-dup-0,1,A,All You Prerty Girls,222000.0,f
id-1187058,id-1405511,id-958221,7,7,What Is Dub,276000.0,f
id-2305340,id-2755755,id-962424,10,10,Mama Im Coming Home,286333.0,f
id-2496611,id-2994717,id-21137,11,11,Scientists Playing God,268600.0,f
id-13051135,id-13878394,id-1210147,19,19,I Know,224000.0,f
id-8020861,id-9398314,id-544213,1,1,New York Airport original mix,537000.0,f
rec-1884753-dup-1,rec-2246478-dup-0,id-423339,1,1,Te Meaning of Life,180733.0,f
rec-1884753-dup-0,rec-2246478-dup-0,id-423339,1,1,The Meaning of Lif,180733.0,f
id-16564664,id-16188793,id-1486566,21,21,Gone But Not Vergotten,205426.0,f
id-39767535,id-33044853,id-3903642,5,5,Rusted Laundry,146000.0,f
id-7738662,id-9097613,id-511254,6,6,Ghosts of Mosman,,f
id-11665607,id-13140513,id-1123978,4,4,Medley CorazaArmay ChischiChanga,283200.0,f
id-9451152,id-10933586,id-688817,76,76,Primetime n alternative version,6000.0,f
id-12660523,id-13692611,id-1190663,2,2,Ibiil,295000.0,f
id-18692357,id-17799319,id-1692621,3,3,Lady Ocean,261307.0,f
id-1708226,id-2024974,id-784535,14,14,Suite No 2 in D minor BWV 1008 VII Gigue,185600.0,f
id-10277500,id-11839473,id-776294,2,2,Hallo liebe Oma,181000.0,f
id-13521846,id-7690886,id-1241035,14,14,Cai no samba,211013.0,f
id-12444215,id-13404860,id-1154644,14,14,Rain Falls,,f
id-18742927,id-17837114,id-1697118,2,2,Open Road,241000.0,f
id-8391654,id-9803182,id-588222,11,11,Therapy Room,318000.0,f
id-30706729,id-26563016,id-2871174,4,4,Single Single,370100.0,f
id-27531007,id-24223963,id-2553036,30,30,Gebet im Garten  Markus 1432  50,,f
id-12125296,id-13424863,id-1156998,7,7,Barefoot Over Nails,337000.0,f
id-6585809,id-7858220,id-370040,3,3,Lost in Obscurity,756506.0,f
id-9021040,id-10475468,id-647967,7,7,Hey There,165973.0,f
id-8289776,id-9693289,id-576712,9,9,Dou frougst de Oma,295600.0,f
id-3527469,id-4276134,id-721921,11,11,Prolicane,211053.0,f
id-14247564,id-14614304,id-1291649,12,12,The Last Inn,337000.0,f
id-11352245,id-12910331,id-1098355,2,2,オリンピック,174066.0,f
id-9034767,id-10489961,id-649629,2,2,Ohuella langalla,230000.0,f
id-7600399,id-8948431,id-494729,5,5,Blind,346093.0,f
rec-1654033-dup-1,id-1953225,rec-1036324-dup-2,12,12,Tat Evil Child,235640.0,f
rec-8365729-dup-0,rec-9775514-dup-0,id-1027176,2,2,Young Defil,225000.0,f
id-4110785,id-5030981,id-838810,7,7,New World Man,264640.0,f
rec-8939507-dup-0,id-10386753,id-639830,1,A,Barial,247000.0,f
id-992978,id-1160234,id-886744,12,12,Heden,300333.0,f
id-3134089,id-3781143,id-1021789,10,10,I By Twilight,269733.0,f
rec-5680190-dup-0,rec-6881096-dup-0,rec-219117-dup-0,4,4,El médico del miwdo,233466.0,f
rec-14468159-dup-1,id-14749513,id-1307944,2,2,O Jogo Não Valru,257000.0,f
id-4276153,id-5263562,id-97619,7,7,Magnetic Anamoly,344613.0,f
id-7102246,id-8413398,id-436318,4,4,מקימי,305693.0,f
rec-10363509-dup-1,id-11935184,id-785400,1,1,Ich atme ein ich atme aus,254000.0,f
id-3195481,id-3856529,id-973670,24,24,Automobiles,140346.0,f
id-7410711,id-8742363,id-472962,16,16,Sissi 2008,124000.0,f
rec-12260481-dup-0,id-13505059,id-1166786,30,30,Breezibg Along,30000.0,f
id-3826449,id-4654072,id-963469,5,5,Make a List Make a Wish,588600.0,f
id-5222806,id-6381733,id-210552,1,1,Under the Capricorn Sky Part I,440000.0,f
id-13736959,id-14275803,id-1256226,2,2,How Many Infants Died In The Dryer,154947.0,f
rec-9475106-dup-1,id-10957859,id-690675,32,32,Satcg,29000.0,f
id-8898858,id-10343614,id-634909,4,4,Starblazer,427986.0,f
id-22401078,id-12611146,id-2045752,15,15,Settings,199575.0,f
id-4972906,id-6104994,id-991023,3,3,Profusion of Detail,269000.0,f
id-1292648,id-1526514,id-890609,4,4,Backyard Jam,267786.0,f
id-12783187,id-11451440,id-738145,7,7,Engorement of Stillborn Corpses,163000.0,f
id-27531624,id-24224335,id-2553098,5,5,Boing Boom Tschak  Techno Pop  Musique Non Stop,639000.0,f
id-336180,id-391960,id-28723,4,4,You Dont Have to Tell Me Now,224600.0,f
id-13179806,id-8881793,id-1035011,4,4,Positively 4th Street,463000.0,f
id-35102327,id-29722374,id-3354426,8,B3,Bare Necessities,193000.0,f
id-2592982,id-3111586,id-559365,8,8,Nonsense,148000.0,f
id-6818078,id-8105201,id-400771,2,2,Get Up,262000.0,f
id-473661,id-545022,id-278782,22,22,silence,3000.0,f
id-7659503,id-9012447,id-501932,13,13,Strings of Grass,276626.0,f
id-3581591,id-4346796,id-53310,3,3,Chapter 1101,1004333.0,f
id-5724509,id-6927682,id-1006504,2,2,Breed,,f
rec-8770654-dup-1,id-10205278,id-620661,16,16,Evolving Worlds 60 second veesion,60000.0,f
id-2608314,id-3129925,id-1038714,8,8,Ill Give You a Ring,122013.0,f
id-9471686,id-10954428,id-690582,27,27,In the Hood,82000.0,f
id-359154,id-414736,id-27921,9,9,Focus on Sanity,733666.0,f
rec-12209806-dup-0,rec-9757978-dup-2,rec-583731-dup-0,12,12,Arriue,250640.0,f
rec-6874357-dup-1,id-8167173,rec-407763-dup-0,8,8,F8nn,137000.0,f
id-875286,id-1013127,id-885342,2,2,Chan Balum Jaguar Serpiente,276293.0,f
rec-6874357-dup-2,id-8167173,rec-407763-dup-0,8,8,Finm,137000.0,f
rec-4547030-dup-0,rec-5618952-dup-0,id-126329,12,12,Dav No Wealth,307560.0,f
rec-4547030-dup-1,rec-5618952-dup-0,id-126329,12,12,Daf No Wealt,307560.0,f
id-3266993,id-719477,id-688039,5,5,Near the Black Forest,285373.0,f
rec-4297790-dup-2,id-5291267,id-99440,13,13,Empirr of Crime,121000.0,f
id-8786553,id-10221344,id-621099,9,9,Tell Me Why,331240.0,f
id-32715280,id-27980299,id-3088992,84,84,Herzblut 84,339000.0,f
id-897098,id-1047084,id-184224,2,2,Crossed Wires,186933.0,f
id-13200082,id-1513064,id-252507,16,16,Token Tango Bonus Level,75000.0,f
id-11296845,id-12834091,id-1092804,2,A2,Will Do,243000.0,f
id-10361972,id-3179200,id-785240,10,10,Balanbalançoire,157160.0,f
id-14832666,id-14934957,id-1332404,3,3,Wo war ich stehengeblieben,547000.0,f
rec-3438096-dup-0,id-592573,id-955184,7,7,Notbing,274306.0,f
id-6581494,id-7853763,id-369537,22,22,Version,218000.0,f
rec-38650558-dup-2,id-32254209,id-3764147,16,16,Boogle,187600.0,f
id-4640735,id-5726612,id-807737,15,15,I Live in a Car,79893.0,f
id-6156853,id-7393859,id-317078,2,2,Makes Visible,279333.0,f
rec-9718461-dup-0,id-11219281,id-711067,4,4,Fápula,151000.0,f
id-26242642,id-23271280,id-2428245,5,5,Bruhmilda,183147.0,f
id-14430150,id-8803023,id-479464,4,A4,Korallen,191320.0,f
id-10295127,id-11859347,id-777379,6,6,untitled,606440.0,f
id-18712672,id-17814616,id-1694514,7,7,Noites sem luar,209426.0,f
id-10801174,id-12422067,id-836769,8,8,Badda Than Ninja,233720.0,f
id-37677265,id-31558096,id-3650994,3,A3,Its Alright,331000.0,f
id-23073382,id-20980520,id-2110927,3,3,Even Megan Fox Looks Better on Myspace,,f
id-6158056,id-7395197,id-317183,7,7,Remedy Child,296760.0,f
id-24476905,id-21995912,id-2249965,3,3,Hurdy Gurdy Man,374000.0,f
rec-5681073-dup-0,id-6881970,id-262445,8,8,The Longest Dau  Part IV Depression,416400.0,f
id-2926104,id-3521060,id-27164,8,8,Touch My Light,280933.0,f
rec-4525377-dup-1,id-5593787,id-123320,2,2,Awake and Nervius,511906.0,f
id-28232400,id-24764518,id-2622570,6,6,Sand Orchestra,54496.0,f
id-27605894,id-24281202,id-2560649,15,15,The Terrifying Velvet Room 3rd Chapter,76000.0,f
id-10232939,id-11790446,id-771128,9,9,Film,119000.0,f
id-28224671,id-24758428,id-2621740,10,10,Secular World,252000.0,f
id-10184577,id-11736161,id-764949,15,15,So I Sayed You Die,218000.0,f
rec-11593194-dup-0,id-11095075,id-697527,14,14,Big Chase,123000.0,f
rec-18689506-dup-1,id-17797371,id-1692335,1,1,Tine,220850.0,f
rec-18689506-dup-0,id-17797371,id-1692335,1,1,Tim,220850.0,f
id-8447454,id-9863041,id-844006,1,1,Its Time,403000.0,f
id-8651123,id-10080783,id-611169,16,16,Mother Fist,265000.0,f
rec-767599-dup-1,id-871069,id-886878,7,7,Hunger Sdrike,78493.0,f
id-7106250,id-8417671,id-436823,9,9,Congratulations,149000.0,f
