pokemon,ability,is_hidden,slot
867,317,0,1
867,1610,1,3
868,317,0,1
868,1610,1,3
869,317,0,1
869,1610,1,3
863,316,0,1
863,698,1,3
864,316,0,1
864,698,1,3
865,316,0,1
865,698,1,3
866,315,0,1
866,85,1,3
870,315,0,1
870,85,1,3
871,315,0,1
871,85,1,3
1406,1409,0,1
1406,217,1,3
1407,321,0,1
1404,1402,0,1
1404,1264,1,3
1405,1409,0,1
1405,217,1,3
1402,321,0,1
1403,324,0,1
1403,697,1,3
1400,218,0,1
1400,443,0,2
1400,230,1,3
1401,218,0,1
1401,443,0,2
1401,230,1,3
1408,218,0,1
1408,443,0,2
1408,230,1,3
1409,217,0,1
1409,320,0,2
1409,222,1,3
1504,217,0,1
1504,320,0,2
1504,222,1,3
1503,218,0,1
1503,697,1,3
1502,218,0,1
1502,697,1,3
1501,1502,0,1
1501,321,0,2
1501,1167,1,3
1508,1502,0,1
1508,321,0,2
1508,1167,1,3
1507,871,0,1
1507,1615,1,3
1506,871,0,1
1506,1615,1,3
1505,870,0,1
1505,229,1,3
1510,870,0,1
1510,229,1,3
1509,1608,0,1
1509,445,0,2
1509,222,1,3
1614,1608,0,1
1614,445,0,2
1614,222,1,3
1615,1608,0,1
1615,445,0,2
1615,1165,1,3
1616,1608,0,1
1616,445,0,2
1616,222,1,3
1617,1608,0,1
1617,445,0,2
1617,222,1,3
1610,1608,0,1
1610,445,0,2
1610,1165,1,3
1611,219,0,1
1611,610,0,2
1611,1074,1,3
1612,219,0,1
1612,610,0,2
1612,1373,1,3
1613,1408,0,1
1613,436,1,3
1608,1408,0,1
1608,436,1,3
1609,219,0,1
1609,613,0,2
1609,1074,1,3
81,219,0,1
81,613,0,2
81,1273,1,3
80,1609,0,1
80,486,1,3
83,1609,0,1
83,486,1,3
82,1610,0,1
82,217,1,3
85,1610,0,1
85,867,1,3
84,1610,0,1
84,1505,1,3
87,1505,0,1
87,563,0,2
87,865,1,3
86,1505,0,1
86,563,0,2
86,865,1,3
79,1402,0,1
79,1264,0,2
79,217,1,3
78,1409,0,1
78,1264,0,2
78,228,1,3
217,870,0,1
217,437,0,2
217,100,1,3
218,870,0,1
218,437,0,2
218,100,1,3
215,216,0,1
215,1381,0,2
215,1167,1,3
216,866,0,1
216,1381,0,2
216,1167,1,3
221,865,0,1
221,1405,0,2
221,1617,1,3
222,865,0,1
222,1405,0,2
222,1617,1,3
219,438,0,1
219,567,0,2
219,1174,1,3
220,438,0,1
220,567,0,2
220,1174,1,3
211,1502,0,1
211,1408,0,2
211,479,1,3
212,1502,0,1
212,1408,0,2
212,479,1,3
322,1407,0,1
322,865,0,2
322,1617,1,3
321,1407,0,1
321,865,0,2
321,1617,1,3
320,1407,0,1
320,865,0,2
320,1617,1,3
319,1510,0,1
319,1609,0,2
319,610,1,3
318,1510,0,1
318,1609,0,2
318,610,1,3
317,1510,0,1
317,1609,0,2
317,610,1,3
316,320,0,1
316,611,0,2
316,566,1,3
315,320,0,1
315,611,0,2
315,566,1,3
324,320,0,1
324,611,0,2
324,566,1,3
323,1610,0,1
323,568,1,3
436,1610,0,1
436,568,1,3
437,1610,0,1
437,568,1,3
438,1509,0,1
438,318,0,2
438,85,1,3
439,1509,0,1
439,318,0,2
439,85,1,3
440,323,0,1
440,864,0,2
440,870,1,3
441,323,0,1
441,864,0,2
441,870,1,3
442,323,0,1
