pokemon,version,item,rarity
1217,30,0,5
159,28,0,5
149,12,0,100
133,26,1049,5
489,28,1312,5
87,15,0,5
1377,30,396,5
754,28,0,5
1416,25,0,5
1238,11,0,100
1207,22,1481,5
551,14,762,5
1210,29,1481,5
1440,25,571,5
968,27,1313,5
756,22,1048,5
555,21,0,5
860,12,1085,5
608,15,1388,5
398,28,0,50
497,11,702,50
1426,15,1475,5
1236,12,0,100
88,28,1209,5
385,10,0,5
1517,27,469,50
778,18,0,50
1098,12,571,5
249,30,0,5
176,21,0,5
1377,17,396,5
1535,28,0,5
1318,18,616,1
989,9,565,5
263,28,703,5
1238,15,0,100
1210,18,1481,5
1214,14,396,5
486,14,0,100
1547,15,556,5
905,30,0,5
1432,22,0,5
1510,9,0,5
1431,28,1245,5
1235,26,0,100
536,25,0,5
1624,29,0,5
1000,22,0,50
989,17,1216,50
385,8,0,5
1171,17,1477,5
971,29,1313,5
1527,17,0,5
1598,29,0,5
384,13,0,5
1035,29,0,5
945,29,0,5
1308,22,0,5
1163,14,0,5
793,18,0,50
811,27,1390,5
1535,18,0,5
1527,18,0,5
755,29,0,5
1221,30,0,5
36,29,1313,5
1236,14,0,100
754,7,0,5
1425,28,1048,5
493,16,0,5
446,29,0,5
988,16,556,5
861,18,1085,5
1000,21,0,5
459,9,1278,5
848,24,0,5
249,22,0,5
1535,25,0,5
1024,26,0,5
249,13,0,5
784,29,0,5
1306,14,0,50
1432,18,0,5
757,23,1209,5
554,12,0,5
1063,24,0,5
36,12,1313,5
25,22,1288,5
1190,8,0,100
1154,12,1304,100
1399,29,0,5
1306,8,0,50
325,17,1478,5
1208,12,0,50
1235,27,0,5
1524,22,1588,5
1447,22,0,100
1303,13,1085,5
790,18,0,5
1546,12,556,5
1330,26,0,5
581,25,0,5
971,30,1312,5
1238,27,0,5
1612,14,1216,50
1120,29,0,50
848,24,0,5
1317,29,0,5
1190,29,0,5
1212,21,1075,5
192,29,1085,5
1306,12,0,5
1306,8,0,5
851,15,1167,5
1517,30,469,50
1154,21,1304,100
862,21,0,50
1432,23,0,5
856,21,806,5
0,30,0,5
1445,27,0,5
1624,30,0,5
1273,25,0,5
737,14,1388,5
1238,25,0,100
1319,25,920,5
1534,21,0,5
880,15,978,5
2,24,0,50
683,13,1528,5
115,13,0,5
1024,25,0,5
641,25,1288,5
1423,28,1571,5
997,13,0,5
1098,23,571,5
971,14,1313,5
1161,21,0,50
1306,15,0,5
1507,16,0,50
1214,8,396,5
989,14,1216,50
365,28,1046,5
266,27,703,5
1208,24,0,5
2,17,0,50
854,21,1391,5
36,28,1313,5
1165,29,0,5
1459,17,0,5
421,12,1216,5
8,16,1167,5
1235,17,0,100
298,21,0,1
623,29,1390,5
1445,15,0,5
1474,21,0,1
1262,28,0,5
258,16,570,5
569,27,0,5
861,17,1085,5
0,14,0,5
1235,25,0,100
1623,18,1085,5
497,12,702,50
1000,29,0,5
1303,27,1085,5
737,17,1388,5
1029,22,1057,1
1000,16,0,50
89,9,1209,5
1534,28,0,5
641,27,1288,5
486,22,0,100
134,29,806,5
1349,22,0,5
1067,30,0,5
492,16,0,5
106,27,0,5
1163,15,0,5
386,17,1076,100
622,29,1390,5
1207,25,1481,5
988,22,556,5
489,17,1313,5
914,29,1388,5
159,27,0,5
691,15,0,5
176,28,0,5
274,12,0,5
1238,28,0,5
1535,11,439,5
1238,17,0,100
690,18,0,5
1634,15,0,5
1423,30,1571,5
1447,15,0,100
1289,22,702,50
620,30,0,5
3,29,0,5
1414,18,1528,5
1549,22,1075,50
1337,28,0,5
493,22,0,5
811,21,1390,5
1000,29,0,5
1520,9,1391,5
311,27,0,5
602,28,703,5
1134,12,0,5
914,25,1388,5
1210,10,1481,5
1582,15,0,5
1289,27,703,5
1201,22,0,5
455,30,1312,5
860,13,1085,5
1337,11,0,100
1515,27,1281,5
860,18,1085,5
1280,7,0,5
1318,24,920,5
86,22,0,5
459,25,1278,5
1534,22,0,5
1216,27,0,5
1329,29,0,5
551,13,763,5
1133,14,0,5
1318,22,616,1
1474,18,1216,50
25,17,1288,5
1107,29,0,5
86,14,0,5
106,25,0,5
325,14,1478,5
