pokemon,version_group,move,pokemon_move_method,level,order
1620,20,1132,4,0,
1311,20,1336,4,0,
795,20,11,4,0,
376,20,1528,4,0,
209,20,0,4,0,
1317,20,1528,4,0,
193,20,672,1,28,
1384,20,545,4,0,
1189,20,0,1,1,2.0
984,20,1474,4,0,
109,20,1522,4,0,
209,20,1562,4,0,
1510,20,0,4,0,
1203,20,0,4,0,
470,20,170,1,33,
1189,20,0,1,4,
787,20,367,4,0,
1198,20,0,4,0,
1431,20,810,2,0,
1432,20,1278,4,0,
721,20,378,4,0,
122,20,1511,1,1,2.0
762,20,571,1,55,
1619,20,0,4,0,
1320,20,0,4,0,
1411,20,0,1,91,
24,20,1207,4,0,
1431,20,584,4,0,
1323,20,1392,4,0,
1375,20,1517,4,0,
762,20,322,1,20,
1167,20,0,4,0,
430,20,0,1,44,
240,20,703,4,0,
103,20,730,4,0,
176,20,1337,1,24,
1215,20,1474,4,0,
134,20,1063,4,0,
726,20,0,1,24,
109,20,0,1,48,
890,20,1205,4,0,
880,20,0,1,12,
89,20,1559,4,0,
1548,20,707,4,0,
1416,20,1530,4,0,
505,20,1559,4,0,
1526,20,1255,1,16,
240,20,0,1,30,
1376,20,0,4,0,
742,20,1392,4,0,
877,20,0,4,0,
591,20,1474,4,0,
1221,20,0,1,36,
249,20,0,1,1,1.0
1055,20,1517,4,0,
495,20,0,1,32,
342,20,208,4,0,
131,20,1019,3,0,
1410,20,610,1,1,2.0
603,20,1537,4,0,
342,20,0,4,0,
298,20,849,1,12,
328,20,587,4,0,
1220,20,0,4,0,
295,20,249,4,0,
1548,20,0,4,0,
943,20,0,4,0,
628,20,1303,4,0,
909,20,0,4,0,
387,20,0,4,0,
273,20,1530,4,0,
993,20,0,4,0,
1054,20,0,4,0,
1327,20,1528,4,0,
918,20,0,4,0,
1012,20,988,1,45,
410,20,0,1,21,
985,20,1528,4,0,
1318,20,1024,4,0,
1213,20,52,4,0,
990,20,1530,4,0,
726,20,0,4,0,
209,20,1537,4,0,
158,20,0,4,0,
527,20,1517,4,0,
1510,20,0,4,0,
374,20,11,4,0,
1290,20,0,4,0,
1328,20,1205,4,0,
1470,20,0,4,0,
4,20,0,1,0,
1021,20,963,1,65,
1188,20,800,4,0,
464,20,730,1,1,7.0
742,20,0,4,0,
56,20,0,4,0,
1206,20,1092,4,0,
491,20,800,4,0,
869,20,1207,4,0,
1167,20,0,2,0,
1469,20,0,4,0,
344,20,0,1,24,2.0
989,20,1152,1,24,
1623,20,1388,2,0,
1630,20,730,4,0,
1370,20,0,1,12,
1073,20,0,1,5,
795,20,0,4,0,
508,20,1507,4,0,
1183,20,1432,4,0,
1259,20,1533,2,0,
203,20,0,4,0,
730,20,0,4,0,
1432,20,1210,1,1,1.0
70,20,249,4,0,
733,20,655,1,48,
486,20,113,4,0,
844,20,0,4,0,
806,20,0,4,0,
438,20,1528,4,0,
805,20,0,1,1,1.0
658,20,1265,2,0,
860,20,1528,4,0,
179,20,0,4,0,
116,20,0,4,0,
374,20,0,1,28,
992,20,1167,4,0,
288,20,0,4,0,
1198,20,692,4,0,
123,20,475,4,0,
1103,20,1260,4,0,
342,20,1253,1,1,3.0
1550,20,1096,4,0,
1430,20,1075,1,42,
1511,20,1170,4,0,
342,20,802,1,32,
1102,20,1507,4,0,
499,20,0,1,20,
515,20,0,4,0,
812,20,1528,4,0,
1481,20,161,3,0,
993,20,0,4,0,
1136,20,0,4,0,
1349,20,0,4,0,
249,20,11,1,36,
994,20,871,4,0,
730,20,0,4,0,
650,20,0,4,0,
1003,20,0,4,0,
1534,20,167,2,0,
963,20,1338,4,0,
39,20,0,4,0,
592,20,208,4,0,
789,20,326,4,0,
1525,20,43,1,24,
1217,20,1207,4,0,
881,20,0,4,0,
1172,20,43,1,20,
529,20,0,4,0,
889,20,0,1,25,
1299,20,1528,4,0,
1054,20,1205,4,0,
851,20,11,1,54,
464,20,0,1,1,8.0
860,20,0,4,0,
751,20,1109,1,9,
1514,20,1024,4,0,
653,20,1205,4,0,
681,20,0,4,0,
884,20,0,1,1,4.0
480,20,82,1,1,2.0
376,20,539,4,0,
365,20,1376,1,1,2.0
1442,20,1508,1,18,
1201,20,178,1,39,
24,20,0,4,0,
75,20,0,4,0,
921,20,0,4,0,
1163,20,0,4,0,
1432,20,0,4,0,
1056,20,0,1,41,
503,20,1408,2,0,
322,20,0,4,0,
377,20,1337,4,0,
1012,20,1530,4,0,
1092,20,0,4,0,
461,20,0,4,0,
381,20,1366,1,54,
438,20,381,2,0,
1166,20,421,1,1,2.0
539,20,0,4,0,
227,20,0,4,0,
1192,20,0,4,0,
377,20,1003,3,0,
860,20,0,1,1,1.0
628,20,1092,4,0,
1510,20,0,4,0,
653,20,93,4,0,
443,20,0,4,0,
1243,20,1229,1,8,
446,20,645,4,0,
1322,20,0,1,16,
854,20,22,4,0,
1350,20,559,1,1,6.0
1438,20,173,1,36,1.0
786,20,0,1,1,1.0
480,20,1065,4,0,
1542,20,315,4,0,
179,20,1026,4,0,
1526,20,1092,1,48,
1434,20,0,4,0,
40,20,0,1,24,1.0
1051,20,987,1,30,
498,20,0,4,0,
1221,20,0,4,0,
1350,20,325,4,0,
430,20,0,1,1,3.0
1620,20,211,1,44,
672,20,0,1,1,9.0
1522,20,587,4,0,
640,20,0,1,1,5.0
256,20,0,4,0,
638,20,0,4,0,
1539,20,1474,4,0,
