ability,generation,is_main_series
a0,3,1
a1,3,1
a2,3,1
a3,3,1
a4,3,1
a5,3,1
a6,3,1
a7,4,1
a8,4,1
a9,4,1
a10,4,1
a11,3,1
a12,4,1
a13,3,1
a14,3,1
a15,4,1
a16,4,1
a17,3,1
a18,3,1
a19,3,1
a20,3,1
a21,3,1
a22,3,1
a23,3,1
a24,4,1
a25,3,1
a26,3,1
a27,7,1
a28,4,1
a29,7,1
a30,7,1
a31,7,1
a32,7,1
a33,7,1
a34,4,1
a35,7,1
a36,7,1
a37,5,0
a38,7,1
a39,7,1
a40,4,1
a41,8,1
a42,5,1
a43,8,1
a44,6,1
a45,3,1
a46,5,1
a47,5,1
a48,8,1
a49,5,1
a50,4,1
a51,5,1
a52,4,1
a53,5,1
a54,3,1
a55,7,0
a56,7,1
a57,5,0
a58,8,1
a59,8,1
a60,8,1
a61,8,1
a62,8,1
a63,8,1
a64,8,1
a65,8,1
a66,8,1
a67,8,1
a68,8,1
a69,5,1
a70,5,1
a71,5,1
a72,5,0
a73,7,1
a74,5,0
a75,5,0
a76,5,0
a77,5,0
a78,5,0
a79,5,0
a80,5,0
a81,5,0
a82,6,1
a83,5,0
a84,5,0
a85,7,1
a86,5,0
a87,5,0
a88,7,1
a89,3,1
a90,3,1
a91,6,1
a92,3,1
a93,3,1
a94,3,1
a95,3,1
a96,3,1
a97,3,1
a98,3,1
a99,3,1
a100,3,0
a101,3,1
a102,3,1
a103,3,0
a104,5,1
a105,5,1
a106,5,1
a107,5,1
a108,5,1
a109,5,1
a110,5,1
a111,5,1
a112,5,0
a113,5,1
a114,5,1
a115,5,0
a116,5,1
a117,8,1
a118,3,1
a119,5,1
a120,5,1
a121,3,0
a122,7,1
a123,7,1
a124,3,1
a125,4,1
a126,3,1
a127,7,1
a128,,1
a129,5,0
a130,5,1
a131,5,0
a132,5,1
a133,6,1
a134,5,0
a135,6,1
a136,5,0
a137,8,1
a138,8,1
a139,8,1
a140,8,1
a141,4,1
a142,4,1
a143,4,1
a144,4,1
a145,4,1
a146,4,1
a147,4,1
a148,4,1
a149,4,1
a150,4,1
a151,4,1
a152,4,1
a153,7,1
a154,7,1
a155,7,1
a156,7,1
a157,7,1
a158,7,1
a159,7,1
a160,7,1
a161,6,1
a162,6,1
a163,5,0
