1,2
a107,a489
a413,a339
a283,a284
a36,a38
a26,a187
a297,a189
a176,a283
a322,a393
a354,a395
a101,a100
a456,a455
a83,a115
a378,a53
a170,a270
a260,a42
a350,a277
a96,a470
a29,a274
a320,a100
a298,a429
a372,a46
a7,a487
a307,a269
a301,a125
a484,a335
a85,a398
a213,a304
a337,a382
a438,a439
a436,a55
a46,a47
a404,a454
a161,a217
a143,a185
a386,a57
a304,a303
a302,a338
a276,a275
a250,a121
a49,a438
a263,a71
a353,a391
a372,a47
a25,a469
a399,a400
a340,a339
a383,a40
a451,a54
a127,a128
a461,a462
a14,a13
a203,a241
a22,a192
a197,a196
a303,a304
a388,a387
a102,a103
a77,a129
a15,a337
a267,a268
a348,a405
a365,a86
a282,a48
a260,a43
a420,a120
a38,a39
a290,a289
a315,a135
a314,a466
a86,a365
a471,a470
a275,a276
a25,a468
a209,a404
a3,a401
a375,a218
a370,a72
a289,a290
a464,a463
a103,a102
a187,a188
a175,a403
a487,a488
a218,a219
a435,a124
a335,a334
a353,a392
a280,a465
a188,a187
a122,a123
a351,a341
a24,a389
a482,a267
a358,a318
a167,a127
a98,a232
a194,a287
a224,a280
a346,a131
a444,a486
a469,a468
a68,a400
a308,a196
a339,a340
a13,a14
a387,a388
a26,a188
a70,a71
a441,a442
a215,a290
a201,a462
a391,a392
a200,a273
a15,a382
a480,a130
a144,a441
a153,a329
a455,a456
a347,a57
a167,a128
a485,a409
a47,a46
a41,a275
a490,a489
a209,a454
a144,a442
a68,a399
a71,a70
a24,a390
a116,a117
a482,a268
a153,a330
a42,a43
a18,a14
a247,a191
a288,a287
a379,a82
a163,a279
a28,a50
a107,a490
a476,a214
a334,a335
a132,a131
a411,a117
a100,a101
a308,a197
a472,a473
a128,a127
a160,a459
a18,a13
a470,a471
a465,a280
a284,a283
a475,a431
a361,a282
a213,a303
a347,a386
a488,a487
a412,a474
a361,a48
a211,a397
a133,a69
a332,a318
a458,a459
a489,a490
a346,a132
a442,a441
a39,a38
a184,a45
a243,a229
a268,a267
a380,a333
a57,a386
a215,a289
a7,a488
a343,a342
a124,a435
a246,a463
a330,a329
a439,a438
a459,a458
a468,a469
a120,a119
a249,a118
a172,a220
a484,a334
a194,a288
a123,a122
a382,a337
a389,a390
a96,a471
a226,a286
a41,a276
a65,a343
a299,a384
a75,a278
a256,a365
a407,a123
a336,a457
a246,a464
a30,a56
a176,a284
a263,a70
a119,a120
a319,a124
a36,a39
a342,a343
a448,a102
a237,a133
a168,a387
a392,a391
a256,a86
a400,a399
a58,a316
a149,a473
a221,a402
a69,a133
a76,a467
a320,a101
a117,a116
a131,a132
a375,a219
a329,a330
a463,a464
a226,a285
a80,a136
a413,a340
a319,a435
a160,a458
a407,a122
a212,a456
a318,a332
a448,a103
a287,a288
a385,a396
a224,a465
a295,a186
a286,a285
a411,a116
a237,a69
a285,a286
a358,a332
a364,a460
a473,a472
a12,a52
a390,a389
a168,a388
a180,a126
a43,a42
a420,a119
a201,a461
a447,a190
a454,a404
a65,a342
a196,a197
a450,a272
a199,a305
a212,a455
a219,a218
a49,a439
a149,a472
a432,a281
a462,a461
a48,a282
