pokemon,ability,is_hidden,slot
867,a171,0,1
867,a446,1,3
868,a171,0,1
868,a446,1,3
869,a171,0,1
869,a446,1,3
863,a170,0,1
863,a297,1,3
864,a170,0,1
864,a297,1,3
865,a170,0,1
865,a297,1,3
866,a169,0,1
866,a97,1,3
870,a169,0,1
870,a97,1,3
871,a169,0,1
871,a97,1,3
1406,a182,0,1
1406,a249,1,3
1407,a183,0,1
1404,a174,0,1
1404,a317,1,3
1405,a182,0,1
1405,a249,1,3
1402,a183,0,1
1403,a381,0,1
1403,a296,1,3
1400,a250,0,1
1400,a7,0,2
1400,a262,1,3
1401,a250,0,1
1401,a7,0,2
1401,a262,1,3
1408,a250,0,1
1408,a7,0,2
1408,a262,1,3
1409,a249,0,1
1409,a374,0,2
1409,a254,1,3
1504,a249,0,1
1504,a374,0,2
1504,a254,1,3
1503,a250,0,1
1503,a296,1,3
1502,a250,0,1
1502,a296,1,3
1501,a320,0,1
1501,a183,0,2
1501,a371,1,3
1508,a320,0,1
1508,a183,0,2
1508,a371,1,3
1507,a26,0,1
1507,a451,1,3
1506,a26,0,1
1506,a451,1,3
1505,a25,0,1
1505,a261,1,3
1510,a25,0,1
1510,a261,1,3
1509,a443,0,1
1509,a9,0,2
1509,a254,1,3
1614,a443,0,1
1614,a9,0,2
1614,a254,1,3
1615,a443,0,1
1615,a9,0,2
1615,a369,1,3
1616,a443,0,1
1616,a9,0,2
1616,a254,1,3
1617,a443,0,1
1617,a9,0,2
1617,a254,1,3
1610,a443,0,1
1610,a9,0,2
1610,a369,1,3
1611,a251,0,1
1611,a293,0,2
1611,a237,1,3
1612,a251,0,1
1612,a293,0,2
1612,a143,1,3
1613,a181,0,1
1613,a0,1,3
1608,a181,0,1
1608,a0,1,3
1609,a251,0,1
1609,a193,0,2
1609,a237,1,3
81,a251,0,1
81,a193,0,2
81,a34,1,3
80,a444,0,1
80,a109,1,3
83,a444,0,1
83,a109,1,3
82,a446,0,1
82,a249,1,3
85,a446,0,1
85,a21,1,3
84,a446,0,1
84,a323,1,3
87,a323,0,1
87,a147,0,2
87,a19,1,3
86,a323,0,1
86,a147,0,2
86,a19,1,3
79,a174,0,1
79,a317,0,2
79,a249,1,3
78,a182,0,1
78,a317,0,2
78,a260,1,3
217,a25,0,1
217,a1,0,2
217,a114,1,3
218,a25,0,1
218,a1,0,2
218,a114,1,3
215,a248,0,1
215,a383,0,2
215,a371,1,3
216,a20,0,1
216,a383,0,2
216,a371,1,3
221,a19,0,1
221,a177,0,2
221,a453,1,3
222,a19,0,1
