pokemon,version,item,rarity
1217,30,i1163,5
159,28,i1756,5
149,12,i2137,100
133,26,i1503,5
489,28,i1895,5
87,15,i2015,5
1377,30,i262,5
754,28,i899,5
1416,25,i899,5
1238,11,i1162,100
1207,22,i2169,5
551,14,i1140,5
1210,29,i2169,5
1440,25,i2305,5
968,27,i1896,5
756,22,i1502,5
555,21,i681,5
860,12,i1499,5
608,15,i2312,5
398,28,i1435,50
497,11,i1029,50
1426,15,i2163,5
1236,12,i1163,100
88,28,i1740,5
385,10,i17,5
1517,27,i677,50
778,18,i222,50
1098,12,i2305,5
249,30,i1756,5
176,21,i2395,5
1377,17,i262,5
1535,28,i887,5
1318,18,i919,1
989,9,i844,5
263,28,i1030,5
1238,15,i1162,100
1210,18,i2169,5
1214,14,i262,5
486,14,i2137,100
1547,15,i835,5
905,30,i899,5
1432,22,i2236,5
1510,9,i1756,5
1431,28,i1422,5
1235,26,i1162,100
536,25,i2014,5
1624,29,i18,5
1000,22,i1231,50
989,17,i1761,50
385,8,i17,5
1171,17,i2165,5
971,29,i1896,5
1527,17,i18,5
1598,29,i681,5
384,13,i18,5
1035,29,i682,5
945,29,i2015,5
1308,22,i422,5
1163,14,i2171,5
793,18,i1231,50
811,27,i2002,5
1535,18,i887,5
1527,18,i18,5
755,29,i899,5
1221,30,i2015,5
36,29,i1896,5
1236,14,i1162,100
754,7,i899,5
1425,28,i1502,5
493,16,i17,5
446,29,i2066,5
988,16,i835,5
861,18,i1499,5
1000,21,i1756,5
459,9,i1836,5
848,24,i681,5
249,22,i1756,5
1535,25,i887,5
1024,26,i422,5
249,13,i1756,5
784,29,i899,5
1306,14,i222,50
1432,18,i2236,5
757,23,i1740,5
554,12,i2395,5
1063,24,i222,5
36,12,i1896,5
25,22,i1851,5
1190,8,i2072,100
1154,12,i1873,100
1399,29,i2137,5
1306,8,i222,50
325,17,i2166,5
1208,12,i725,50
1235,27,i1162,5
1524,22,i2330,5
1447,22,i1163,100
1303,13,i1499,5
790,18,i1109,5
1546,12,i835,5
1330,26,i899,5
581,25,i1109,5
971,30,i1895,5
1238,27,i1162,5
1612,14,i1761,50
1120,29,i2066,50
848,24,i681,5
1317,29,i586,5
1190,29,i2072,5
1212,21,i1525,5
192,29,i1499,5
1306,12,i682,5
1306,8,i681,5
851,15,i1661,5
1517,30,i677,50
1154,21,i1873,100
862,21,i17,50
1432,23,i2236,5
856,21,i1180,5
0,30,i423,5
1445,27,i899,5
1624,30,i17,5
1273,25,i1163,5
737,14,i2312,5
1238,25,i1163,100
1319,25,i1340,5
1534,21,i1756,5
880,15,i1406,5
2,24,i1282,50
683,13,i2242,5
115,13,i887,5
1024,25,i422,5
641,25,i1851,5
1423,28,i2318,5
997,13,i682,5
1098,23,i2305,5
971,14,i1896,5
1161,21,i17,50
1306,15,i681,5
1507,16,i222,50
1214,8,i262,5
989,14,i1761,50
365,28,i1500,5
266,27,i1030,5
1208,24,i725,5
2,17,i1282,50
854,21,i2003,5
36,28,i1896,5
1165,29,i725,5
1459,17,i2014,5
421,12,i1761,5
8,16,i1661,5
1235,17,i1163,100
298,21,i1878,1
623,29,i2002,5
1445,15,i899,5
1474,21,i1462,1
1262,28,i2395,5
258,16,i859,5
569,27,i17,5
861,17,i1499,5
0,14,i423,5
1235,25,i1162,100
1623,18,i1499,5
497,12,i1029,50
1000,29,i1756,5
1303,27,i1499,5
737,17,i2312,5
1029,22,i1509,1
1000,16,i1231,50
89,9,i1740,5
1534,28,i1756,5
641,27,i1851,5
486,22,i2137,100
134,29,i1180,5
1349,22,i899,5
1067,30,i2078,5
492,16,i17,5
106,27,i2395,5
1163,15,i2171,5
386,17,i1526,100
622,29,i2002,5
1207,25,i2169,5
988,22,i835,5
489,17,i1896,5
914,29,i2312,5
159,27,i1756,5
691,15,i1249,5
176,28,i2395,5
274,12,i222,5
1238,28,i1162,5
1535,11,i643,5
1238,17,i1162,100
690,18,i1249,5
1634,15,i181,5
1423,30,i2318,5
1447,15,i1163,100
1289,22,i1029,50
620,30,i2066,5
3,29,i1163,5
1414,18,i2242,5
1549,22,i1525,50
1337,28,i2137,5
493,22,i17,5
811,21,i2002,5
1000,29,i1756,5
1520,9,i2003,5
311,27,i681,5
602,28,i1030,5
1134,12,i760,5
914,25,i2312,5
1210,10,i2169,5
1582,15,i222,5
1289,27,i1030,5
1201,22,i18,5
455,30,i1895,5
860,13,i1499,5
1337,11,i2137,100
1515,27,i1839,5
860,18,i1499,5
1280,7,i899,5
1318,24,i1340,5
86,22,i2014,5
459,25,i1836,5
1534,22,i1756,5
1216,27,i1163,5
1329,29,i899,5
551,13,i1141,5
1133,14,i760,5
1318,22,i919,1
1474,18,i1761,50
25,17,i1851,5
1107,29,i1756,5
86,14,i2014,5
106,25,i2395,5
325,14,i2166,5
1208,22,i725,5
555,10,i222,50
581,18,i948,5
246,22,i2374,1
192,28,i1499,5
121,28,i1025,5
1439,25,i2002,100
608,8,i2312,5
1317,28,i586,5
1261,27,i1756,5
1002,22,i2004,5
1190,16,i2072,100
1290,22,i1029,50
757,14,i1740,5
1286,30,i586,5
851,17,i1661,5
1337,9,i2137,100
1330,16,i2162,5
1214,12,i262,5
389,21,i181,5
1448,7,i899,5
1432,14,i2236,5
997,15,i681,5
1582,21,i222,5
586,29,i1509,5
142,30,i2312,5
703,17,i887,5
273,15,i222,5
1317,29,i586,5
776,21,i222,50
1307,30,i423,5
1541,27,i2305,5
1338,22,i1760,5
556,30,i2078,5
1445,21,i899,5
1097,18,i873,5
1154,24,i1873,100
384,12,i17,5
1541,12,i2305,5
755,25,i899,5
1348,24,i899,5
368,24,i2395,5
389,21,i222,50
116,24,i887,5
1201,12,i18,5
106,22,i2395,5
608,25,i2312,5
489,27,i1896,5
1520,28,i2003,5
364,14,i2239,5
1432,15,i2236,5
1516,15,i1760,5
134,27,i1180,5
1214,11,i262,5
655,29,i1834,5
1535,15,i887,5
989,16,i844,5
249,24,i1756,5
25,28,i1851,5
86,13,i2015,5
855,28,i2003,5
855,23,i1836,50
1264,13,i586,5
317,22,i2169,5
397,27,i1340,5
790,24,i1109,5
1505,27,i1231,5
581,27,i948,5
1420,23,i1841,5
393,28,i1398,5
581,21,i948,5
385,8,i17,5
1527,22,i17,5
1289,14,i1030,5
1337,29,i2137,5
1510,16,i1756,5
460,10,i2003,5
1221,28,i843,50
116,16,i837,50
793,14,i1756,5
112,10,i681,5
691,12,i1249,5
480,8,i1667,100
756,26,i1502,5
116,8,i887,5
88,9,i1740,5
2,28,i1282,50
1510,26,i1231,5
368,15,i2395,5
554,13,i2395,5
1074,12,i2244,5
1535,30,i887,5
1162,8,i1761,5
1634,13,i181,5
2,22,i1282,50
785,28,i899,5
496,8,i1836,5
997,12,i681,5
1190,12,i2072,100
1108,30,i1756,5
2,17,i1282,50
731,28,i1837,5
0,12,i422,5
848,28,i681,5
1164,30,i948,5
757,27,i1740,5
1324,28,i2004,5
754,10,i899,5
1154,17,i1873,100
1008,14,i859,5
1308,28,i423,5
112,10,i222,50
1319,28,i1497,5
761,30,i899,5
88,27,i1740,5
989,18,i1761,50
176,25,i2395,5
820,26,i1735,5
1199,24,i899,5
987,26,i835,5
1238,21,i1162,100
1000,15,i1756,5
116,11,i887,5
989,12,i1761,50
1035,30,i222,50
159,25,i1756,5
974,26,i2004,5
497,29,i1030,5
841,18,i1877,1
1063,23,i222,5
368,25,i2395,5
1524,13,i2330,5
1267,17,i1140,50
971,22,i1895,5
368,17,i2395,5
87,12,i2014,5
1459,23,i2014,5
841,18,i2003,5
176,30,i2395,5
793,23,i1231,50
1207,17,i2169,5
1448,29,i899,5
555,11,i681,5
861,22,i1499,5
791,30,i725,5
1290,23,i1029,50
409,28,i1509,5
1624,29,i17,5
1530,28,i950,5
1036,27,i681,5
1035,27,i222,50
385,11,i18,5
759,28,i1162,5
1306,9,i681,5
994,28,i873,5
493,18,i17,5
1307,14,i422,5
1289,9,i1029,50
854,30,i2003,5
987,7,i1499,5
1236,16,i1163,100
1238,30,i1162,5
655,25,i1834,5
848,17,i682,5
1530,13,i222,5
623,30,i2002,5
2,13,i1281,50
1308,13,i422,5
862,22,i18,50
1024,12,i423,5
1520,27,i2003,5
862,21,i18,50
1542,28,i2001,50
581,16,i1109,5
1349,17,i899,5
116,21,i887,5
860,15,i1499,5
1154,7,i1873,100
0,23,i422,5
968,24,i1896,5
555,13,i681,5
1349,18,i899,5
861,21,i1499,5
1634,16,i181,5
489,27,i1895,5
790,16,i948,5
106,28,i2395,5
460,16,i1836,5
249,15,i1756,5
1414,17,i2242,5
1510,18,i1756,5
848,29,i681,5
1534,17,i1756,5
968,29,i1895,5
1593,29,i18,5
763,11,i1498,100
1154,18,i1873,100
691,13,i1249,5
1313,25,i2312,5
1286,28,i586,5
1337,17,i2137,100
1236,22,i1163,100
1201,12,i17,5
731,11,i1837,5
861,12,i1499,5
25,22,i1850,1
981,7,i1500,5
1308,29,i423,5
1214,7,i262,5
768,29,i1499,5
258,15,i859,5
122,27,i1025,5
569,29,i18,5
1236,14,i1163,100
86,28,i2014,5
249,12,i1756,5
384,9,i17,5
759,27,i1163,5
1210,16,i2169,5
0,21,i422,5
841,18,i1878,1
25,18,i1850,1
997,22,i222,50
