pokemon,version_group,move,pokemon_move_method,level,order
1620,20,m865,4,0,
1311,20,m301,4,0,
795,20,m78,4,0,
376,20,m907,4,0,
209,20,m322,4,0,
1317,20,m907,4,0,
193,20,m709,1,28,
1384,20,m361,4,0,
1189,20,m985,1,1,2.0
984,20,m532,4,0,
109,20,m835,4,0,
209,20,m431,4,0,
1510,20,m759,4,0,
1203,20,m322,4,0,
470,20,m1191,1,33,
1189,20,m595,1,4,
787,20,m1010,4,0,
1198,20,m264,4,0,
1431,20,m138,2,0,
1432,20,m38,4,0,
721,20,m319,4,0,
122,20,m801,1,1,2.0
762,20,m399,1,55,
1619,20,m128,4,0,
1320,20,m1127,4,0,
1411,20,m101,1,91,
24,20,m271,4,0,
1431,20,m412,4,0,
1323,20,m405,4,0,
1375,20,m814,4,0,
762,20,m443,1,20,
1167,20,m322,4,0,
430,20,m1144,1,44,
240,20,m746,4,0,
103,20,m778,4,0,
176,20,m569,1,24,
1215,20,m532,4,0,
134,20,m579,4,0,
726,20,m285,1,24,
109,20,m987,1,48,
890,20,m657,4,0,
880,20,m269,1,12,
89,20,m1053,4,0,
1548,20,m753,4,0,
1416,20,m909,4,0,
505,20,m1053,4,0,
1526,20,m1255,1,16,
240,20,m685,1,30,
1376,20,m491,4,0,
742,20,m405,4,0,
877,20,m1031,4,0,
591,20,m532,4,0,
1221,20,m71,1,36,
249,20,m1026,1,1,1.0
1055,20,m814,4,0,
495,20,m285,1,32,
342,20,m810,4,0,
131,20,m505,3,0,
1410,20,m737,1,1,2.0
603,20,m953,4,0,
342,20,m998,4,0,
298,20,m1214,1,12,
328,20,m419,4,0,
1220,20,m231,4,0,
295,20,m665,4,0,
1548,20,m288,4,0,
943,20,m121,4,0,
628,20,m115,4,0,
909,20,m446,4,0,
387,20,m322,4,0,
273,20,m909,4,0,
993,20,m121,4,0,
1054,20,m128,4,0,
1327,20,m907,4,0,
918,20,m266,4,0,
1012,20,m84,1,45,
410,20,m1233,1,21,
985,20,m907,4,0,
1318,20,m512,4,0,
1213,20,m174,4,0,
990,20,m909,4,0,
726,20,m998,4,0,
209,20,m953,4,0,
158,20,m1027,4,0,
527,20,m814,4,0,
1510,20,m128,4,0,
374,20,m78,4,0,
1290,20,m324,4,0,
1328,20,m657,4,0,
1470,20,m1225,4,0,
4,20,m808,1,0,
1021,20,m246,1,65,
1188,20,m88,4,0,
464,20,m778,1,1,7.0
742,20,m274,4,0,
56,20,m1237,4,0,
1206,20,m652,4,0,
491,20,m88,4,0,
869,20,m271,4,0,
1167,20,m826,2,0,
1469,20,m128,4,0,
344,20,m1038,1,24,2.0
989,20,m899,1,24,
1623,20,m401,2,0,
1630,20,m778,4,0,
1370,20,m1164,1,12,
1073,20,m985,1,5,
795,20,m1144,4,0,
508,20,m789,4,0,
1183,20,m1032,4,0,
1259,20,m804,2,0,
203,20,m82,4,0,
730,20,m900,4,0,
1432,20,m457,1,1,1.0
70,20,m665,4,0,
733,20,m565,1,48,
486,20,m293,4,0,
844,20,m950,4,0,
806,20,m982,4,0,
438,20,m907,4,0,
805,20,m842,1,1,1.0
658,20,m799,2,0,
860,20,m907,4,0,
179,20,m900,4,0,
116,20,m128,4,0,
374,20,m471,1,28,
992,20,m935,4,0,
288,20,m820,4,0,
1198,20,m735,4,0,
123,20,m87,4,0,
1103,20,m1262,4,0,
342,20,m1253,1,1,3.0
1550,20,m661,4,0,
1430,20,m591,1,42,
1511,20,m1224,4,0,
342,20,m1076,1,32,
1102,20,m789,4,0,
499,20,m1159,1,20,
515,20,m1237,4,0,
812,20,m907,4,0,
1481,20,m481,3,0,
993,20,m1031,4,0,
1136,20,m322,4,0,
1349,20,m484,4,0,
249,20,m78,1,36,
994,20,m34,4,0,
730,20,m759,4,0,
650,20,m1026,4,0,
1003,20,m1225,4,0,
1534,20,m527,2,0,
963,20,m306,4,0,
39,20,m288,4,0,
592,20,m810,4,0,
789,20,m949,4,0,
1525,20,m165,1,24,
1217,20,m271,4,0,
881,20,m818,4,0,
1172,20,m165,1,20,
529,20,m1029,4,0,
889,20,m903,1,25,
1299,20,m907,4,0,
1054,20,m657,4,0,
851,20,m78,1,54,
464,20,m337,1,1,8.0
860,20,m225,4,0,
751,20,m884,1,9,
1514,20,m512,4,0,
653,20,m657,4,0,
681,20,m1237,4,0,
884,20,m900,1,1,4.0
480,20,m234,1,1,2.0
376,20,m353,4,0,
365,20,m924,1,1,2.0
1442,20,m790,1,18,
1201,20,m540,1,39,
24,20,m322,4,0,
75,20,m998,4,0,
921,20,m685,4,0,
1163,20,m484,4,0,
1432,20,m266,4,0,
1056,20,m1003,1,41,
503,20,m434,2,0,
322,20,m288,4,0,
377,20,m569,4,0,
1012,20,m909,4,0,
1092,20,m1131,4,0,
461,20,m1144,4,0,
381,20,m792,1,54,
438,20,m100,2,0,
1166,20,m1229,1,1,2.0
539,20,m1027,4,0,
227,20,m322,4,0,
1192,20,m288,4,0,
377,20,m1228,3,0,
860,20,m285,1,1,1.0
628,20,m652,4,0,
1510,20,m1031,4,0,
653,20,m250,4,0,
443,20,m820,4,0,
1243,20,m1209,1,8,
446,20,m676,4,0,
1322,20,m697,1,16,
854,20,m135,4,0,
1350,20,m915,1,1,6.0
1438,20,m535,1,36,1.0
786,20,m1125,1,1,1.0
480,20,m581,4,0,
1542,20,m414,4,0,
179,20,m273,4,0,
1526,20,m652,1,48,
1434,20,m982,4,0,
40,20,m139,1,24,1.0
1051,20,m747,1,30,
498,20,m697,4,0,
1221,20,m820,4,0,
1350,20,m948,4,0,
430,20,m964,1,1,3.0
1620,20,m600,1,44,
672,20,m985,1,1,9.0
1522,20,m419,4,0,
640,20,m614,1,1,5.0
256,20,m231,4,0,
638,20,m121,4,0,
1539,20,m532,4,0,
737,20,m69,1,20,
739,20,m1076,1,42,
1418,20,m741,1,36,
972,20,m414,4,0,
548,20,m982,4,0,
751,20,m128,4,0,
469,20,m1027,4,0,
1442,20,m424,4,0,
1142,20,m266,4,0,
971,20,m907,4,0,
814,20,m808,1,55,
1192,20,m1076,1,0,
1108,20,m835,4,0,
856,20,m458,1,1,2.0
1294,20,m1191,1,50,
1359,20,m881,4,0,
1093,20,m864,4,0,
1410,20,m918,4,0,
212,20,m1029,4,0,
979,20,m1104,1,28,
1002,20,m446,1,40,
1082,20,m778,4,0,
968,20,m516,4,0,
1220,20,m640,2,0,
240,20,m266,4,0,
623,20,m1054,1,40,
630,20,m706,1,40,
1233,20,m815,4,0,
47,20,m266,4,0,
123,20,m350,4,0,
1070,20,m985,1,5,
1304,20,m533,1,12,
1082,20,m100,2,0,
612,20,m36,4,0,
1125,20,m741,4,0,
949,20,m565,4,0,
465,20,m264,1,32,
1529,20,m864,4,0,
134,20,m1262,4,0,
1461,20,m463,4,0,
42,20,m1237,4,0,
658,20,m959,4,0,
726,20,m421,4,0,
1214,20,m778,4,0,
1481,20,m115,4,0,
1545,20,m865,4,0,
1192,20,m250,4,0,
1163,20,m64,4,0,
539,20,m288,4,0,
502,20,m1163,4,0,
248,20,m377,4,0,
976,20,m159,4,0,
1184,20,m565,4,0,
1438,20,m684,3,0,
1092,20,m1044,1,1,1.0
1313,20,m686,4,0,
1019,20,m1237,4,0,
1539,20,m657,4,0,
689,20,m1237,4,0,
1264,20,m559,3,0,
812,20,m250,4,0,
504,20,m948,4,0,
155,20,m861,4,0,
1327,20,m532,4,0,
123,20,m907,4,0,
248,20,m1081,1,20,
968,20,m556,1,1,7.0
1213,20,m1082,4,0,
762,20,m824,4,0,
501,20,m1027,4,0,
