pokemon,name,species,height,weight,base_experience,is_default
0,chat0t,id-441,5,,144,1
1,honedge,id-679,8,20,65,1
2,luvcisx,id-370,6,,116,1
3,araquanid-totem,id-752,31,2175,159,0
4,rydon,id-112,,1200,170,1
5,drilbuah,id-529,,85,66,1
6,bastiodon,id-411,13,1495,173,1
7,shieldon,id-410,5,570,70,1
8,loutred,id-294,,405,126,1
9,carko|,id-838,,780,144,1
10,exe9gutor,id-103,,1200,186,1
11,exeggvtor,id-103,,1200,186,1
12,scraggy,id-559,6,118,70,1
13,golceen,rec-118-dup-1,6,150,64,1
14,cresselia,id-488,15,856,300,1
15,phione,id-489,4,31,216,1
16,azelf,id-482,3,3,290,1
17,dialga,id-483,54,6830,340,1
18,uxie,id-480,3,3,290,1
19,mesprit,id-481,3,3,290,1
20,regigigas,id-486,37,4200,335,1
21,giratina-altered,id-487,45,7500,340,1
22,palkia,id-484,42,3360,340,1
23,heatran,id-485,17,4300,300,1
24,treveriant,id-709,15,,166,1
25,sawj,id-539,,510,163,1
26,sawi,rec-539-dup-1,14,510,163,1
27,regice,id-378,18,1750,290,1
28,registeel,id-379,19,2050,290,1
29,caterpie,rec-10-dup-0,3,,39,1
30,caterpi,id-10,,29,39,1
31,beldum,id-374,6,952,60,1
32,metang,id-375,12,2025,147,1
33,naganadel,id-804,36,1500,270,1
34,regirock,id-377,17,2300,290,1
35,luvdisc,id-370,6,87,116,1
36,bagon,id-371,6,421,60,1
37,shelgon,id-372,11,1105,147,1
38,magearna,id-801,10,805,300,1
39,soogat,id-528,,105,149,1
40,duosion,id-578,6,80,130,1
41,reuniclus,id-579,10,201,245,1
42,gothitelle,id-576,15,440,245,1
43,solosis,id-577,3,10,58,1
44,gothita,id-574,4,58,58,1
45,gothorita,id-575,7,180,137,1
46,minccino,id-572,4,58,60,1
47,cinccino,id-573,5,75,165,1
48,zorua,id-570,7,125,66,1
49,zoroark,id-571,16,811,179,1
50,starly,id-396,3,20,49,1
51,staravia,id-397,6,155,119,1
52,prinplup,id-394,8,230,142,1
53,empoleon,id-395,17,845,239,1
54,infernape,id-392,12,550,240,1
55,piplup,id-393,4,52,63,1
56,zygarde-complete,id-718,45,6100,354,0
57,gumshoos-totem,id-735,14,600,146,0
58,lurantis-totem,id-754,15,580,168,0
59,salazzle-totem,id-758,21,810,168,0
60,mawile-mega,id-303,10,235,168,0
61,aggron-mega,id-306,22,3950,284,0
62,zygarde-50,id-718,50,3050,300,1
63,diancie,id-719,7,88,300,1
64,banette-mega,id-354,12,130,194,0
65,absol-mega,id-359,12,490,198,0
66,medicham-mega,id-308,13,315,179,0
